Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,17.402903,17.402903,16.135,16.272429,188.84552,188.84552,171.97891,2322.5513,2.0175962,2.0175962,1.0532038,6.1504617,13.742995,13.742995,11.99636,19.009775,0.2752976,0.2752976,0.1459748,0.10484317,99.73767,99.73767,98.04683,59.5755,3.0323813,3.0323813,2.6591635,2.5840518
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,22.718971,22.718971,21.780823,15.972358,190.14296,190.14296,178.26868,905.8707,1.5290117,1.5290117,1.1619542,1.5250834,17.886114,17.886114,17.786282,9.703274,0.20332776,0.20332776,0.14270896,0.032819945,96.09981,96.09981,96.21094,10.734153,3.7330256,3.7330256,3.5921915,2.7620943
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,12.76748,12.76748,13.176424,11.773269,170.22664,170.22664,164.9529,242.70027,1.5710403,1.5710403,1.3457572,1.173707,9.667749,9.667749,9.399654,7.324385,0.19131485,0.19131485,0.15743828,0.018747168,88.71043,88.71043,89.15892,18.012972,2.200866,2.200866,1.8841177,1.2256663
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,15.518108,15.518108,15.460352,3.2143986,168.67732,168.67732,165.3573,125.827614,1.2015642,1.2015642,0.9905001,0.83414274,9.875893,9.875893,9.736868,2.0809896,0.19464901,0.19464901,0.14510527,0.024144819,87.39406,87.39406,87.630936,17.038918,2.054096,2.054096,1.695394,1.3166
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,15.8300905,15.8300905,15.0224,8.7134495,174.61066,174.61066,171.1492,159.36702,1.340465,1.340465,1.1040603,1.0394881,12.167094,12.167094,11.422371,5.8064666,0.15437438,0.15437438,0.12502708,0.015904734,94.903175,94.903175,94.87155,18.642614,2.37669,2.37669,2.4535255,1.6140763
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,22.928602,22.928602,21.59208,32.94689,167.63516,167.63516,168.09384,221.46806,1.0960647,1.0960647,0.89396775,0.8637104,19.929358,19.929358,18.346893,32.579727,0.11304836,0.11304836,0.079841025,0.011443961,99.37358,99.37358,98.38173,24.599625,4.2135367,4.2135367,4.0957,3.7780554
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,21.529358,21.529358,19.977108,51.037148,173.32994,173.32994,170.19218,193.40337,1.1837648,1.1837648,0.92842,0.8103898,18.875511,18.875511,18.105103,38.220364,0.15296435,0.15296435,0.116802566,0.015070772,93.07714,93.07714,92.00269,63.567776,2.2296715,2.2296715,1.3622525,3.6647542
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,9.021419,9.021419,8.807077,11.215555,180.74971,180.74971,173.20135,872.6196,2.2319505,2.2319505,1.4340048,5.0342245,7.787169,7.787169,7.4177713,8.833688,0.28157207,0.28157207,0.16911459,0.116899915,76.150024,76.150024,74.96983,26.719173,1.049106,1.049106,0.49081588,3.631589
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,6.4096875,6.4096875,6.2243633,2.38689,171.09966,171.09966,169.7888,195.94342,2.0591807,2.0591807,1.654984,1.5748417,5.837932,5.837932,5.605952,1.9929167,0.32557085,0.32557085,0.26683486,0.037644096,73.13234,73.13234,75.06468,46.97018,2.6566076,2.6566076,1.4865181,10.120263
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,13.014784,13.014784,13.473875,9.512494,175.27089,175.27089,173.19766,234.16505,1.7549047,1.7549047,1.1912584,2.3774216,11.502228,11.502228,11.426147,6.947729,0.24759087,0.24759087,0.1461115,0.07137667,83.61788,83.61788,84.20994,29.62924,2.5645993,2.5645993,1.6061926,9.219001
