Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,17.22589,17.22589,16.498514,9.741014,155.0999,155.0999,155.11116,10.016522,0.75070333,0.75070333,0.5438565,0.17088191,8.281426,8.281426,8.294958,0.56365585,0.10306127,0.10306127,0.07432989,0.004797935,98.61261,98.61261,98.04562,15.295347,0.9881928,0.9881928,0.9984049,0.054633986
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,19.513681,19.513681,19.746695,2.6296556,158.70013,158.70013,158.58467,8.245568,0.9328703,0.9328703,0.69665873,0.28132364,12.233829,12.233829,12.611918,0.8376894,0.14111872,0.14111872,0.09524648,0.00866791,103.54321,103.54321,103.044174,26.001741,2.2457154,2.2457154,2.238906,0.24975106
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,21.446981,21.446981,22.16928,12.761675,164.92824,164.92824,165.40332,15.75896,1.1193044,1.1193044,0.8291039,0.45191482,13.399642,13.399642,13.525157,5.5126534,0.11579287,0.11579287,0.08696932,0.0045498656,93.888695,93.888695,94.37496,19.72314,1.8406374,1.8406374,1.6644322,0.6779838
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,14.216185,14.216185,14.047309,3.03903,160.53838,160.53838,160.1662,25.234018,1.4031241,1.4031241,0.92816067,1.3071096,10.206534,10.206534,10.163022,1.280431,0.18733916,0.18733916,0.119388945,0.022740433,101.73153,101.73153,102.08414,18.378004,1.4508388,1.4508388,1.2769803,0.41201597
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,14.498045,14.498045,13.791854,8.315611,139.34454,139.34454,139.14687,29.287762,1.0690101,1.0690101,0.8368678,0.5933576,10.330215,10.330215,10.211436,2.10563,0.086260594,0.086260594,0.06544273,0.004622633,105.91233,105.91233,105.98939,33.915577,0.8518037,0.8518037,0.82384586,0.0925904
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,73.596825,73.596825,68.35642,800.90625,141.42159,141.42159,141.82605,11.57798,0.6767016,0.6767016,0.4937155,0.22364984,36.72603,36.72603,36.264885,67.12013,0.095852636,0.095852636,0.07556089,0.0045973887,77.78566,77.78566,78.40991,18.596521,0.32607183,0.32607183,0.2382734,0.054422148
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,34.729218,34.729218,30.373413,287.89963,135.94577,135.94577,134.27629,45.570404,0.9587213,0.9587213,0.65425354,0.62281466,17.72246,17.72246,17.524546,20.872955,0.12737218,0.12737218,0.09158896,0.009493839,82.163666,82.163666,80.922226,29.041578,0.52664244,0.52664244,0.40017766,0.14411536
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,4.4983788,4.4983788,4.4747705,1.5983491,131.58896,131.58896,131.78015,31.874886,0.865219,0.865219,0.71357125,0.24760716,3.2561069,3.2561069,3.140194,0.6719601,0.103110604,0.103110604,0.09034916,0.0031706842,94.255974,94.255974,94.1351,33.607883,0.43379515,0.43379515,0.4194987,0.04066933
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,13.22383,13.22383,12.935283,4.7437234,135.52666,135.52666,135.17424,11.216119,0.60994756,0.60994756,0.5026579,0.08748548,5.0761857,5.0761857,4.9440885,0.6612417,0.083811484,0.083811484,0.06693785,0.0024547402,102.366425,102.366425,101.80763,23.455757,0.6311295,0.6311295,0.56158334,0.047158312
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,12.7221575,12.7221575,12.66009,3.555095,126.89407,126.89407,126.635086,32.169426,0.58211875,0.58211875,0.46575877,0.10069419,6.834702,6.834702,6.7175827,0.50553626,0.08853655,0.08853655,0.07047156,0.0031247463,95.214775,95.214775,95.108734,26.17304,0.64928067,0.64928067,0.6108536,0.053956404
