Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,20.251976,20.251976,19.69266,27.926847,162.07245,162.07245,160.29012,48.752937,0.8227386,0.8227386,0.62222224,0.21860848,13.981112,13.981112,12.501563,17.515047,0.09579989,0.09579989,0.07276048,0.0027990327,104.47705,104.47705,102.96342,32.074257,4.341323,4.341323,3.8966448,8.041593
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,22.57047,22.57047,22.411514,9.342703,165.92021,165.92021,165.07994,17.321686,1.0169806,1.0169806,0.9055014,0.31545368,16.16202,16.16202,16.02538,3.0823793,0.12088094,0.12088094,0.10608758,0.0048244093,109.84772,109.84772,109.264336,25.591785,4.2395916,4.2395916,4.289774,1.6633471
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,23.341476,23.341476,22.592196,16.140644,165.77222,165.77222,164.66663,60.094753,1.0558442,1.0558442,0.8508181,0.6722121,16.682022,16.682022,18.053986,31.181591,0.09941878,0.09941878,0.08239343,0.0049577737,103.93531,103.93531,102.24237,19.185013,2.996319,2.996319,2.5816433,1.8821076
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,20.030497,20.030497,19.782526,8.582353,165.90863,165.90863,165.71025,31.513865,0.8679982,0.8679982,0.66135895,0.6586854,15.158963,15.158963,14.488579,16.082127,0.10952961,0.10952961,0.09125678,0.0065106875,106.166145,106.166145,106.68747,12.639882,2.6527495,2.6527495,2.2361348,1.1398747
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,17.640846,17.640846,17.471725,6.7120037,149.34659,149.34659,149.05928,24.503506,0.69155467,0.69155467,0.5988289,0.24766912,13.443736,13.443736,13.041357,1.5969424,0.06592759,0.06592759,0.051540967,0.002383273,104.84349,104.84349,104.94821,31.824108,0.8212785,0.8212785,0.7372023,0.10289204
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,23.177435,23.177435,13.99109,340.61526,136.22238,136.22238,136.28632,6.4247475,0.59283614,0.59283614,0.5146339,0.060133204,13.217466,13.217466,11.307667,73.57527,0.048268225,0.048268225,0.03787548,0.0010645309,95.57874,95.57874,96.645256,40.01706,0.25522596,0.25522596,0.19343816,0.022476044
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,25.795265,25.795265,22.981836,176.61258,143.53534,143.53534,141.16254,63.300396,0.54336756,0.54336756,0.47527492,0.14095986,14.86593,14.86593,12.091658,41.615974,0.07028726,0.07028726,0.061405104,0.0030491995,95.71157,95.71157,95.571434,23.331331,0.65321034,0.65321034,0.51247185,0.21087712
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,10.006546,10.006546,11.3688545,40.010357,129.62138,129.62138,130.78653,9.091492,0.5689949,0.5689949,0.4897574,0.07520831,5.9212,5.9212,6.614819,13.534798,0.054985415,0.054985415,0.047293823,0.000964634,94.28071,94.28071,94.88562,22.400541,0.3005186,0.3005186,0.29452845,0.026995424
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,15.02984,15.02984,15.103434,13.177246,139.54486,139.54486,138.52719,45.948452,0.68811667,0.68811667,0.4716711,0.4138267,5.7289248,5.7289248,5.676853,0.9668968,0.07728955,0.07728955,0.0484815,0.0067348746,105.51198,105.51198,105.28471,27.830507,0.56638086,0.56638086,0.34627822,0.25795698
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,15.119671,15.119671,15.27034,9.995644,146.5809,146.5809,143.62973,72.82899,0.71162677,0.71162677,0.5546548,0.2596691,7.7800994,7.7800994,7.4842443,1.307991,0.075075656,0.075075656,0.05448435,0.0030158325,109.08968,109.08968,109.723564,14.368299,0.92215544,0.92215544,0.8076313,0.19338647
