Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,15.229399,15.229399,15.461064,3.8806653,162.8608,162.8608,159.17433,152.5993,0.88264143,0.88264143,0.70888364,0.25551742,10.804837,10.804837,10.617807,2.5802476,0.137621,0.137621,0.110677704,0.0076428456,90.02606,90.02606,89.943405,23.177593,2.9121833,2.9121833,2.4992914,2.4514418
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,17.077438,17.077438,16.539816,3.8001142,154.4537,154.4537,153.62918,82.09895,0.958804,0.958804,0.8560477,0.28340945,12.1908655,12.1908655,11.884322,3.3500478,0.1456596,0.1456596,0.12218138,0.006712674,95.52107,95.52107,95.11791,18.546381,2.4681587,2.4681587,2.0887966,1.439595
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,12.141907,12.141907,10.936878,11.183667,154.77254,154.77254,153.22552,49.357258,0.81155753,0.81155753,0.6663328,0.14290334,8.594189,8.594189,7.473152,7.9852138,0.12678988,0.12678988,0.10750578,0.003907005,93.03884,93.03884,91.81147,42.469616,1.477778,1.477778,0.9978152,3.1632524
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,15.676313,15.676313,15.555195,5.450521,171.07608,171.07608,168.77046,270.8779,1.274366,1.274366,0.9687966,0.67373085,10.403948,10.403948,10.148471,2.5092573,0.17296332,0.17296332,0.12479973,0.018427202,95.49015,95.49015,94.670166,48.310867,2.9697394,2.9697394,1.5294006,18.986979
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,10.965058,10.965058,10.779038,4.525365,148.68874,148.68874,147.9431,25.986958,1.1132581,1.1132581,0.88538367,0.49667558,8.25331,8.25331,8.18457,2.3970516,0.10756178,0.10756178,0.087174684,0.0042302837,95.48388,95.48388,95.40105,16.969444,0.98615855,0.98615855,0.569429,1.2755355
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,3.2862542,3.2862542,2.9352152,2.15513,144.56058,144.56058,144.71825,50.430622,0.98606175,0.98606175,0.79825765,0.34487873,2.6352165,2.6352165,2.404453,0.8688441,0.10611421,0.10611421,0.08581402,0.0034991093,90.24735,90.24735,90.288864,15.308764,0.86305624,0.86305624,0.35146287,2.0959935
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,11.386567,11.386567,10.247518,28.079426,155.38632,155.38632,153.71924,67.37714,0.8966505,0.8966505,0.6609113,0.5544932,9.164523,9.164523,8.055377,17.334078,0.11646446,0.11646446,0.08829915,0.007887959,90.5281,90.5281,90.702324,59.673836,1.7905135,1.7905135,0.9879528,5.4980226
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,3.5119877,3.5119877,3.0170782,1.9381024,133.09364,133.09364,127.097336,261.2646,0.7222367,0.7222367,0.5192236,0.24920951,2.713371,2.713371,2.3208883,1.277386,0.10324,0.10324,0.07592159,0.006458009,95.83235,95.83235,95.448555,31.57054,1.0544116,1.0544116,0.30468214,3.1583722
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,8.846699,8.846699,8.329332,15.31011,141.14793,141.14793,138.93068,81.64619,0.59609115,0.59609115,0.4920495,0.112855196,4.6712193,4.6712193,4.5527177,1.5492386,0.090163045,0.090163045,0.07494922,0.0027016737,99.16952,99.16952,98.89254,16.108429,0.84126943,0.84126943,0.41289872,0.789396
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,7.6504855,7.6504855,7.9052663,2.762644,145.63637,145.63637,137.87201,345.0155,0.6486756,0.6486756,0.4976195,0.1501261,5.669616,5.669616,5.513092,0.8157342,0.11826717,0.11826717,0.08777328,0.0057864557,92.6183,92.6183,91.68178,28.82008,1.1456509,1.1456509,0.800938,1.8970784
2019-04-11,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,7.6783204,7.6783204,7.003079,8.264047,131.6413,131.6413,125.962456,293.02057,0.7977739,0.7977739,0.5965646,0.37579945,4.9133954,4.9133954,4.829806,1.6734751,0.115093134,0.115093134,0.09206171,0.0067760823,92.16804,92.16804,91.82709,24.818773,1.302161,1.302161,0.67052495,2.909838
2019-04-12,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,21.424326,21.424326,20.908121,62.90323,128.53937,128.53937,127.82171,44.876156,1.0217972,1.0217972,0.74648124,0.7341837,11.28087,11.28087,11.166497,9.290474,0.17483188,0.17483188,0.13247271,0.018543914,76.76867,76.76867,76.62177,20.820139,1.8518933,1.8518933,0.5690318,16.24747
2019-04-13,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,8.168585,8.168585,7.738876,6.89408,152.58609,152.58609,151.57672,101.59455,0.7440062,0.7440062,0.49730602,0.49320346,5.879538,5.879538,5.727351,3.0755322,0.1285979,0.1285979,0.08593304,0.01626497,96.48702,96.48702,95.66546,33.201736,1.1868792,1.1868792,0.4330616,3.7690244
2019-04-14,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,5.335267,5.335267,5.2653317,2.3090215,148.10101,148.10101,145.08475,174.89731,0.72711456,0.72711456,0.4697574,0.37903717,4.0383644,4.0383644,3.939496,0.7651952,0.09627024,0.09627024,0.06543733,0.005400027,99.880745,99.880745,97.23735,61.50857,1.2534224,1.2534224,0.37437075,4.367994
2019-04-15,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,6.1059523,6.1059523,6.256174,2.655346,165.19101,165.19101,163.24432,205.13411,1.2337505,1.2337505,0.87357676,1.0240655,5.0902877,5.0902877,5.211975,1.5539992,0.13598932,0.13598932,0.11429326,0.009296416,101.93818,101.93818,102.33869,136.97131,1.9890007,1.9890007,0.64540017,15.168901
2019-04-16,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,11.018172,11.018172,11.371207,3.6718335,164.04742,164.04742,162.87596,70.31621,0.80388236,0.80388236,0.68084854,0.14927049,9.937552,9.937552,10.254899,2.4515514,0.14423797,0.14423797,0.1131345,0.006535855,89.489914,89.489914,89.42812,27.582436,2.680377,2.680377,1.6123067,11.455234
2019-04-17,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,9.052308,9.052308,9.022173,4.089399,174.91928,174.91928,168.31386,333.1059,0.8131307,0.8131307,0.62678397,0.45939073,8.15571,8.15571,8.159373,2.3833365,0.13272248,0.13272248,0.104306765,0.011789032,93.00985,93.00985,92.74956,42.01762,2.3349984,2.3349984,1.4291856,4.900643
2019-04-18,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,8.721648,8.721648,8.03647,6.67819,181.69029,181.69029,181.19385,234.72905,0.89698064,0.89698064,0.7560317,0.2528429,8.246525,8.246525,7.5663614,5.980318,0.14101577,0.14101577,0.116589405,0.0067769676,96.64516,96.64516,94.77141,63.737045,2.3868744,2.3868744,1.4697455,12.49654
2019-04-19,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,10.514047,10.514047,10.341506,3.3721244,172.40558,172.40558,171.18532,52.91364,0.77413154,0.77413154,0.6626948,0.11495736,9.800851,9.800851,9.458316,2.906915,0.12941268,0.12941268,0.10008643,0.005909647,91.29441,91.29441,89.33453,54.781883,2.5051317,2.5051317,1.666983,6.459186
2019-04-20,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,9.915621,9.915621,9.354455,2.9180803,175.8458,175.8458,174.51404,280.9684,0.847528,0.847528,0.69080806,0.24893269,8.79106,8.79106,8.587077,2.2998762,0.10891828,0.10891828,0.08610002,0.0037799561,93.15664,93.15664,92.9479,24.520117,1.624159,1.624159,1.3565753,1.5680962
2019-04-21,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,12.124131,12.124131,12.052654,2.6873298,163.71628,163.71628,163.00252,53.526386,0.84389424,0.84389424,0.6634217,0.2503389,9.985591,9.985591,9.937038,1.4466567,0.10704651,0.10704651,0.07931942,0.00523394,95.66635,95.66635,93.47234,66.07595,2.661034,2.661034,2.1763568,2.5983524
2019-04-22,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,13.901885,13.901885,13.645694,2.2704413,155.02312,155.02312,151.85611,187.63223,1.3104445,1.3104445,0.83698624,1.4907503,11.821864,11.821864,11.809303,1.1437193,0.15426625,0.15426625,0.10886404,0.012946487,95.69203,95.69203,96.71416,29.527905,2.3555682,2.3555682,1.7572788,4.0024114
2019-04-23,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,22.487629,22.487629,22.115395,9.846407,149.1402,149.1402,148.62146,55.572563,1.0631921,1.0631921,0.79498446,0.66751635,15.195608,15.195608,14.886559,3.7917707,0.10386479,0.10386479,0.08056968,0.0043810606,98.10283,98.10283,97.09647,83.49724,2.2880201,2.2880201,1.6830767,3.0335782
2019-04-24,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,116.272964,116.272964,123.006485,2399.2905,142.5047,142.5047,142.57086,26.284111,0.994556,0.994556,0.647276,0.82175344,54.523605,54.523605,55.099537,528.745,0.14372052,0.14372052,0.1091614,0.010785278,84.79195,84.79195,83.468575,44.281265,1.4488442,1.4488442,0.5874768,4.915768
2019-04-25,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,126.68961,126.68961,125.576935,324.5903,156.14442,156.14442,152.31564,198.10165,1.7472756,1.7472756,1.0649543,3.348285,65.77681,65.77681,67.36459,249.8223,0.27842838,0.27842838,0.17566767,0.08006042,73.77309,73.77309,73.255295,26.367455,1.880887,1.880887,0.7028941,9.437751
2019-04-26,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,114.17785,114.17785,112.63802,112.664635,165.22096,165.22096,153.2239,1261.2137,1.343826,1.343826,0.787776,2.880889,75.41438,75.41438,74.34108,45.54382,0.20410904,0.20410904,0.13128006,0.049073607,86.53712,86.53712,83.68493,124.792595,2.2568436,2.2568436,1.371788,5.3387737
