Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,15.057545,15.057545,15.211863,2.7017784,161.44041,161.44041,157.27492,281.29904,0.76050663,0.76050663,0.7107026,0.12669247,10.432556,10.432556,10.376457,1.8518941,0.12664217,0.12664217,0.119229086,0.0039216955,91.2771,91.2771,90.98158,20.782633,3.1303551,3.1303551,2.542933,3.054945
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,20.106565,20.106565,19.92885,4.73971,163.20523,163.20523,164.92607,118.66237,0.7388178,0.7388178,0.6681233,0.08736203,14.432891,14.432891,14.341933,2.0185566,0.119605415,0.119605415,0.11300827,0.0025361776,95.1843,95.1843,94.95021,4.1556873,1.7082258,1.7082258,1.634703,0.103152476
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.900959,9.900959,9.69988,3.093831,160.65175,160.65175,155.68219,327.52606,0.8145187,0.8145187,0.74577147,0.11652052,6.4842935,6.4842935,6.225937,1.445946,0.111700505,0.111700505,0.10707057,0.0025637813,89.21623,89.21623,89.38357,24.967264,0.9899146,0.9899146,0.95444363,0.031187076
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13.786366,13.786366,13.772585,1.3676264,172.20364,172.20364,161.5115,1234.1418,0.99164194,0.99164194,0.8396768,1.2304361,8.416728,8.416728,8.073202,2.2618785,0.15198354,0.15198354,0.12470025,0.03673155,90.49066,90.49066,90.45889,28.544767,1.3678889,1.3678889,1.3644552,0.4332224
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,15.788172,15.788172,15.392337,3.4848855,193.74492,193.74492,178.43346,1804.7188,2.1158092,2.1158092,1.4327077,4.084458,11.660548,11.660548,11.452015,2.571583,0.18810725,0.18810725,0.13018739,0.022461247,97.77582,97.77582,98.53703,35.545563,1.8978479,1.8978479,1.8328308,0.8270857
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,10.936138,10.936138,9.312138,25.66702,163.11432,163.11432,161.35245,239.42207,1.3313651,1.3313651,1.294181,0.14188711,8.974962,8.974962,8.060316,12.905794,0.102833055,0.102833055,0.09640644,0.0014088443,93.56834,93.56834,94.46977,29.74627,1.3482693,1.3482693,1.0900862,0.5667375
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,14.689695,14.689695,17.264782,44.06865,172.87036,172.87036,161.16272,2022.2755,0.95147926,0.95147926,0.74746966,1.257643,12.429549,12.429549,14.370055,28.794493,0.1388747,0.1388747,0.11316814,0.034085408,90.706406,90.706406,91.690056,21.883005,1.2810907,1.2810907,1.3380656,0.83409953
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,5.1761866,5.1761866,3.4195294,12.258633,159.21219,159.21219,148.62149,1370.5559,1.5425544,1.5425544,1.3497415,1.3195375,4.407275,4.407275,2.8178205,9.401846,0.17625794,0.17625794,0.16242129,0.016433135,85.91323,85.91323,86.35802,34.76672,0.5049646,0.5049646,0.28674093,0.2884391
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,3.3676271,3.3676271,3.2323956,0.9747444,161.34486,161.34486,159.19853,187.19458,1.1305764,1.1305764,1.0291345,0.47440866,2.9843588,2.9843588,2.8825517,0.7050734,0.13685083,0.13685083,0.12599815,0.0047056,85.51931,85.51931,86.5459,73.48475,0.32037637,0.32037637,0.22009648,0.07811155
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,7.268517,7.268517,7.0240226,3.540562,172.3972,172.3972,167.74823,493.5057,1.0076549,1.0076549,0.9129815,0.32666874,6.350087,6.350087,6.2214036,2.883702,0.16947524,0.16947524,0.1565094,0.0077940137,88.23794,88.23794,88.51265,51.856293,0.5661825,0.5661825,0.38242832,0.2632631
2019-04-11,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.195659,6.195659,5.759402,2.9486423,145.9168,145.9168,141.29427,900.607,0.9217946,0.9217946,0.7057039,0.9114075,4.640329,4.640329,4.414053,1.0712668,0.11419763,0.11419763,0.09410452,0.014378741,92.27616,92.27616,90.79908,32.643753,0.53743005,0.53743005,0.3016254,0.40457004
2019-04-12,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,8.608515,8.608515,6.585199,23.432774,146.42337,146.42337,139.9817,882.419,1.2418313,1.2418313,1.0656712,0.7706414,6.0815396,6.0815396,5.6409187,6.578803,0.17518748,0.17518748,0.1395364,0.027133828,78.30158,78.30158,77.38766,20.058676,0.6039094,0.6039094,0.29982135,0.4048057
2019-04-13,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.3355036,6.3355036,6.0065722,3.041589,161.18765,161.18765,149.42514,1676.54,0.91162485,0.91162485,0.69079393,1.50145,5.222829,5.222829,4.833233,2.6781714,0.13116649,0.13116649,0.105185196,0.027236722,91.166824,91.166824,91.32749,37.278664,0.4653653,0.4653653,0.3194316,0.41925967
2019-04-14,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,4.723886,4.723886,4.766701,3.6820467,163.6604,163.6604,153.98619,895.5324,0.9361061,0.9361061,0.73498523,0.6223,4.265998,4.265998,4.43699,2.7333503,0.11605794,0.11605794,0.0964845,0.007896043,90.408195,90.408195,90.016685,70.41716,0.44715852,0.44715852,0.31161562,0.26485002
2019-04-15,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.4060073,6.4060073,6.154538,4.708681,166.27573,166.27573,151.59727,2779.9126,1.3222178,1.3222178,1.0718466,1.0296184,5.6315265,5.6315265,5.682411,2.5463452,0.14035156,0.14035156,0.12900327,0.0060583786,82.626595,82.626595,83.49077,121.7199,0.7145432,0.7145432,0.60447294,0.32473958
2019-04-16,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,12.029607,12.029607,12.48008,9.221527,169.20432,169.20432,164.45802,346.73666,0.7360767,0.7360767,0.70574594,0.14393528,10.902629,10.902629,11.414063,6.5984354,0.1231974,0.1231974,0.12023105,0.0049420423,86.62633,86.62633,85.06228,57.98536,1.8278081,1.8278081,1.8526264,0.5606347
2019-04-17,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,10.633026,10.633026,9.531489,14.398523,179.72752,179.72752,174.35336,532.85187,0.99804324,0.99804324,0.8961436,0.6106275,9.585451,9.585451,8.909323,9.149265,0.14423692,0.14423692,0.13645883,0.012705032,90.42712,90.42712,89.001274,127.58835,2.118237,2.118237,2.4265888,0.9884801
2019-04-18,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.988769,9.988769,8.710832,8.210285,163.14714,163.14714,160.05553,224.26111,0.76172674,0.76172674,0.6931842,0.12802167,9.116813,9.116813,8.328795,4.465333,0.11424521,0.11424521,0.10080825,0.0036323722,94.48965,94.48965,92.83334,22.03226,1.6210246,1.6210246,1.2030647,1.0200403
2019-04-19,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,11.367616,11.367616,10.986566,3.464339,171.75198,171.75198,168.22975,209.34303,0.7194767,0.7194767,0.7188845,0.100521035,10.467773,10.467773,9.992274,3.3929574,0.13714626,0.13714626,0.13161677,0.005371652,89.35204,89.35204,89.090805,11.105045,2.3152263,2.3152263,1.9147706,1.2222512
2019-04-20,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,8.509039,8.509039,8.335878,1.293296,159.06392,159.06392,156.75139,139.21632,0.5406434,0.5406434,0.5089091,0.05275403,7.840309,7.840309,7.7166624,0.9007641,0.08549206,0.08549206,0.078355104,0.0017018048,89.3813,89.3813,88.5273,35.653675,1.3594193,1.3594193,1.3075833,0.21237125
2019-04-21,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,10.889621,10.889621,11.1249695,1.0291115,159.9801,159.9801,154.58633,175.57758,0.67276245,0.67276245,0.6655178,0.16272019,9.145948,9.145948,9.117101,0.5953404,0.08572898,0.08572898,0.08226462,0.0031089573,89.5532,89.5532,90.6193,37.200752,1.2851995,1.2851995,1.4237287,0.21440487
2019-04-22,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,12.896865,12.896865,12.482223,4.6313534,174.42365,174.42365,159.65839,1839.789,1.6652706,1.6652706,1.201651,3.6671097,10.901117,10.901117,10.815851,1.9013689,0.19533238,0.19533238,0.14508751,0.054637622,96.446014,96.446014,97.97448,57.24892,2.2742374,2.2742374,2.1878748,1.5310923
2019-04-23,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,25.895403,25.895403,21.930086,94.095665,172.4506,172.4506,162.53842,1004.8251,1.7030284,1.7030284,1.2384058,2.9164574,18.639904,18.639904,18.036055,8.476722,0.19722249,0.19722249,0.15114078,0.039668296,102.63557,102.63557,103.25862,61.146645,2.8264637,2.8264637,2.6748524,1.622901
2019-04-24,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,63.94777,63.94777,52.248055,1416.6383,174.89796,174.89796,159.2551,1902.5582,1.5852652,1.5852652,1.1487913,3.2638278,33.90704,33.90704,26.177607,427.72485,0.24521683,0.24521683,0.16388208,0.092873424,91.857475,91.857475,91.49268,71.559814,1.5051701,1.5051701,1.2668266,0.5189862
2019-04-25,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,108.6747,108.6747,104.94232,1388.4504,180.6474,180.6474,162.7329,7256.162,1.8758992,1.8758992,1.4705889,4.2886305,62.106377,62.106377,57.544838,757.6685,0.2503013,0.2503013,0.2009772,0.09923313,72.47573,72.47573,73.28132,54.859867,0.87341845,0.87341845,0.7388973,0.46756044
2019-04-26,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,107.93836,107.93836,107.3957,177.25174,158.8143,158.8143,150.70206,1946.2773,1.1313627,1.1313627,0.8989617,1.8690794,68.59961,68.59961,71.48869,260.7005,0.18519895,0.18519895,0.1620217,0.037493654,80.52223,80.52223,81.385826,55.639244,0.89200366,0.89200366,0.809294,0.7374356
2019-04-27,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,107.066605,107.066605,107.76239,188.8098,196.8509,196.8509,175.2894,7484.511,1.3573856,1.3573856,0.9891963,1.5438092,72.49237,72.49237,73.59487,42.05344,0.19112226,0.19112226,0.13825032,0.048789516,84.83769,84.83769,84.20408,149.94078,1.4441043,1.4441043,1.2441888,1.0351279
2019-04-28,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,38.36425,38.36425,34.940945,771.3285,152.51715,152.51715,140.3356,1148.0975,0.9628585,0.9628585,0.7733649,1.3687918,27.474056,27.474056,24.847073,377.2155,0.1668375,0.1668375,0.13047636,0.052263897,91.87898,91.87898,91.73155,30.36924,0.94637823,0.94637823,0.7037357,0.8629879
2019-04-29,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,8.093242,8.093242,6.225002,36.012012,145.11061,145.11061,140.33464,279.48566,0.9233546,0.9233546,0.7704628,0.5802221,5.303483,5.303483,3.461414,28.518988,0.15113692,0.15113692,0.12908787,0.018858423,93.114265,93.114265,90.82758,88.025894,0.68213034,0.68213034,0.45776007,0.37639767
2019-04-30,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.299248,9.299248,9.167234,5.3135977,136.01413,136.01413,131.42827,202.00153,0.6803407,0.6803407,0.5911338,0.26019257,5.026124,5.026124,4.561011,2.9295402,0.111421786,0.111421786,0.09350912,0.007995522,94.79073,94.79073,92.88749,53.55663,0.558016,0.558016,0.4298073,0.26760662
2019-05-01,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,4.1820436,4.1820436,3.9848654,1.0589603,151.43893,151.43893,145.33766,340.23505,0.9107963,0.9107963,0.8257171,0.30385357,3.3733094,3.3733094,3.2382429,0.5503372,0.10603136,0.10603136,0.09736684,0.0032477675,96.820076,96.820076,94.04981,82.82204,0.3847311,0.3847311,0.2334275,0.17891563
2019-05-02,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.1174,6.1174,6.0856915,1.9587921,162.48047,162.48047,159.94083,89.11829,0.796088,0.796088,0.7684271,0.18740086,5.4671445,5.4671445,5.4168887,1.5807184,0.12937081,0.12937081,0.11353487,0.006876977,97.001495,97.001495,95.66547,72.07448,0.8136088,0.8136088,0.34185633,0.71569985
2019-05-03,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.543216,9.543216,9.046754,2.5193024,173.66777,173.66777,163.29889,897.9543,1.0881035,1.0881035,0.9691234,0.59765756,8.202733,8.202733,7.7777123,2.7431922,0.15266286,0.15266286,0.1338317,0.021113107,97.527405,97.527405,94.94869,71.867546,0.7613856,0.7613856,0.38644287,0.52513874
2019-05-04,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.876543,9.876543,9.457373,4.327993,165.00882,165.00882,148.51215,3277.3691,1.3483553,1.3483553,1.0215945,1.4966565,6.517457,6.517457,6.3740406,1.9291213,0.17653687,0.17653687,0.14238124,0.025990717,86.60548,86.60548,84.209366,64.81741,0.71445835,0.71445835,0.6251213,0.38179126
2019-05-05,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,27.824697,27.824697,18.140598,457.1528,136.76547,136.76547,129.70662,262.7809,0.6976931,0.6976931,0.5726726,0.3306189,14.509798,14.509798,13.19025,38.53733,0.10986035,0.10986035,0.100282446,0.00615614,81.61667,81.61667,80.752144,48.820362,0.4082754,0.4082754,0.19538504,0.16912438
2019-05-06,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,7.5847344,7.5847344,7.5676775,4.9529843,142.3406,142.3406,141.5662,86.872604,0.60204226,0.60204226,0.5420828,0.15861452,3.5966663,3.5966663,3.6652853,0.44965675,0.09514718,0.09514718,0.08045474,0.00369055,95.8845,95.8845,95.63369,25.699999,0.5325799,0.5325799,0.44968957,0.12208653
2019-05-07,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,2.278188,2.278188,1.926833,0.954167,146.29294,146.29294,145.52922,39.23111,0.6772264,0.6772264,0.6191088,0.12817472,1.8574272,1.8574272,1.5472181,0.4153614,0.13274631,0.13274631,0.11550295,0.0061794273,74.13044,74.13044,72.15143,50.275665,0.34091637,0.34091637,0.20196459,0.097221546
2019-05-08,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.23635,9.23635,9.547674,3.8009932,161.362,161.362,153.55713,903.42346,0.85880303,0.85880303,0.75950813,0.4849867,8.086365,8.086365,8.710964,2.94373,0.14157668,0.14157668,0.12292036,0.01245614,87.88346,87.88346,89.228165,49.61959,2.0461576,2.0461576,2.4519978,1.3127198
2019-05-09,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,7.9984846,7.9984846,7.0400977,3.6298444,168.32823,168.32823,158.35321,822.4109,1.0684379,1.0684379,0.9185617,0.6917586,5.9887314,5.9887314,5.339748,2.5516837,0.1468145,0.1468145,0.123680755,0.019335037,91.35939,91.35939,88.816536,101.95929,0.74442697,0.74442697,0.41509196,0.54684764
2019-05-10,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,10.385315,10.385315,10.326361,5.8598647,148.0004,148.0004,138.41663,754.4601,0.9815202,0.9815202,0.8133057,0.8913983,6.861809,6.861809,6.8147907,2.1718724,0.124860466,0.124860466,0.09617145,0.025412772,87.591576,87.591576,85.670425,47.7648,0.6015001,0.6015001,0.34165737,0.45015392
2019-05-11,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.5418587,6.5418587,6.4675903,1.2689826,145.94017,145.94017,136.75107,692.265,0.6201395,0.6201395,0.58951116,0.21690735,5.5826807,5.5826807,5.4896545,0.5678683,0.10608126,0.10608126,0.09712853,0.0071136537,90.402725,90.402725,90.42271,49.853455,1.091626,1.091626,1.0862849,0.17305359
2019-05-12,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.973226,9.973226,10.795469,10.183994,155.76047,155.76047,145.43579,1066.3596,0.9827146,0.9827146,0.84630007,0.7166392,8.259693,8.259693,8.981567,7.1610346,0.11766666,0.11766666,0.09253442,0.01552701,94.18882,94.18882,93.30427,83.56863,1.2142642,1.2142642,1.074001,0.76548415
2019-05-13,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,8.137588,8.137588,8.056542,1.6799413,147.59105,147.59105,139.05704,525.9343,1.025668,1.025668,0.7949298,0.8040039,6.549455,6.549455,6.430933,1.1317463,0.15103224,0.15103224,0.105789155,0.017179469,89.60007,89.60007,90.06909,45.220917,0.9557792,0.9557792,0.8586767,0.22272593
2019-05-14,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,12.961862,12.961862,11.883337,49.872643,146.02,146.02,143.52798,420.7132,1.2200233,1.2200233,1.1892353,0.8563028,7.569481,7.569481,7.3125415,7.7536373,0.19351526,0.19351526,0.16963093,0.02568909,83.913445,83.913445,84.402016,19.430824,0.78446573,0.78446573,0.87916875,0.20546058
2019-05-15,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.471316,6.471316,5.438641,9.067354,154.71643,154.71643,143.89107,1071.028,1.0660646,1.0660646,0.8825474,1.0944172,4.955793,4.955793,4.32609,4.5414543,0.1542122,0.1542122,0.11618228,0.03405513,87.47531,87.47531,87.330894,69.22761,0.7778394,0.7778394,0.299061,1.0793734
2019-05-16,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,7.2345777,7.2345777,6.6383514,5.0705576,142.42285,142.42285,135.25757,539.0152,0.7941216,0.7941216,0.718817,0.3339266,6.080983,6.080983,6.025234,2.0611064,0.13267511,0.13267511,0.11978199,0.013850873,88.25266,88.25266,87.082375,101.35745,0.6153174,0.6153174,0.41053757,0.31417122
2019-05-17,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.267794,6.267794,6.008106,5.318485,140.51433,140.51433,135.15952,489.93985,0.65246344,0.65246344,0.65174395,0.11585112,5.405457,5.405457,5.6110063,3.0510347,0.11574592,0.11574592,0.10585626,0.005249359,88.003586,88.003586,88.334076,49.231556,0.40903392,0.40903392,0.39081705,0.049446996
2019-05-18,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.1974244,6.1974244,5.368576,6.014825,156.7175,156.7175,143.23364,2922.8992,0.8959129,0.8959129,0.81171334,0.44009957,5.3367443,5.3367443,4.4354053,5.194032,0.11343247,0.11343247,0.100992836,0.009166459,87.72687,87.72687,87.94589,61.459194,0.6003828,0.6003828,0.34777057,0.33865792
2019-05-19,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13.829716,13.829716,11.511184,18.540327,131.21097,131.21097,123.698616,404.8189,0.9772172,0.9772172,0.8032532,0.680678,8.691811,8.691811,7.818438,2.9565618,0.14642923,0.14642923,0.1261891,0.017926155,97.10711,97.10711,97.07731,38.54458,0.88587594,0.88587594,0.85752124,0.10969166
2019-05-20,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,14.336141,14.336141,13.232833,8.474019,127.39077,127.39077,117.22266,992.5702,0.89751613,0.89751613,0.6131071,1.2916964,8.946938,8.946938,8.095858,3.855226,0.12466016,0.12466016,0.09144686,0.031231152,97.726006,97.726006,97.455826,25.873783,0.74612653,0.74612653,0.49688318,0.5665348
2019-05-21,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,8.466495,8.466495,7.1312156,23.844051,125.65945,125.65945,117.652435,377.92932,0.7706967,0.7706967,0.6970531,0.33420455,5.9735484,5.9735484,5.1015315,8.773466,0.09969061,0.09969061,0.08114754,0.0085376175,99.51869,99.51869,98.613144,25.952751,0.63726693,0.63726693,0.484434,0.36444184
2019-05-22,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.2054806,6.2054806,6.089622,1.765468,157.07225,157.07225,138.73036,1385.1222,1.2364745,1.2364745,1.2026753,0.55615544,5.062773,5.062773,5.197366,1.2633451,0.15356748,0.15356748,0.15376577,0.007852007,93.20043,93.20043,91.952484,59.476147,0.6676089,0.6676089,0.5575707,0.2648829
2019-05-23,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,8.266509,8.266509,7.7009916,13.566829,145.74995,145.74995,140.40523,410.6678,0.8537999,0.8537999,0.7614398,0.30764368,6.9270773,6.9270773,6.5769753,9.476688,0.12286643,0.12286643,0.11070555,0.008150712,92.85877,92.85877,93.882545,62.49217,0.7085467,0.7085467,0.42430174,0.30490077
2019-05-24,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,7.3280315,7.3280315,7.337494,1.7864811,141.0823,141.0823,140.30894,45.43864,0.7882393,0.7882393,0.7829412,0.16284919,6.2273817,6.2273817,6.231462,1.5309669,0.10436549,0.10436549,0.08684431,0.0034973565,93.789604,93.789604,93.04465,62.932587,0.9541628,0.9541628,1.0027908,0.3720994
2019-05-25,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,6.867235,6.867235,6.3082786,4.377333,142.48433,142.48433,136.5023,306.91074,0.782272,0.782272,0.70443994,0.319817,5.934144,5.934144,5.3839006,2.9942877,0.10934938,0.10934938,0.09777551,0.0067607556,93.73526,93.73526,93.35964,65.86059,0.63822496,0.63822496,0.37910298,0.3509055
2019-05-26,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.626243,9.626243,9.527177,3.63932,145.79187,145.79187,139.03471,470.5869,0.8560714,0.8560714,0.70151883,0.5671285,7.63503,7.63503,7.169694,3.428307,0.112122275,0.112122275,0.08868669,0.012958678,101.435745,101.435745,99.0022,142.58345,0.94908726,0.94908726,0.8240022,0.44301754
2019-05-27,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,23.900354,23.900354,20.7588,83.78907,142.00009,142.00009,131.95934,1489.3248,1.0479262,1.0479262,0.87863004,1.5388247,15.323064,15.323064,14.156997,16.208075,0.13341127,0.13341127,0.11769963,0.01929985,90.24342,90.24342,92.76464,144.35342,0.92636675,0.92636675,0.85495347,0.4192865
2019-05-28,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,25.78723,25.78723,26.619488,36.68758,127.43877,127.43877,115.88764,689.3118,0.773886,0.773886,0.6557159,0.45930758,14.506188,14.506188,14.315888,15.58103,0.12547594,0.12547594,0.108489595,0.017615492,91.31151,91.31151,89.46911,77.3396,0.71348745,0.71348745,0.35296923,0.5411274
2019-05-29,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,9.103754,9.103754,8.708673,5.5494986,118.884186,118.884186,116.42751,273.51367,0.6716482,0.6716482,0.606434,0.25652355,6.1582384,6.1582384,5.837999,1.2504689,0.10048961,0.10048961,0.090599045,0.007029184,86.30165,86.30165,83.97652,81.27887,0.46070683,0.46070683,0.3310845,0.15649907
2019-05-30,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,7.304787,7.304787,6.773639,4.005629,110.200226,110.200226,108.46406,248.71037,0.6381488,0.6381488,0.54717493,0.22850358,5.9743905,5.9743905,5.427807,3.2513957,0.108292654,0.108292654,0.09526332,0.0054838113,81.8628,81.8628,81.172806,51.22531,0.46461117,0.46461117,0.2577707,0.26929632
