Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,GIANNITSA,16.892694,16.892694,16.868507,0.17791799,179.52428,179.52428,178.99255,13.938652,1.6309619,1.6309619,1.468635,0.16141233,12.731928,12.731928,12.622334,0.4194873,0.15705927,0.15705927,0.15313707,0.0005176696,114.61204,114.61204,114.76138,4.7925386,2.99938,2.99938,2.9939606,0.0081458045
2019-04-02,GIANNITSA,26.654007,26.654007,26.640942,0.83375096,251.6152,251.6152,252.43945,28.931923,1.8237092,1.8237092,1.812932,0.016469108,20.858543,20.858543,20.922802,0.7064634,0.2373115,0.2373115,0.2332996,0.00079057505,96.385735,96.385735,96.34769,0.6939473,4.451586,4.451586,4.461974,0.0073820585
2019-04-03,GIANNITSA,14.629363,14.629363,14.621042,0.032969665,176.68555,176.68555,175.13474,21.473955,1.7363675,1.7363675,1.7001512,0.027428774,9.8512535,9.8512535,9.843523,0.10459262,0.17835754,0.17835754,0.17642488,0.00020527867,88.215225,88.215225,88.18493,0.52905107,1.4376127,1.4376127,1.438174,0.012068793
2019-04-04,GIANNITSA,17.165,17.165,17.241398,0.48567036,177.83336,177.83336,177.56473,15.20216,1.3736941,1.3736941,1.3996911,0.032944705,11.363484,11.363484,11.3796,0.35343748,0.22261749,0.22261749,0.2154561,0.00079797907,85.122086,85.122086,85.54067,1.0305551,1.504553,1.504553,1.504091,0.002817411
2019-04-05,GIANNITSA,17.145971,17.145971,17.484402,2.1351154,183.1228,183.1228,182.6223,15.325947,1.6099275,1.6099275,1.6395822,0.007026107,13.505342,13.505342,13.437101,1.2217594,0.14774667,0.14774667,0.14713205,3.786834e-05,95.36719,95.36719,95.46762,1.8840628,1.96939,1.96939,1.9503262,0.17349853
2019-04-06,GIANNITSA,20.514015,20.514015,20.559261,2.0262916,174.97095,174.97095,175.77858,119.441025,1.2231268,1.2231268,1.2137688,0.07285434,16.361794,16.361794,16.066704,0.63070995,0.12117773,0.12117773,0.117662326,0.00036147755,96.96307,96.96307,96.53697,4.6342716,2.7520492,2.7520492,2.729415,0.027024664
2019-04-07,GIANNITSA,30.266426,30.266426,29.865135,3.992237,179.25021,179.25021,180.12477,6.692776,1.2708359,1.2708359,1.2768843,0.024395358,27.097523,27.097523,27.2512,7.0870957,0.13331914,0.13331914,0.13150015,0.000537047,107.250534,107.250534,107.19281,9.695316,3.0842528,3.0842528,3.0406752,0.05147852
2019-04-08,GIANNITSA,11.5057335,11.5057335,11.300869,3.03871,213.06137,213.06137,215.41974,320.6349,2.6072512,2.6072512,2.6151152,0.17737941,9.280461,9.280461,9.382631,1.5926976,0.286955,0.286955,0.27741462,0.002186915,77.00851,77.00851,77.026505,15.674343,0.93651986,0.93651986,0.9693558,0.042505026
2019-04-09,GIANNITSA,4.593117,4.593117,4.894945,0.42222714,174.21423,174.21423,173.39856,47.65258,1.7327904,1.7327904,1.6850507,0.21899223,4.261452,4.261452,4.554091,0.44017097,0.2538763,0.2538763,0.25535423,0.00013538623,65.874374,65.874374,65.29587,1.7894757,1.6389047,1.6389047,1.4883797,0.21302097
2019-04-10,GIANNITSA,13.364767,13.364767,13.487126,0.27247286,176.67407,176.67407,176.29553,81.12962,1.421119,1.421119,1.3748982,0.04585106,10.648088,10.648088,10.734039,0.19906047,0.1426254,0.1426254,0.13859129,0.0002779883,85.36124,85.36124,85.69203,1.308983,1.1452333,1.1452333,1.151875,0.008182814
2019-04-11,GIANNITSA,8.180846,8.180846,8.274638,0.36291975,155.4487,155.4487,156.22052,13.095937,1.9572947,1.9572947,1.9176128,0.2368127,7.0370603,7.0370603,7.160748,0.37827504,0.21516767,0.21516767,0.19992033,0.002992466,97.70452,97.70452,97.33371,3.0259876,3.6253347,3.6253347,3.6464698,0.016158553
2019-04-12,GIANNITSA,7.658111,7.658111,7.4995537,0.4328394,160.60826,160.60826,160.92697,3.900647,1.665928,1.665928,1.699033,0.044306677,6.915146,6.915146,6.842624,0.17992344,0.25675154,0.25675154,0.26076877,0.0008903468,85.76179,85.76179,85.756805,9.726333,0.85351884,0.85351884,0.7903658,0.08064507
2019-04-13,GIANNITSA,11.661015,11.661015,11.675225,0.46198064,161.05762,161.05762,161.07239,4.652538,0.9865023,0.9865023,0.8701811,0.088222936,10.030099,10.030099,10.088676,0.33076406,0.11860734,0.11860734,0.11997159,4.6942496e-05,84.13205,84.13205,85.54257,6.9438443,2.4274414,2.4274414,2.3810573,0.06552842
2019-04-14,GIANNITSA,9.997631,9.997631,10.172681,0.15393502,185.04997,185.04997,184.64395,56.03338,2.005098,2.005098,2.0335588,0.28621352,9.510481,9.510481,9.59889,0.06933751,0.17822312,0.17822312,0.17759295,0.00100448,79.823975,79.823975,78.48226,34.70353,1.38499,1.38499,1.1971793,0.13900949
2019-04-15,GIANNITSA,8.578384,8.578384,8.947384,0.7605171,182.07327,182.07327,181.37476,82.58086,1.6563977,1.6563977,1.6083596,0.45637733,8.2840805,8.2840805,8.685059,0.6218194,0.24644089,0.24644089,0.2486107,0.0009897093,79.58511,79.58511,79.81648,4.028076,1.9945645,1.9945645,2.013536,0.089940734
2019-04-16,GIANNITSA,14.391078,14.391078,14.425646,3.8334644,197.33325,197.33325,197.12401,29.340199,1.4480375,1.4480375,1.4234366,0.018352963,13.347184,13.347184,13.785991,3.5811157,0.19746482,0.19746482,0.18734358,0.0008857987,85.006645,85.006645,85.11586,0.5497001,2.0626593,2.0626593,2.0059972,0.32665473
2019-04-17,GIANNITSA,8.240277,8.240277,8.356636,1.0576361,153.0867,153.0867,152.77313,13.184244,0.93366027,0.93366027,0.8783659,0.047805257,6.7744646,6.7744646,6.576192,0.34190503,0.14347987,0.14347987,0.14335287,2.0477462e-05,101.228745,101.228745,101.2724,0.8268951,1.5556409,1.5556409,1.5949197,0.037250876
2019-04-18,GIANNITSA,13.690615,13.690615,14.2087555,2.214154,179.2221,179.2221,175.02751,99.60284,1.3475674,1.3475674,1.3430359,0.029705632,12.643951,12.643951,12.816768,1.2573057,0.1757412,0.1757412,0.17087665,0.0009860611,93.19848,93.19848,94.26793,13.3635435,2.3457701,2.3457701,2.3969326,0.16736478
2019-04-19,GIANNITSA,8.092042,8.092042,8.245348,0.26602152,162.45526,162.45526,162.62772,8.285148,0.75470114,0.75470114,0.74179244,0.009084817,7.2556257,7.2556257,7.254141,0.14763935,0.13596174,0.13596174,0.13710216,0.00020586426,85.38144,85.38144,85.428345,0.5651958,0.78281736,0.78281736,0.7768612,0.00028989377
2019-04-20,GIANNITSA,10.183844,10.183844,10.095751,0.09911318,164.31339,164.31339,164.02757,4.7613564,0.960539,0.960539,0.96262616,0.0060144593,7.8345556,7.8345556,7.7766466,0.38580152,0.1505418,0.1505418,0.15029755,7.434908e-05,89.09943,89.09943,89.33984,0.5839945,1.3919888,1.3919888,1.3842012,0.0038773948
2019-04-21,GIANNITSA,9.131357,9.131357,9.116805,0.0040317457,166.16301,166.16301,165.34848,22.287848,0.97095525,0.97095525,0.9344405,0.032126132,7.868365,7.868365,7.8539267,0.098175526,0.12831046,0.12831046,0.12181166,0.00032869956,95.65202,95.65202,95.770676,0.9195599,1.5475959,1.5475959,1.5719976,0.015695583
2019-04-22,GIANNITSA,9.138721,9.138721,9.125335,0.089983046,157.66306,157.66306,157.59079,1.336659,1.635091,1.635091,1.6011004,0.022270413,7.322049,7.322049,7.2226934,0.08542992,0.17753,0.17753,0.17301539,0.00029407808,97.34445,97.34445,97.34476,0.22199048,1.1599965,1.1599965,1.1598544,0.0030098993
2019-04-23,GIANNITSA,16.657248,16.657248,16.607239,0.6438934,166.51477,166.51477,166.33887,1.9621047,1.4017026,1.4017026,1.4104886,0.006472417,14.669432,14.669432,14.595919,0.3556067,0.14572956,0.14572956,0.14469793,0.00025403127,101.64015,101.64015,101.44119,0.18818486,2.7169166,2.7169166,2.7240644,0.0006120233
2019-04-24,GIANNITSA,32.758125,32.758125,32.760864,3.3047214,157.53592,157.53592,157.59033,0.2371083,1.2966819,1.2966819,1.3103758,0.0107381465,22.861889,22.861889,22.928892,0.30767098,0.1436476,0.1436476,0.13639829,0.00039293955,98.71996,98.71996,98.93272,0.72928154,1.7528948,1.7528948,1.7799948,0.019921176
2019-04-25,GIANNITSA,82.85425,82.85425,83.372375,3.775518,164.26053,164.26053,163.5167,16.36713,1.9651942,1.9651942,1.9342679,0.05345931,40.6668,40.6668,40.773613,7.461418,0.1966278,0.1966278,0.1890392,0.0011937341,91.97179,91.97179,91.65248,4.7573004,1.5522254,1.5522254,1.4814925,0.0706263
2019-04-26,GIANNITSA,79.45804,79.45804,79.829315,1.5855317,175.51674,175.51674,174.96008,1.0949571,2.012496,2.012496,2.0171428,0.06616609,50.6577,50.6577,50.66841,0.87699544,0.22134936,0.22134936,0.21718113,0.0013607537,109.43207,109.43207,109.523544,0.11414018,3.6559591,3.6559591,3.6441534,0.0023794544
2019-04-27,GIANNITSA,71.103035,71.103035,71.22621,4.20169,158.59839,158.59839,158.07039,15.626953,1.50769,1.50769,1.5224444,0.09333288,35.541573,35.541573,35.772034,1.4846772,0.18091753,0.18091753,0.17545612,0.00049879134,84.80057,84.80057,84.41903,1.1062393,1.2121913,1.2121913,1.1719799,0.037810944
2019-04-28,GIANNITSA,8.406285,8.406285,8.727486,0.3528837,142.28775,142.28775,142.8788,2.7396936,0.8031162,0.8031162,0.7913274,0.022002108,5.915461,5.915461,5.8842793,0.13710739,0.13093531,0.13093531,0.128279,0.0001831197,99.84356,99.84356,100.0181,2.753925,1.6729835,1.6729835,1.5700011,0.28045893
2019-04-29,GIANNITSA,14.787596,14.787596,14.795383,2.012059,146.56137,146.56137,146.43576,0.08662763,1.4915801,1.4915801,1.4745361,0.0065062763,11.378679,11.378679,11.52216,0.25947285,0.17871572,0.17871572,0.16370906,0.0010032868,108.12652,108.12652,107.556595,3.598217,2.331312,2.331312,2.3008013,0.6847293
2019-04-30,GIANNITSA,6.4097743,6.4097743,6.5904584,0.4709158,140.89264,140.89264,141.05022,2.04304,1.1976299,1.1976299,1.2191434,0.04057593,4.9519477,4.9519477,4.979663,0.4627627,0.1412234,0.1412234,0.14295846,0.0007249068,107.87673,107.87673,107.23526,9.884983,2.3393698,2.3393698,2.4105449,0.12642615
2019-05-01,GIANNITSA,7.7403035,7.7403035,7.650129,0.47691858,167.27402,167.27402,169.00113,23.8552,1.7577689,1.7577689,1.7469589,0.07051594,6.3136845,6.3136845,6.2873096,0.3294388,0.21017927,0.21017927,0.21325192,0.00020739966,94.30792,94.30792,94.59883,2.6147344,5.1412334,5.1412334,5.083908,0.075370796
2019-05-02,GIANNITSA,9.672575,9.672575,9.659067,0.13030255,152.27744,152.27744,153.11488,10.2405405,0.83938724,0.83938724,0.84008884,0.0032798094,8.273192,8.273192,8.240601,0.089688845,0.12414661,0.12414661,0.12361702,1.40232105e-05,96.21656,96.21656,96.20929,0.7982401,1.3305126,1.3305126,1.250271,0.036689125
2019-05-03,GIANNITSA,15.020259,15.020259,14.726208,1.18178,175.40714,175.40714,174.43433,11.296178,2.253901,2.253901,2.2960017,0.06694929,12.879019,12.879019,12.730139,1.0382643,0.17889076,0.17889076,0.17972876,2.6738266e-05,101.27279,101.27279,101.42628,1.9740778,3.1718414,3.1718414,3.1713867,0.102274396
2019-05-04,GIANNITSA,10.012306,10.012306,9.8939295,0.24591306,153.87537,153.87537,153.77441,2.332517,1.0711825,1.0711825,1.0802286,0.010653229,8.584966,8.584966,8.484289,0.20758186,0.16737524,0.16737524,0.1642575,0.00045565155,101.2848,101.2848,101.257965,4.119148,1.0235244,1.0235244,1.0241088,0.0003832096
2019-05-05,GIANNITSA,40.894737,40.894737,41.000237,6.079657,140.15186,140.15186,140.22154,13.005501,0.8511689,0.8511689,0.79845285,0.028320482,20.744926,20.744926,20.544333,5.585972,0.14254554,0.14254554,0.13657519,0.0003247024,81.245026,81.245026,81.16777,0.8552052,0.58613384,0.58613384,0.548205,0.015092053
2019-05-06,GIANNITSA,6.0173054,6.0173054,5.807038,0.20214307,144.07767,144.07767,144.3822,7.50552,1.1213458,1.1213458,1.1376171,0.044607222,4.6405764,4.6405764,4.6563077,0.0030072986,0.19573541,0.19573541,0.19259259,0.00046540308,99.178986,99.178986,99.651184,0.80828923,3.73312,3.73312,3.710633,0.13329527
2019-05-07,GIANNITSA,4.6799445,4.6799445,4.61115,0.10002832,152.6438,152.6438,152.68471,3.921751,0.9991728,0.9991728,1.00682,0.029394453,4.4321585,4.4321585,4.3327093,0.10518599,0.21061753,0.21061753,0.20884828,0.0008463529,81.85208,81.85208,82.16501,8.171478,2.3586287,2.3586287,2.385228,0.015083416
2019-05-08,GIANNITSA,10.778671,10.778671,10.729803,1.0028425,150.62433,150.62433,150.46164,16.680017,1.0572948,1.0572948,1.0410643,0.03412401,8.681505,8.681505,8.744146,0.09706602,0.15644109,0.15644109,0.15109336,0.0003759151,93.33281,93.33281,93.586075,3.4683974,2.480789,2.480789,2.4832048,0.012963522
2019-05-09,GIANNITSA,11.864086,11.864086,11.867752,0.0071605872,174.783,174.783,176.07037,31.403137,1.5740907,1.5740907,1.5883069,0.022536334,10.666834,10.666834,10.782505,0.25661322,0.17458315,0.17458315,0.1741284,0.0004574438,82.07012,82.07012,82.031586,6.2880344,1.4609647,1.4609647,1.4580017,0.0006293233
2019-05-10,GIANNITSA,7.4722133,7.4722133,7.415146,0.4204576,140.98322,140.98322,140.67636,9.529458,0.8300353,0.8300353,0.7994145,0.01831545,5.7513103,5.7513103,5.777604,0.088655725,0.11143303,0.11143303,0.111481875,0.00021839805,90.095695,90.095695,90.55287,2.477061,1.617737,1.617737,1.5777531,0.01633358
2019-05-11,GIANNITSA,4.9550223,4.9550223,4.989505,0.019079046,138.95653,138.95653,137.94566,6.0278554,0.6349149,0.6349149,0.61816734,0.009911826,4.0806026,4.0806026,4.0634356,0.002250111,0.107519336,0.107519336,0.10635494,0.00013536256,93.72085,93.72085,94.86079,14.429952,1.2410215,1.2410215,1.2645813,0.009928133
2019-05-12,GIANNITSA,11.5328,11.5328,11.5507765,0.17706256,168.1072,168.1072,168.42227,2.8923802,1.0113361,1.0113361,1.0138389,0.010179675,9.49669,9.49669,9.507433,0.13241068,0.10716716,0.10716716,0.10468115,0.0001082033,98.13396,98.13396,98.08759,0.4700854,1.0674212,1.0674212,1.0582126,0.002962228
2019-05-13,GIANNITSA,12.643984,12.643984,12.734074,0.35205445,161.92465,161.92465,161.45293,12.704107,1.1947628,1.1947628,1.2096132,0.0065200063,10.181688,10.181688,10.221796,0.063370876,0.1782241,0.1782241,0.1750653,0.00052706257,84.81151,84.81151,85.302444,3.5316906,1.9675301,1.9675301,1.9501911,0.04575906
2019-05-14,GIANNITSA,17.09945,17.09945,17.31356,0.75368583,145.35303,145.35303,145.49515,0.2901827,1.5433698,1.5433698,1.5602844,0.014241423,14.345003,14.345003,14.438795,0.42162445,0.21596053,0.21596053,0.21046492,0.0017137905,87.1405,87.1405,86.82671,1.7394476,1.2120669,1.2120669,1.2058549,0.019701608
2019-05-15,GIANNITSA,11.613783,11.613783,11.470104,0.5526043,144.39316,144.39316,144.28969,2.6977453,1.7958097,1.7958097,1.8970213,0.07872428,10.699947,10.699947,10.545559,0.7275319,0.20614387,0.20614387,0.21190216,0.00037966087,98.472435,98.472435,98.785774,1.1216424,5.558186,5.558186,5.5676003,1.5254054
2019-05-16,GIANNITSA,4.5762215,4.5762215,4.5749354,0.26534492,147.40607,147.40607,146.98389,16.407593,1.1271455,1.1271455,1.1350459,0.07519598,4.2402425,4.2402425,4.0927105,0.37765148,0.13504313,0.13504313,0.1275127,0.0005282967,88.714066,88.714066,88.82582,10.704927,0.6032119,0.6032119,0.5570799,0.016767027
2019-05-17,GIANNITSA,5.5953236,5.5953236,5.551568,0.29732478,145.48242,145.48242,145.6943,16.673445,0.919647,0.919647,0.8736713,0.05050007,4.824805,4.824805,4.922796,0.19783293,0.1380554,0.1380554,0.12303896,0.0020982295,89.04984,89.04984,88.93806,4.717202,0.73762584,0.73762584,0.75879294,0.016420277
