Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,KARDITSA,16.35396,16.35396,16.253235,0.4381391,175.45862,175.45862,175.77563,1.8174859,1.0809993,1.0809993,1.0695604,0.0074631358,10.898785,10.898785,10.936443,0.11737853,0.15956037,0.15956037,0.16029933,0.00043430546,99.7704,99.7704,100.49343,3.9940546,1.5248816,1.5248816,1.5060735,0.1032829
2019-04-02,KARDITSA,21.610653,21.610653,21.550123,0.06935011,168.4977,168.4977,168.76637,1.8563439,0.9449348,0.9449348,0.92811096,0.008909908,14.9106655,14.9106655,14.93022,0.021752128,0.14509283,0.14509283,0.14762236,0.00019878431,94.86666,94.86666,94.57356,0.56070375,1.8510811,1.8510811,1.8587656,0.0023942364
2019-04-03,KARDITSA,13.260545,13.260545,13.097717,0.11859228,167.22607,167.22607,167.07236,5.8426957,1.1783766,1.1783766,1.1950476,0.004000282,7.727019,7.727019,7.7010093,0.117400534,0.14674994,0.14674994,0.14648527,6.836902e-05,88.65812,88.65812,88.7225,0.7727603,1.1808438,1.1808438,1.1727011,0.0064788708
2019-04-04,KARDITSA,13.40424,13.40424,13.468813,0.015884291,175.60858,175.60858,174.53963,17.025118,1.3499956,1.3499956,1.3456756,0.01809635,8.563007,8.563007,8.56828,0.032062247,0.15055157,0.15055157,0.14767033,9.986824e-05,85.20538,85.20538,85.13249,0.33729854,1.1064146,1.1064146,1.1222453,0.004474122
2019-04-05,KARDITSA,20.451174,20.451174,20.43753,0.3479731,203.58835,203.58835,204.505,93.722176,2.2887642,2.2887642,2.2300432,0.047023293,15.35092,15.35092,15.529053,0.15822418,0.19537702,0.19537702,0.20006038,0.0003590645,81.386154,81.386154,82.8091,12.496517,1.0748628,1.0748628,1.0570389,0.04037054
2019-04-06,KARDITSA,13.727663,13.727663,13.707726,0.24676533,180.86105,180.86105,181.50287,4.948697,2.2034206,2.2034206,2.2799346,0.1360885,11.052707,11.052707,11.024359,0.7032497,0.15020695,0.15020695,0.15769252,0.00046318365,86.65021,86.65021,87.76517,12.635563,1.0604815,1.0604815,1.0549926,0.02245753
2019-04-07,KARDITSA,20.028374,20.028374,20.245907,6.637746,160.22313,160.22313,160.15363,1.8801816,1.049095,1.049095,1.0713315,0.009615972,15.153616,15.153616,15.657044,3.0434747,0.13659562,0.13659562,0.13978863,8.830108e-05,87.91986,87.91986,88.87053,18.328583,1.3648602,1.3648602,1.3727543,0.0038828747
2019-04-08,KARDITSA,3.3303282,3.3303282,2.9758525,0.53882045,137.67723,137.67723,138.74472,21.537523,0.9621848,0.9621848,0.9904449,0.030150795,2.6843772,2.6843772,2.4847999,0.25939205,0.14086209,0.14086209,0.13817313,0.00018589682,83.11267,83.11267,83.07687,0.15564585,0.25525853,0.25525853,0.26100153,0.0020975587
2019-04-09,KARDITSA,2.2356286,2.2356286,2.2426097,0.0011170738,160.87732,160.87732,161.0599,0.7666938,1.1730924,1.1730924,1.1619847,0.0056998325,2.057075,2.057075,2.066092,0.00063354796,0.18911523,0.18911523,0.19146223,0.00033384288,74.7105,74.7105,74.388504,0.3853206,0.20684487,0.20684487,0.19088963,0.0008985126
2019-04-10,KARDITSA,6.1399727,6.1399727,6.085744,0.03131757,165.70871,165.70871,165.62753,0.14295122,0.8078656,0.8078656,0.8364916,0.0071389363,5.7779417,5.7779417,5.8210626,0.020999998,0.10649519,0.10649519,0.107275896,5.3889064e-05,74.65482,74.65482,74.431305,4.1526814,0.29416645,0.29416645,0.29909942,0.00093953026
