Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,KATERINH,26.637333,26.637333,26.73708,3.338216,333.40842,333.40842,332.78635,22.135666,6.351044,6.351044,6.550984,5.2492204,23.718485,23.718485,23.498108,3.5517616,1.0155563,1.0155563,1.0038406,0.10888694,106.16545,106.16545,109.358986,61.449394,3.3798585,3.3798585,3.3305697,0.019798711
2019-04-02,KATERINH,29.839006,29.839006,29.971624,3.5025082,267.94537,267.94537,274.00928,334.59842,2.4402437,2.4402437,2.359723,0.20696267,24.1125,24.1125,25.085678,6.5494256,0.369885,0.369885,0.35980994,0.0035149,95.272766,95.272766,95.74797,6.5754237,3.0999434,3.0999434,3.0057306,0.23250318
2019-04-03,KATERINH,13.731896,13.731896,13.71473,0.20763001,165.16382,165.16382,164.91635,0.8936403,2.0177727,2.0177727,2.1064572,0.0338135,9.566128,9.566128,9.5170145,0.05404219,0.24141644,0.24141644,0.24654123,0.0005095119,89.34286,89.34286,89.344536,2.0037677,1.4364225,1.4364225,1.4444978,0.004667559
2019-04-04,KATERINH,17.72063,17.72063,17.702427,0.289096,189.63605,189.63605,190.14285,1.5527645,1.5490986,1.5490986,1.5553817,0.00065838447,11.417215,11.417215,11.418125,0.13373458,0.28007728,0.28007728,0.271287,0.0008393772,87.35681,87.35681,86.4764,2.9715962,1.3031656,1.3031656,1.3193464,0.0072621894
2019-04-05,KATERINH,22.793634,22.793634,22.63129,0.8450026,187.92395,187.92395,187.61685,2.836352,1.9703025,1.9703025,1.908288,0.03424612,16.858223,16.858223,16.91957,0.28165862,0.25874013,0.25874013,0.2533049,0.0019865255,93.839226,93.839226,93.80337,6.38561,1.8888927,1.8888927,1.914053,0.096716754
2019-04-06,KATERINH,24.171179,24.171179,24.25667,0.16536653,180.76602,180.76602,176.71407,56.821564,2.1146445,2.1146445,1.956913,0.34542018,19.825085,19.825085,19.869196,0.13523811,0.3300249,0.3300249,0.32651305,0.010442134,98.21854,98.21854,98.20134,1.091509,3.137547,3.137547,3.1306796,0.25403038
2019-04-07,KATERINH,27.151272,27.151272,27.245064,2.199566,184.422,184.422,183.91714,22.34626,1.4273897,1.4273897,1.3782966,0.041812718,21.236935,21.236935,21.233936,0.8899038,0.23773871,0.23773871,0.24630785,0.003570059,99.31962,99.31962,99.13099,7.1729817,3.0839863,3.0839863,3.1268144,0.15308848
2019-04-08,KATERINH,6.3087454,6.3087454,6.1090193,0.46301866,188.80798,188.80798,189.1258,37.342087,4.0619416,4.0619416,3.8258266,0.61444926,5.9262447,5.9262447,5.791904,0.5155118,0.51159084,0.51159084,0.5284165,0.0026112022,77.4888,77.4888,78.03467,5.7395453,0.7312476,0.7312476,0.74837697,0.07436376
2019-04-09,KATERINH,7.7519197,7.7519197,7.694746,0.74602604,163.7266,163.7266,163.50476,2.0058317,4.5018554,4.5018554,4.474389,1.1221968,6.7359014,6.7359014,6.6659966,0.6617092,0.67808723,0.67808723,0.6979282,0.009927916,79.27436,79.27436,79.17641,0.79461807,5.8803234,5.8803234,5.165037,6.0353737
2019-04-10,KATERINH,14.610172,14.610172,14.9525,2.682788,177.36371,177.36371,177.17178,15.047365,4.036149,4.036149,4.0255814,0.021152575,13.93396,13.93396,14.237864,2.899354,0.8253406,0.8253406,0.83651304,0.0009871498,78.26375,78.26375,79.42322,12.626207,3.865079,3.865079,3.699391,0.33385813
2019-04-11,KATERINH,6.4688363,6.4688363,6.3872375,0.36368853,155.99246,155.99246,155.98956,0.18532102,2.2529764,2.2529764,2.1873064,0.15810934,4.9942713,4.9942713,4.940558,0.018595135,0.32558513,0.32558513,0.3017109,0.006312412,89.294975,89.294975,88.87831,1.7418605,0.5838885,0.5838885,0.59588957,0.020244285
2019-04-12,KATERINH,8.691702,8.691702,8.744382,0.36257243,156.57663,156.57663,156.55878,16.987984,2.7994819,2.7994819,2.8071902,0.19720909,6.28925,6.28925,6.374874,0.22714674,0.39280182,0.39280182,0.3717844,0.0026508463,80.4605,80.4605,79.85605,15.116211,0.6103072,0.6103072,0.60327995,0.0157801
2019-04-13,KATERINH,11.082903,11.082903,11.101277,0.21258616,162.67358,162.67358,162.81224,0.86480796,2.1566277,2.1566277,2.1641042,0.17080522,9.691816,9.691816,9.669002,0.5442843,0.30029714,0.30029714,0.28236702,0.008870928,85.050766,85.050766,86.31812,15.02099,3.3996165,3.3996165,3.4456987,0.041161336
2019-04-14,KATERINH,11.712711,11.712711,11.694977,0.2549876,191.78131,191.78131,192.57344,8.8925905,2.5127373,2.5127373,2.385734,0.11975914,11.206359,11.206359,11.188623,0.16358769,0.23653337,0.23653337,0.2379216,0.0005006736,85.860565,85.860565,85.790985,15.382841,1.5130901,1.5130901,1.4631283,0.048315242
2019-04-15,KATERINH,8.492273,8.492273,8.3971815,0.2172731,207.55533,207.55533,206.29398,40.839714,2.7451763,2.7451763,2.5840626,0.6611464,8.152337,8.152337,7.999619,0.20021841,0.46031958,0.46031958,0.36157456,0.031429604,79.3974,79.3974,78.90166,2.86403,1.0735625,1.0735625,1.0521148,0.023114191
2019-04-16,KATERINH,16.537365,16.537365,16.515877,0.14434266,179.34813,179.34813,180.32541,6.3303947,2.326119,2.326119,2.3712795,0.0137342205,13.469146,13.469146,13.526777,0.07185525,0.3925137,0.3925137,0.37821046,0.0017276924,85.19634,85.19634,84.72165,4.580907,2.2598386,2.2598386,2.2767425,0.03605494
2019-04-17,KATERINH,20.887478,20.887478,21.1257,6.3324394,178.95575,178.95575,178.80937,14.391308,2.6036897,2.6036897,2.6112232,0.15106016,16.02743,16.02743,15.964394,6.8194075,0.40109602,0.40109602,0.37225953,0.011215419,99.76896,99.76896,98.85785,3.1595883,2.9222705,2.9222705,2.9486103,0.033891417
2019-04-18,KATERINH,12.335566,12.335566,12.089462,0.9059521,172.42723,172.42723,171.8835,4.281809,2.1004496,2.1004496,2.007411,0.05262835,11.646844,11.646844,11.391277,0.7101022,0.34529,0.34529,0.35196203,0.0043322425,96.787796,96.787796,97.057144,0.54592955,2.663333,2.663333,2.6639972,0.0020647848
2019-04-19,KATERINH,8.805428,8.805428,8.9489,0.8839159,169.34673,169.34673,168.05472,18.295471,1.208189,1.208189,1.2104309,0.041023523,7.5422235,7.5422235,7.572848,0.053390622,0.23548388,0.23548388,0.20570683,0.014235887,86.02263,86.02263,87.01298,4.2721,0.8245529,0.8245529,0.8068497,0.010573914
2019-04-20,KATERINH,9.609342,9.609342,9.582,0.010605071,165.64853,165.64853,165.83627,3.4414508,1.0805887,1.0805887,1.0714031,0.0011254486,7.597519,7.597519,7.591493,0.010359568,0.17809132,0.17809132,0.17673507,0.00015688714,91.37891,91.37891,91.365456,2.2913232,1.2428529,1.2428529,1.2330759,0.005036234
2019-04-21,KATERINH,9.093272,9.093272,9.080312,0.8639197,172.13095,172.13095,172.28986,0.9672651,1.5246723,1.5246723,1.5158705,0.0014506672,7.537969,7.537969,7.4593053,0.89482236,0.23995093,0.23995093,0.24421862,0.00027378384,91.71582,91.71582,91.939804,2.191889,1.9102426,1.9102426,1.8543034,0.1642147
2019-04-22,KATERINH,8.962762,8.962762,8.879146,0.095003754,161.50955,161.50955,161.52725,0.112687245,1.9181018,1.9181018,1.8736858,0.0076302234,7.273412,7.273412,7.2316747,0.008286979,0.23579095,0.23579095,0.2470415,0.00051546464,97.574875,97.574875,97.798416,1.1105554,1.0318714,1.0318714,1.0072441,0.00940385
2019-04-23,KATERINH,16.85951,16.85951,16.765491,0.120248236,167.43764,167.43764,166.95389,0.9412465,1.7806333,1.7806333,1.7473605,0.018112835,12.186333,12.186333,12.096798,0.10253374,0.17120785,0.17120785,0.17283899,2.291437e-05,105.371,105.371,105.772675,3.2956064,2.6059833,2.6059833,2.5960035,0.02772328
2019-04-24,KATERINH,29.871052,29.871052,29.385475,1.1427448,165.2111,165.2111,165.16302,1.0810935,2.2206414,2.2206414,2.2037306,0.08048316,24.791288,24.791288,24.690939,2.2364094,0.37274477,0.37274477,0.38029385,0.009252035,96.78653,96.78653,96.37138,1.8085399,1.5147581,1.5147581,1.484107,0.009020912
2019-04-25,KATERINH,57.61024,57.61024,56.302544,76.575424,174.88005,174.88005,173.66916,62.153427,3.226358,3.226358,3.2851872,0.093926296,33.970123,33.970123,34.21093,19.827953,0.40909472,0.40909472,0.4009124,0.008125667,82.79826,82.79826,83.238464,2.7824752,1.0012048,1.0012048,0.9844183,0.024126898
2019-04-26,KATERINH,85.02765,85.02765,85.981735,21.65183,168.0643,168.0643,167.8097,2.1013875,3.0942633,3.0942633,3.0182228,0.08685727,42.528313,42.528313,42.55746,0.085946485,0.49791926,0.49791926,0.48070368,0.002508484,95.71626,95.71626,96.211334,2.3889852,1.9566003,1.9566003,1.9948701,0.104016334
2019-04-27,KATERINH,87.94376,87.94376,87.22344,7.783771,162.472,162.472,163.07965,7.518423,1.8699903,1.8699903,1.7932606,0.04967985,39.528423,39.528423,39.314957,3.2786784,0.24871175,0.24871175,0.25455195,0.00077596563,81.47659,81.47659,81.36619,16.690014,1.2974528,1.2974528,1.2938521,0.07155823
2019-04-28,KATERINH,12.252893,12.252893,12.136898,1.008206,148.81596,148.81596,149.80264,3.2070918,1.9874489,1.9874489,1.9381132,0.081587,10.17379,10.17379,10.079721,0.6202224,0.35223964,0.35223964,0.37375462,0.0069307163,102.49756,102.49756,101.693924,2.6877751,2.1823683,2.1823683,2.1625369,0.0034934573
2019-04-29,KATERINH,16.730377,16.730377,16.537884,5.567385,150.37769,150.37769,149.75769,2.7206166,1.971669,1.971669,1.996007,0.009796597,13.847349,13.847349,13.885104,0.88299024,0.33846262,0.33846262,0.32559913,0.0015845355,96.776146,96.776146,97.01692,33.007553,0.77311313,0.77311313,0.76369846,0.0026345835
2019-04-30,KATERINH,9.057367,9.057367,8.962421,0.42367914,141.98293,141.98293,142.2828,0.36153916,2.305684,2.305684,2.2409961,0.17779882,6.8243985,6.8243985,6.605068,1.5322496,0.46628428,0.46628428,0.3992832,0.031540602,93.92067,93.92067,95.34982,16.787357,0.6724257,0.6724257,0.6746248,0.07380338
