Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,KILKIS,17.718601,17.718601,17.739063,0.81312,187.2031,187.2031,186.11707,379.58905,2.0441196,2.0441196,2.0269175,0.8262507,14.224863,14.224863,14.263971,0.47397935,0.23586868,0.23586868,0.22855364,0.010976331,104.42734,104.42734,104.42734,15.603504,3.4875302,3.4875302,3.4356909,0.09511188
2019-04-02,KILKIS,26.640308,26.640308,26.87783,6.5906544,198.73102,198.73102,198.50601,63.73395,3.3282018,3.3282018,3.1732306,0.2458427,21.450842,21.450842,21.472216,0.035040013,0.28099033,0.28099033,0.28738967,0.0015629592,101.078766,101.078766,100.86889,0.47189045,7.00296,7.00296,6.9706516,0.6481768
2019-04-03,KILKIS,13.7682495,13.7682495,13.797409,1.019889,184.75623,184.75623,184.8807,9.878359,3.104283,3.104283,3.1298625,0.14377442,9.661758,9.661758,9.605519,0.29759744,0.34341264,0.34341264,0.33025736,0.004786237,92.02346,92.02346,91.4527,1.4959999,4.4342413,4.4342413,4.353922,0.11390482
2019-04-04,KILKIS,16.543106,16.543106,16.697918,0.20885551,180.29495,180.29495,180.43735,23.818092,1.8572308,1.8572308,1.7972006,0.118671715,10.598869,10.598869,10.630915,0.07452821,0.2701439,0.2701439,0.260675,0.003738629,91.17705,91.17705,91.32294,0.77269787,3.8300366,3.8300366,3.7310421,0.27209553
2019-04-05,KILKIS,14.42941,14.42941,14.317541,0.22537278,185.1417,185.1417,185.0411,58.15512,1.9944575,1.9944575,2.089139,0.23550783,12.1004,12.1004,12.07806,0.29538897,0.20005105,0.20005105,0.21355182,0.002289276,95.91869,95.91869,95.98613,0.094142705,3.957066,3.957066,4.107974,0.5616344
2019-04-06,KILKIS,16.605474,16.605474,16.640987,1.136236,155.06569,155.06569,155.24579,0.1649637,0.6778082,0.6778082,0.6942626,0.0074786055,14.55514,14.55514,14.491268,0.6490654,0.06227374,0.06227374,0.06362644,3.0142024e-05,98.79471,98.79471,97.99004,3.796954,2.7865674,2.7865674,2.773291,0.01603983
2019-04-07,KILKIS,23.39763,23.39763,23.755674,3.9674735,189.80432,189.80432,188.2907,52.791504,1.7584494,1.7584494,1.5871038,0.5367603,22.359346,22.359346,22.516148,4.5488796,0.16312197,0.16312197,0.1505196,0.0056820787,97.17476,97.17476,96.67651,19.86618,3.4204247,3.4204247,3.1092358,1.9731269
2019-04-08,KILKIS,6.7803974,6.7803974,6.9384785,1.9253875,176.0286,176.0286,176.77715,14.069181,0.994058,0.994058,0.9877626,0.041728344,5.329177,5.329177,5.3801374,0.93214744,0.16631417,0.16631417,0.16205803,0.0016631571,72.152405,72.152405,71.86043,0.74619794,0.3776513,0.3776513,0.38387567,0.0026082646
2019-04-09,KILKIS,6.1225853,6.1225853,6.08379,0.31452602,171.15942,171.15942,171.17932,5.701065,1.5711153,1.5711153,1.5656582,0.009855235,5.8308706,5.8308706,5.767984,0.26610518,0.2730743,0.2730743,0.27776122,0.00039150883,70.20334,70.20334,70.17653,4.072672,1.5107601,1.5107601,1.5251431,0.0036476972
2019-04-10,KILKIS,13.598678,13.598678,14.237701,3.7760193,168.75223,168.75223,168.15079,11.382997,0.92612123,0.92612123,0.9226946,0.03058184,11.778425,11.778425,11.805786,1.6112273,0.12068695,0.12068695,0.12260674,0.0006626884,86.66777,86.66777,87.38591,3.1571715,1.8241799,1.8241799,1.8091412,0.14369217
2019-04-11,KILKIS,9.4139,9.4139,9.476961,0.017831279,155.75533,155.75533,156.33253,5.2618513,1.5820802,1.5820802,1.5874164,0.18469098,7.7272425,7.7272425,7.768454,0.009187697,0.21956152,0.21956152,0.22340909,0.005757587,101.85803,101.85803,102.8899,11.918564,3.6578383,3.6578383,3.6860967,0.29889596
2019-04-12,KILKIS,8.656153,8.656153,8.53311,0.10590967,183.1137,183.1137,184.09749,8.087098,1.8450444,1.8450444,1.8097551,0.10356766,7.2025747,7.2025747,7.186655,0.1794627,0.3188767,0.3188767,0.30876103,0.0027127678,92.43664,92.43664,92.01229,5.222191,2.3045964,2.3045964,2.342319,0.43917638
2019-04-13,KILKIS,8.14451,8.14451,8.181345,0.28226355,163.78133,163.78133,163.10315,11.5858555,0.63612473,0.63612473,0.64877594,0.0095199905,7.045351,7.045351,7.003756,0.12567018,0.08933076,0.08933076,0.092824414,0.00016147773,80.61946,80.61946,81.21362,5.151372,1.2141755,1.2141755,1.2332748,0.007473582
2019-04-14,KILKIS,4.6474013,4.6474013,4.3915205,0.48245698,173.85669,173.85669,172.7726,59.17109,2.4447012,2.4447012,2.6175132,0.89418215,4.5605035,4.5605035,4.319665,0.40264314,0.20413217,0.20413217,0.1742836,0.0116882725,74.07725,74.07725,74.09578,11.779255,1.4005792,1.4005792,1.287475,0.6561858
2019-04-15,KILKIS,7.327289,7.327289,7.411545,0.12712434,185.41681,185.41681,186.80728,7.416525,1.0909104,1.0909104,1.1301644,0.014250941,7.0386243,7.0386243,6.93119,0.1033773,0.18279536,0.18279536,0.19207282,0.0003805173,71.985634,71.985634,71.92631,0.8037788,2.2157032,2.2157032,2.3067842,0.05909519
2019-04-16,KILKIS,13.255098,13.255098,13.209623,0.28617904,187.30116,187.30116,187.69482,9.309877,1.5142822,1.5142822,1.4950008,0.14723653,13.110514,13.110514,13.065649,0.27956516,0.1991035,0.1991035,0.19358926,0.002083253,90.336914,90.336914,90.33272,3.858554,2.7592487,2.7592487,2.8261766,0.19799247
2019-04-17,KILKIS,6.0684752,6.0684752,6.069093,0.0014818101,157.77509,157.77509,158.29617,8.22083,0.70014393,0.70014393,0.69417894,0.0011136606,5.9655156,5.9655156,5.9708447,0.0015361033,0.110254005,0.110254005,0.1124105,6.6420725e-05,103.8622,103.8622,103.96977,4.7519546,1.2588739,1.2588739,1.2850307,0.011285014
2019-04-18,KILKIS,13.40016,13.40016,13.56131,0.10191721,182.42932,182.42932,182.0567,32.506233,1.4013181,1.4013181,1.4478552,0.11256859,11.689641,11.689641,11.759153,0.19253674,0.16564083,0.16564083,0.16439116,0.00082194945,101.51458,101.51458,101.43057,2.996549,3.514874,3.514874,3.3884063,0.20295934
