Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,LARISA,15.854118,15.854118,15.858969,0.17611368,181.78029,181.78029,179.26154,25.326338,1.4782237,1.4782237,1.6051942,0.16610673,10.711877,10.711877,10.527216,0.20650582,0.2208971,0.2208971,0.2405245,0.0024956611,101.1405,101.1405,101.02448,0.6599061,2.567853,2.567853,2.5891113,0.020897642
2019-04-02,LARISA,21.82588,21.82588,21.635231,0.30245048,175.95824,175.95824,175.02841,17.595654,1.2282346,1.2282346,1.2004762,0.06984348,15.711173,15.711173,15.703291,0.03889556,0.18271369,0.18271369,0.19616663,0.00168932,95.294556,95.294556,95.49649,0.87878674,1.8632455,1.8632455,1.8046186,0.021464968
2019-04-03,LARISA,11.994213,11.994213,12.562038,2.0353081,171.32225,171.32225,169.22446,57.999496,1.5928296,1.5928296,1.5025208,0.13677184,6.747399,6.747399,6.767825,0.028522847,0.18071063,0.18071063,0.20223534,0.0022088017,89.27844,89.27844,89.32556,0.16622055,1.5089417,1.5089417,1.5106707,0.018719472
2019-04-04,LARISA,14.96948,14.96948,15.013136,0.10373944,167.95941,167.95941,168.30777,11.031062,1.4836973,1.4836973,1.4325892,0.023885867,8.6621475,8.6621475,8.829178,0.09486961,0.22836904,0.22836904,0.22837731,0.0010959877,86.06329,86.06329,86.383606,0.74727035,1.3996555,1.3996555,1.3814301,0.0015473379
2019-04-05,LARISA,16.662521,16.662521,16.654034,0.061557055,187.57884,187.57884,188.79776,23.649567,1.5538859,1.5538859,1.5470517,0.021397,12.352027,12.352027,12.149527,0.37364733,0.18428634,0.18428634,0.20315835,0.0021219032,99.3534,99.3534,99.40192,1.2263845,1.7376584,1.7376584,1.7145822,0.015421272
2019-04-06,LARISA,19.228868,19.228868,19.322462,0.76431435,176.90729,176.90729,176.76666,7.159823,1.3132406,1.3132406,1.2794728,0.037903946,16.718025,16.718025,16.784565,1.3793641,0.15583593,0.15583593,0.161414,0.0013010369,100.5669,100.5669,101.01421,1.3117546,3.2479784,3.2479784,3.2198954,0.055711936
2019-04-07,LARISA,19.25268,19.25268,19.112492,0.423426,166.59207,166.59207,166.43071,3.915631,1.182542,1.182542,1.2576144,0.08410955,17.421095,17.421095,17.114784,0.77874464,0.14708234,0.14708234,0.16242296,0.00082176854,95.352295,95.352295,95.01496,0.7197127,1.6052108,1.6052108,1.6186802,0.01682164
2019-04-08,LARISA,11.042478,11.042478,10.888712,5.3728013,186.35052,186.35052,183.92433,133.55515,2.6576552,2.6576552,2.386132,0.22830932,9.258807,9.258807,9.181299,3.6038973,0.26742443,0.26742443,0.26823533,0.0031527502,82.99494,82.99494,81.73436,9.49735,0.69103974,0.69103974,0.6177686,0.018618112
2019-04-09,LARISA,4.436479,4.436479,4.4094095,0.32903722,167.10855,167.10855,167.08759,29.612932,3.3608491,3.3608491,3.5576897,0.46521106,3.9346972,3.9346972,3.8365831,0.13491556,0.4966735,0.4966735,0.4879575,0.0040570046,65.79489,65.79489,65.18378,19.014677,2.5082414,2.5082414,2.1666036,2.0650876
2019-04-10,LARISA,6.3217454,6.3217454,6.006298,0.6663862,165.85017,165.85017,165.09055,14.466653,1.882298,1.882298,1.8837179,0.23829146,5.367497,5.367497,5.083537,0.69339734,0.2723095,0.2723095,0.26359528,0.0030162001,82.67248,82.67248,82.7787,7.73196,0.9542778,0.9542778,0.6402843,0.84120625
2019-04-11,LARISA,4.1549206,4.1549206,4.1842995,0.009121547,143.46446,143.46446,143.70773,4.2522573,1.088086,1.088086,1.1117827,0.045664024,3.5424824,3.5424824,3.5443628,0.008641024,0.14619382,0.14619382,0.13491455,0.0008107938,90.346405,90.346405,90.61322,1.5703635,0.2497013,0.2497013,0.26753354,0.0016431935
2019-04-12,LARISA,3.8036797,3.8036797,3.814878,0.014320905,136.43616,136.43616,136.1785,9.592439,1.5653185,1.5653185,1.561353,0.1759211,3.1301734,3.1301734,3.0967212,0.019292327,0.21691597,0.21691597,0.21453463,0.0022984112,78.80224,78.80224,78.6552,1.0226077,0.15196212,0.15196212,0.15593642,0.00085742766
2019-04-13,LARISA,5.147138,5.147138,4.997204,0.32116,144.27962,144.27962,143.86328,5.697121,1.2357755,1.2357755,1.2079945,0.03842855,3.926959,3.926959,3.6172953,0.74737173,0.15891822,0.15891822,0.16062085,0.0006998782,91.59866,91.59866,92.477875,8.465059,0.3076342,0.3076342,0.29583448,0.0043156324
2019-04-14,LARISA,5.528612,5.528612,5.6239567,0.38995746,158.24565,158.24565,159.17218,19.754177,1.7048583,1.7048583,1.745615,0.084519155,5.356285,5.356285,5.445932,0.37635717,0.16775994,0.16775994,0.19027258,0.0016323501,87.01557,87.01557,86.50461,1.3456153,0.38376415,0.38376415,0.3830536,0.0033138795
