Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,NAOUSA,16.681002,16.681002,16.519716,0.52440745,161.13776,161.13776,159.86879,8.118469,1.140575,1.140575,1.1058319,0.010765772,11.445573,11.445573,11.313564,0.17564161,0.17386597,0.17386597,0.175306,4.2059877e-05,101.75683,101.75683,100.85703,8.234254,2.5133057,2.5133057,2.4118094,0.02207899
2019-04-02,NAOUSA,21.03888,21.03888,19.866436,5.927702,186.50972,186.50972,176.97585,1097.7867,0.9427481,0.9427481,0.89426064,0.036403798,17.22822,17.22822,16.932018,0.30528653,0.14842527,0.14842527,0.1450644,0.00013887006,94.65623,94.65623,93.56055,5.074976,2.8806753,2.8806753,2.7120137,0.08231884
2019-04-03,NAOUSA,14.675839,14.675839,14.408107,0.16083576,167.3776,167.3776,166.16736,32.25401,1.738679,1.738679,1.5395898,0.09575609,9.815803,9.815803,10.200386,0.96046233,0.15178265,0.15178265,0.15875722,0.00010304799,79.241066,79.241066,77.49381,6.72151,1.6567913,1.6567913,1.3895373,0.16122107
2019-04-04,NAOUSA,17.693113,17.693113,18.523785,1.8245829,166.63527,166.63527,168.68816,45.73631,1.3588158,1.3588158,1.3160104,0.019899013,10.708171,10.708171,10.785117,0.09913996,0.18575008,0.18575008,0.19281287,0.00011224073,79.34269,79.34269,79.53915,5.5433364,1.6295208,1.6295208,1.4193802,0.12628597
2019-04-05,NAOUSA,14.240405,14.240405,14.878699,1.5938424,187.96855,187.96855,189.60228,111.58512,1.8268102,1.8268102,1.8108869,0.0024090284,13.177516,13.177516,13.79476,1.3066105,0.17248541,0.17248541,0.18239807,0.0010066201,88.630035,88.630035,89.39657,2.4552243,0.62052643,0.62052643,0.61386627,0.0011858859
2019-04-06,NAOUSA,19.494555,19.494555,18.777704,3.6795266,166.20882,166.20882,164.2784,25.683596,0.91252714,0.91252714,0.9434784,0.0046465746,15.338059,15.338059,13.448163,10.33361,0.103000276,0.103000276,0.10163603,1.08912e-05,94.61813,94.61813,94.7432,0.4313028,1.9207913,1.9207913,1.9956304,0.093256176
2019-04-07,NAOUSA,34.979874,34.979874,36.068443,6.975391,180.00208,180.00208,182.55727,44.13599,1.787022,1.787022,1.6038584,0.26768753,31.192505,31.192505,31.82998,4.019417,0.20558369,0.20558369,0.20269653,0.005241805,90.64917,90.64917,90.01151,35.69322,4.1832304,4.1832304,3.9156873,1.9629441
2019-04-08,NAOUSA,15.113736,15.113736,15.77979,1.9793605,187.63634,187.63634,186.24274,90.9031,3.8716805,3.8716805,3.5932732,0.921603,14.490967,14.490967,15.297736,2.0846794,0.7178223,0.7178223,0.52023107,0.1529436,71.00379,71.00379,70.3741,7.8112645,3.3259785,3.3259785,2.66524,2.9260776
2019-04-09,NAOUSA,9.186,9.186,9.282426,0.07677658,163.21092,163.21092,160.90282,18.66452,2.0757995,2.0757995,2.0890226,0.011941162,8.469476,8.469476,8.742387,0.4460648,0.2737585,0.2737585,0.2741552,0.00055659417,71.06762,71.06762,68.54835,35.29906,7.7885633,7.7885633,8.583071,1.3035326
2019-04-10,NAOUSA,11.814866,11.814866,12.210658,0.6158748,165.54213,165.54213,164.90417,105.58178,1.3592237,1.3592237,1.4206785,0.010439771,8.957583,8.957583,8.723282,0.27297112,0.19667935,0.19667935,0.16859041,0.0024830136,75.91301,75.91301,76.21977,9.195338,2.3747902,2.3747902,1.9157227,1.9734198
2019-04-11,NAOUSA,5.8124366,5.8124366,5.8006988,0.17771697,140.45161,140.45161,138.943,4.8934665,1.829105,1.829105,1.6679493,0.1568409,4.7297897,4.7297897,4.623208,0.06954509,0.3633138,0.3633138,0.30763683,0.01005344,91.67324,91.67324,90.47166,5.91834,4.9201627,4.9201627,4.304269,0.81565833
2019-04-12,NAOUSA,6.124521,6.124521,5.831654,0.192977,150.54912,150.54912,152.0644,204.99353,3.8882122,3.8882122,4.1960206,0.3186222,5.924757,5.924757,5.738007,0.13805807,0.9261258,0.9261258,1.0441781,0.03487764,73.50521,73.50521,74.08181,6.7253,4.9540086,4.9540086,4.351137,9.456681
2019-04-13,NAOUSA,11.023667,11.023667,11.037613,0.05621387,159.08195,159.08195,160.1337,6.6512527,4.909921,4.909921,3.5290072,6.8380904,9.76348,9.76348,9.4822855,0.17863356,1.024733,1.024733,0.7091714,0.59324193,74.02646,74.02646,73.03096,13.3146105,10.649478,10.649478,9.058908,19.538591
2019-04-14,NAOUSA,9.761656,9.761656,9.879795,3.940998,170.78052,170.78052,168.3927,13.43179,0.9456232,0.9456232,1.014797,0.015946083,9.34088,9.34088,9.55726,3.2665336,0.11268606,0.11268606,0.11194946,2.1812453e-05,80.05874,80.05874,80.262314,1.0690485,1.5876082,1.5876082,1.5999717,0.0072804964
2019-04-15,NAOUSA,9.6968775,9.6968775,10.043339,0.29902664,191.10298,191.10298,192.92023,26.372286,1.5099198,1.5099198,1.5020376,0.0013551065,9.463584,9.463584,9.8156805,0.26747665,0.21681096,0.21681096,0.21042792,0.00010014316,69.40774,69.40774,68.56782,12.54358,1.0192025,1.0192025,1.0293206,0.1899538
