Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,NIKAIA,15.594533,15.594533,15.805307,0.5001583,179.93651,179.93651,178.51132,42.40672,1.5341337,1.5341337,1.5931435,0.012174176,10.426538,10.426538,10.383158,0.0099992985,0.22469094,0.22469094,0.2405245,0.0010655462,100.701385,100.701385,100.29426,1.1105149,2.516698,2.516698,2.5316353,0.016153945
2019-04-02,NIKAIA,22.43128,22.43128,22.354855,0.6555098,175.12941,175.12941,173.30002,16.33977,1.1336088,1.1336088,1.1122481,0.041173596,15.695106,15.695106,15.703291,0.027616233,0.17755042,0.17755042,0.19616663,0.0016255548,95.10364,95.10364,95.47206,0.46812624,1.7754242,1.7754242,1.7468799,0.011369609
2019-04-03,NIKAIA,10.743465,10.743465,10.146748,1.3761684,170.3657,170.3657,167.9582,53.286705,1.6477416,1.6477416,1.5025208,0.126157,6.703638,6.703638,6.6846704,0.03557191,0.20573655,0.20573655,0.20223534,4.9607675e-05,89.63403,89.63403,89.55672,0.13989687,1.4658355,1.4658355,1.4801316,0.013187605
2019-04-04,NIKAIA,14.713913,14.713913,14.780306,0.13732123,166.8457,166.8457,165.79529,14.183231,1.3977015,1.3977015,1.363528,0.011739286,8.804905,8.804905,8.829178,0.012050383,0.24222402,0.24222402,0.2367191,0.000636323,85.858765,85.858765,86.13524,0.92098004,1.4367814,1.4367814,1.4525483,0.0018804042
2019-04-05,NIKAIA,16.413471,16.413471,16.40665,0.048428655,188.77266,188.77266,189.00627,9.454317,1.4638596,1.4638596,1.5470517,0.052178796,12.020642,12.020642,12.06638,0.047746297,0.18860644,0.18860644,0.20315835,0.0020411846,100.21955,100.21955,100.3387,0.23668025,1.71325,1.71325,1.7066953,0.00447392
2019-04-06,NIKAIA,20.29663,20.29663,20.109203,1.1004066,176.51927,176.51927,176.10284,8.169506,1.2202562,1.2202562,1.2794728,0.03620814,18.007662,18.007662,17.712357,1.7500086,0.15055512,0.15055512,0.161414,0.0013707221,101.23732,101.23732,101.62357,1.2837867,3.4209507,3.4209507,3.4406896,0.041704252
2019-04-07,NIKAIA,19.165958,19.165958,19.187622,0.3219739,167.72267,167.72267,168.15395,4.3816237,1.2940493,1.2940493,1.3024604,0.011558041,17.782024,17.782024,17.533087,0.7365325,0.15409896,0.15409896,0.16242296,0.00031527245,95.05408,95.05408,95.02319,0.1753721,1.7093775,1.7093775,1.7503653,0.029038832
2019-04-08,NIKAIA,9.38676,9.38676,8.846825,3.743576,185.63515,185.63515,184.43634,177.95255,2.6488872,2.6488872,2.3306918,0.32218093,8.270218,8.270218,7.277112,4.303072,0.27047044,0.27047044,0.2727828,0.0034435077,82.262726,82.262726,81.349075,6.722611,0.6302368,0.6302368,0.57313937,0.023327045
2019-04-09,NIKAIA,4.02437,4.02437,3.8843257,0.10537732,167.64943,167.64943,165.63416,21.231981,3.04474,3.04474,3.0191016,0.49264807,3.7174146,3.7174146,3.6905525,0.01893826,0.45710218,0.45710218,0.43929952,0.0026025614,65.74594,65.74594,66.31421,19.623283,1.4900513,1.4900513,1.3149469,0.20155056
2019-04-10,NIKAIA,5.8975215,5.8975215,5.8268223,0.12268959,163.8598,163.8598,161.70958,17.977564,1.7783248,1.7783248,1.5582538,0.32449308,5.1781845,5.1781845,5.1763515,0.22685853,0.26814634,0.26814634,0.26359528,0.0027533695,81.79349,81.79349,81.90799,7.6963425,0.47110403,0.47110403,0.4039542,0.027172249
2019-04-11,NIKAIA,4.1435213,4.1435213,4.176469,0.0038603563,143.57483,143.57483,142.76208,2.9244156,0.9974616,0.9974616,0.9067449,0.063202426,3.6283169,3.6283169,3.5445547,0.030504564,0.14180237,0.14180237,0.1342271,0.00078913994,89.5889,89.5889,89.45008,1.0926461,0.2146514,0.2146514,0.1952003,0.0013839307
2019-04-12,NIKAIA,3.8208818,3.8208818,3.8468666,0.012379318,136.29494,136.29494,135.51126,13.408141,1.3980588,1.3980588,1.1264102,0.28349143,3.1779041,3.1779041,3.2144153,0.009957916,0.19128388,0.19128388,0.17618352,0.0025710226,79.52128,79.52128,79.740974,0.5342944,0.13511753,0.13511753,0.115776554,0.0012137928
2019-04-13,NIKAIA,4.9974313,4.9974313,4.997204,0.057607077,144.21568,144.21568,143.2739,5.21082,1.1723447,1.1723447,1.0521936,0.051242195,3.4481788,3.4481788,3.4205742,0.094075955,0.15254198,0.15254198,0.14668977,0.0003447623,88.066666,88.066666,87.993774,9.936939,0.3153531,0.3153531,0.31990767,0.004962663
2019-04-14,NIKAIA,5.6088367,5.6088367,5.6239567,0.30120164,158.48962,158.48962,159.17218,7.7313094,1.5175655,1.5175655,1.4286597,0.06473678,5.430243,5.430243,5.445932,0.2820811,0.18993153,0.18993153,0.19027258,6.8479174e-05,86.99963,86.99963,86.45654,1.7482725,0.36374816,0.36374816,0.3456364,0.0035832052
2019-04-15,NIKAIA,9.27446,9.27446,9.287264,0.08427593,184.18144,184.18144,180.20932,145.67447,1.7159181,1.7159181,1.5876687,0.3410424,8.242642,8.242642,8.255222,0.1291682,0.20883454,0.20883454,0.22839044,0.0033646165,74.59478,74.59478,74.54227,7.9225774,0.8368559,0.8368559,0.8200232,0.020000022
2019-04-16,NIKAIA,16.785706,16.785706,16.891727,0.34023175,177.31946,177.31946,174.66086,62.28915,1.8827972,1.8827972,1.5999835,0.2943271,14.45881,14.45881,14.460936,0.061478987,0.2998092,0.2998092,0.27263358,0.0052460227,86.65393,86.65393,86.40428,3.8634439,1.9872459,1.9872459,1.9881554,0.005561138
2019-04-17,NIKAIA,18.736364,18.736364,19.118801,1.7960565,192.12827,192.12827,189.06888,46.077534,2.1096778,2.1096778,2.0580976,0.23916933,17.71588,17.71588,17.957644,1.7835147,0.26826006,0.26826006,0.2693463,0.0017393136,96.48271,96.48271,96.84863,0.81045496,5.7928915,5.7928915,6.0426755,1.2910749
2019-04-18,NIKAIA,10.271034,10.271034,10.085604,0.25650758,164.03766,164.03766,162.4408,13.877552,1.2833166,1.2833166,1.2117348,0.11773415,9.759043,9.759043,9.810135,0.04602889,0.18358648,0.18358648,0.18901324,0.0008928258,91.28007,91.28007,91.25223,0.13087389,1.6500459,1.6500459,1.6802297,0.024953416
2019-04-19,NIKAIA,12.159445,12.159445,12.328468,1.5393425,179.77461,179.77461,177.3692,21.920273,1.2706636,1.2706636,1.3791811,0.065695405,11.514847,11.514847,11.322979,1.8994095,0.27209464,0.27209464,0.2564911,0.004966983,91.46066,91.46066,89.8779,10.559851,1.6028707,1.6028707,1.4838442,0.09344281
2019-04-20,NIKAIA,8.049074,8.049074,8.044783,0.0396063,166.86783,166.86783,166.75174,0.7913853,1.0227914,1.0227914,0.9670067,0.016838245,7.7147436,7.7147436,7.700064,0.024612144,0.15562928,0.15562928,0.15292656,7.7516816e-05,87.110504,87.110504,87.00311,0.065929785,1.4070663,1.4070663,1.4024336,0.013493279
2019-04-21,NIKAIA,11.908157,11.908157,11.858932,0.21515033,162.12515,162.12515,162.16017,10.826287,1.2626562,1.2626562,1.3087437,0.05770491,9.453479,9.453479,9.437357,0.08793171,0.1528979,0.1528979,0.15769938,0.00037763515,91.52655,91.52655,91.07433,1.1390264,1.4280471,1.4280471,1.4126832,0.008088067
