Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ORAIOKASTRO,24.1647,24.1647,24.184269,0.11867933,255.93208,255.93208,257.2519,335.6504,12.475019,12.475019,12.443861,1.5579851,20.219938,20.219938,20.453545,1.0741949,1.4279673,1.4279673,1.4350481,0.021166444,95.09839,95.09839,94.68198,13.4771,9.424579,9.424579,9.670447,1.6036344
2019-04-02,ORAIOKASTRO,27.171753,27.171753,26.915565,6.2264786,228.67734,228.67734,226.29782,35.970173,7.322447,7.322447,7.352018,0.6640124,21.28577,21.28577,21.415827,0.08018584,1.0201901,1.0201901,0.9281429,0.06945729,98.05659,98.05659,97.746735,1.9673741,8.123239,8.123239,8.1891575,0.40734985
2019-04-03,ORAIOKASTRO,11.225702,11.225702,11.323498,0.71583295,214.95494,214.95494,215.51398,19.563793,6.5570574,6.5570574,6.5934067,0.3704074,8.814664,8.814664,8.686297,0.22713606,0.8591832,0.8591832,0.90232956,0.010382263,89.38926,89.38926,89.27623,0.32850525,5.8128114,5.8128114,5.739991,0.077717975
2019-04-04,ORAIOKASTRO,17.065098,17.065098,17.004417,0.22882426,212.82419,212.82419,214.34337,8.479726,5.752211,5.752211,5.928431,0.2054407,9.93103,9.93103,9.934611,0.021307502,0.95094776,0.95094776,1.0084004,0.021287395,89.88557,89.88557,89.892395,0.9047417,5.5104523,5.5104523,5.523571,0.09888472
2019-04-05,ORAIOKASTRO,16.096514,16.096514,16.035576,0.8168522,225.44788,225.44788,225.31769,79.46474,6.7654586,6.7654586,7.0047445,0.8132832,11.527163,11.527163,11.509512,0.11572247,0.7551284,0.7551284,0.7246825,0.052864432,94.08975,94.08975,94.38571,0.9854106,7.823665,7.823665,7.707385,0.4381233
2019-04-06,ORAIOKASTRO,20.750227,20.750227,19.985428,2.5174122,206.25394,206.25394,198.77765,383.4628,5.426383,5.426383,5.4219475,7.6575904,17.021341,17.021341,17.311298,0.8457256,0.5280549,0.5280549,0.45436543,0.09370217,97.00171,97.00171,96.80557,7.9005184,7.136215,7.136215,7.133664,2.3077517
2019-04-07,ORAIOKASTRO,27.431915,27.431915,27.35888,4.129064,216.30821,216.30821,215.67508,26.776546,5.4210305,5.4210305,5.1436934,0.5701684,22.35858,22.35858,22.338966,0.9111153,0.7359358,0.7359358,0.7930261,0.018457107,102.13297,102.13297,102.08222,4.929952,7.9073386,7.9073386,7.6715736,0.7313768
2019-04-08,ORAIOKASTRO,16.140106,16.140106,16.460135,5.756869,289.26468,289.26468,283.04135,3040.4724,10.975281,10.975281,10.453173,5.718809,14.461807,14.461807,14.132875,9.367726,1.2147288,1.2147288,1.1741897,0.3415152,75.14519,75.14519,76.72481,13.810997,8.000183,8.000183,7.1232953,18.006214
2019-04-09,ORAIOKASTRO,7.681488,7.681488,7.711664,2.2743466,220.4072,220.4072,217.97455,753.306,5.134139,5.134139,4.840028,5.419592,7.07489,7.07489,7.1539083,1.6585225,0.8796784,0.8796784,0.86866367,0.18418902,68.443214,68.443214,69.1643,57.84941,4.148597,4.148597,4.1204453,3.6857734
2019-04-10,ORAIOKASTRO,17.359932,17.359932,17.38852,1.4534961,235.23433,235.23433,232.55632,184.35269,7.1977143,7.1977143,7.15851,1.0634576,16.9865,16.9865,17.150795,1.4911509,1.0000862,1.0000862,0.9899991,0.07949594,87.38242,87.38242,88.298935,7.548914,7.0944586,7.0944586,7.185953,0.8416425
2019-04-11,ORAIOKASTRO,8.561357,8.561357,8.59819,0.14273219,184.41125,184.41125,184.75444,68.24005,5.611332,5.611332,5.604189,0.016556047,6.848557,6.848557,6.821045,0.097241886,1.1294284,1.1294284,1.0789452,0.0799688,100.74681,100.74681,100.6331,5.7250423,6.3535733,6.3535733,6.3582773,0.58291006
