Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,PERAIA,20.54914,20.54914,20.985405,2.2656116,196.15869,196.15869,195.36926,170.36842,4.5178776,4.5178776,4.5597534,1.7634356,17.544943,17.544943,18.158829,5.171113,0.6220091,0.6220091,0.5942584,0.041816406,95.326485,95.326485,95.48664,9.939411,3.1732147,3.1732147,2.8474007,0.45322472
2019-04-02,PERAIA,25.291399,25.291399,25.010658,18.6616,197.91049,197.91049,198.35397,62.38851,4.2051926,4.2051926,4.3938293,1.0417582,20.910612,20.910612,21.328514,4.929656,0.5139151,0.5139151,0.48905593,0.03268934,96.195015,96.195015,95.504776,2.3589911,4.2499447,4.2499447,4.577032,0.41567516
2019-04-03,PERAIA,9.074652,9.074652,9.164202,0.14265864,179.3227,179.3227,178.18481,141.08635,2.4325466,2.4325466,2.3640075,0.4642136,6.8850822,6.8850822,6.9355273,0.10701732,0.3299998,0.3299998,0.3282581,0.014597588,92.10075,92.10075,92.31767,2.012522,2.9291484,2.9291484,2.8773003,0.26307976
2019-04-04,PERAIA,15.798939,15.798939,15.886251,0.19773594,176.27904,176.27904,174.55179,44.05011,2.1246827,2.1246827,1.9974421,0.70462227,9.416903,9.416903,9.534334,0.24517207,0.33578917,0.33578917,0.33616042,0.018064536,93.92786,93.92786,94.04198,1.3112718,2.7204852,2.7204852,2.7958364,0.086924285
2019-04-05,PERAIA,16.798187,16.798187,16.851395,0.4225025,184.62433,184.62433,183.3867,92.30098,2.5244102,2.5244102,2.2453446,1.301671,12.016272,12.016272,12.09176,0.171151,0.35007992,0.35007992,0.33267608,0.024245417,97.81348,97.81348,97.62749,2.6429398,3.200377,3.200377,3.1320014,0.026122496
2019-04-06,PERAIA,22.082977,22.082977,22.082977,0.27461913,199.79494,199.79494,194.22177,140.64575,3.9308214,3.9308214,4.0596066,0.6393584,18.257116,18.257116,18.24211,0.42364085,0.5386633,0.5386633,0.60226405,0.026749864,93.28351,93.28351,94.08477,4.77362,6.81214,6.81214,6.8811016,1.1072332
2019-04-07,PERAIA,20.97547,20.97547,20.831009,3.9705124,181.45335,181.45335,181.3221,18.760511,2.0252352,2.0252352,1.982972,0.41219372,18.516903,18.516903,18.155743,1.2902184,0.3060752,0.3060752,0.31420553,0.0060283467,100.99916,100.99916,100.7147,0.41209233,2.811273,2.811273,2.9032493,0.028750584
2019-04-08,PERAIA,13.75814,13.75814,14.02212,7.039222,214.12122,214.12122,210.70831,361.50516,7.3172917,7.3172917,7.8053527,4.0119977,11.0933695,11.0933695,11.616684,1.5854359,1.0542452,1.0542452,0.83380604,0.38784087,78.272995,78.272995,78.29959,9.91759,4.878936,4.878936,4.8068943,8.704317
2019-04-09,PERAIA,6.4752703,6.4752703,6.471177,0.09375492,200.9465,200.9465,199.01395,263.0176,5.573436,5.573436,5.1553025,1.0377716,5.4642096,5.4642096,5.525506,0.38166237,0.948864,0.948864,0.95756674,0.13695377,79.510254,79.510254,79.58281,9.799242,4.655997,4.655997,4.182303,1.150588
2019-04-10,PERAIA,13.494988,13.494988,13.087219,0.64067954,179.56635,179.56635,179.57271,151.76482,3.8014266,3.8014266,3.88262,0.45599627,12.285036,12.285036,12.30036,0.76802176,0.45432895,0.45432895,0.4562554,0.020994123,87.57395,87.57395,86.78374,9.603466,3.1021497,3.1021497,3.005571,0.052688934
2019-04-11,PERAIA,7.3935437,7.3935437,7.3084846,0.29801893,161.42743,161.42743,160.10474,72.5086,3.2323122,3.2323122,3.1760335,0.6863871,4.947454,4.947454,4.9277897,0.007831066,0.39670247,0.39670247,0.39991325,0.01676042,93.688194,93.688194,93.90019,1.2233782,1.3343709,1.3343709,1.3025954,0.26715103
2019-04-12,PERAIA,7.0740166,7.0740166,6.9917,0.45962727,168.01352,168.01352,164.98871,64.042366,2.9609818,2.9609818,2.9405146,1.1057355,6.2877507,6.2877507,6.4261255,0.08700422,0.39839336,0.39839336,0.42048675,0.022663154,91.51249,91.51249,91.99342,1.3901378,1.268689,1.268689,1.3502877,0.091914356
2019-04-13,PERAIA,10.820983,10.820983,10.6966095,0.1914228,173.35205,173.35205,170.94186,244.08807,2.4639802,2.4639802,2.5150342,0.6989176,9.300606,9.300606,9.25423,0.18252435,0.36287728,0.36287728,0.3581162,0.010732066,92.5542,92.5542,92.20871,1.9156758,3.5561457,3.5561457,3.4880116,0.0664302
2019-04-14,PERAIA,11.26342,11.26342,11.415762,0.7290513,194.12923,194.12923,190.28108,329.6765,2.770016,2.770016,2.746395,0.4611473,10.701817,10.701817,10.844379,0.5251301,0.31991822,0.31991822,0.32312277,0.009729832,99.97137,99.97137,99.270485,13.154085,2.7945895,2.7945895,2.8334098,0.083943605
2019-04-15,PERAIA,14.188233,14.188233,14.488607,4.5575523,244.39655,244.39655,242.16733,353.21014,6.107406,6.107406,6.0589933,0.8360002,13.268686,13.268686,13.574509,2.6336212,0.88133305,0.88133305,0.86932135,0.058696777,72.80139,72.80139,71.86512,26.026777,7.771117,7.771117,7.5450115,3.9689522
2019-04-16,PERAIA,14.313763,14.313763,14.296028,0.054688763,181.30849,181.30849,179.74876,61.348473,2.4911249,2.4911249,2.5200973,0.43907526,11.708464,11.708464,11.6891365,0.0024072353,0.398921,0.398921,0.38608062,0.019810265,91.01695,91.01695,91.04698,0.36832207,4.15087,4.15087,4.090683,0.501165
2019-04-17,PERAIA,10.228205,10.228205,10.174147,0.10744991,181.06235,181.06235,181.59198,3.080314,5.2129693,5.2129693,5.1032314,0.6248216,8.494614,8.494614,8.4974,0.5374749,0.98210335,0.98210335,1.1026514,0.08118593,101.32312,101.32312,100.63377,10.925876,3.8919713,3.8919713,4.0959415,0.25088793
2019-04-18,PERAIA,11.74809,11.74809,11.741041,0.021082789,183.02487,183.02487,178.92674,159.68947,3.4421089,3.4421089,3.4142537,0.56044346,10.692543,10.692543,10.725143,0.072746396,0.4466374,0.4466374,0.43493032,0.017063905,96.15834,96.15834,95.942276,1.1635981,3.9247062,3.9247062,3.749813,0.3643934
2019-04-19,PERAIA,10.263744,10.263744,10.301432,0.031455606,179.859,179.859,180.05649,19.202618,3.2465215,3.2465215,3.241837,0.40288252,9.159233,9.159233,9.108444,0.047858346,0.56480443,0.56480443,0.55475205,0.034264266,88.11169,88.11169,88.0234,1.7091874,2.1388419,2.1388419,2.060638,0.034357022
2019-04-20,PERAIA,9.172102,9.172102,9.094339,0.08935775,168.22253,168.22253,168.70888,16.078072,1.3903018,1.3903018,1.4050918,0.20592481,7.1524343,7.1524343,7.17017,0.064135276,0.2307452,0.2307452,0.23102587,0.0062999967,93.464874,93.464874,93.584915,0.49380842,2.2463808,2.2463808,2.183338,0.41523933
2019-04-21,PERAIA,9.056352,9.056352,9.068432,0.769319,168.38365,168.38365,168.41466,37.648308,1.7345258,1.7345258,1.7861326,0.16607296,7.7626004,7.7626004,7.911594,0.38083982,0.27522048,0.27522048,0.28093237,0.0090781655,98.10256,98.10256,97.98331,3.0090377,2.388159,2.388159,2.3976092,0.010292953
2019-04-22,PERAIA,8.493037,8.493037,8.500795,0.20854497,165.39294,165.39294,164.78214,25.305939,2.2089484,2.2089484,2.1314387,0.30577195,6.975041,6.975041,6.986708,0.05642222,0.26820236,0.26820236,0.2673595,0.0073575005,98.38354,98.38354,98.57537,0.5548281,1.8304522,1.8304522,1.8719461,0.009246681
