Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,PYLI,20.37749,20.37749,20.421448,0.03207169,172.05798,172.05798,172.77452,5.5575733,0.9692774,0.9692774,1.0472157,0.013595927,14.613353,14.613353,14.693161,0.03429007,0.17548572,0.17548572,0.17629988,9.352711e-05,99.87661,99.87661,99.59465,0.72290516,2.7540874,2.7540874,2.592259,0.59581745
2019-04-02,PYLI,17.068604,17.068604,17.153526,0.056110363,157.44026,157.44026,158.35088,23.86995,0.8077734,0.8077734,0.8040644,0.037399497,14.373912,14.373912,14.367243,0.03476445,0.11965362,0.11965362,0.12886404,0.00022993739,94.081665,94.081665,94.150734,0.11258286,1.8952497,1.8952497,1.8864768,0.004730592
2019-04-03,PYLI,13.986253,13.986253,13.773961,0.5782699,166.32747,166.32747,168.65681,45.976772,0.8607728,0.8607728,0.9452137,0.048696492,9.155129,9.155129,9.194726,0.059090186,0.1099465,0.1099465,0.12064549,0.00027448946,88.26932,88.26932,89.04281,3.7017734,1.4781562,1.4781562,1.469786,0.002869619
2019-04-04,PYLI,13.687301,13.687301,13.596995,0.09581852,167.44737,167.44737,166.47308,27.94573,0.82385534,0.82385534,0.9036043,0.05170932,9.395221,9.395221,9.279761,0.19182466,0.10388253,0.10388253,0.10562395,0.00078765705,83.31567,83.31567,83.48503,0.28437045,0.791502,0.791502,0.7695888,0.0016308175
2019-04-05,PYLI,16.028831,16.028831,16.249308,0.9962902,177.72038,177.72038,175.40541,68.71577,1.2879322,1.2879322,1.4326366,0.054969758,14.631505,14.631505,14.486118,0.33734012,0.13005416,0.13005416,0.14188115,0.0007430592,84.7156,84.7156,84.84181,0.25438175,0.60931414,0.60931414,0.5983054,0.026750954
2019-04-06,PYLI,11.010922,11.010922,10.817806,0.16575956,164.84808,164.84808,167.91718,28.020227,1.0389127,1.0389127,1.1295127,0.043486398,9.071419,9.071419,8.992704,0.040958732,0.07998283,0.07998283,0.08094503,0.00014062013,94.622986,94.622986,94.79054,0.32401466,0.9029009,0.9029009,0.92093444,0.030744335
2019-04-07,PYLI,10.442472,10.442472,7.857309,34.611797,146.75414,146.75414,145.14424,78.40635,0.57260984,0.57260984,0.51596063,0.04757045,10.035733,10.035733,7.401273,33.291634,0.07668414,0.07668414,0.07261747,0.00045569614,83.9936,83.9936,83.86374,1.0329648,0.6987098,0.6987098,0.6543246,0.017293306
2019-04-08,PYLI,2.43485,2.43485,2.4149926,0.014669512,127.41822,127.41822,127.43163,15.612701,0.44275737,0.44275737,0.41301167,0.026382701,2.1354463,2.1354463,2.1981704,0.010011314,0.07715557,0.07715557,0.07810118,0.0005541264,81.938385,81.938385,82.472626,0.6637942,0.23764479,0.23764479,0.25565466,0.0008700541
2019-04-09,PYLI,2.3077238,2.3077238,2.3529997,0.13345431,160.2842,160.2842,160.10484,0.22793938,0.90746355,0.90746355,0.93712634,0.0022003183,2.065052,2.065052,2.1664631,0.1328555,0.14828198,0.14828198,0.15531515,0.0001381908,77.64612,77.64612,76.30666,14.536584,0.168954,0.168954,0.17641942,0.00022973392
2019-04-10,PYLI,5.7326255,5.7326255,6.2639694,0.7118586,157.67674,157.67674,159.34154,5.8879094,0.5190779,0.5190779,0.5371754,0.011668916,5.5307937,5.5307937,6.0737386,0.70322543,0.094445266,0.094445266,0.09494976,1.8384491e-05,76.22421,76.22421,74.8723,12.883755,0.2613542,0.2613542,0.30362913,0.004364882
2019-04-11,PYLI,4.945499,4.945499,4.9292035,0.039408527,134.73462,134.73462,134.4767,1.1571829,0.38945082,0.38945082,0.39946714,0.01136322,3.8110816,3.8110816,3.8374617,0.0022986988,0.057152748,0.057152748,0.05271541,0.00014229833,92.71021,92.71021,92.669,0.6251215,0.30349648,0.30349648,0.29831427,0.00015876586
2019-04-12,PYLI,4.320235,4.320235,4.0188603,0.24328583,125.05245,125.05245,125.08981,11.325154,0.3868898,0.3868898,0.39362574,0.009749865,3.708669,3.708669,3.562169,0.052110802,0.06932915,0.06932915,0.05637714,0.0006185762,83.72768,83.72768,83.200775,0.7721575,0.14354931,0.14354931,0.14395668,2.108899e-05
2019-04-13,PYLI,4.287855,4.287855,4.2850127,0.4727985,147.18723,147.18723,149.44861,18.487679,0.4119201,0.4119201,0.38673845,0.011490474,3.6515625,3.6515625,3.8040826,0.083354235,0.060513373,0.060513373,0.057930548,0.00046567243,86.40293,86.40293,85.81175,4.199963,0.2748995,0.2748995,0.2556533,0.0012059581
2019-04-14,PYLI,3.5759451,3.5759451,3.5079606,0.0654511,155.26077,155.26077,155.70627,26.460594,0.6519927,0.6519927,0.6426822,0.05836628,3.0874414,3.0874414,3.0521133,0.016185373,0.081622906,0.081622906,0.0841779,0.000824933,84.733635,84.733635,84.235214,0.7794442,0.25194898,0.25194898,0.24846259,0.00023081437
2019-04-15,PYLI,7.180382,7.180382,7.374028,0.14127944,164.34187,164.34187,164.2924,6.1115284,1.3758262,1.3758262,1.2965771,0.066683345,6.225062,6.225062,6.3475075,0.05633947,0.171277,0.171277,0.16300629,0.00030110584,70.53488,70.53488,70.178894,1.1564542,0.4076005,0.4076005,0.4076526,0.0042879167
2019-04-16,PYLI,7.2908916,7.2908916,7.2627068,0.77408814,165.61763,165.61763,164.37753,4.720101,0.7185866,0.7185866,0.8183385,0.026749516,6.770246,6.770246,6.813172,0.95421433,0.099227406,0.099227406,0.08381751,0.0017363825,79.77799,79.77799,78.819885,1.8486767,1.2673382,1.2673382,1.185981,0.034498893
2019-04-17,PYLI,5.6906037,5.6906037,5.508553,0.1626708,176.18073,176.18073,176.19508,17.183874,0.8066483,0.8066483,0.8360246,0.04422577,5.491195,5.491195,5.3029346,0.15842952,0.115683734,0.115683734,0.12351984,0.0010709135,77.45887,77.45887,77.34798,2.7482626,0.9100394,0.9100394,0.91400665,0.03672706
