Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,SERRES,18.08507,18.08507,18.046886,0.8013478,186.27031,186.27031,186.27034,13.028628,0.86958,0.86958,0.9197745,0.03635789,11.138168,11.138168,11.138159,0.14553314,0.14934914,0.14934914,0.15987213,0.0012988924,91.56394,91.56394,92.07811,8.296054,1.7407705,1.7407705,1.702574,0.15435286
2019-04-02,SERRES,21.83544,21.83544,21.9991,0.71121573,177.25995,177.25995,179.02628,24.847883,1.202262,1.202262,1.275847,0.038141225,17.334513,17.334513,16.935244,2.7192142,0.14734288,0.14734288,0.1328857,0.001962451,91.256035,91.256035,92.26799,13.362419,4.3187914,4.3187914,4.305491,0.0035226576
2019-04-03,SERRES,10.926135,10.926135,10.717804,0.37638023,166.1729,166.1729,167.52136,11.455479,1.4208285,1.4208285,1.4927366,0.07324375,9.503396,9.503396,9.53384,0.93887705,0.17807008,0.17807008,0.18905655,0.0003318355,87.96737,87.96737,88.41937,4.6949077,2.4546788,2.4546788,2.498183,0.04440984
2019-04-04,SERRES,15.713031,15.713031,15.660583,0.16344596,166.82413,166.82413,168.05925,18.624424,1.0169986,1.0169986,1.0657573,0.057068672,10.058876,10.058876,9.995932,0.5583678,0.15136336,0.15136336,0.1521414,0.0006426194,86.4071,86.4071,86.66507,1.872293,1.6237512,1.6237512,1.5972965,0.014160629
2019-04-05,SERRES,14.871423,14.871423,14.814125,0.10840887,168.05754,168.05754,167.98387,4.1143165,1.06715,1.06715,1.1248472,0.029147735,9.900777,9.900777,9.733923,0.43824327,0.15076114,0.15076114,0.15468158,0.0004806708,94.009544,94.009544,93.327774,2.454909,2.6441853,2.6441853,2.6702764,0.014275495
2019-04-06,SERRES,25.556366,25.556366,25.596184,5.359949,174.40419,174.40419,168.46631,265.00443,1.2825013,1.2825013,1.3227198,0.06455812,23.337904,23.337904,22.887623,5.8355536,0.14174409,0.14174409,0.12072654,0.0022919741,95.63723,95.63723,95.89601,2.8460877,4.610042,4.610042,4.633279,0.15472619
2019-04-07,SERRES,18.59381,18.59381,18.962282,2.3381698,183.83948,183.83948,183.82877,22.17201,1.1850088,1.1850088,1.1834836,0.06246525,17.518902,17.518902,17.746647,3.7213314,0.19750424,0.19750424,0.19262636,0.00046746168,84.08579,84.08579,84.39111,1.7621654,1.0618446,1.0618446,1.1064429,0.025872028
2019-04-08,SERRES,6.5483804,6.5483804,6.285916,3.0126317,192.93182,192.93182,197.83447,387.3677,2.8231266,2.8231266,2.7716866,0.9265094,6.2178626,6.2178626,5.977643,2.7187202,0.33580053,0.33580053,0.2524435,0.044382885,75.2765,75.2765,75.03308,5.172751,0.3055182,0.3055182,0.3070944,0.0026811284
2019-04-09,SERRES,6.5882554,6.5882554,6.9368954,0.90403944,175.50616,175.50616,178.86945,62.927753,1.9098854,1.9098854,2.0943303,0.1301377,6.1137137,6.1137137,6.4590187,0.7471861,0.3291897,0.3291897,0.31017262,0.0056123002,73.41803,73.41803,74.386604,5.292887,0.8499524,0.8499524,0.87944996,0.05469985
2019-04-10,SERRES,9.670796,9.670796,9.687143,0.29094198,182.2501,182.2501,183.6571,11.503368,1.127036,1.127036,1.1696792,0.044127002,9.521567,9.521567,9.571548,0.25882816,0.16908629,0.16908629,0.18593653,0.0013008252,83.301765,83.301765,82.97186,8.004762,1.0530173,1.0530173,0.94296837,0.11758161
2019-04-11,SERRES,9.020371,9.020371,9.170973,0.13671926,150.77489,150.77489,151.92166,12.262222,1.0674661,1.0674661,1.0596359,0.067052364,6.596859,6.596859,6.626754,0.0892966,0.15039787,0.15039787,0.15468717,0.0010416141,91.397285,91.397285,90.72749,11.756213,3.0134165,3.0134165,2.990447,0.011039595
2019-04-12,SERRES,4.2489486,4.2489486,3.9640353,0.8213272,159.39917,159.39917,159.43443,13.700786,1.2019972,1.2019972,1.2864583,0.06468094,3.823779,3.823779,3.637302,0.46064284,0.13783598,0.13783598,0.1368239,0.00089489453,75.445366,75.445366,75.94385,4.6510367,0.21893787,0.21893787,0.2276302,0.0018602867
2019-04-13,SERRES,6.712312,6.712312,6.7595205,0.8201847,156.49904,156.49904,156.48145,8.53318,0.893404,0.893404,0.92346114,0.027475456,5.958254,5.958254,5.8252354,0.47074476,0.11881903,0.11881903,0.120648384,0.0006829247,85.38764,85.38764,85.51776,7.360082,0.58340305,0.58340305,0.54836845,0.03363819
2019-04-14,SERRES,5.584133,5.584133,5.6097035,1.1854141,161.55656,161.55656,161.23225,3.1042166,0.9818526,0.9818526,1.0550172,0.026450044,5.410774,5.410774,5.4506783,1.0609156,0.10434488,0.10434488,0.1038395,0.00025770915,77.22936,77.22936,77.919235,6.811113,1.0380532,1.0380532,1.0653452,0.043297723
2019-04-15,SERRES,15.321464,15.321464,15.424747,5.1135783,204.52739,204.52739,206.62117,67.06202,1.8960038,1.8960038,1.8846045,0.10929587,14.48496,14.48496,14.497881,3.0725453,0.3258061,0.3258061,0.3240419,0.004092226,65.50773,65.50773,66.38536,10.756286,4.0092163,4.0092163,3.9334652,2.1049776
