Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,SOFADES,15.96265,15.96265,15.830319,0.08883448,178.26537,178.26537,178.18478,2.292057,0.9840795,0.9840795,0.989008,0.0030082404,11.146899,11.146899,11.130102,0.0119521525,0.15746272,0.15746272,0.14837332,0.0005008481,99.01821,99.01821,99.24173,0.5495583,1.4742908,1.4742908,1.4788384,0.028967027
2019-04-02,SOFADES,21.341394,21.341394,21.550407,0.37403843,167.58472,167.58472,167.63542,4.527191,0.92551744,0.92551744,0.8951417,0.009905778,14.928401,14.928401,14.940225,0.025951214,0.14642864,0.14642864,0.14370017,0.00029209815,94.54272,94.54272,94.39958,0.50877315,1.8758631,1.8758631,1.8705677,0.0008740735
2019-04-03,SOFADES,12.152266,12.152266,12.02602,0.43425617,160.78209,160.78209,160.4364,0.985449,1.2077327,1.2077327,1.184418,0.013942657,6.5534964,6.5534964,6.5006895,0.010847856,0.13915025,0.13915025,0.13545144,0.0002595719,87.424355,87.424355,87.41638,0.30029228,1.0313456,1.0313456,1.0345218,0.0059634624
2019-04-04,SOFADES,14.263201,14.263201,14.116772,0.094678394,167.75854,167.75854,167.51727,1.5018435,1.2844889,1.2844889,1.3089405,0.009596638,7.7800894,7.7800894,7.749124,0.025490433,0.16514523,0.16514523,0.15815082,0.0005154775,83.421844,83.421844,83.25117,0.19496147,1.1450965,1.1450965,1.1595774,0.0013330317
2019-04-05,SOFADES,21.199703,21.199703,21.21063,0.22517848,210.56676,210.56676,211.71738,166.64781,2.0808663,2.0808663,1.9674478,0.1349577,15.843312,15.843312,15.901236,0.06953283,0.20474198,0.20474198,0.1994662,0.00083429134,87.07437,87.07437,86.947136,4.996413,1.3378667,1.3378667,1.3405952,0.02635315
2019-04-06,SOFADES,14.722693,14.722693,14.391296,1.6008307,173.53708,173.53708,173.2145,0.9585039,1.3251872,1.3251872,1.211845,0.04857818,12.341283,12.341283,12.523242,1.7655884,0.09849809,0.09849809,0.095782936,0.0002461912,94.35778,94.35778,94.92294,3.7875938,1.8529924,1.8529924,1.8496387,0.09355337
2019-04-07,SOFADES,22.202614,22.202614,21.908632,1.0003395,159.36816,159.36816,158.50113,4.537051,0.92986596,0.92986596,0.9448513,0.024434913,19.458145,19.458145,19.879185,0.8627329,0.11720757,0.11720757,0.11688606,0.00012266284,93.695786,93.695786,94.015755,6.1958833,1.1644552,1.1644552,1.1697736,0.007824763
2019-04-08,SOFADES,3.3978934,3.3978934,3.352312,0.44213948,146.95955,146.95955,146.55774,29.188282,1.1472831,1.1472831,1.2560458,0.056779914,2.886125,2.886125,3.002338,0.23277622,0.13340583,0.13340583,0.13385037,0.0008261694,82.95595,82.95595,82.99632,0.4853749,0.20620799,0.20620799,0.20654906,0.0011499024
2019-04-09,SOFADES,2.1921577,2.1921577,2.1832297,0.006911359,163.36555,163.36555,162.73158,1.4987928,1.0892713,1.0892713,1.169591,0.04773788,1.9688008,1.9688008,1.9639585,0.005480104,0.15723185,0.15723185,0.16190366,0.0003413339,78.97811,78.97811,78.92321,1.5918314,0.18111345,0.18111345,0.18169877,0.00012970417
2019-04-10,SOFADES,6.5015574,6.5015574,6.4816227,0.056358855,162.09685,162.09685,161.75383,1.435042,0.82448345,0.82448345,0.78770924,0.029497337,5.6709642,5.6709642,5.6009502,0.09924176,0.116485424,0.116485424,0.11983296,0.00020218318,71.03384,71.03384,70.94443,0.65747875,0.2840004,0.2840004,0.28777692,0.00039047917
2019-04-11,SOFADES,4.2707434,4.2707434,4.260867,0.006800253,136.43062,136.43062,136.40231,1.8367689,0.5784031,0.5784031,0.57096726,0.0171921,3.773559,3.773559,3.7908926,0.007073064,0.05768566,0.05768566,0.060863562,8.388763e-05,92.09012,92.09012,91.876495,0.18165492,0.14283685,0.14283685,0.13925928,0.00013723648
2019-04-12,SOFADES,3.4838648,3.4838648,3.4618378,0.017056124,131.23415,131.23415,130.77487,1.364861,0.6739819,0.6739819,0.6710838,0.008514779,2.9244747,2.9244747,2.9092655,0.007077809,0.10009772,0.10009772,0.109202884,0.000719564,79.67821,79.67821,79.520645,1.4292595,0.101992026,0.101992026,0.09804141,0.00028986234
2019-04-13,SOFADES,4.6367455,4.6367455,4.586425,0.035600375,143.9296,143.9296,143.83704,0.11343061,0.7985424,0.7985424,0.8380965,0.010127426,3.057487,3.057487,3.0367532,0.005785226,0.09346479,0.09346479,0.09869084,0.00012653906,87.14357,87.14357,86.70953,4.9533563,0.23496938,0.23496938,0.23621994,8.602546e-05
2019-04-14,SOFADES,4.0924745,4.0924745,4.139548,0.15031947,163.0355,163.0355,163.2167,1.9547697,1.199491,1.199491,1.244853,0.014647567,3.8332698,3.8332698,3.8925717,0.23243614,0.129038,0.129038,0.12524016,8.507593e-05,83.759964,83.759964,83.70957,0.5378101,0.24661517,0.24661517,0.24273561,0.0011862598
2019-04-15,SOFADES,8.82679,8.82679,8.940775,0.09149458,178.90086,178.90086,178.94292,18.569345,1.3464091,1.3464091,1.3468373,0.017568411,7.887108,7.887108,7.938757,0.36450574,0.17450288,0.17450288,0.17291126,0.00041348697,75.95408,75.95408,75.71814,24.821573,0.79129237,0.79129237,0.7972361,0.011314657
2019-04-16,SOFADES,13.294228,13.294228,13.542967,0.41499722,168.41153,168.41153,168.06352,1.5959587,1.0088305,1.0088305,0.9864654,0.009805388,12.66739,12.66739,12.90889,0.36599422,0.15945922,0.15945922,0.15914747,0.00034365235,87.59647,87.59647,87.48471,1.0206873,1.4370017,1.4370017,1.4497346,0.0055255657
2019-04-17,SOFADES,12.474614,12.474614,12.57284,3.9093947,187.17717,187.17717,186.54459,21.251654,1.3535094,1.3535094,1.3073134,0.08587313,11.673277,11.673277,11.752403,3.4972553,0.16262633,0.16262633,0.1688933,0.00027590495,88.70641,88.70641,88.874176,9.899951,3.7833667,3.7833667,3.8389983,0.27688375
2019-04-18,SOFADES,8.819176,8.819176,8.813505,0.057255104,161.45483,161.45483,161.17169,0.9774567,1.0536176,1.0536176,0.9889724,0.040035736,8.549996,8.549996,8.56708,0.03631109,0.13278267,0.13278267,0.12847678,0.0002996377,91.61344,91.61344,91.597,0.3972133,0.7518966,0.7518966,0.76210535,0.0006670499
2019-04-19,SOFADES,16.614178,16.614178,17.056591,1.3902982,175.79791,175.79791,175.27948,4.3619823,1.268491,1.268491,1.2812009,0.002042966,15.570901,15.570901,15.781237,1.5016342,0.19299524,0.19299524,0.20851526,0.001017107,95.970146,95.970146,95.870445,0.03573075,6.085376,6.085376,6.378997,0.285357
2019-04-20,SOFADES,7.283081,7.283081,7.302749,0.031564243,163.99411,163.99411,163.86472,4.994299,0.7967659,0.7967659,0.8022602,0.0017959094,6.9510527,6.9510527,6.9377656,0.0073199314,0.120768294,0.120768294,0.118495435,8.630146e-05,83.96247,83.96247,84.04755,0.48960412,1.2405863,1.2405863,1.2397194,0.0013920307
2019-04-21,SOFADES,11.283449,11.283449,11.272308,0.009028552,162.13402,162.13402,161.39128,8.449143,0.82006085,0.82006085,0.8434377,0.006866078,9.021568,9.021568,9.021561,0.0050405436,0.08876608,0.08876608,0.09335086,0.00013056041,84.009384,84.009384,84.37634,4.1093063,0.80665785,0.80665785,0.8046648,0.002114573
2019-04-22,SOFADES,11.707163,11.707163,11.828182,0.22644942,166.54538,166.54538,166.5393,7.5516047,1.3095949,1.3095949,1.316702,0.010547003,10.155374,10.155374,10.247475,0.1120917,0.12687363,0.12687363,0.12394886,9.617969e-05,93.42024,93.42024,93.39665,3.0916567,1.1410552,1.1410552,1.1249704,0.012731165
2019-04-23,SOFADES,21.024782,21.024782,21.209396,4.7469134,180.68292,180.68292,182.64069,89.79486,1.4132171,1.4132171,1.3686731,0.010054881,18.777483,18.777483,19.037052,5.6915894,0.15948522,0.15948522,0.15547866,0.0004015568,97.25443,97.25443,97.13345,13.406114,1.6021175,1.6021175,1.6054003,0.004265809
2019-04-24,SOFADES,42.570576,42.570576,43.021683,14.740696,165.96246,165.96246,165.36652,12.614529,1.4061978,1.4061978,1.3142269,0.045036104,26.083105,26.083105,26.020947,0.23248214,0.19207864,0.19207864,0.1855483,0.00032289294,89.683716,89.683716,89.157524,7.0065184,1.3887985,1.3887985,1.3869795,0.014317672
2019-04-25,SOFADES,113.23464,113.23464,111.54231,238.1118,185.02739,185.02739,181.77748,51.930077,2.6535254,2.6535254,2.4794104,0.16460276,58.345474,58.345474,60.01402,31.536415,0.26916623,0.26916623,0.2688207,0.0020740177,76.008865,76.008865,76.51283,6.7116876,0.46375382,0.46375382,0.45572114,0.0007522053
2019-04-26,SOFADES,130.85016,130.85016,131.29088,15.691531,162.22592,162.22592,161.45312,7.4096212,1.6652287,1.6652287,1.8012373,0.06268182,90.78146,90.78146,91.20619,13.699664,0.28522092,0.28522092,0.30523157,0.0021546683,85.76723,85.76723,86.13338,4.5383043,0.55477756,0.55477756,0.55827343,0.0040156003
2019-04-27,SOFADES,130.64507,130.64507,133.94928,65.15616,144.43834,144.43834,144.57281,3.552151,0.6723564,0.6723564,0.6995471,0.008451391,78.75717,78.75717,78.8754,1.4773763,0.10726355,0.10726355,0.10550851,0.0001335761,71.36158,71.36158,72.72577,7.716965,0.34824055,0.34824055,0.34502178,0.00097486645
2019-04-28,SOFADES,10.524186,10.524186,10.2355995,0.7719746,138.46046,138.46046,138.38925,0.17687628,0.64909273,0.64909273,0.6711036,0.004784887,8.526831,8.526831,8.265756,0.6998483,0.09059425,0.09059425,0.09778694,0.0004426113,94.22243,94.22243,93.97017,7.3350534,0.32596147,0.32596147,0.3420979,0.0023928226
2019-04-29,SOFADES,5.4095263,5.4095263,5.408162,0.0058436794,134.43192,134.43192,134.74612,0.5609767,0.51340795,0.51340795,0.5062652,0.0052809543,2.9514148,2.9514148,2.9368346,0.009330492,0.094039455,0.094039455,0.102225795,0.0007859044,82.781525,82.781525,83.201004,12.796247,0.4520011,0.4520011,0.45265836,0.00027541447
2019-04-30,SOFADES,6.7571163,6.7571163,6.9140043,0.3676942,136.40906,136.40906,136.53043,0.49001744,0.4799516,0.4799516,0.493491,0.00224393,3.4359145,3.4359145,3.5121007,0.0491698,0.08171056,0.08171056,0.08733095,0.00048763337,104.97959,104.97959,105.11732,1.6629279,0.29709923,0.29709923,0.28974515,0.00073505717
2019-05-01,SOFADES,4.6595116,4.6595116,4.6766214,0.078491606,147.01755,147.01755,147.31546,6.428832,0.6966923,0.6966923,0.6994146,0.010739414,2.9288158,2.9288158,2.9563136,0.008716255,0.09082141,0.09082141,0.09777052,0.00073463673,91.07646,91.07646,91.2655,0.61138326,0.22032952,0.22032952,0.22061998,0.00051843387
