Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,THESSALONIKI,23.138514,23.138514,23.205128,0.5480465,231.0721,231.0721,230.09605,157.62825,7.5978804,7.5978804,5.5401196,17.27133,19.410625,19.410625,19.719484,0.28626257,0.8694237,0.8694237,0.71054363,0.22949204,96.52517,96.52517,94.771385,34.46938,7.6979814,7.6979814,8.632924,5.580369
2019-04-02,THESSALONIKI,25.326956,25.326956,24.92159,7.5736723,216.61429,216.61429,220.52762,218.18039,5.3344097,5.3344097,4.476874,4.4103193,20.537256,20.537256,20.655489,0.35017112,0.82021743,0.82021743,0.596577,0.13616195,97.07916,97.07916,96.61872,2.8560817,5.898849,5.898849,5.9444785,2.1976027
2019-04-03,THESSALONIKI,9.816639,9.816639,9.80838,0.74623096,199.87335,199.87335,195.94586,184.13187,3.8761268,3.8761268,2.7072246,4.4504614,8.187287,8.187287,8.551415,0.91127837,0.63686013,0.63686013,0.5415355,0.05502224,88.39537,88.39537,89.09366,2.950631,3.9553864,3.9553864,3.278899,2.19255
2019-04-04,THESSALONIKI,16.266272,16.266272,16.1591,0.6922835,193.58516,193.58516,186.84293,230.49858,3.8651137,3.8651137,3.1737244,3.0282567,9.321024,9.321024,9.381397,0.3212889,0.6927514,0.6927514,0.62317085,0.07574229,90.12822,90.12822,89.57224,1.4521571,4.030012,4.030012,3.798263,1.6984131
2019-04-05,THESSALONIKI,15.635945,15.635945,15.481694,0.9444806,212.48894,212.48894,215.70903,394.1994,4.808867,4.808867,4.1175575,5.564002,11.206571,11.206571,11.363823,0.28815308,0.63740766,0.63740766,0.4573177,0.07878877,95.173515,95.173515,95.215004,0.5497971,5.3475585,5.3475585,4.344727,5.886669
2019-04-06,THESSALONIKI,22.649353,22.649353,23.152828,2.4086883,204.75134,204.75134,202.3579,504.12402,4.7751913,4.7751913,3.6660047,8.175659,17.967327,17.967327,17.95481,0.29828417,0.5608637,0.5608637,0.6303864,0.07340785,96.65839,96.65839,95.26347,25.37193,7.6969404,7.6969404,7.8589153,0.8315967
2019-04-07,THESSALONIKI,23.07343,23.07343,21.78659,13.992889,199.84415,199.84415,196.45628,233.35611,3.7889361,3.7889361,2.872433,3.6676211,18.709183,18.709183,18.65313,6.645705,0.53582954,0.53582954,0.40561333,0.054211676,98.80443,98.80443,99.04605,5.4544983,4.6180134,4.6180134,3.5790749,5.9376774
2019-04-08,THESSALONIKI,16.2408,16.2408,17.00397,4.2496033,291.7497,291.7497,289.55948,2162.067,10.366177,10.366177,11.144069,9.281471,14.207239,14.207239,13.752022,8.621117,1.3231351,1.3231351,1.1219151,0.15650538,72.525475,72.525475,72.06612,11.274672,8.645729,8.645729,8.289818,12.444812
2019-04-09,THESSALONIKI,7.816081,7.816081,7.7065554,1.4402492,232.29504,232.29504,226.5743,183.62804,6.7409263,6.7409263,6.418793,0.9675765,7.0354605,7.0354605,6.931455,1.3603935,1.0504255,1.0504255,1.1472701,0.06629987,68.12465,68.12465,66.46731,48.30343,5.318116,5.318116,5.99083,1.2288027
2019-04-10,THESSALONIKI,17.303507,17.303507,17.973728,3.2244854,221.75204,221.75204,235.18657,731.02374,5.8407264,5.8407264,5.308548,4.075582,15.7414,15.7414,15.217734,3.9327595,0.85286266,0.85286266,0.6818492,0.12946475,89.01034,89.01034,90.79713,11.731284,5.66842,5.66842,6.8199954,4.6830697
2019-04-11,THESSALONIKI,7.735444,7.735444,7.564095,0.34288874,176.68692,176.68692,170.63905,171.91383,4.0141473,4.0141473,4.1700616,2.3869767,5.8070436,5.8070436,6.417684,0.73544055,0.77678263,0.77678263,0.50227225,0.2620002,97.05509,97.05509,97.90979,5.5307307,3.8927598,3.8927598,3.6092443,4.8743353
2019-04-12,THESSALONIKI,7.2565703,7.2565703,6.8258452,1.848066,184.70389,184.70389,178.86743,348.88602,4.3649797,4.3649797,3.3201914,4.468323,6.1658707,6.1658707,6.453723,0.66364866,0.7769732,0.7769732,0.54642606,0.21061206,87.49737,87.49737,89.032745,4.626672,3.6758823,3.6758823,1.7963948,8.614434
2019-04-13,THESSALONIKI,11.81772,11.81772,11.519531,0.4742473,205.07332,205.07332,207.80043,222.32822,4.3798666,4.3798666,4.465431,2.5047235,10.364973,10.364973,9.876523,0.73676425,0.53085357,0.53085357,0.4310454,0.03707249,95.11621,95.11621,93.40229,6.2960453,5.6355534,5.6355534,6.286726,2.6621847
2019-04-14,THESSALONIKI,9.2731905,9.2731905,9.92419,1.26946,217.63017,217.63017,202.98636,750.48193,4.209366,4.209366,3.2440324,3.9104106,8.626651,8.626651,8.7228985,1.1356232,0.5009848,0.5009848,0.43116432,0.029982548,84.54167,84.54167,83.96756,46.648758,4.1164694,4.1164694,3.078327,4.1520996
2019-04-15,THESSALONIKI,16.50174,16.50174,16.373934,2.0717008,254.80643,254.80643,262.47275,431.68475,7.705757,7.705757,7.3668575,9.196279,15.690776,15.690776,14.851631,3.3312213,1.0396448,1.0396448,0.92255163,0.14904311,75.1212,75.1212,72.687874,27.595783,10.375814,10.375814,10.461768,5.6434345
2019-04-16,THESSALONIKI,15.598288,15.598288,15.886962,0.7344033,211.83188,211.83188,214.24968,336.04468,4.5495667,4.5495667,4.187263,4.216565,12.755188,12.755188,12.818253,0.44368878,0.8061681,0.8061681,0.65278995,0.13544533,90.195496,90.195496,90.1474,2.7467117,5.9331527,5.9331527,5.207319,3.3454247
2019-04-17,THESSALONIKI,9.475724,9.475724,9.862532,0.33468595,186.33116,186.33116,182.89027,58.41532,4.9316654,4.9316654,4.8432584,1.1350814,6.940454,6.940454,7.201263,0.3548277,0.9338583,0.9338583,0.8783258,0.07776786,101.2576,101.2576,101.2087,5.688954,3.7897735,3.7897735,3.921393,0.118220374
2019-04-18,THESSALONIKI,13.423561,13.423561,13.8428545,4.447728,243.79167,243.79167,252.68309,1213.456,6.262393,6.262393,6.875723,4.7790923,11.993883,11.993883,12.170742,4.910279,0.9602559,0.9602559,1.0477378,0.13759974,94.30649,94.30649,93.82133,0.6676733,8.047742,8.047742,7.8230634,17.603786
2019-04-19,THESSALONIKI,10.251648,10.251648,10.252262,0.187242,200.09369,200.09369,200.7917,205.8116,3.402647,3.402647,3.3670063,0.39807186,8.950716,8.950716,8.973384,0.07103704,0.8186135,0.8186135,0.7976227,0.03693367,89.28077,89.28077,89.201195,0.23747614,2.6298096,2.6298096,2.453703,0.29404014
2019-04-20,THESSALONIKI,9.15971,9.15971,9.028856,0.22620466,180.95886,180.95886,180.79518,110.04315,2.427106,2.427106,1.724534,1.3911653,7.6172037,7.6172037,7.374806,0.17334089,0.46945485,0.46945485,0.4061569,0.045600243,91.752075,91.752075,91.884415,0.44408026,3.5213501,3.5213501,3.025086,1.8591702
2019-04-21,THESSALONIKI,10.486095,10.486095,10.603715,0.45410028,184.48734,184.48734,185.38205,122.918724,3.1424966,3.1424966,2.7612066,1.774243,9.368826,9.368826,9.298232,0.42387933,0.53020924,0.53020924,0.4355003,0.054877084,99.72847,99.72847,98.81945,3.4543812,4.3568716,4.3568716,4.507115,2.4779973
2019-04-22,THESSALONIKI,7.9423437,7.9423437,7.8605685,0.109582424,180.20107,180.20107,173.25749,214.29057,3.1941876,3.1941876,2.356219,3.4106255,7.0338936,7.0338936,7.0036473,0.05860188,0.46644893,0.46644893,0.3723546,0.0591895,96.379715,96.379715,96.57755,0.58108485,2.51718,2.51718,1.8432828,1.2342821
