Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,TIRNAVOS,15.250365,15.250365,15.300084,0.24804549,174.82239,174.82239,174.36916,9.263868,1.6333055,1.6333055,1.7189876,0.0573729,10.377095,10.377095,10.3285885,0.0056431764,0.20362262,0.20362262,0.20256154,7.201398e-05,101.05059,101.05059,101.38749,1.8507408,1.9582605,1.9582605,2.0554721,0.03787885
2019-04-02,TIRNAVOS,22.149826,22.149826,22.002384,0.22743452,170.7594,170.7594,171.32288,1.9727268,1.1657733,1.1657733,1.1290666,0.016615102,15.516845,15.516845,15.540491,0.010629844,0.16139446,0.16139446,0.16643754,0.0004053306,96.640236,96.640236,96.57398,0.10355694,1.9927455,1.9927455,2.01959,0.0047092238
2019-04-03,TIRNAVOS,13.262816,13.262816,13.284881,0.1475787,160.97816,160.97816,160.1785,2.4868414,1.274285,1.274285,1.2926762,0.003575098,7.0470967,7.0470967,7.1157207,0.010040193,0.1442811,0.1442811,0.14761592,0.00040016012,88.5902,88.5902,88.44811,0.070057474,1.7440602,1.7440602,1.864521,0.04168248
2019-04-04,TIRNAVOS,15.317513,15.317513,15.285984,0.0024822887,162.93416,162.93416,162.0256,7.7470345,1.2448591,1.2448591,1.2897701,0.009472705,8.526378,8.526378,8.559782,0.0036058081,0.1617219,0.1617219,0.14830093,0.00039121942,86.88804,86.88804,86.83801,0.60418063,1.2877117,1.2877117,1.267864,0.00082452846
2019-04-05,TIRNAVOS,16.844118,16.844118,16.809557,0.0055740788,178.15987,178.15987,174.96333,36.283974,1.3663641,1.3663641,1.4355285,0.04514225,12.128566,12.128566,12.175149,0.031575482,0.14127481,0.14127481,0.14597388,0.000575729,97.16001,97.16001,96.88171,0.64786357,1.5012726,1.5012726,1.5243131,0.0018734727
2019-04-06,TIRNAVOS,16.124575,16.124575,16.324057,0.8664448,166.81895,166.81895,165.22414,13.476668,0.9928623,0.9928623,1.0495766,0.010876089,13.742305,13.742305,13.766486,0.29568008,0.10157919,0.10157919,0.10550138,0.00025160718,101.21403,101.21403,100.26024,2.2997315,2.751302,2.751302,2.7304595,0.009074426
2019-04-07,TIRNAVOS,17.891376,17.891376,17.461687,1.0556957,155.955,155.955,156.44489,9.008461,0.9202736,0.9202736,0.90030736,0.017834544,16.534126,16.534126,16.309149,0.48949292,0.11070493,0.11070493,0.0985203,0.0004857784,96.27293,96.27293,96.86144,1.8057839,1.0760838,1.0760838,1.0305144,0.008502695
2019-04-08,TIRNAVOS,9.364669,9.364669,9.46585,1.9814863,172.95398,172.95398,164.6822,252.8051,1.6225686,1.6225686,1.4952606,0.25858977,7.3809876,7.3809876,7.226575,0.99773496,0.14733647,0.14733647,0.12829748,0.0016458324,81.091606,81.091606,81.0505,1.8950361,0.5221887,0.5221887,0.6023711,0.016111726
2019-04-09,TIRNAVOS,4.433701,4.433701,4.4295325,0.3789904,156.56972,156.56972,157.65376,4.184131,2.8760931,2.8760931,2.935812,0.14154005,3.7962468,3.7962468,3.8401928,0.23820965,0.4589206,0.4589206,0.49887145,0.016157212,72.05346,72.05346,72.223785,4.1778417,2.692996,2.692996,2.6973114,1.0141623
2019-04-10,TIRNAVOS,6.0107226,6.0107226,5.701134,0.2641534,159.29756,159.29756,160.03218,3.4462883,1.0512176,1.0512176,0.92653155,0.036028992,5.3305373,5.3305373,5.123324,0.14793287,0.12172419,0.12172419,0.123812005,0.000399492,79.41076,79.41076,78.231094,5.314927,1.1153864,1.1153864,0.9923724,0.3487874
