Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,TRIKALA,18.434021,18.434021,18.755255,1.4971782,175.93681,175.93681,174.762,7.457402,1.2170426,1.2170426,1.1781651,0.036356255,12.879756,12.879756,12.9529,1.1003381,0.1667754,0.1667754,0.1632552,0.0006782213,101.89671,101.89671,102.10275,0.97077656,2.416357,2.416357,2.3456151,0.08626425
2019-04-02,TRIKALA,18.304424,18.304424,17.958656,1.8067627,167.01357,167.01357,165.99205,15.254425,0.963999,0.963999,0.92643404,0.01547946,14.887474,14.887474,14.956595,0.033914316,0.14266632,0.14266632,0.13181989,0.00050273194,94.62282,94.62282,94.53285,0.2540346,1.9665878,1.9665878,1.9835298,0.0037887536
2019-04-03,TRIKALA,14.191917,14.191917,14.244852,0.40580377,172.88382,172.88382,173.21861,7.4391947,1.2669646,1.2669646,1.2517489,0.013012223,8.557764,8.557764,8.54502,0.17420556,0.16320948,0.16320948,0.1759417,0.0006452777,90.05664,90.05664,90.141754,0.03557356,1.381406,1.381406,1.3497044,0.0025362682
2019-04-04,TRIKALA,13.309107,13.309107,13.361493,0.06227073,182.59016,182.59016,186.02188,28.688442,1.3811743,1.3811743,1.462169,0.0692279,8.857267,8.857267,8.754386,0.028374057,0.15264875,0.15264875,0.14392753,0.00030131018,85.92759,85.92759,86.16631,1.8097693,1.0010296,1.0010296,1.0259384,0.008556737
2019-04-05,TRIKALA,19.18261,19.18261,19.601706,1.3254372,198.17076,198.17076,194.03368,89.43745,2.317336,2.317336,1.9387349,0.6476041,15.136475,15.136475,15.40431,0.45236832,0.22266276,0.22266276,0.20497733,0.0045921523,84.30879,84.30879,85.26045,6.0573044,1.0770094,1.0770094,1.1398668,0.060815323
2019-04-06,TRIKALA,11.198703,11.198703,11.174783,0.6085207,174.18367,174.18367,177.63786,22.943687,1.9658911,1.9658911,1.7698574,0.31537625,9.145338,9.145338,8.956283,0.31680068,0.14015384,0.14015384,0.1352678,0.001336525,90.280136,90.280136,89.13286,8.895971,0.85862696,0.85862696,0.901565,0.036066957
2019-04-07,TRIKALA,17.46835,17.46835,17.496645,0.43324438,159.48682,159.48682,160.13277,2.939405,1.0679059,1.0679059,0.96297723,0.0585581,16.245806,16.245806,16.03659,0.98655033,0.131746,0.131746,0.12740742,0.0006732956,89.41451,89.41451,89.20666,11.178055,1.302203,1.302203,1.3784387,0.050042946
2019-04-08,TRIKALA,3.052554,3.052554,3.0927935,0.17865086,144.70734,144.70734,150.20209,115.16201,0.9752897,0.9752897,0.86795795,0.07447782,2.7092328,2.7092328,2.6169431,0.19357964,0.14705083,0.14705083,0.1256809,0.0026572025,80.68547,80.68547,80.68551,0.9129249,0.3004558,0.3004558,0.33454624,0.0035324756
2019-04-09,TRIKALA,2.2844548,2.2844548,2.163029,0.112122476,161.77925,161.77925,161.21869,1.0836996,1.3221965,1.3221965,1.3065091,0.096321024,2.092664,2.092664,2.0141797,0.12738705,0.20161732,0.20161732,0.19950558,0.0008108841,73.323616,73.323616,73.277306,0.8736445,0.18823291,0.18823291,0.18329038,0.0011852836
2019-04-10,TRIKALA,4.937497,4.937497,4.7038164,0.5570892,163.15526,163.15526,164.24934,4.6189337,0.862992,0.862992,0.7927079,0.04710947,4.734377,4.734377,4.452692,0.60606426,0.10701797,0.10701797,0.10974859,0.00025783214,74.11337,74.11337,72.66285,9.226261,0.23415084,0.23415084,0.21857005,0.0025139905
