Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,VEROIA,16.961731,16.961731,17.077236,0.2280968,176.20682,176.20682,175.97281,132.60663,1.6379778,1.6379778,1.6107844,0.129476,11.779377,11.779377,11.93008,0.09339668,0.271156,0.271156,0.23168713,0.011790663,101.36234,101.36234,101.713776,7.8893986,2.0971847,2.0971847,2.2152236,0.05179692
2019-04-02,VEROIA,22.32338,22.32338,21.647743,5.945866,192.09407,192.09407,187.80066,928.55457,1.2885728,1.2885728,1.2142501,0.12895337,18.288517,18.288517,18.173477,0.6114975,0.16962387,0.16962387,0.16449952,0.0031325568,97.05344,97.05344,97.32187,0.7112084,2.8382187,2.8382187,2.760082,0.072197996
2019-04-03,VEROIA,13.482184,13.482184,13.527034,0.030435704,161.7778,161.7778,162.1471,16.137838,1.700892,1.700892,1.5218263,0.12604089,10.354324,10.354324,10.4068985,0.55183333,0.19439405,0.19439405,0.18604207,0.0029778294,78.59303,78.59303,77.827095,3.0061731,1.2516282,1.2516282,1.2608225,0.019127633
2019-04-04,VEROIA,15.938091,15.938091,16.024494,0.6076094,174.45049,174.45049,174.74097,48.16943,1.262066,1.262066,1.2354136,0.025447786,10.313835,10.313835,10.222139,0.1702046,0.22758596,0.22758596,0.22304294,0.0015689755,80.732376,80.732376,80.61209,1.2825738,1.3972485,1.3972485,1.410676,0.016931577
2019-04-05,VEROIA,19.44165,19.44165,20.094227,11.919767,179.36075,179.36075,179.21625,75.44673,1.7750329,1.7750329,1.7319064,0.1205883,14.34244,14.34244,14.339803,0.47948098,0.21888265,0.21888265,0.19247179,0.003533908,89.3911,89.3911,89.96585,10.740122,0.7297736,0.7297736,0.725791,0.014231787
2019-04-06,VEROIA,21.866234,21.866234,20.465782,9.145972,174.50594,174.50594,172.1932,56.011005,1.2392445,1.2392445,1.1726036,0.05253549,19.350666,19.350666,19.141365,3.3402152,0.15156454,0.15156454,0.12073542,0.004116977,96.810715,96.810715,97.13612,3.4655137,1.9335128,1.9335128,1.8169395,0.08796411
2019-04-07,VEROIA,30.617258,30.617258,30.516006,6.966218,176.0999,176.0999,175.44673,20.913582,1.2020161,1.2020161,1.2248158,0.09909946,25.576326,25.576326,25.24673,3.5291939,0.1493694,0.1493694,0.12564349,0.0037902694,93.96532,93.96532,94.40037,4.916992,3.3688536,3.3688536,3.4261804,0.06976527
2019-04-08,VEROIA,12.8619175,12.8619175,13.434259,2.0999782,204.36656,204.36656,208.62305,216.41867,3.865038,3.865038,3.7241158,0.48540008,12.110256,12.110256,12.578247,3.2162075,0.5038602,0.5038602,0.46838987,0.013957846,71.67537,71.67537,71.8143,0.123751126,2.1481745,2.1481745,2.0113347,1.1303324
2019-04-09,VEROIA,9.034229,9.034229,9.041658,0.049957126,168.13756,168.13756,167.58539,28.883797,2.8967729,2.8967729,2.9364052,0.015057267,7.8727946,7.8727946,7.933015,0.03459827,0.50799257,0.50799257,0.48800993,0.01018207,77.19632,77.19632,77.31998,0.47726148,7.39186,7.39186,7.1600103,0.9096445
2019-04-10,VEROIA,13.00547,13.00547,11.984079,6.3363433,166.98209,166.98209,169.71005,53.188053,3.1323404,3.1323404,2.8319902,1.9134358,10.179644,10.179644,9.966713,1.5687261,0.59339505,0.59339505,0.49045563,0.11887029,76.857315,76.857315,75.96144,6.042794,5.626813,5.626813,3.567216,23.75201
