Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,VOLOS,16.101168,16.101168,15.375572,0.96391785,172.7947,172.7947,170.84378,29.350775,2.7153668,2.7153668,2.1253185,0.61239964,11.150385,11.150385,11.049967,0.99593526,0.5244715,0.5244715,0.53272235,0.013374505,88.10698,88.10698,88.22546,3.9749475,3.2077365,3.2077365,3.3360267,0.045092016
2019-04-02,VOLOS,22.008022,22.008022,22.214523,1.0334246,175.74078,175.74078,173.36174,28.716167,1.295419,1.295419,0.94802743,0.42268783,16.958574,16.958574,16.919285,0.17317413,0.24771473,0.24771473,0.22504665,0.0065067774,94.69627,94.69627,94.40656,0.3944206,2.005012,2.005012,1.8998208,0.07357842
2019-04-03,VOLOS,8.604081,8.604081,8.282105,0.8221985,164.26863,164.26863,164.70563,11.458173,1.42079,1.42079,1.0987264,0.27121788,6.8464537,6.8464537,6.673962,0.6534698,0.2591434,0.2591434,0.2424041,0.005909849,92.120995,92.120995,92.13259,0.443956,1.394173,1.394173,1.4485977,0.0069166897
2019-04-04,VOLOS,14.8556795,14.8556795,14.839309,0.009404686,167.50784,167.50784,169.21925,6.3419657,1.4296291,1.4296291,1.394639,0.11044862,8.066376,8.066376,8.102278,0.020237373,0.34746283,0.34746283,0.298904,0.0048128897,88.65758,88.65758,89.02641,0.8150566,1.7235407,1.7235407,1.699732,0.0037306484
2019-04-05,VOLOS,15.607819,15.607819,15.745448,0.4603285,186.75218,186.75218,188.38054,29.423105,1.464962,1.464962,1.2482152,0.12155167,12.130799,12.130799,11.979295,0.5954596,0.22762518,0.22762518,0.19061017,0.0037690557,96.87555,96.87555,96.2019,1.1291219,2.2512012,2.2512012,2.2326958,0.015408069
2019-04-06,VOLOS,22.193913,22.193913,21.647898,1.2530143,175.35031,175.35031,173.87027,9.037673,1.1821263,1.1821263,1.0696886,0.102330014,18.111923,18.111923,17.907686,0.17782187,0.12833963,0.12833963,0.1063114,0.0046198824,100.98771,100.98771,103.39982,14.9187565,3.955773,3.955773,3.8380675,0.100233294
2019-04-07,VOLOS,21.175194,21.175194,20.397707,2.8570964,172.04016,172.04016,173.98204,14.786351,1.4381568,1.4381568,1.2642047,0.15974544,19.840626,19.840626,20.088531,0.9062483,0.27996022,0.27996022,0.24125768,0.006071134,92.88375,92.88375,93.14125,1.2569587,2.060469,2.060469,2.0279458,0.005865996
2019-04-08,VOLOS,8.12866,8.12866,7.7995706,4.2125597,186.51099,186.51099,185.1838,86.50872,3.0959868,3.0959868,2.5169003,1.3529848,7.3539796,7.3539796,7.209046,2.9233563,0.53367877,0.53367877,0.4964936,0.060145665,76.90931,76.90931,76.88999,8.776026,1.0921767,1.0921767,1.2223623,0.15551838
2019-04-09,VOLOS,6.1151495,6.1151495,5.497165,1.7226566,168.76218,168.76218,170.81386,18.372812,2.1365397,2.1365397,2.4944015,0.29512548,5.077193,5.077193,4.822589,0.49568874,0.44936687,0.44936687,0.53697073,0.050479747,79.1275,79.1275,80.1069,12.708145,1.0938658,1.0938658,1.005296,0.053770375
2019-04-10,VOLOS,9.485584,9.485584,9.117552,0.4413925,175.39517,175.39517,176.36346,17.539494,2.9091847,2.9091847,2.8660786,0.4864776,9.278601,9.278601,8.963012,0.34244332,0.5190106,0.5190106,0.5144471,0.01614988,84.203735,84.203735,83.54842,1.9472173,1.8021324,1.8021324,1.794426,0.0072649242
2019-04-11,VOLOS,4.7563086,4.7563086,4.680002,0.45973283,144.50034,144.50034,144.04526,3.247839,1.5040826,1.5040826,1.5610198,0.18469298,4.0374455,4.0374455,3.770145,0.4149724,0.20600931,0.20600931,0.19103676,0.0056198584,86.79106,86.79106,86.675545,16.18465,0.43949622,0.43949622,0.4046683,0.030611282
2019-04-12,VOLOS,9.162815,9.162815,9.698939,1.3242218,159.0771,159.0771,157.54468,20.511774,2.1526382,2.1526382,2.0256288,0.14493433,7.8251495,7.8251495,8.14166,0.78083575,0.32264113,0.32264113,0.3158354,0.0019217556,77.14006,77.14006,76.846985,3.938134,0.8035051,0.8035051,0.7857473,0.017202038
