Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΑΓΙΑΣ,-2.2783523,-2.2783523,-2.2383575,0.21760446,-4.706407,-4.706407,-4.9183655,1.1213367,279.17145,279.17145,279.57007,0.77754587,3936833.0,3936833.0,3858058.8,245118520000.0,-1350169.1,-1350169.1,-1256498.0,50975937000.0
2019-01-02,ΔΗΜΟΣ ΑΓΙΑΣ,-0.1103174,-0.1103174,-0.07571602,0.045765508,0.13122706,0.13122706,0.11629009,0.053405486,279.13623,279.13623,279.0332,0.88047564,7920070.0,7920070.0,7878596.5,28895910000.0,-4058240.0,-4058240.0,-4047579.5,22131309000.0
2019-01-03,ΔΗΜΟΣ ΑΓΙΑΣ,1.8023373,1.8023373,1.7348213,0.18461561,-6.180824,-6.180824,-6.699112,4.3154364,274.7847,274.7847,274.78247,0.4042363,676290.56,676290.56,679013.3,1055650400.0,-553441.4,-553441.4,-610808.5,28442130000.0
2019-01-04,ΔΗΜΟΣ ΑΓΙΑΣ,0.10821256,0.10821256,0.007537842,0.15226045,-4.682674,-4.682674,-4.4713373,2.4926262,272.84262,272.84262,272.9646,0.41388556,1827916.9,1827916.9,1918088.2,46421996000.0,-1055754.4,-1055754.4,-1108941.0,23786453000.0
2019-01-05,ΔΗΜΟΣ ΑΓΙΑΣ,1.2422448,1.2422448,1.3289814,0.072669,-3.0966368,-3.0966368,-3.563034,2.32203,273.4775,273.4775,273.30273,0.3875779,2178259.0,2178259.0,2225605.0,60350990000.0,-1108755.5,-1108755.5,-1078390.0,55652413000.0
2019-01-06,ΔΗΜΟΣ ΑΓΙΑΣ,1.26426,1.26426,1.2027588,0.5501276,-2.9405825,-2.9405825,-3.3850298,2.8572366,276.33032,276.33032,276.03638,0.63038194,4752315.5,4752315.5,4832959.5,388827350000.0,-3530151.8,-3530151.8,-3548005.5,155521140000.0
2019-01-07,ΔΗΜΟΣ ΑΓΙΑΣ,-0.15845004,-0.15845004,-0.122161865,0.17948101,-6.2183614,-6.2183614,-6.670532,2.6062362,273.45325,273.45325,273.86426,0.9434692,4040853.5,4040853.5,4137342.5,276215630000.0,-3162091.2,-3162091.2,-3287212.5,266260510000.0
2019-01-08,ΔΗΜΟΣ ΑΓΙΑΣ,0.9752197,0.9752197,1.006958,0.073683254,1.1356492,1.1356492,1.130722,0.033760782,271.7095,271.7095,271.87573,0.9391377,5171988.5,5171988.5,5280717.0,431986250000.0,-4347747.5,-4347747.5,-4416087.5,165703340000.0
2019-01-09,ΔΗΜΟΣ ΑΓΙΑΣ,1.1654053,1.1654053,1.2142334,0.15843578,0.8484563,0.8484563,1.0043068,0.47449157,275.64365,275.64365,275.62012,0.6228733,1401196.8,1401196.8,1388841.8,26146802000.0,-426809.4,-426809.4,-466238.5,57259094000.0
2019-01-10,ΔΗΜΟΣ ΑΓΙΑΣ,1.4880912,1.4880912,1.5166779,0.05994695,3.3048644,3.3048644,3.3319416,0.37377557,281.0198,281.0198,281.2251,0.73177606,3088617.0,3088617.0,3016199.0,178148620000.0,-1273069.2,-1273069.2,-1219606.0,16050111000.0
2019-01-11,ΔΗΜΟΣ ΑΓΙΑΣ,-0.5335144,-0.5335144,-0.534502,0.031378698,-2.9110677,-2.9110677,-2.9348602,0.81875616,278.2442,278.2442,278.3313,0.4805128,4423653.5,4423653.5,4448112.0,326480860000.0,-2365921.2,-2365921.2,-2342042.5,51292684000.0
2019-01-12,ΔΗΜΟΣ ΑΓΙΑΣ,0.40577558,0.40577558,0.5180359,0.06811586,-3.9001458,-3.9001458,-4.414572,2.3474946,276.93094,276.93094,276.94995,0.40122926,2026466.0,2026466.0,2068607.2,183611060000.0,-557213.3,-557213.3,-525682.0,22351272000.0
2019-01-13,ΔΗΜΟΣ ΑΓΙΑΣ,-0.29439154,-0.29439154,-0.23320103,0.018547582,-0.005675489,-0.005675489,-0.092900276,0.15359615,277.88354,277.88354,277.91235,0.31256577,6282167.5,6282167.5,6418671.0,1205112300000.0,-3987730.2,-3987730.2,-4090088.5,176467410000.0
