Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,-0.98420715,-0.98420715,-0.9141388,0.33495626,-2.652171,-2.652171,-2.6280823,0.650447,276.5381,276.5381,277.02856,4.3337984,1856186.1,1856186.1,1722628.8,181783770000.0,-416706.62,-416706.62,-464438.25,210658260000.0
2019-01-02,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,-0.2997354,-0.2997354,-0.2760334,0.064233296,0.2681252,0.2681252,0.29121685,0.026349174,278.31006,278.31006,278.69727,2.5445306,7198780.5,7198780.5,7558298.5,576056900000.0,-3577626.8,-3577626.8,-3703649.5,144845780000.0
2019-01-03,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,1.8250719,1.8250719,1.8398018,0.014045429,-1.5755768,-1.5755768,-1.5733795,0.20779867,272.83008,272.83008,273.09155,1.8638798,548592.06,548592.06,557258.06,6373862000.0,-132607.17,-132607.17,-184772.0,69597585000.0
2019-01-04,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,1.547699,1.547699,1.5177917,0.048116606,-1.370019,-1.370019,-1.354394,0.045835484,272.49167,272.49167,272.59058,1.4140633,1455409.0,1455409.0,1442912.5,36185936000.0,-1105187.1,-1105187.1,-1145660.5,41294790000.0
2019-01-05,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,2.1553974,2.1553974,2.2127705,0.2110765,-0.75387067,-0.75387067,-0.7454071,0.18047075,270.99936,270.99936,271.08838,2.2340004,1575025.1,1575025.1,1504478.6,31151786000.0,-966388.94,-966388.94,-1004765.75,54443280000.0
2019-01-06,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,0.52229816,0.52229816,0.45898438,0.3571951,-0.18107064,-0.18107064,-0.21754932,0.07832075,274.75278,274.75278,274.91455,2.0727856,3338453.8,3338453.8,3250518.5,282136350000.0,-2479725.2,-2479725.2,-2440834.2,296712600000.0
2019-01-07,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,-0.50790405,-0.50790405,-0.46347046,0.068751544,-2.0667317,-2.0667317,-2.1011963,0.21139908,271.53748,271.53748,271.9812,4.073065,2943247.2,2943247.2,2893031.8,174880280000.0,-2001549.5,-2001549.5,-1885687.5,125201250000.0
2019-01-08,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,0.41481528,0.41481528,0.3770752,0.2193742,-0.12552388,-0.12552388,-0.18348694,0.049486544,272.49826,272.49826,272.67822,1.7156309,3586575.2,3586575.2,3442519.0,310901930000.0,-3256336.8,-3256336.8,-3164885.2,146467490000.0
2019-01-09,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,-0.35437012,-0.35437012,-0.32385254,0.05529521,0.8605487,0.8605487,0.74991226,0.4538324,275.65097,275.65097,275.79663,0.56986445,1496702.6,1496702.6,1512241.8,39403540000.0,-369404.62,-369404.62,-273508.0,112493620000.0
2019-01-10,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,0.37076315,0.37076315,0.28889465,0.077474274,1.8456541,1.8456541,1.8746662,0.022386966,279.2863,279.2863,279.5652,1.6659912,2665508.2,2665508.2,2643234.0,226644640000.0,-1194015.1,-1194015.1,-1161880.5,48904552000.0
2019-01-11,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,-1.2852955,-1.2852955,-1.2673512,0.010162622,-0.73088074,-0.73088074,-0.6899872,0.0092103435,278.0201,278.0201,278.12695,2.254027,2832372.8,2832372.8,2733125.5,84347230000.0,-1427108.0,-1427108.0,-1382161.2,23593460000.0
2019-01-12,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,1.972992,1.972992,1.9842224,0.19149525,-1.1532192,-1.1532192,-1.1482143,0.33582282,274.08206,274.08206,274.17334,1.0964719,853500.56,853500.56,878850.2,16313689000.0,-27378.459,-27378.459,-79023.75,23225854000.0
