Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.7105822,0.7105822,0.71891785,0.0077730822,-1.1266872,-1.1266872,-1.163971,0.08035264,276.2544,276.2544,276.13477,4.2511373,5497987.5,5497987.5,5468742.5,117341670000.0,-2777263.8,-2777263.8,-2838756.0,95883444000.0
2019-01-02,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.4406414,0.4406414,0.43392754,0.030577362,-1.0726573,-1.0726573,-1.1476259,0.13742436,275.4045,275.4045,275.2744,2.2927969,7202203.5,7202203.5,7188501.0,32520825000.0,-4567120.0,-4567120.0,-4581426.5,53220600000.0
2019-01-03,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.3226422,1.3226422,1.3361397,0.11552554,-1.8231703,-1.8231703,-1.8075104,0.069406494,271.0377,271.0377,271.05884,3.4027734,1284714.1,1284714.1,1318976.0,13663939000.0,-820578.44,-820578.44,-843269.75,23158018000.0
2019-01-04,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.49048287,0.49048287,0.50509644,0.054952633,-1.2812214,-1.2812214,-1.2821283,0.013209677,268.36295,268.36295,268.25635,2.422273,1603662.9,1603662.9,1646274.2,136798740000.0,-886491.4,-886491.4,-887846.75,22855810000.0
2019-01-05,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.037896,1.037896,1.104372,0.06216583,-0.80905807,-0.80905807,-0.7939911,0.009747433,267.51413,267.51413,267.1062,1.375194,3492109.8,3492109.8,3665131.5,811436540000.0,-2230576.5,-2230576.5,-2206366.2,9413219000.0
2019-01-06,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.15911,1.15911,1.211792,0.11344528,-1.1555376,-1.1555376,-1.1511431,0.03862105,270.88596,270.88596,270.88135,3.2629426,3903991.2,3903991.2,4159385.8,803310530000.0,-2374629.2,-2374629.2,-2292670.8,58206000000.0
2019-01-07,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.0877641,1.0877641,1.1161194,0.10301977,-1.6307896,-1.6307896,-1.5952148,0.013490023,265.86813,265.86813,265.78198,2.8073192,3813054.0,3813054.0,4061577.5,786699000000.0,-2467951.8,-2467951.8,-2462168.5,20695642000.0
2019-01-08,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.3875558,0.3875558,0.40979004,0.015486926,0.16781399,0.16781399,0.10899353,0.063475765,268.28598,268.28598,268.01538,2.1289926,4594949.0,4594949.0,4873840.5,1083416600000.0,-3215018.2,-3215018.2,-3200543.2,24559809000.0
2019-01-09,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.75538856,-0.75538856,-0.8277588,0.1347235,0.23533358,0.23533358,0.43179703,0.24978283,268.71964,268.71964,268.5935,0.3717285,1366464.0,1366464.0,1434341.8,118326750000.0,28113.072,28113.072,51192.0,6195426000.0
2019-01-10,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.28888157,-0.28888157,-0.3568573,0.16128135,-0.029526029,-0.029526029,-0.016202927,0.13820548,274.60233,274.60233,274.54297,1.6758233,2031754.1,2031754.1,2153606.5,209884200000.0,-855212.2,-855212.2,-840741.5,6363921000.0
2019-01-11,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.66702735,0.66702735,0.7547436,0.05395212,-1.3352159,-1.3352159,-1.332077,0.0068026516,271.8707,271.8707,271.85474,2.5489926,3964662.8,3964662.8,4219567.5,762223400000.0,-2504516.0,-2504516.0,-2416763.5,105963520000.0
2019-01-12,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.1233826,1.1233826,1.1833191,0.087023094,-1.3569895,-1.3569895,-1.3874722,0.012764811,269.39703,269.39703,269.13257,1.369693,4437559.5,4437559.5,4654593.0,1002155740000.0,-2970170.2,-2970170.2,-2997521.5,38846000000.0
2019-01-13,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.7313637,0.7313637,0.73762417,0.0072107646,-0.37669632,-0.37669632,-0.39770985,0.021650193,271.96045,271.96045,271.4402,2.7870479,4622669.0,4622669.0,4899703.5,853966600000.0,-2942007.8,-2942007.8,-2850891.2,98262160000.0
2019-01-14,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.5549273,0.5549273,0.58547974,0.012759147,-0.43635792,-0.43635792,-0.41069698,0.013009875,273.36395,273.36395,273.22412,3.3312247,2736378.8,2736378.8,2903432.0,267895180000.0,-1355557.0,-1355557.0,-1313453.5,35504316000.0
2019-01-15,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.6631699,1.6631699,1.694664,0.10593846,-2.1684024,-2.1684024,-2.1412506,0.050075028,269.27197,269.27197,269.41235,3.140421,5059531.5,5059531.5,5356314.0,899610640000.0,-3948862.2,-3948862.2,-3892856.2,33067913000.0
2019-01-16,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.5593306,1.5593306,1.5845642,0.025145309,-0.41521344,-0.41521344,-0.43164062,0.08270699,273.62747,273.62747,273.5171,2.9429867,5057296.0,5057296.0,5352124.0,835188300000.0,-2962554.0,-2962554.0,-2957619.8,40267194000.0
2019-01-17,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.45983288,0.45983288,0.46278,0.0015533882,0.16174766,0.16174766,0.17995358,0.0071442784,277.6689,277.6689,277.5747,1.5578812,5191351.5,5191351.5,5487225.0,782946700000.0,-3068935.5,-3068935.5,-3014339.5,74968660000.0
2019-01-18,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.25733948,0.25733948,0.2811432,0.004182694,0.29860958,0.29860958,0.34323502,0.13684164,277.4943,277.4943,277.62463,2.2053127,3784118.8,3784118.8,4018367.0,396985530000.0,-1908702.0,-1908702.0,-1915139.8,16767186000.0
2019-01-19,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.64747185,-0.64747185,-0.63371277,0.017756656,0.33825344,0.33825344,0.34951878,0.008338218,277.9353,277.9353,277.8833,4.0775914,3733576.2,3733576.2,3892725.0,287967120000.0,-1751607.6,-1751607.6,-1728009.6,18248952000.0
2019-01-20,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.17359924,-0.17359924,-0.14118958,0.023600148,0.23397636,0.23397636,0.22738457,0.03100884,279.31305,279.31305,279.31885,3.306657,3303162.8,3303162.8,3350414.5,173627380000.0,-771783.1,-771783.1,-753188.75,9332989000.0
2019-01-21,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.41276985,-0.41276985,-0.40345764,0.02764246,0.25521633,0.25521633,0.22019958,0.027241373,278.6286,278.6286,278.4038,3.274013,5161945.0,5161945.0,5378457.0,358746700000.0,-2196588.8,-2196588.8,-2207664.0,32187918000.0
2019-01-22,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.9610639,-0.9610639,-0.999115,0.05593901,0.3949232,0.3949232,0.50747204,0.19281939,276.0084,276.0084,276.09937,2.4509394,1051738.8,1051738.8,1038537.94,26244979000.0,215834.83,215834.83,232774.25,3937057300.0
2019-01-23,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-1.0840312,-1.0840312,-1.112648,0.11276051,0.12846592,0.12846592,0.29873657,0.15788405,276.5159,276.5159,276.61792,3.570142,1706880.2,1706880.2,1658527.5,31371336000.0,-374538.28,-374538.28,-350645.0,12952306000.0
2019-01-24,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.36984906,-0.36984906,-0.32939148,0.045456875,-0.03711932,-0.03711932,-0.028975487,0.12796684,280.84283,280.84283,280.9541,4.159925,6441919.5,6441919.5,6363014.5,379385580000.0,-2328865.5,-2328865.5,-2296398.5,57827987000.0
2019-01-25,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.2425874,1.2425874,1.2387161,0.022829283,-1.1217605,-1.1217605,-1.1507435,0.012157189,274.9587,274.9587,275.03613,3.5047493,636441.8,636441.8,645249.56,4847462000.0,20870.428,20870.428,59667.5,12898274000.0
2019-01-26,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.2612436,1.2612436,1.3487854,0.24259357,-1.9038584,-1.9038584,-1.903719,0.004179663,270.91534,270.91534,270.66577,1.2696955,2607820.0,2607820.0,2866334.0,253968700000.0,-901574.7,-901574.7,-907737.25,4518313000.0
2019-01-27,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.3297555,-0.3297555,-0.3283081,0.027414162,0.38396835,0.38396835,0.40032578,0.009741194,277.7867,277.7867,277.61816,1.248727,5475264.0,5475264.0,5861347.5,991614660000.0,-3111264.8,-3111264.8,-3037188.5,115277740000.0
2019-01-28,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-1.1602808,-1.1602808,-1.1613445,0.045058317,0.99277496,0.99277496,1.0118878,0.07897752,277.5151,277.5151,277.2566,2.4073083,3971946.2,3971946.2,3945103.5,421885940000.0,-1558249.8,-1558249.8,-1521462.0,59443020000.0
2019-01-29,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.47749096,-0.47749096,-0.50223637,0.04015702,0.1690434,0.1690434,0.22721863,0.11776654,277.74594,277.74594,277.75244,3.7576103,1495064.6,1495064.6,1460350.5,61789200000.0,-19478.822,-19478.822,-15363.5,10410847000.0
2019-01-30,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.5384855,0.5384855,0.5521574,0.08856057,-0.67241603,-0.67241603,-0.6911974,0.016112367,277.5144,277.5144,277.7517,5.315311,1671597.8,1671597.8,1677748.0,37058570000.0,-19370.928,-19370.928,27283.25,21740913000.0
2019-01-31,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.9700275,0.9700275,1.0405493,0.3018751,-0.090005465,-0.090005465,-0.09839344,0.0101933945,278.09494,278.09494,278.14087,6.011093,2874342.0,2874342.0,2911817.5,88228454000.0,-1392152.4,-1392152.4,-1351236.2,29775297000.0
2019-02-01,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.7961927,-0.7961927,-0.83180237,0.024682561,1.0200545,1.0200545,0.99316406,0.07754161,280.25772,280.25772,280.50732,6.73208,6100185.0,6100185.0,5934274.5,600083900000.0,-2633572.5,-2633572.5,-2574029.5,197096110000.0
2019-02-02,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-1.1950182,-1.1950182,-1.194809,0.02072692,0.8488832,0.8488832,0.83481026,0.043183006,281.53107,281.53107,281.81592,6.22863,5911220.5,5911220.5,5764852.0,589325200000.0,-1989004.0,-1989004.0,-1918767.5,129348710000.0
2019-02-03,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-1.3750352,-1.3750352,-1.426549,0.17275786,0.9896807,0.9896807,1.0483093,0.051307444,281.02335,281.02335,281.39844,2.775952,4119392.5,4119392.5,4152950.5,177167000000.0,-565098.2,-565098.2,-543835.75,28568359000.0
2019-02-04,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-1.1692832,-1.1692832,-1.167923,0.0024277458,0.0034138816,0.0034138816,0.021375656,0.011432918,282.73514,282.73514,283.02466,4.378605,3356544.8,3356544.8,3404909.5,134943890000.0,-410223.2,-410223.2,-398443.25,69967850000.0
2019-02-05,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.5164315,-0.5164315,-0.5417175,0.04829248,-0.74391663,-0.74391663,-0.77766037,0.08997406,283.73734,283.73734,283.9048,6.0797815,6523173.0,6523173.0,6564498.5,912575900000.0,-1793970.1,-1793970.1,-1872566.8,242239640000.0
2019-02-06,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.53754574,0.53754574,0.548131,0.026460012,-1.4442471,-1.4442471,-1.416729,0.006081849,276.53912,276.53912,276.5183,3.2412179,1762619.2,1762619.2,1807008.5,18990438000.0,-929886.44,-929886.44,-960313.75,49652105000.0
2019-02-07,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.18817356,-0.18817356,-0.19841003,0.03594447,-0.70326424,-0.70326424,-0.76332283,0.20677423,278.71844,278.71844,278.77954,4.25901,5350825.0,5350825.0,5373011.0,355689800000.0,-1982521.1,-1982521.1,-2023446.0,128442565000.0
2019-02-08,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.84476745,-0.84476745,-0.8209114,0.019901907,-0.16823687,-0.16823687,-0.2068634,0.23016937,278.6602,278.6602,278.71265,3.3571072,6415070.5,6415070.5,6494489.5,96498720000.0,-2148200.2,-2148200.2,-2141624.0,76481634000.0
2019-02-09,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.61424035,-0.61424035,-0.59521484,0.049787164,0.43919903,0.43919903,0.40083408,0.12325727,280.53482,280.53482,280.25696,2.2286334,8583194.0,8583194.0,8632048.0,120918400000.0,-3398903.2,-3398903.2,-3384064.2,45204450000.0
2019-02-10,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.54652065,-0.54652065,-0.58061314,0.106238484,0.74133885,0.74133885,0.7211275,0.011006517,282.29596,282.29596,282.1942,1.4123279,10167986.0,10167986.0,10252318.0,210116500000.0,-4331393.5,-4331393.5,-4390256.0,90221625000.0
2019-02-11,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.7537745,-0.7537745,-0.71111965,0.11568717,1.8463342,1.8463342,1.8238554,0.2725494,283.07074,283.07074,283.11755,2.999188,8824194.0,8824194.0,8924698.0,119202620000.0,-3151885.5,-3151885.5,-3174109.8,59812684000.0
2019-02-12,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.1689914,1.1689914,1.1481524,0.17631516,-2.7401729,-2.7401729,-2.6851368,0.045660574,277.5333,277.5333,277.6057,5.8013687,9507738.0,9507738.0,9612110.0,389190250000.0,-3804230.2,-3804230.2,-3811013.5,204220170000.0
2019-02-13,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.18297686,-0.18297686,-0.20890808,0.034299605,-2.6581616,-2.6581616,-2.6874237,0.04844456,276.38354,276.38354,276.49048,5.6374283,9134231.0,9134231.0,9310792.0,256774100000.0,-3954784.0,-3954784.0,-4029037.0,121454010000.0
2019-02-14,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.3242114,1.3242114,1.3641806,0.118506186,-2.409448,-2.409448,-2.4286652,0.03985132,276.52798,276.52798,276.38672,2.0167096,9887887.0,9887887.0,10067204.0,460446040000.0,-4345935.0,-4345935.0,-4386522.0,92999870000.0
2019-02-15,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.7783695,-0.7783695,-0.7002096,0.035681468,-1.3137447,-1.3137447,-1.300003,0.0437934,276.99268,276.99268,276.96875,6.1126246,8880722.0,8880722.0,8903028.0,148533280000.0,-3642377.5,-3642377.5,-3678595.0,109686645000.0
2019-02-16,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.2934505,0.2934505,0.30973816,0.026414424,-1.266353,-1.266353,-1.3620911,0.23286322,280.20975,280.20975,280.22656,3.585875,11303408.0,11303408.0,11450506.0,245518120000.0,-4656857.5,-4656857.5,-4698049.0,96019235000.0
2019-02-17,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.15469591,0.15469591,0.23346615,0.054154813,-0.4751151,-0.4751151,-0.58081055,0.16564481,281.64886,281.64886,281.6515,2.0742345,11553139.0,11553139.0,11635784.0,182440410000.0,-4686467.0,-4686467.0,-4717301.0,49333820000.0
2019-02-18,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.597161,-0.597161,-0.5965681,0.014756498,0.18260847,0.18260847,0.15838623,0.10853565,283.93158,283.93158,283.9026,2.1008122,11931062.0,11931062.0,11956980.0,117335130000.0,-4774583.0,-4774583.0,-4796172.5,52338463000.0
2019-02-19,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.93274146,-0.93274146,-0.92185974,0.0076074577,0.5117776,0.5117776,0.49983215,0.018446172,283.46585,283.46585,283.4048,2.797827,12051080.0,12051080.0,12024874.0,53464190000.0,-4645313.5,-4645313.5,-4636004.0,55715550000.0
2019-02-20,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.27877262,0.27877262,0.33576202,0.03786114,-1.0957707,-1.0957707,-1.1807404,0.1825595,285.31992,285.31992,285.40833,5.6496058,12285467.0,12285467.0,12287360.0,29086420000.0,-4688532.0,-4688532.0,-4677315.0,69368880000.0
2019-02-21,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.55589515,0.55589515,0.54855347,0.03270031,-1.5394723,-1.5394723,-1.534729,0.047486715,282.86984,282.86984,282.86377,5.546219,12666448.0,12666448.0,12677942.0,30810642000.0,-4942883.0,-4942883.0,-4984064.5,86005900000.0
2019-02-22,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.8511788,0.8511788,0.8691406,0.0080870595,-0.64954895,-0.64954895,-0.6783924,0.016081901,279.56488,279.56488,279.61475,5.3253045,7890025.0,7890025.0,7882020.5,70016740000.0,-3360267.8,-3360267.8,-3355665.0,91230030000.0
2019-02-23,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.44648743,0.44648743,0.47016907,0.12757571,-2.1021936,-2.1021936,-2.071536,0.10108445,270.63647,270.63647,270.41748,2.7313273,3175718.2,3175718.2,3149526.0,42470170000.0,-1086531.8,-1086531.8,-1084165.8,37490170000.0
2019-02-24,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.044958796,0.044958796,0.05059147,0.018989101,-1.4242662,-1.4242662,-1.4924164,0.12021432,272.79584,272.79584,272.51636,3.26096,8853748.0,8853748.0,8963956.0,110309280000.0,-3043820.0,-3043820.0,-3040925.2,10484712000.0
2019-02-25,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.36268616,0.36268616,0.36097717,0.14045013,-1.3094875,-1.3094875,-1.3269958,0.058499526,274.76413,274.76413,274.68335,3.129209,7413794.5,7413794.5,7505381.0,249550230000.0,-3390870.0,-3390870.0,-3436009.5,10882802000.0
2019-02-26,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,1.1358861,1.1358861,1.2341003,0.0967539,-1.2654722,-1.2654722,-1.2419996,0.007815487,280.6565,280.6565,280.6277,2.9466853,12021355.0,12021355.0,12021336.0,36330197000.0,-4670518.5,-4670518.5,-4643210.0,14047099000.0
2019-02-27,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.9549888,0.9549888,0.9983063,0.04467723,-2.1666353,-2.1666353,-2.1484995,0.032188367,279.62958,279.62958,279.67407,6.574418,10242519.0,10242519.0,10237702.0,194815280000.0,-3662747.5,-3662747.5,-3717466.0,150208860000.0
2019-02-28,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.82970536,0.82970536,0.8867645,0.0317759,-0.40395683,-0.40395683,-0.40960693,0.026847253,284.05618,284.05618,284.06055,3.8575165,13072162.0,13072162.0,13075878.0,33284852000.0,-4760178.0,-4760178.0,-4768948.0,41881575000.0
2019-03-01,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.1771153,0.1771153,0.23040771,0.06281274,-0.55951816,-0.55951816,-0.6006384,0.053520445,287.00592,287.00592,287.05127,5.408341,13447421.0,13447421.0,13425575.0,18900270000.0,-4859684.5,-4859684.5,-4869828.0,63976067000.0
2019-03-02,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.3266972,0.3266972,0.3290863,0.028394694,-2.1270404,-2.1270404,-2.1600342,0.066713326,284.38412,284.38412,284.36743,6.1055837,11192350.0,11192350.0,11230590.0,74342460000.0,-3461314.5,-3461314.5,-3471031.0,95682945000.0
2019-03-03,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.4506862,0.4506862,0.5234575,0.030385464,-1.5168489,-1.5168489,-1.4983292,0.10508035,282.5164,282.5164,282.53027,5.5811577,11004551.0,11004551.0,10944944.0,76828920000.0,-4050504.0,-4050504.0,-4058816.5,120714740000.0
2019-03-04,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,-0.36370495,-0.36370495,-0.30057716,0.24969506,0.6463906,0.6463906,0.5936737,0.114291325,285.09192,285.09192,284.86255,3.142416,14334810.0,14334810.0,14334276.0,20754758000.0,-5164701.5,-5164701.5,-5098661.0,49704067000.0
2019-03-05,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.65919495,0.65919495,0.69203186,0.8191691,0.34177956,0.34177956,0.27007198,0.19163318,288.38397,288.38397,288.25452,2.3635364,14048687.0,14048687.0,14048114.0,24603122000.0,-4794028.5,-4794028.5,-4777299.0,32882278000.0
2019-03-06,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,0.61550575,0.61550575,0.7617111,0.53134423,-0.39646122,-0.39646122,-0.4448185,0.10269796,289.2991,289.2991,289.2954,6.048125,13975306.0,13975306.0,13945424.0,33935900000.0,-4493306.5,-4493306.5,-4496346.0,97554014000.0
