Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,0.8695526,0.8695526,0.8695526,0.0,-1.1527405,-1.1527405,-1.1527405,0.0,280.6902,280.6902,280.6902,0.0,6104130.0,6104130.0,6104130.0,0.0,-3405832.5,-3405832.5,-3405832.5,0.0
2019-01-02,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,-0.7397785,-0.7397785,-0.7397785,0.0,0.40974712,0.40974712,0.40974712,0.0,278.2495,278.2495,278.2495,0.0,7410217.5,7410217.5,7410217.5,0.0,-4564262.0,-4564262.0,-4564262.0,0.0
2019-01-03,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,1.8754463,1.8754463,1.8754463,0.0,-2.6844635,-2.6844635,-2.6844635,0.0,275.59888,275.59888,275.59888,0.0,1383858.8,1383858.8,1383858.8,0.0,-1085978.5,-1085978.5,-1085978.5,0.0
2019-01-04,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,0.5295105,0.5295105,0.5295105,0.0,-2.2162104,-2.2162104,-2.2162104,0.0,272.9353,272.9353,272.9353,0.0,1418943.2,1418943.2,1418943.2,0.0,-1333007.5,-1333007.5,-1333007.5,0.0
2019-01-05,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,1.4105244,1.4105244,1.4105244,0.0,-1.4897919,-1.4897919,-1.4897919,0.0,273.10156,273.10156,273.10156,0.0,2200543.0,2200543.0,2200543.0,0.0,-1466654.0,-1466654.0,-1466654.0,0.0
2019-01-06,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,2.3831787,2.3831787,2.3831787,0.0,-2.3799028,-2.3799028,-2.3799028,0.0,275.92847,275.92847,275.92847,0.0,4902149.5,4902149.5,4902149.5,0.0,-3316558.0,-3316558.0,-3316558.0,0.0
2019-01-07,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,2.2850647,2.2850647,2.2850647,0.0,-3.0992432,-3.0992432,-3.0992432,0.0,272.8838,272.8838,272.8838,0.0,4358982.0,4358982.0,4358982.0,0.0,-3271613.0,-3271613.0,-3271613.0,0.0
2019-01-08,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,-0.29577637,-0.29577637,-0.29577637,0.0,-0.20082092,-0.20082092,-0.20082092,0.0,272.73022,272.73022,272.73022,0.0,5447769.0,5447769.0,5447769.0,0.0,-4883423.0,-4883423.0,-4883423.0,0.0
2019-01-09,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,-0.5782471,-0.5782471,-0.5782471,0.0,-1.6695213,-1.6695213,-1.6695213,0.0,272.0713,272.0713,272.0713,0.0,1336122.8,1336122.8,1336122.8,0.0,-515525.0,-515525.0,-515525.0,0.0
2019-01-10,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,-0.8466034,-0.8466034,-0.8466034,0.0,-1.0538006,-1.0538006,-1.0538006,0.0,275.96436,275.96436,275.96436,0.0,2778455.0,2778455.0,2778455.0,0.0,-1380363.0,-1380363.0,-1380363.0,0.0
