Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,-0.7189348,-0.7189348,-0.7466583,0.32782692,-0.44820487,-0.44820487,-0.4388733,0.10265247,279.6584,279.6584,279.59937,1.1003823,6290254.5,6290254.5,6332261.0,16607948000.0,-3392050.0,-3392050.0,-3417348.0,22057480000.0
2019-01-02,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,0.44655502,0.44655502,0.43209648,0.0028297342,0.216442,0.216442,0.2605772,0.017769545,277.68005,277.68005,277.72607,0.3992552,7558694.0,7558694.0,7544929.0,29134602000.0,-4558531.0,-4558531.0,-4566202.0,10595753000.0
2019-01-03,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,0.42872322,0.42872322,0.36665726,0.5146723,-1.3764123,-1.3764123,-1.3958893,0.27393857,276.67148,276.67148,276.78296,0.60869825,3071191.0,3071191.0,3092384.8,26580960000.0,-1542297.8,-1542297.8,-1576842.5,21184518000.0
2019-01-04,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,-1.4717916,-1.4717916,-1.3362122,0.56438893,-0.98788464,-0.98788464,-0.9579096,0.097944036,274.0283,274.0283,274.3689,0.6019278,2040948.2,2040948.2,2061712.2,25621910000.0,-1512122.2,-1512122.2,-1546020.5,21535046000.0
2019-01-05,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,1.1119676,1.1119676,1.158083,0.023200413,-1.0191972,-1.0191972,-0.91362,0.052909467,272.65027,272.65027,272.55713,0.292081,1334756.0,1334756.0,1366577.1,12369062000.0,-1145873.5,-1145873.5,-1182388.5,15254615000.0
2019-01-06,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,0.8815511,0.8815511,0.7581787,0.45678928,-0.4579736,-0.4579736,-0.5185747,0.2527581,275.20764,275.20764,275.3777,0.88056517,4747780.5,4747780.5,4806810.5,348317970000.0,-3324980.2,-3324980.2,-3245998.5,51133383000.0
2019-01-07,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,-0.043711346,-0.043711346,-0.14950562,0.41658112,-0.5313992,-0.5313992,-0.5218506,0.017590437,274.02463,274.02463,274.5542,1.6772807,4073819.5,4073819.5,4120257.0,147085020000.0,-2806145.8,-2806145.8,-2782413.5,21881580000.0
2019-01-08,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,1.4385986,1.4385986,1.4205322,0.04304266,0.09930929,0.09930929,0.1424408,0.049593624,270.15518,270.15518,270.8025,0.84022045,5599408.5,5599408.5,5639164.0,302712720000.0,-4042277.2,-4042277.2,-4106793.0,34445630000.0
2019-01-09,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,-1.960734,-1.960734,-1.9488525,0.13632049,-0.9822926,-0.9822926,-0.9932518,0.0346321,272.98813,272.98813,272.79736,0.24823152,1969336.9,1969336.9,2076652.8,63256986000.0,-1359593.4,-1359593.4,-1475189.0,48028942000.0
2019-01-10,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,-0.8245765,-0.8245765,-0.8275604,0.1337128,1.1216009,1.1216009,0.91446114,0.3512403,279.0911,279.0911,278.7329,1.3561312,2673599.0,2673599.0,2634104.0,121856690000.0,-789181.6,-789181.6,-735737.5,18857023000.0
