Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-1.4926436,-1.4926436,-1.5059357,0.26399654,-1.1880594,-1.1880594,-1.2010803,0.19731273,272.31015,272.31015,272.27466,0.38199452,2654774.5,2654774.5,2587433.2,272823780000.0,-1269631.4,-1269631.4,-1293590.0,24594584000.0
2019-01-02,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.48247084,0.48247084,0.5014324,0.017433604,0.715791,0.715791,0.73079205,0.0025585638,274.63254,274.63254,274.5078,0.2491276,4560615.5,4560615.5,4495150.0,657432300000.0,-3116508.5,-3116508.5,-3082358.0,77494310000.0
2019-01-03,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.33532843,-0.33532843,-0.3608818,0.14135505,-1.3613298,-1.3613298,-1.3387604,0.004786586,270.5743,270.5743,270.47485,0.2216994,1083693.8,1083693.8,1011222.3,80445270000.0,-413187.38,-413187.38,-373757.0,24695507000.0
2019-01-04,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.7526076,-0.7526076,-0.8034973,0.07635486,-0.73736924,-0.73736924,-0.7435541,0.0022238228,267.74503,267.74503,267.58325,0.28894213,2319906.2,2319906.2,2272015.2,335662320000.0,-1428874.9,-1428874.9,-1390983.5,50406167000.0
2019-01-05,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.21154594,-0.21154594,-0.15978813,0.06300741,-0.42604405,-0.42604405,-0.44096375,0.008565432,269.43283,269.43283,269.4336,0.27169642,4099833.0,4099833.0,4037669.0,767982960000.0,-2721965.8,-2721965.8,-2610614.5,72704110000.0
2019-01-06,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.23528375,0.23528375,0.23742676,0.0017106901,0.4695709,0.4695709,0.44919872,0.010610634,272.87915,272.87915,272.89478,0.49047083,4467813.5,4467813.5,4465687.5,840216740000.0,-2856889.5,-2856889.5,-2785341.0,129356040000.0
2019-01-07,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.63086957,-0.63086957,-0.6199646,0.12235076,-1.3563504,-1.3563504,-1.3436279,0.024153994,267.14,267.14,267.1582,0.905689,3840215.0,3840215.0,3827139.0,643509800000.0,-2390520.5,-2390520.5,-2284878.0,112075240000.0
2019-01-08,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.93550617,0.93550617,0.99328613,0.01749962,0.83626133,0.83626133,0.82847595,0.005186339,268.9157,268.9157,268.85376,0.59505963,4764009.0,4764009.0,4758212.0,878592100000.0,-3473773.0,-3473773.0,-3428709.5,125000240000.0
2019-01-09,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.015448676,0.015448676,0.06384277,0.021544004,1.067512,1.067512,1.1117287,0.02785466,273.14322,273.14322,272.95312,0.20465936,803337.0,803337.0,795491.8,36264903000.0,843365.7,843365.7,877562.0,27530224000.0
2019-01-10,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,1.6800351,1.6800351,1.5835724,0.11865118,1.7226208,1.7226208,1.6732502,0.057449475,275.15668,275.15668,275.0752,0.29069895,1783487.2,1783487.2,1830838.0,92172510000.0,-207257.61,-207257.61,-198598.0,15436242000.0
2019-01-11,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.28286088,-0.28286088,-0.27498055,0.008400838,0.2004208,0.2004208,0.16181946,0.010943578,275.4141,275.4141,275.3186,0.34656212,3790758.8,3790758.8,3842003.5,312630700000.0,-2346527.0,-2346527.0,-2365863.0,22326436000.0
2019-01-12,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-1.0983378,-1.0983378,-1.0696106,0.185155,-0.90518594,-0.90518594,-0.9209194,0.06794415,272.17157,272.17157,272.02954,0.2713283,2146093.0,2146093.0,2109178.2,73759334000.0,-1200186.5,-1200186.5,-1216345.0,29275957000.0
2019-01-13,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.7783278,0.7783278,0.8156271,0.082362376,0.63596797,0.63596797,0.63854504,0.018179169,273.8473,273.8473,274.02954,0.4225857,5080599.5,5080599.5,5079241.0,591548500000.0,-3803701.2,-3803701.2,-3802408.0,41996255000.0
2019-01-14,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.31763035,0.31763035,0.3154602,0.052911196,0.34370434,0.34370434,0.34143925,0.0040918826,273.6933,273.6933,273.53906,0.17905247,2734581.0,2734581.0,2778105.0,147265520000.0,-1741932.4,-1741932.4,-1729297.0,46405140000.0
2019-01-15,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.025623746,0.025623746,0.016075134,0.18057388,-2.3327382,-2.3327382,-2.322647,0.0077156755,269.75507,269.75507,269.8152,0.86369765,5307057.0,5307057.0,5328539.5,797406000000.0,-4093191.5,-4093191.5,-4040777.0,57389270000.0
2019-01-16,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,1.1858147,1.1858147,1.1479187,0.058400076,0.65562606,0.65562606,0.6862793,0.013389364,273.5316,273.5316,273.41895,0.6166661,5205219.0,5205219.0,5216569.0,734200660000.0,-3260737.0,-3260737.0,-3263361.0,72708070000.0
2019-01-17,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,1.1967888,1.1967888,1.2038689,0.039341833,0.77560246,0.77560246,0.7763891,0.0023159157,275.22986,275.22986,274.9851,0.5347557,5265263.0,5265263.0,5277881.0,714252900000.0,-3108778.2,-3108778.2,-3138963.0,73604230000.0
2019-01-18,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.8942074,0.8942074,0.9598541,0.03942351,0.77054894,0.77054894,0.79452896,0.0043393476,276.18762,276.18762,275.7456,0.48761293,3393758.8,3393758.8,3431371.0,293499930000.0,-1184735.1,-1184735.1,-1107713.0,93917550000.0
2019-01-19,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.004091051,0.004091051,0.018630981,0.013916533,0.64377606,0.64377606,0.65139866,0.008112083,277.94327,277.94327,277.92603,0.37440258,3295326.2,3295326.2,3346741.5,177310880000.0,-1274196.4,-1274196.4,-1264774.5,31164123000.0
2019-01-20,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,0.29633078,0.29633078,0.30882263,0.008876234,0.5215469,0.5215469,0.49789238,0.005687879,278.33664,278.33664,278.1665,0.34974465,3756828.5,3756828.5,3816992.0,185549650000.0,-1187725.8,-1187725.8,-1194413.8,17262965000.0
2019-01-21,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.31678772,-0.31678772,-0.3604889,0.07199863,0.15004985,0.15004985,0.14085388,0.027201243,278.37927,278.37927,278.34497,0.29723483,4742894.0,4742894.0,4706842.0,224692370000.0,-2191951.0,-2191951.0,-2202794.8,17270487000.0
2019-01-22,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.6685486,-0.6685486,-0.67099,0.0010394917,0.8637139,0.8637139,0.95681286,0.048676107,277.0109,277.0109,276.5,0.5856061,2790157.8,2790157.8,2809285.0,176911430000.0,-698929.75,-698929.75,-722433.0,34941340000.0
2019-01-23,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.53474003,-0.53474003,-0.52036285,0.004115733,0.46949938,0.46949938,0.4083557,0.24485153,277.44736,277.44736,277.3015,0.20996226,1769019.5,1769019.5,1836905.5,86755180000.0,-202748.58,-202748.58,-177117.0,12103426000.0
2019-01-24,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,-0.07361349,-0.07361349,-0.02885437,0.012819714,0.89696854,0.89696854,0.9595499,0.04437025,277.8265,277.8265,277.59717,0.93762046,4772617.5,4772617.5,4783366.0,492704960000.0,-1966077.8,-1966077.8,-1959769.0,18939197000.0
