Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,-2.789676,-2.789676,-1.9895782,4.576613,-2.4569886,-2.4569886,-1.5013733,5.321453,279.8675,279.8675,279.58325,1.6006778,5277026.5,5277026.5,5263749.5,155664730000.0,-2680507.5,-2680507.5,-2704850.0,23956980000.0
2019-01-02,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,0.55965996,0.55965996,0.50338554,0.021043792,-0.56662005,-0.56662005,-0.56071186,0.0049317456,278.81464,278.81464,278.1565,2.3558748,7989734.5,7989734.5,7898290.0,58324230000.0,-4464767.0,-4464767.0,-4351458.0,96838010000.0
2019-01-03,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,-1.1806084,-1.1806084,-0.059123993,6.1405873,-3.7117584,-3.7117584,-2.6485748,5.8981333,277.077,277.077,276.12256,4.101738,2556227.8,2556227.8,2532324.5,31802956000.0,-1406244.9,-1406244.9,-1238303.5,118581340000.0
2019-01-04,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,-4.8721495,-4.8721495,-3.7817688,8.885518,-2.9496574,-2.9496574,-2.5620356,1.7075516,274.27435,274.27435,273.39868,3.1152878,1921046.2,1921046.2,1897001.5,9292491000.0,-1342184.1,-1342184.1,-1251884.2,56943510000.0
2019-01-05,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,1.240749,1.240749,1.3162861,0.055268,-2.297458,-2.297458,-1.5554657,2.5113244,273.1687,273.1687,272.21338,3.048975,1387461.8,1387461.8,1357014.6,10608101000.0,-909033.2,-909033.2,-910681.25,25696518000.0
2019-01-06,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,1.8376465,1.8376465,1.8891602,0.04401491,-2.4013138,-2.4013138,-2.2574663,0.84401304,275.59467,275.59467,274.79565,2.5225966,5154231.5,5154231.5,5074191.0,550664300000.0,-3746045.2,-3746045.2,-3299654.2,543140150000.0
2019-01-07,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,-0.73739624,-0.73739624,-0.13095093,2.4224746,-1.7853515,-1.7853515,-1.6003418,0.718721,273.7377,273.7377,272.7434,3.405302,3804547.2,3804547.2,3717877.2,76682790000.0,-2546286.2,-2546286.2,-2472720.2,59986960000.0
2019-01-08,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,2.0946534,2.0946534,1.8391113,0.36988217,-0.08141174,-0.08141174,-0.07594299,0.038217787,271.27905,271.27905,270.18555,4.648745,5405858.0,5405858.0,5354382.0,340336770000.0,-3907450.8,-3907450.8,-3601333.5,286070900000.0
2019-01-09,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,-0.9686279,-0.9686279,-1.005249,0.6081227,-0.22723618,-0.22723618,-1.158535,3.4286282,275.40503,275.40503,274.3069,6.057985,1704796.6,1704796.6,1654713.2,83010100000.0,-949411.0,-949411.0,-717878.0,297338300000.0
2019-01-10,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,0.87546694,0.87546694,0.88191223,0.4401574,4.6363845,4.6363845,3.8470783,5.9247804,281.91864,281.91864,281.32568,8.534124,3635232.8,3635232.8,3371262.0,648318700000.0,-1432948.4,-1432948.4,-1283388.5,120665950000.0
2019-01-11,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,1.5353343,1.5353343,1.4946728,0.034634054,-1.4019257,-1.4019257,-1.22258,0.2148042,278.37924,278.37924,276.58423,8.114974,5553247.0,5553247.0,5404426.0,568596800000.0,-2903478.8,-2903478.8,-2740442.2,101579110000.0
2019-01-12,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,-0.49526978,-0.49526978,0.13400269,2.5966601,-1.4065151,-1.4065151,-1.2019253,0.70695865,278.13168,278.13168,277.53442,5.2165017,4963919.5,4963919.5,4916426.0,187624100000.0,-1832327.2,-1832327.2,-1872198.0,26714647000.0
