Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΒΟΛΟΥ,-3.4051056,-3.4051056,-3.2691193,2.0923388,-5.628408,-5.628408,-5.4044495,5.275597,279.0392,279.0392,279.09717,0.69944286,2252312.8,2252312.8,2305318.8,50374357000.0,-843245.8,-843245.8,-779898.75,104937280000.0
2019-01-02,ΔΗΜΟΣ ΒΟΛΟΥ,0.3665854,0.3665854,0.39108086,0.13655636,0.25382265,0.25382265,0.26570415,0.02591536,279.7272,279.7272,279.74683,0.7764414,7587440.5,7587440.5,7593730.0,14650842000.0,-3782158.8,-3782158.8,-3709069.0,58124130000.0
2019-01-03,ΔΗΜΟΣ ΒΟΛΟΥ,0.7587471,0.7587471,0.9298897,0.6673432,-5.2529855,-5.2529855,-5.185684,7.3724732,274.82382,274.82382,274.5769,0.32049692,620076.2,620076.2,614903.06,1493895000.0,-441162.66,-441162.66,-451693.25,31036357000.0
2019-01-04,ΔΗΜΟΣ ΒΟΛΟΥ,0.6095886,0.6095886,0.70162964,0.49213824,-2.6061437,-2.6061437,-2.691064,0.9288297,273.85522,273.85522,273.62842,0.32182488,1925737.1,1925737.1,1913489.5,176005780000.0,-1148663.6,-1148663.6,-1176979.0,57521470000.0
2019-01-05,ΔΗΜΟΣ ΒΟΛΟΥ,2.6098244,2.6098244,2.4749775,0.3315489,-3.1029918,-3.1029918,-2.8826141,4.7123175,273.24966,273.24966,273.14282,0.7441452,2007035.0,2007035.0,2077926.0,85691700000.0,-913323.3,-913323.3,-841577.5,147086130000.0
2019-01-06,ΔΗΜΟΣ ΒΟΛΟΥ,2.114624,2.114624,2.1384277,1.6870049,-2.1283567,-2.1283567,-2.1322222,2.9073858,276.2357,276.2357,276.21655,0.9804166,5039150.5,5039150.5,5208164.0,1122077400000.0,-3697985.0,-3697985.0,-3801568.0,349519900000.0
2019-01-07,ΔΗΜΟΣ ΒΟΛΟΥ,-0.92233276,-0.92233276,-0.7972107,0.11211857,-4.8609214,-4.8609214,-5.036255,3.2311938,273.72177,273.72177,273.82202,1.0236808,4269131.5,4269131.5,4391717.0,701106500000.0,-3006219.8,-3006219.8,-3098835.0,208046520000.0
2019-01-08,ΔΗΜΟΣ ΒΟΛΟΥ,1.2432455,1.2432455,1.213501,0.4135027,0.17088318,0.17088318,0.11705017,0.02998429,273.16464,273.16464,273.2046,1.9407412,5307401.0,5307401.0,5473231.0,1030855800000.0,-3945808.0,-3945808.0,-4014338.0,89566855000.0
2019-01-09,ΔΗΜΟΣ ΒΟΛΟΥ,0.293986,0.293986,0.37805176,0.11824349,3.1969337,3.1969337,2.923008,4.6639667,277.47314,277.47314,276.94995,1.3027192,1725976.9,1725976.9,1758029.2,56041130000.0,-882415.8,-882415.8,-802520.25,244423340000.0
2019-01-10,ΔΗΜΟΣ ΒΟΛΟΥ,0.8648224,0.8648224,0.8404083,0.01644341,3.3679116,3.3679116,3.051424,1.776062,281.89102,281.89102,281.4182,1.5733496,4044609.0,4044609.0,4024400.5,1026464900000.0,-1772824.1,-1772824.1,-1740700.2,166554780000.0
2019-01-11,ΔΗΜΟΣ ΒΟΛΟΥ,-0.5844898,-0.5844898,-0.4334278,0.2042018,-2.2564342,-2.2564342,-2.1505585,1.5270319,279.50577,279.50577,279.739,1.8090798,4290559.0,4290559.0,4292019.0,842434700000.0,-2115759.8,-2115759.8,-2083568.0,127217074000.0
2019-01-12,ΔΗΜΟΣ ΒΟΛΟΥ,1.017629,1.017629,0.9571228,0.20734484,-4.0884814,-4.0884814,-3.9397182,5.727005,276.6809,276.6809,276.45996,1.2993697,1433853.5,1433853.5,1523862.2,92183210000.0,-182478.33,-182478.33,-161855.75,9798413000.0
2019-01-13,ΔΗΜΟΣ ΒΟΛΟΥ,0.010207176,0.010207176,-0.012864113,0.0468754,0.30513033,0.30513033,0.26220226,0.112637065,278.09375,278.09375,278.05127,0.17480022,5813138.5,5813138.5,5951338.5,1941191100000.0,-3378717.0,-3378717.0,-3410526.5,31305611000.0
2019-01-14,ΔΗΜΟΣ ΒΟΛΟΥ,1.5681864,1.5681864,1.606842,0.34547916,-0.10635535,-0.10635535,-0.06883907,0.023457402,277.96255,277.96255,278.28516,1.530646,4440687.5,4440687.5,4457692.5,1553101000000.0,-2353317.0,-2353317.0,-2340276.8,125110790000.0
2019-01-15,ΔΗΜΟΣ ΒΟΛΟΥ,3.8051784,3.8051784,3.52108,0.7981949,-6.840551,-6.840551,-6.8787994,8.427638,276.45654,276.45654,276.40503,0.9571375,6249532.5,6249532.5,6512523.0,1536520000000.0,-3059316.0,-3059316.0,-3030185.2,31210519000.0
2019-01-16,ΔΗΜΟΣ ΒΟΛΟΥ,2.8320415,2.8320415,2.6354675,1.0657027,0.4388021,0.4388021,0.48339844,0.011899981,280.29874,280.29874,280.45825,0.86981994,7394604.0,7394604.0,7638111.0,2854605600000.0,-4355208.0,-4355208.0,-4593771.0,335216700000.0
2019-01-17,ΔΗΜΟΣ ΒΟΛΟΥ,0.25273767,0.25273767,0.41273117,0.105912946,0.46510983,0.46510983,0.5288305,0.08530583,282.3768,282.3768,282.3169,0.27039984,7615281.5,7615281.5,7966534.5,2772023000000.0,-3949868.0,-3949868.0,-4005556.2,355791400000.0
2019-01-18,ΔΗΜΟΣ ΒΟΛΟΥ,0.8362376,0.8362376,0.91127014,0.039689478,1.047418,1.047418,1.1098366,0.30885407,283.56384,283.56384,283.40588,0.7427399,6821232.5,6821232.5,7045434.0,1223129700000.0,-3183316.8,-3183316.8,-3191105.8,152577920000.0
2019-01-19,ΔΗΜΟΣ ΒΟΛΟΥ,-1.8525034,-1.8525034,-1.7798309,0.20349298,-0.021737734,-0.021737734,-0.04391384,0.0020021086,284.0161,284.0161,283.7478,1.2969712,7975872.0,7975872.0,8174584.0,1044298900000.0,-3565581.2,-3565581.2,-3555946.0,143264140000.0
2019-01-20,ΔΗΜΟΣ ΒΟΛΟΥ,-0.8679352,-0.8679352,-0.81166077,0.049273986,0.662199,0.662199,0.75753593,0.03620686,284.50668,284.50668,284.3694,1.2171643,8185612.0,8185612.0,8263936.5,786838400000.0,-3029452.8,-3029452.8,-3062830.5,29606926000.0
2019-01-21,ΔΗΜΟΣ ΒΟΛΟΥ,-0.95855206,-0.95855206,-0.9035797,0.039655577,-1.6769766,-1.6769766,-1.5780182,0.9766045,282.68082,282.68082,282.3628,1.5587281,7041932.0,7041932.0,7089624.5,428109760000.0,-2695264.2,-2695264.2,-2752045.0,27984718000.0
