Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,-0.1809845,-0.1809845,-0.18171692,0.079047106,-2.7588603,-2.7588603,-2.6148987,0.9463639,275.9668,275.9668,275.4829,5.3941646,4812666.5,4812666.5,4849437.0,61954195000.0,-1890772.4,-1890772.4,-1725436.5,226072120000.0
2019-01-02,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,-0.7842528,-0.7842528,-0.7662678,0.010661869,-0.094932236,-0.094932236,-0.104901314,0.0033984666,276.01392,276.01392,275.71753,2.977176,7229365.5,7229365.5,7249087.0,164154440000.0,-4023054.0,-4023054.0,-4006540.0,89775505000.0
2019-01-03,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,1.8012276,1.8012276,1.6964912,0.27161613,-4.1934967,-4.1934967,-4.103897,2.1942277,272.30338,272.30338,271.96045,3.1651967,548719.8,548719.8,570110.3,3013234000.0,-197869.08,-197869.08,-164174.75,90673260000.0
2019-01-04,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,0.95976764,0.95976764,0.9496765,0.17882566,-3.9264152,-3.9264152,-3.911889,1.410725,269.70248,269.70248,269.43896,2.5020444,1368518.4,1368518.4,1273185.5,29993679000.0,-664184.44,-664184.44,-654014.0,73063070000.0
2019-01-05,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,1.0980244,1.0980244,1.0570087,0.0269111,-2.481247,-2.481247,-2.5493622,0.67786074,270.7103,270.7103,270.26538,2.668699,2287916.0,2287916.0,2258001.0,69355790000.0,-1113730.0,-1113730.0,-1086978.2,44283640000.0
2019-01-06,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,1.5143229,1.5143229,1.3898926,0.15172435,-3.0147498,-3.0147498,-3.0439653,0.70549756,273.37753,273.37753,272.52026,3.774945,4147884.8,4147884.8,3945562.2,293942300000.0,-2991958.8,-2991958.8,-2902349.8,160603820000.0
2019-01-07,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,0.75320435,0.75320435,0.7344055,0.092299186,-4.166056,-4.166056,-4.213135,1.5032597,269.32236,269.32236,268.93384,4.747425,3424820.8,3424820.8,3231676.5,191029300000.0,-2951033.0,-2951033.0,-2915171.5,245846380000.0
2019-01-08,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,0.11820475,0.11820475,0.17370605,0.03280317,0.27179465,0.27179465,0.2858734,0.017131038,270.78076,270.78076,270.50684,2.2368069,4532832.0,4532832.0,4262728.5,308398260000.0,-4022527.0,-4022527.0,-4017034.0,236887080000.0
2019-01-09,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,0.04683431,0.04683431,-0.033325195,0.3208539,-0.87370425,-0.87370425,-0.7486229,0.114913106,273.30502,273.30502,273.16455,0.9387965,1261900.0,1261900.0,1222695.8,15231229000.0,108050.75,108050.75,136938.5,40050995000.0
2019-01-10,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,0.7661082,0.7661082,0.8269806,0.13847648,1.3573322,1.3573322,1.289217,0.51150125,276.93237,276.93237,276.78638,3.0178,2377227.8,2377227.8,2268679.5,85198400000.0,-1129461.4,-1129461.4,-1131417.2,7324297700.0
2019-01-11,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,-0.36165047,-0.36165047,-0.32081795,0.0061383196,-2.3586476,-2.3586476,-2.3263397,0.55179673,275.2889,275.2889,275.0464,1.9447508,4047353.0,4047353.0,3881949.8,174118470000.0,-2387329.8,-2387329.8,-2346871.5,25531623000.0
2019-01-12,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,0.61190796,0.61190796,0.5829773,0.03925027,-3.0041714,-3.0041714,-3.0669155,0.97152334,274.1854,274.1854,273.90503,1.6323918,2380744.8,2380744.8,2376204.8,22911780000.0,-1133153.6,-1133153.6,-991773.25,76844835000.0
2019-01-13,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,-0.46594843,-0.46594843,-0.47392368,0.028104281,-0.39811674,-0.39811674,-0.3908739,0.02934097,274.53555,274.53555,274.3457,0.7992735,5372203.5,5372203.5,5033069.5,489636070000.0,-3850859.0,-3850859.0,-3789195.0,137911940000.0
2019-01-14,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,0.06415812,0.06415812,0.07937622,0.028468939,-0.89582473,-0.89582473,-0.88231564,0.07277983,274.5254,274.5254,274.42944,1.9180828,3335586.0,3335586.0,3118524.5,179156500000.0,-1833076.0,-1833076.0,-1756865.8,77781590000.0
2019-01-15,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,2.8637314,2.8637314,2.7716904,0.44669506,-5.7967277,-5.7967277,-5.839859,2.713567,271.531,271.531,271.14038,5.4065127,5784575.5,5784575.5,5519322.0,519785450000.0,-3697041.2,-3697041.2,-3684145.0,119416750000.0
