Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,-0.30423483,-0.30423483,-0.3811798,0.06473414,-0.52505493,-0.52505493,-0.6427307,1.0296415,275.98547,275.98547,276.49365,5.968618,4577431.5,4577431.5,4584843.5,45077262000.0,-1891159.6,-1891159.6,-1926296.8,88804925000.0
2019-01-02,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,-0.69419545,-0.69419545,-0.62979317,0.02935231,0.3106769,0.3106769,0.32820415,0.07975412,276.0256,276.0256,276.24414,2.7938404,7305050.0,7305050.0,7392680.0,197410030000.0,-4188886.8,-4188886.8,-4310357.0,111645385000.0
2019-01-03,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.8560168,0.8560168,0.80196,0.17626488,-1.4356232,-1.4356232,-1.3604889,0.89696175,271.7581,271.7581,271.89136,2.0925057,724917.2,724917.2,759517.06,11084952000.0,-313357.72,-313357.72,-382699.75,66702290000.0
2019-01-04,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.088144936,0.088144936,0.013885498,0.14463533,-1.4671971,-1.4671971,-1.3778315,0.66385895,269.6008,269.6008,269.67065,2.700925,1788229.1,1788229.1,1832694.8,36911820000.0,-838192.3,-838192.3,-931363.5,76382446000.0
2019-01-05,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.73620796,0.73620796,0.7010517,0.012320836,-0.6934865,-0.6934865,-0.6853485,0.3191441,269.98947,269.98947,269.70093,3.9801118,3629518.8,3629518.8,3775201.0,297285420000.0,-1813323.9,-1813323.9,-1949762.5,213914660000.0
2019-01-06,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.31537881,0.31537881,0.25927734,0.11447644,-0.9446408,-0.9446408,-1.0540972,0.65056807,273.9936,273.9936,273.9768,9.474311,5296981.5,5296981.5,5428293.0,282911080000.0,-3109652.0,-3109652.0,-3136551.2,86572970000.0
2019-01-07,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.34171548,0.34171548,0.36087036,0.06597126,-1.7704264,-1.7704264,-1.72229,0.5991128,269.77896,269.77896,270.09497,5.8736596,4205101.0,4205101.0,4307754.0,163344910000.0,-2473028.2,-2473028.2,-2445215.5,85468360000.0
2019-01-08,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,-0.05577596,-0.05577596,0.08666992,0.13243611,0.60468036,0.60468036,0.60765076,0.020808233,270.60507,270.60507,270.78198,1.907289,5683652.0,5683652.0,5779957.5,318768700000.0,-3679911.2,-3679911.2,-3688263.5,67180660000.0
2019-01-09,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,-0.6918538,-0.6918538,-0.80822754,0.24321419,-0.15639877,-0.15639877,-0.12704086,0.10043081,272.4053,272.4053,272.53198,0.47855732,1495662.6,1495662.6,1517643.8,22271298000.0,141156.52,141156.52,146281.75,24880110000.0
2019-01-10,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,-0.014490764,-0.014490764,-0.120285034,0.4224082,1.4954954,1.4954954,1.5318928,0.055033237,276.19296,276.19296,276.4436,1.443082,2970072.0,2970072.0,3017335.0,82838380000.0,-1242687.1,-1242687.1,-1213476.0,27920734000.0
2019-01-11,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,-0.6728026,-0.6728026,-0.6530323,0.06544927,-0.32774353,-0.32774353,-0.10014343,0.4045836,276.00912,276.00912,275.7356,4.163834,4730272.5,4730272.5,4778812.0,139867440000.0,-2426878.8,-2426878.8,-2448887.5,18130545000.0
2019-01-12,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.28822836,0.28822836,0.26046753,0.046564262,-0.611166,-0.611166,-0.7495327,0.7932227,273.96326,273.96326,274.1184,2.5954368,2655949.8,2655949.8,2645798.2,114368250000.0,-1274565.6,-1274565.6,-1245838.0,66017170000.0
2019-01-13,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.00061448413,0.00061448413,0.03925991,0.046079937,0.23713715,0.23713715,0.15795422,0.095708616,274.90894,274.90894,275.10864,1.4844332,6046613.5,6046613.5,6122740.5,213534310000.0,-3669163.8,-3669163.8,-3671374.0,27702376000.0
2019-01-14,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.39876303,0.39876303,0.44595337,0.02259473,-0.2597011,-0.2597011,-0.18913937,0.039892573,274.7806,274.7806,274.66992,2.7859325,3427601.2,3427601.2,3477606.5,69905800000.0,-1879232.0,-1879232.0,-1903632.5,36859003000.0
2019-01-15,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,1.7896957,1.7896957,1.7813339,0.2439409,-2.6772716,-2.6772716,-2.4228668,0.9115963,271.58557,271.58557,271.82715,5.1872864,6360348.0,6360348.0,6424533.5,227801890000.0,-3933886.0,-3933886.0,-4042113.0,101922180000.0
2019-01-16,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,1.2384338,1.2384338,1.2122498,0.012219608,-0.42907715,-0.42907715,-0.39819336,0.092518985,275.82428,275.82428,275.79126,1.4157523,6268534.5,6268534.5,6286563.0,225828930000.0,-3365843.0,-3365843.0,-3364763.0,78759944000.0
2019-01-17,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.15393193,0.15393193,0.20997238,0.0596652,0.239412,0.239412,0.2707739,0.016849803,279.62564,279.62564,279.96753,1.7469063,6427376.0,6427376.0,6403072.0,276515620000.0,-3441064.8,-3441064.8,-3466524.2,42187375000.0
2019-01-18,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,0.30684915,0.30684915,0.36854553,0.11363343,0.48899713,0.48899713,0.4789772,0.006092752,279.40894,279.40894,279.75903,4.529038,5270709.5,5270709.5,5200002.0,391445120000.0,-2421773.8,-2421773.8,-2362570.0,64794165000.0
2019-01-19,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,-0.6434377,-0.6434377,-0.6186981,0.045446623,0.6268422,0.6268422,0.6601877,0.11580215,279.51575,279.51575,279.58838,6.0054345,5489637.5,5489637.5,5359268.0,357806150000.0,-2359925.0,-2359925.0,-2324174.0,89426354000.0
2019-01-20,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,-0.051035564,-0.051035564,0.046188354,0.1167261,0.3193747,0.3193747,0.2777996,0.11475875,280.7597,280.7597,281.39648,4.974625,5172893.5,5172893.5,4986593.0,492687230000.0,-1676813.1,-1676813.1,-1612688.5,145166430000.0
