Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,0.19377136,0.19377136,0.17424011,0.013667719,-0.24349104,-0.24349104,-0.23672485,0.008177923,280.4219,280.4219,280.87524,5.7580786,6568847.5,6568847.5,6580646.0,12605036000.0,-3775716.0,-3775716.0,-3751240.5,8667898000.0
2019-01-02,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,0.30183002,0.30183002,0.30611992,0.004652242,0.3918551,0.3918551,0.38045025,0.0035307358,277.17703,277.17703,277.46094,2.5423777,7276467.0,7276467.0,7347876.5,17319110000.0,-4627855.0,-4627855.0,-4630793.5,4709372000.0
2019-01-03,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,1.0376952,1.0376952,1.1103096,0.115989804,-0.70566887,-0.70566887,-0.6527252,0.021473398,276.02396,276.02396,276.10278,2.542952,2842430.0,2842430.0,2829389.8,15154263000.0,-1485252.4,-1485252.4,-1492459.5,16407839000.0
2019-01-04,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,-0.0015302385,-0.0015302385,0.043670654,0.0110019175,-0.3370251,-0.3370251,-0.32680607,0.06656034,273.63675,273.63675,273.614,3.0870225,1763480.4,1763480.4,1743963.8,13969272000.0,-1451659.0,-1451659.0,-1423273.5,32303591000.0
2019-01-05,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,0.8196343,0.8196343,0.81433296,0.021411447,-0.3304029,-0.3304029,-0.24125671,0.031588886,272.12402,272.12402,272.2661,1.1838592,1441083.4,1441083.4,1445055.1,12504571000.0,-1141530.8,-1141530.8,-1184044.5,15390119000.0
2019-01-06,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,1.5718645,1.5718645,1.5384521,0.1173045,-0.45021534,-0.45021534,-0.4331255,0.13813438,273.2766,273.2766,272.89966,2.4189649,4254751.0,4254751.0,4227064.5,88947974000.0,-2932841.5,-2932841.5,-2912686.0,58526306000.0
2019-01-07,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,0.8354972,0.8354972,0.82559204,0.10447793,-0.5644706,-0.5644706,-0.51330566,0.038895775,273.15283,273.15283,273.11523,4.388097,3889230.2,3889230.2,3869399.0,58176820000.0,-2753923.8,-2753923.8,-2800764.5,60733020000.0
2019-01-08,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,1.0273612,1.0273612,1.0447998,0.017011607,0.2401668,0.2401668,0.33457947,0.046133477,270.51154,270.51154,270.43726,2.7306614,5270936.0,5270936.0,5230930.0,93175600000.0,-3979046.5,-3979046.5,-4034903.0,55619334000.0
2019-01-09,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,-1.3994664,-1.3994664,-1.4610596,0.021153001,-0.53649956,-0.53649956,-0.563076,0.006585929,271.68716,271.68716,271.813,0.5260192,1769731.0,1769731.0,1786925.8,22584744000.0,-1064561.2,-1064561.2,-1083323.0,13173276000.0
2019-01-10,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,-1.3875493,-1.3875493,-1.3592987,0.014203509,0.42192486,0.42192486,0.3583088,0.027960826,276.96176,276.96176,277.19678,1.2467661,2354444.8,2354444.8,2343024.0,23598655000.0,-799798.3,-799798.3,-834552.5,16463665000.0
2019-01-11,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,1.1960888,1.1960888,1.1893749,0.03169287,-0.37403435,-0.37403435,-0.3083954,0.048593495,275.7026,275.7026,275.40942,2.105974,4768218.5,4768218.5,4734479.0,56569262000.0,-3131661.5,-3131661.5,-3146897.0,23331721000.0
2019-01-12,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,1.3500671,1.3500671,1.3510437,0.045209985,0.06094442,0.06094442,0.018533707,0.096042454,275.42108,275.42108,275.19507,1.3678815,5053589.5,5053589.5,5033167.0,80730825000.0,-2881245.2,-2881245.2,-2917832.5,7931032600.0
2019-01-13,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,0.6509717,0.6509717,0.60371304,0.016072527,0.31701183,0.31701183,0.34215832,0.017973457,275.4493,275.4493,275.1101,3.8371105,4206394.5,4206394.5,4314836.0,131852050000.0,-2541218.5,-2541218.5,-2617402.5,153826050000.0
2019-01-14,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,0.7141767,0.7141767,0.7055969,0.008936123,-0.19274044,-0.19274044,-0.15709591,0.03476127,275.57904,275.57904,275.2705,2.0009296,4414863.5,4414863.5,4550940.0,147490460000.0,-2691552.5,-2691552.5,-2732452.0,126046330000.0
2019-01-15,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,1.7814211,1.7814211,1.7431259,0.1267025,-1.6918924,-1.6918924,-1.6683502,0.056261074,274.23685,274.23685,274.05005,6.7240434,6630725.5,6630725.5,6700923.5,350438650000.0,-3956555.5,-3956555.5,-4038633.0,61356016000.0
2019-01-16,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,1.6829005,1.6829005,1.6061707,0.087852105,-0.21432059,-0.21432059,-0.05444336,0.09158359,276.62863,276.62863,276.2671,2.966655,6620668.5,6620668.5,6630959.0,437121550000.0,-3857366.2,-3857366.2,-3887727.5,195075160000.0
