Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,-4.9605255,-4.9605255,-4.9605255,0.0,-8.04776,-8.04776,-8.04776,0.0,278.13892,278.13892,278.13892,0.0,2122954.2,2122954.2,2122954.2,0.0,-484277.5,-484277.5,-484277.5,0.0
2019-01-02,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,0.6923504,0.6923504,0.6923504,0.0,-0.010907173,-0.010907173,-0.010907173,0.0,278.6792,278.6792,278.6792,0.0,7547424.0,7547424.0,7547424.0,0.0,-3480511.0,-3480511.0,-3480511.0,0.0
2019-01-03,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,-0.15336227,-0.15336227,-0.15336227,0.0,-8.342178,-8.342178,-8.342178,0.0,274.60815,274.60815,274.60815,0.0,650205.3,650205.3,650205.3,0.0,-236629.5,-236629.5,-236629.5,0.0
2019-01-04,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,-0.4914856,-0.4914856,-0.4914856,0.0,-3.7962885,-3.7962885,-3.7962885,0.0,273.7444,273.7444,273.7444,0.0,2145341.8,2145341.8,2145341.8,0.0,-804850.0,-804850.0,-804850.0,0.0
2019-01-05,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,3.1160908,3.1160908,3.1160908,0.0,-5.642624,-5.642624,-5.642624,0.0,273.44092,273.44092,273.44092,0.0,1854034.1,1854034.1,1854034.1,0.0,-383934.0,-383934.0,-383934.0,0.0
2019-01-06,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,3.60437,3.60437,3.60437,0.0,-4.3618364,-4.3618364,-4.3618364,0.0,275.92505,275.92505,275.92505,0.0,5166946.5,5166946.5,5166946.5,0.0,-4006966.0,-4006966.0,-4006966.0,0.0
2019-01-07,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,-1.105072,-1.105072,-1.105072,0.0,-6.907837,-6.907837,-6.907837,0.0,272.53174,272.53174,272.53174,0.0,4339380.5,4339380.5,4339380.5,0.0,-3168703.0,-3168703.0,-3168703.0,0.0
2019-01-08,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,1.8748779,1.8748779,1.8748779,0.0,0.083847046,0.083847046,0.083847046,0.0,271.85034,271.85034,271.85034,0.0,5459622.0,5459622.0,5459622.0,0.0,-3759412.0,-3759412.0,-3759412.0,0.0
2019-01-09,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,0.5169678,0.5169678,0.5169678,0.0,5.659092,5.659092,5.659092,0.0,278.27246,278.27246,278.27246,0.0,1624209.8,1624209.8,1624209.8,0.0,-1116158.0,-1116158.0,-1116158.0,0.0
2019-01-10,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,1.0410919,1.0410919,1.0410919,0.0,4.904207,4.904207,4.904207,0.0,282.6958,282.6958,282.6958,0.0,4910655.0,4910655.0,4910655.0,0.0,-2058470.5,-2058470.5,-2058470.5,0.0
