Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,0.5732147,0.5732147,0.57292175,0.085275576,-0.1453186,-0.1453186,-0.16616821,0.03591136,280.99365,280.99365,281.39355,2.1993308,6978875.0,6978875.0,6934750.5,38291984000.0,-4023284.0,-4023284.0,-4075938.2,44841920000.0
2019-01-02,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,0.49596366,0.49596366,0.53414726,0.020174684,0.4949278,0.4949278,0.5031309,0.0031916078,277.80316,277.80316,277.9463,0.68625766,7376153.0,7376153.0,7372862.0,23328963000.0,-4684575.0,-4684575.0,-4695777.5,10116822000.0
2019-01-03,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,1.4797432,1.4797432,1.5338936,0.0558786,-1.0849518,-1.0849518,-1.0597076,0.060904205,275.9899,275.9899,276.02393,0.95744085,2400128.2,2400128.2,2397340.2,19797242000.0,-1336310.4,-1336310.4,-1343073.8,15191864000.0
2019-01-04,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,0.46237183,0.46237183,0.42526245,0.031672966,-0.8933344,-0.8933344,-0.9056635,0.043595433,273.12622,273.12622,273.26147,0.83301103,1340935.2,1340935.2,1325477.8,10642098000.0,-1363808.4,-1363808.4,-1405364.5,15694919000.0
2019-01-05,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,1.1614033,1.1614033,1.182497,0.013876334,-0.23988953,-0.23988953,-0.22904968,0.053959884,272.5228,272.5228,272.58472,0.5551997,1379642.2,1379642.2,1395940.1,85864866000.0,-1309847.8,-1309847.8,-1259468.0,18424515000.0
2019-01-06,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,2.1420898,2.1420898,2.1235352,0.049037635,-1.130269,-1.130269,-1.1192827,0.08007233,273.33856,273.33856,273.21997,0.72230685,3509947.5,3509947.5,3546701.2,313391680000.0,-2889235.5,-2889235.5,-2858567.5,18922502000.0
2019-01-07,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,1.6611633,1.6611633,1.7174377,0.04205259,-1.2298828,-1.2298828,-1.2297363,0.083632834,271.76056,271.76056,271.5808,0.7965645,3244454.2,3244454.2,3291555.0,233396940000.0,-2783537.5,-2783537.5,-2730112.2,30197258000.0
2019-01-08,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,1.0332763,1.0332763,0.9914551,0.017564403,0.453183,0.453183,0.44554138,0.059523128,271.05054,271.05054,271.0791,1.1350834,4236248.0,4236248.0,4331250.0,368536780000.0,-3886464.8,-3886464.8,-3892396.2,57994780000.0
2019-01-09,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,-1.5359619,-1.5359619,-1.548706,0.0081311315,-0.4127342,-0.4127342,-0.3880272,0.008051894,271.97598,271.97598,272.02808,0.08689689,1215167.6,1215167.6,1199372.8,41092907000.0,-737979.4,-737979.4,-777148.0,44124880000.0
2019-01-10,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,-0.8869354,-0.8869354,-0.85954285,0.005592213,0.6881916,0.6881916,0.69522285,0.041343413,278.18256,278.18256,278.3733,1.0633099,2009206.4,2009206.4,2084248.5,65003827000.0,-876650.7,-876650.7,-863221.25,9621427000.0
2019-01-11,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,1.6317699,1.6317699,1.6178417,0.006359423,-0.5185272,-0.5185272,-0.5148163,0.07359414,275.10858,275.10858,275.0144,0.5073062,4060473.5,4060473.5,4156516.8,202944510000.0,-3376812.8,-3376812.8,-3303993.8,25879392000.0
