Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΘΕΡΜΗΣ,0.46427917,0.46427917,0.40226746,0.058931053,-2.0485535,-2.0485535,-2.082428,0.36239892,280.24847,280.24847,280.13428,0.54105145,5752627.0,5752627.0,5763844.0,77036945000.0,-3142632.8,-3142632.8,-3173016.2,22144164000.0
2019-01-02,ΔΗΜΟΣ ΘΕΡΜΗΣ,0.10610771,0.10610771,0.11569023,0.047833778,-0.7141237,-0.7141237,-0.6982851,0.04494296,278.2528,278.2528,278.04346,0.5640259,7638112.0,7638112.0,7642659.0,11126927000.0,-4370561.5,-4370561.5,-4370297.5,15972489000.0
2019-01-03,ΔΗΜΟΣ ΘΕΡΜΗΣ,2.003498,2.003498,2.0302315,0.28042176,-4.027603,-4.027603,-4.0921783,1.4324214,275.6798,275.6798,275.46704,0.5605865,1594081.8,1594081.8,1574049.5,21008510000.0,-1102472.9,-1102472.9,-1084016.8,5130965000.0
2019-01-04,ΔΗΜΟΣ ΘΕΡΜΗΣ,-0.43032837,-0.43032837,-0.3677063,0.09752773,-3.4592524,-3.4592524,-3.5051508,1.0878915,273.40173,273.40173,273.3225,0.40925702,1639852.2,1639852.2,1663592.0,13417882000.0,-1198588.6,-1198588.6,-1204014.5,3517641000.0
2019-01-05,ΔΗΜΟΣ ΘΕΡΜΗΣ,1.5468159,1.5468159,1.571413,0.11874815,-3.2681122,-3.2681122,-3.3149872,1.083077,273.1656,273.1656,273.1067,0.7622007,1778880.8,1778880.8,1851930.6,160559150000.0,-997568.9,-997568.9,-1007049.75,12595394000.0
2019-01-06,ΔΗΜΟΣ ΘΕΡΜΗΣ,3.7073975,3.7073975,3.7402344,0.57801634,-4.168477,-4.168477,-4.2175493,1.3151686,276.00964,276.00964,275.95288,0.9309323,4800275.0,4800275.0,5114289.5,1076088700000.0,-3912072.8,-3912072.8,-4170653.8,571094140000.0
2019-01-07,ΔΗΜΟΣ ΘΕΡΜΗΣ,2.3386536,2.3386536,2.3664856,0.2175067,-4.4378967,-4.4378967,-4.508667,1.4030478,273.2398,273.2398,273.08838,0.55193436,4199438.5,4199438.5,4448237.0,686759500000.0,-3878582.5,-3878582.5,-4110674.0,401370200000.0
2019-01-08,ΔΗΜΟΣ ΘΕΡΜΗΣ,0.9685669,0.9685669,0.9713135,0.04580722,-0.96266174,-0.96266174,-0.973526,0.06964372,271.36078,271.36078,271.5144,0.46349797,5284070.0,5284070.0,5599348.5,1047528870000.0,-4630337.0,-4630337.0,-4816655.5,300836650000.0
2019-01-09,ΔΗΜΟΣ ΘΕΡΜΗΣ,-2.5581055,-2.5581055,-2.5682373,0.65765816,-1.254055,-1.254055,-1.1983299,0.022477474,274.01453,274.01453,273.97778,1.5464971,1311614.0,1311614.0,1401917.8,53822243000.0,-472147.94,-472147.94,-466672.25,66034164000.0
2019-01-10,ΔΗΜΟΣ ΘΕΡΜΗΣ,0.023147583,0.023147583,0.0012969971,0.07324372,0.24118233,0.24118233,0.2225666,0.2833979,279.88757,279.88757,279.88452,1.202898,2923237.2,2923237.2,3072353.0,288720650000.0,-1531218.9,-1531218.9,-1568826.2,91582540000.0
