Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,0.4193573,0.4193573,0.4193573,0.0,-1.6649475,-1.6649475,-1.6649475,0.0,279.9392,279.9392,279.9392,0.0,6050439.0,6050439.0,6050439.0,0.0,-3359667.0,-3359667.0,-3359667.0,0.0
2019-01-02,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,-0.24856758,-0.24856758,-0.24856758,0.0,-0.39420795,-0.39420795,-0.39420795,0.0,277.52686,277.52686,277.52686,0.0,7587323.5,7587323.5,7587323.5,0.0,-4404561.0,-4404561.0,-4404561.0,0.0
2019-01-03,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,1.2899971,1.2899971,1.2899971,0.0,-3.025772,-3.025772,-3.025772,0.0,275.11792,275.11792,275.11792,0.0,1507569.8,1507569.8,1507569.8,0.0,-1091499.5,-1091499.5,-1091499.5,0.0
2019-01-04,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,-0.2805481,-0.2805481,-0.2805481,0.0,-2.4044428,-2.4044428,-2.4044428,0.0,272.80103,272.80103,272.80103,0.0,1488016.8,1488016.8,1488016.8,0.0,-1226467.0,-1226467.0,-1226467.0,0.0
2019-01-05,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,1.4075947,1.4075947,1.4075947,0.0,-2.2622528,-2.2622528,-2.2622528,0.0,272.64697,272.64697,272.64697,0.0,1991258.1,1991258.1,1991258.1,0.0,-1120782.0,-1120782.0,-1120782.0,0.0
2019-01-06,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,2.9815674,2.9815674,2.9815674,0.0,-3.1032915,-3.1032915,-3.1032915,0.0,275.3855,275.3855,275.3855,0.0,5089523.5,5089523.5,5089523.5,0.0,-3305480.5,-3305480.5,-3305480.5,0.0
2019-01-07,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,2.1214905,2.1214905,2.1214905,0.0,-3.5496826,-3.5496826,-3.5496826,0.0,272.5708,272.5708,272.5708,0.0,4500270.5,4500270.5,4500270.5,0.0,-4206153.0,-4206153.0,-4206153.0,0.0
2019-01-08,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,0.6746826,0.6746826,0.6746826,0.0,-0.7867584,-0.7867584,-0.7867584,0.0,271.38354,271.38354,271.38354,0.0,5602543.0,5602543.0,5602543.0,0.0,-4964920.0,-4964920.0,-4964920.0,0.0
2019-01-09,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,-1.581665,-1.581665,-1.581665,0.0,-1.2266502,-1.2266502,-1.2266502,0.0,272.45166,272.45166,272.45166,0.0,1377599.8,1377599.8,1377599.8,0.0,-395405.5,-395405.5,-395405.5,0.0
2019-01-10,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,-0.31144714,-0.31144714,-0.31144714,0.0,-0.60409355,-0.60409355,-0.60409355,0.0,278.0298,278.0298,278.0298,0.0,2950656.0,2950656.0,2950656.0,0.0,-1473867.5,-1473867.5,-1473867.5,0.0
2019-01-11,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,0.61857414,0.61857414,0.61857414,0.0,-2.3279266,-2.3279266,-2.3279266,0.0,276.1892,276.1892,276.1892,0.0,5279234.5,5279234.5,5279234.5,0.0,-3162038.5,-3162038.5,-3162038.5,0.0
2019-01-12,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,0.9814148,0.9814148,0.9814148,0.0,-2.6836147,-2.6836147,-2.6836147,0.0,275.34058,275.34058,275.34058,0.0,4386160.0,4386160.0,4386160.0,0.0,-2425962.0,-2425962.0,-2425962.0,0.0
2019-01-13,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,0.9357443,0.9357443,0.9357443,0.0,-1.0367479,-1.0367479,-1.0367479,0.0,274.91968,274.91968,274.91968,0.0,5990202.0,5990202.0,5990202.0,0.0,-3895982.5,-3895982.5,-3895982.5,0.0
2019-01-14,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,-0.021697998,-0.021697998,-0.021697998,0.0,-1.3732824,-1.3732824,-1.3732824,0.0,275.0913,275.0913,275.0913,0.0,3806015.0,3806015.0,3806015.0,0.0,-2296847.5,-2296847.5,-2296847.5,0.0
2019-01-15,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,3.6349716,3.6349716,3.6349716,0.0,-5.3011627,-5.3011627,-5.3011627,0.0,274.26,274.26,274.26,0.0,6423085.5,6423085.5,6423085.5,0.0,-4109716.5,-4109716.5,-4109716.5,0.0
