Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,-0.24185689,-0.24185689,-0.054275513,0.30544245,-0.5802307,-0.5802307,-0.5453186,0.38276902,274.7509,274.7509,274.40234,8.696147,2255939.5,2255939.5,2361251.0,370850500000.0,-1044058.0,-1044058.0,-979363.0,31206816000.0
2019-01-02,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,-0.15357654,-0.15357654,-0.074617386,0.35551,0.55283386,0.55283386,0.5603819,0.007552519,276.78958,276.78958,276.8911,3.7359915,4426523.5,4426523.5,4496053.5,1248149900000.0,-3249188.2,-3249188.2,-3178016.2,80674320000.0
2019-01-03,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,0.8380928,0.8380928,0.88521194,0.49537572,-1.2664948,-1.2664948,-1.270401,0.0038056772,272.11838,272.11838,272.2202,2.5555382,657656.3,657656.3,638920.3,77254115000.0,-316680.6,-316680.6,-358146.0,18582735000.0
2019-01-04,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,0.2395935,0.2395935,0.2013855,0.26714033,-0.76465195,-0.76465195,-0.80056095,0.013366495,269.6981,269.6981,269.75366,3.1324513,1977912.1,1977912.1,2055159.5,718483750000.0,-1539318.9,-1539318.9,-1542964.8,13108235000.0
2019-01-05,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,0.38476753,0.38476753,0.40393257,0.19816338,-0.18123882,-0.18123882,-0.15922546,0.016446687,271.25305,271.25305,271.15332,4.9115577,3130228.8,3130228.8,3201996.0,1633352700000.0,-2262418.8,-2262418.8,-2285739.0,36896880000.0
2019-01-06,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,0.08247884,0.08247884,0.11730957,0.019401038,0.91748077,0.91748077,0.8748579,0.092067085,275.0271,275.0271,275.05347,5.855999,3810992.2,3810992.2,3874167.2,1908869300000.0,-2733308.2,-2733308.2,-2735147.5,154826870000.0
2019-01-07,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,-0.099253334,-0.099253334,-0.048919678,0.117725216,-1.2387289,-1.2387289,-1.2425537,0.02154026,270.67258,270.67258,270.906,12.525399,3354232.8,3354232.8,3447234.2,1628023200000.0,-2404244.2,-2404244.2,-2396972.0,138350020000.0
2019-01-08,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,0.02195231,0.02195231,0.07739258,0.41821063,0.9742076,0.9742076,0.92796326,0.029644705,271.16003,271.16003,271.6897,5.3392806,4125123.2,4125123.2,4184381.5,2119172000000.0,-3485994.8,-3485994.8,-3443004.2,161058400000.0
2019-01-09,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,-0.22172038,-0.22172038,-0.1529541,0.17346327,0.5363706,0.5363706,0.4027443,0.17297135,273.42197,273.42197,273.49072,0.19964695,1050604.6,1050604.6,1041758.75,126903350000.0,397105.38,397105.38,400154.75,31254665000.0
2019-01-10,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,0.8488312,0.8488312,0.8072052,0.53363425,2.063631,2.063631,2.070467,0.089469254,277.16272,277.16272,277.12354,2.5105698,1655640.0,1655640.0,1607721.5,144651110000.0,-391408.72,-391408.72,-434028.75,14044705000.0
