Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,-6.0583444,-6.0583444,-5.898514,0.41460362,-6.9455466,-6.9455466,-6.773346,0.72986627,282.18253,282.18253,282.18628,0.0008891954,3710702.8,3710702.8,3733915.2,34078239000.0,-2122796.0,-2122796.0,-2124582.0,4816901600.0
2019-01-02,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,2.2171714,2.2171714,2.215788,0.0019505156,-1.1664248,-1.1664248,-1.1864443,0.0010474125,281.23682,281.23682,281.18994,0.029943466,7922939.5,7922939.5,7923282.5,215669060.0,-4372073.5,-4372073.5,-4361451.0,2235775500.0
2019-01-03,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,-3.270387,-3.270387,-2.9624443,1.2485673,-8.2052965,-8.2052965,-8.076065,0.5319534,279.6775,279.6775,279.594,0.070950665,1516686.6,1516686.6,1494521.8,1429243800.0,-1455094.4,-1455094.4,-1449174.0,4530145000.0
2019-01-04,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,-11.052196,-11.052196,-10.871857,0.33811477,-5.9723144,-5.9723144,-5.9525385,0.002649347,276.7711,276.7711,276.66528,0.17718147,1757541.0,1757541.0,1743171.8,1418261000.0,-1290411.6,-1290411.6,-1320774.0,4697309700.0
2019-01-05,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,2.324424,2.324424,2.4144306,0.090971686,-6.5654755,-6.5654755,-6.6006317,0.013347785,276.39322,276.39322,276.17334,0.16506869,1200970.9,1200970.9,1173437.1,38263517000.0,-871289.5,-871289.5,-885335.5,2394950000.0
2019-01-06,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,5.991577,5.991577,6.1531982,0.14950006,-8.683614,-8.683614,-8.658223,0.004018823,279.42065,279.42065,279.4309,0.18768518,5252114.5,5252114.5,5052069.0,879069400000.0,-4783116.5,-4783116.5,-4763175.5,35224023000.0
2019-01-07,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,-1.4925232,-1.4925232,-1.2388611,0.75549537,-5.1701255,-5.1701255,-5.2076416,0.007563843,276.6312,276.6312,276.6338,0.09995625,4988254.0,4988254.0,4941597.0,76974100000.0,-3976571.2,-3976571.2,-3988897.0,2005320700.0
2019-01-08,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,3.8826904,3.8826904,3.8538818,0.0040631294,-1.5211334,-1.5211334,-1.5831451,0.018970648,275.371,275.371,275.3523,0.2965438,6816244.0,6816244.0,6712036.0,166159500000.0,-4984964.5,-4984964.5,-4986457.5,1149751000.0
2019-01-09,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,0.38285318,0.38285318,0.3548584,0.015666537,11.021722,11.021722,11.042881,0.007708444,282.6979,282.6979,282.6919,0.043411303,1755606.4,1755606.4,1700830.8,26599260000.0,-1689565.1,-1689565.1,-1599236.0,110309320000.0
2019-01-10,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,3.6594188,3.6594188,3.6670685,0.013167116,9.388907,9.388907,9.25577,0.20682275,286.95737,286.95737,286.88867,0.07542361,5839688.0,5839688.0,5800644.0,20581450000.0,-2484073.8,-2484073.8,-2456106.0,5325661700.0
2019-01-11,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,2.734256,2.734256,2.7445507,0.0023275248,-4.3966117,-4.3966117,-4.5051727,0.029330267,282.39072,282.39072,282.2942,0.10932865,6929665.5,6929665.5,6969262.0,20565203000.0,-3423515.2,-3423515.2,-3394612.0,3142040600.0
2019-01-12,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,-1.2501119,-1.2501119,-0.9494934,0.93796796,-4.633159,-4.633159,-4.5825405,0.20012893,281.6451,281.6451,281.58618,0.047570754,4636196.0,4636196.0,4660347.0,52247220000.0,-1519428.0,-1519428.0,-1537400.0,17147830000.0
2019-01-13,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,2.6671896,2.6671896,2.6544943,0.0005613963,-1.6096646,-1.6096646,-1.6873827,0.018716427,279.6461,279.6461,279.59497,0.035673987,7388828.5,7388828.5,7557321.0,204714520000.0,-4027748.0,-4027748.0,-4107728.5,47396073000.0
2019-01-14,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,2.7650044,2.7650044,2.7046204,0.063119106,-1.9437577,-1.9437577,-2.0351477,0.08161505,281.30826,281.30826,281.24023,0.078207865,6615722.5,6615722.5,6588813.0,16400844000.0,-4062566.2,-4062566.2,-4022363.5,10281633000.0
2019-01-15,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,6.4335556,6.4335556,6.526085,0.027809978,-12.28098,-12.28098,-12.243057,0.0069503915,278.67554,278.67554,278.5984,0.083100475,8237945.5,8237945.5,8286384.5,18729933000.0,-3557792.2,-3557792.2,-3573167.5,4813158400.0
2019-01-16,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,6.201874,6.201874,6.0939636,0.10277299,-3.6787922,-3.6787922,-3.69458,0.059754103,283.0996,283.0996,283.06152,0.053459644,9420425.0,9420425.0,9426312.0,3651341300.0,-5339474.0,-5339474.0,-5327779.0,1097795600.0
2019-01-17,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,0.8899854,0.8899854,0.858654,0.0031666886,0.8716853,0.8716853,0.7895727,0.046972286,284.28574,284.28574,284.24,0.040227942,9522291.0,9522291.0,9528309.0,3605024800.0,-5022053.5,-5022053.5,-5041419.0,2396891100.0
2019-01-18,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,2.2981517,2.2981517,2.232071,0.028190069,1.3213844,1.3213844,1.2862282,0.016239524,284.1206,284.1206,284.09717,0.0370485,7332253.5,7332253.5,7329099.0,5389385000.0,-3669942.8,-3669942.8,-3668084.5,499514720.0
2019-01-19,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,-2.108078,-2.108078,-2.071457,0.046933334,0.5766916,0.5766916,0.5871897,0.012672703,285.7543,285.7543,285.7273,0.008700265,8933167.0,8933167.0,8935367.0,6776314400.0,-3726910.0,-3726910.0,-3711693.5,1119886500.0
