Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΚΙΛΚΙΣ,1.0995519,1.0995519,1.0829315,0.030271979,-0.8775001,-0.8775001,-0.94107056,0.13926296,279.28787,279.28787,279.44873,1.7026373,6677488.5,6677488.5,6648385.0,81633985000.0,-3669311.0,-3669311.0,-3695634.8,27366568000.0
2019-01-02,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.43402144,0.43402144,0.50375175,0.48102257,0.1044211,0.1044211,0.35530376,0.21831772,277.4217,277.4217,277.26807,0.7960198,7331289.0,7331289.0,7327403.5,15672667000.0,-4603057.0,-4603057.0,-4606326.0,8049693000.0
2019-01-03,ΔΗΜΟΣ ΚΙΛΚΙΣ,1.9529891,1.9529891,1.9418526,0.032591563,-2.260241,-2.260241,-2.3026276,0.32725793,274.8992,274.8992,274.99365,0.63537467,1760532.0,1760532.0,1701900.5,61176484000.0,-1100196.1,-1100196.1,-1100052.8,7362748000.0
2019-01-04,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.7018738,0.7018738,0.6874695,0.027168274,-1.4681352,-1.4681352,-1.4718256,0.12588616,272.05273,272.05273,272.15723,0.4484502,1206405.8,1206405.8,1190051.2,18432244000.0,-1193668.1,-1193668.1,-1196864.8,20720695000.0
2019-01-05,ΔΗΜΟΣ ΚΙΛΚΙΣ,1.3770206,1.3770206,1.3272724,0.01911589,-0.7751547,-0.7751547,-0.8066864,0.05165253,271.48407,271.48407,271.4336,0.45991024,1825308.1,1825308.1,1822169.1,246679260000.0,-1578502.5,-1578502.5,-1555400.8,78324530000.0
2019-01-06,ΔΗΜΟΣ ΚΙΛΚΙΣ,1.9859525,1.9859525,1.9963379,0.03349273,-1.8170741,-1.8170741,-1.8719683,0.06382562,273.84637,273.84637,273.6128,1.4941516,3602498.5,3602498.5,3486318.5,708268460000.0,-2871842.8,-2871842.8,-2858241.0,58345304000.0
2019-01-07,ΔΗΜΟΣ ΚΙΛΚΙΣ,2.1353126,2.1353126,2.1578674,0.014592638,-2.3018422,-2.3018422,-2.3900146,0.18918316,271.24768,271.24768,271.36694,1.1287003,3383104.0,3383104.0,3293382.0,548293700000.0,-2776872.2,-2776872.2,-2740467.8,59478970000.0
2019-01-08,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.48226225,0.48226225,0.64990234,0.23621543,0.2486138,0.2486138,0.25682068,0.02784066,271.5702,271.5702,271.47144,0.9657025,4200887.5,4200887.5,4111107.0,839796400000.0,-3781245.8,-3781245.8,-3690769.0,150665990000.0
2019-01-09,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.95165074,-0.95165074,-1.0435791,0.15131536,-0.6533142,-0.6533142,-0.4751854,0.40405053,271.3506,271.3506,271.3462,0.06576468,1081220.9,1081220.9,1079566.8,49281495000.0,-415932.97,-415932.97,-394801.5,13445825000.0
2019-01-10,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.84711045,-0.84711045,-0.8592987,0.017790783,-0.17196465,-0.17196465,-0.047208786,0.32776308,276.28342,276.28342,276.31738,0.54253715,2150818.2,2150818.2,2174489.5,193316680000.0,-991414.25,-991414.25,-941687.75,33168650000.0
2019-01-11,ΔΗΜΟΣ ΚΙΛΚΙΣ,1.1914172,1.1914172,1.349165,0.18703665,-1.5879645,-1.5879645,-1.6049042,0.1937685,274.5802,274.5802,274.6433,1.2217468,4170029.2,4170029.2,4161164.0,544632500000.0,-3511647.5,-3511647.5,-3481042.2,36970045000.0
2019-01-12,ΔΗΜΟΣ ΚΙΛΚΙΣ,1.5454923,1.5454923,1.6584167,0.116389126,-1.6682153,-1.6682153,-1.7248745,0.18453194,273.58344,273.58344,273.54126,0.98083484,3915179.8,3915179.8,3913350.8,357142360000.0,-2730845.0,-2730845.0,-2700498.2,69271840000.0
2019-01-13,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.78146625,0.78146625,0.84211636,0.05631646,-0.35131374,-0.35131374,-0.34106922,0.028675808,275.53333,275.53333,275.28564,2.0578058,4607069.5,4607069.5,4365911.5,726359100000.0,-3270440.0,-3270440.0,-3225373.2,73779495000.0
2019-01-14,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.37488967,0.37488967,0.5472717,0.19501248,-0.5469415,-0.5469415,-0.547843,0.0403462,275.33057,275.33057,275.40796,1.0823476,2981685.5,2981685.5,3020885.5,224230000000.0,-1900182.1,-1900182.1,-1855744.0,52612694000.0
2019-01-15,ΔΗΜΟΣ ΚΙΛΚΙΣ,2.9014604,2.9014604,2.9034042,0.019459935,-3.395016,-3.395016,-3.5039215,0.45629114,273.31433,273.31433,273.45093,1.153877,5199061.0,5199061.0,5102228.0,803474830000.0,-4200573.5,-4200573.5,-4200364.0,131810820000.0
2019-01-16,ΔΗΜΟΣ ΚΙΛΚΙΣ,1.8157184,1.8157184,1.8191833,0.11797758,-0.7438777,-0.7438777,-0.82788086,0.13443963,276.2448,276.2448,276.19922,0.42087907,5256608.0,5256608.0,5223315.0,921448150000.0,-3606787.5,-3606787.5,-3461729.8,206611120000.0
2019-01-17,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.0056172884,0.0056172884,0.01771164,0.037300274,0.36966962,0.36966962,0.33254147,0.019906508,280.55026,280.55026,280.69824,0.25765538,5713994.0,5713994.0,5769723.0,1187263300000.0,-3342656.5,-3342656.5,-3275960.0,172534530000.0
2019-01-18,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.08630958,0.08630958,0.1618805,0.11978308,-0.00674057,-0.00674057,-0.013820648,0.09700077,279.04578,279.04578,278.9784,0.16114932,4466714.0,4466714.0,4629746.0,529364100000.0,-2557693.8,-2557693.8,-2566242.5,112420160000.0
2019-01-19,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.15622066,-0.15622066,-0.2528534,0.091482714,-0.13254628,-0.13254628,-0.19491482,0.026088692,281.92664,281.92664,282.07275,0.9337448,4971172.5,4971172.5,5159905.0,568662800000.0,-2395504.2,-2395504.2,-2424073.5,90206536000.0
2019-01-20,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.41815773,-0.41815773,-0.39686584,0.044802386,-0.55348045,-0.55348045,-0.60183907,0.017204845,281.34247,281.34247,281.3589,1.3921777,3308653.5,3308653.5,3171808.0,508837270000.0,-671298.6,-671298.6,-569767.25,135517790000.0
2019-01-21,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.184933,-0.184933,-0.19898987,0.03169111,0.2869063,0.2869063,0.332016,0.030696554,282.0847,282.0847,282.1328,0.91898054,5898671.0,5898671.0,5899655.0,181378580000.0,-2110757.0,-2110757.0,-2066422.9,128285460000.0
2019-01-22,ΔΗΜΟΣ ΚΙΛΚΙΣ,-2.1586702,-2.1586702,-2.162201,0.3286506,-0.021702766,-0.021702766,0.22854137,0.38841602,279.79675,279.79675,279.83838,0.8743676,2397545.5,2397545.5,2365332.0,115758160000.0,-391207.78,-391207.78,-420562.75,14034569000.0
2019-01-23,ΔΗΜΟΣ ΚΙΛΚΙΣ,-1.7586066,-1.7586066,-1.8024673,0.3580138,-0.35465887,-0.35465887,-0.15560913,0.26088265,280.8052,280.8052,280.9463,0.66041476,2330259.5,2330259.5,2371592.5,24755020000.0,-986791.0,-986791.0,-1007708.0,61008736000.0
2019-01-24,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.24944481,-0.24944481,-0.18608093,0.121535726,-0.53898525,-0.53898525,-0.61747646,0.043729927,283.6657,283.6657,283.75977,1.2783036,6817658.5,6817658.5,6708483.5,291188280000.0,-2791405.0,-2791405.0,-2716232.8,283712160000.0
2019-01-25,ΔΗΜΟΣ ΚΙΛΚΙΣ,-2.9064536,-2.9064536,-2.8696823,0.38778222,-0.4897985,-0.4897985,-0.67515755,0.40906942,281.39215,281.39215,281.35425,1.4088305,764306.44,764306.44,756217.06,1434753000.0,-485163.94,-485163.94,-480917.0,25138750000.0
2019-01-26,ΔΗΜΟΣ ΚΙΛΚΙΣ,2.395698,2.395698,2.4901428,0.06341663,-2.8433597,-2.8433597,-2.9510822,0.35543507,275.17102,275.17102,275.09473,0.2582805,3748717.5,3748717.5,3778488.0,172133610000.0,-925909.7,-925909.7,-933045.25,51508888000.0
2019-01-27,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.09168889,0.09168889,0.19830322,0.09094109,-0.010459607,-0.010459607,-0.044742584,0.031302467,280.72797,280.72797,280.71582,0.6597878,8921582.0,8921582.0,9016518.0,50418684000.0,-4305739.0,-4305739.0,-4304313.5,31256940000.0
2019-01-28,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.7529536,-0.7529536,-0.7239666,0.13820633,1.1831714,1.1831714,1.2380841,0.06831754,282.32394,282.32394,282.385,0.82921183,5012536.5,5012536.5,4970278.0,256080860000.0,-2038281.9,-2038281.9,-2049696.0,78415995000.0
2019-01-29,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.07434236,-0.07434236,-0.08451176,0.09934747,-0.03260334,-0.03260334,0.11198425,0.28934413,280.89078,280.89078,281.21997,0.6366599,1632105.2,1632105.2,1639120.0,37816857000.0,-640182.25,-640182.25,-662409.25,50734567000.0
2019-01-30,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.45169252,-0.45169252,-0.49313068,0.50937676,-0.3149767,-0.3149767,-0.32120228,0.07071117,281.8838,281.8838,282.04102,0.9478046,3646728.5,3646728.5,3659803.0,183310480000.0,-1321482.6,-1321482.6,-1349480.5,36397770000.0
2019-01-31,ΔΗΜΟΣ ΚΙΛΚΙΣ,0.27230448,0.27230448,0.42580318,0.50555784,-0.63982224,-0.63982224,-0.63367176,0.038038168,279.21646,279.21646,279.17676,1.3370378,2589855.8,2589855.8,2593532.5,18772620000.0,-1165557.9,-1165557.9,-1169044.1,44741580000.0
2019-02-01,ΔΗΜΟΣ ΚΙΛΚΙΣ,-0.7410666,-0.7410666,-0.7353668,0.03335688,0.25026292,0.25026292,0.23632812,0.07388152,283.39978,283.39978,283.56055,0.7891732,8326443.0,8326443.0,8297494.5,18413138000.0,-3422246.8,-3422246.8,-3437867.2,17732446000.0
