Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,0.6224611,0.6224611,0.6615448,0.15420197,-0.8206668,-0.8206668,-0.78604126,0.061218407,279.20367,279.20367,279.17212,1.0041852,6369151.5,6369151.5,6356687.0,96208170000.0,-3213635.8,-3213635.8,-3234678.5,37974053000.0
2019-01-02,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,0.29044184,0.29044184,0.3744793,0.07800543,0.041572448,0.041572448,0.12044048,0.16265339,277.06454,277.06454,277.28662,0.69780004,7590299.0,7590299.0,7590694.5,20961473000.0,-4400249.5,-4400249.5,-4386186.0,16365878000.0
2019-01-03,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,1.6036648,1.6036648,1.6254463,0.02164915,-1.9458426,-1.9458426,-1.8582916,0.117356986,274.73578,274.73578,274.75317,0.60941887,1950622.2,1950622.2,1912052.2,51472175000.0,-1063695.8,-1063695.8,-1019704.0,19936162000.0
2019-01-04,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,-0.046088178,-0.046088178,0.0065612793,0.1919632,-1.5715514,-1.5715514,-1.4664545,0.12074362,272.35626,272.35626,272.4143,0.5378379,1388582.0,1388582.0,1367817.8,31169309000.0,-1142454.2,-1142454.2,-1100912.5,43555490000.0
2019-01-05,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,1.1728375,1.1728375,1.2547626,0.03600707,-1.1621552,-1.1621552,-1.0684052,0.20267554,271.72128,271.72128,271.687,0.47571415,1503259.9,1503259.9,1475202.1,110182240000.0,-1096108.0,-1096108.0,-1077451.0,48155615000.0
2019-01-06,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,2.4979672,2.4979672,2.508667,0.0403811,-2.0812018,-2.0812018,-2.013936,0.13347712,274.30142,274.30142,274.34546,0.780713,3903177.5,3903177.5,3977039.0,583845000000.0,-2947273.0,-2947273.0,-2853993.5,111113150000.0
2019-01-07,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,1.8329905,1.8329905,1.861969,0.0676262,-2.2365882,-2.2365882,-2.1585693,0.17724112,272.02054,272.02054,271.9956,0.96903634,3543706.0,3543706.0,3652580.0,425961130000.0,-2773514.8,-2773514.8,-2617589.0,122736280000.0
2019-01-08,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,1.022254,1.022254,1.0635986,0.09739513,-0.3016616,-0.3016616,-0.3629303,0.04448835,270.6182,270.6182,270.615,1.6096354,4427121.5,4427121.5,4515442.0,608438100000.0,-3718420.8,-3718420.8,-3555842.5,173710130000.0
2019-01-09,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,-1.3584356,-1.3584356,-1.3624268,0.063904345,-0.80844796,-0.80844796,-0.88045883,0.08529256,271.88235,271.88235,271.93213,0.39550105,1174795.8,1174795.8,1170620.8,42687670000.0,-338415.4,-338415.4,-268980.5,65468015000.0
2019-01-10,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,-0.57240164,-0.57240164,-0.7220917,0.2326015,0.33797082,0.33797082,0.428133,0.38954183,277.19443,277.19443,276.6172,2.6509721,2438147.8,2438147.8,2473554.0,154182300000.0,-1041610.06,-1041610.06,-1006875.5,26370288000.0
2019-01-11,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,1.2351779,1.2351779,1.2012157,0.09775035,-1.4764278,-1.4764278,-1.4175262,0.10344815,275.19498,275.19498,275.3562,0.55459046,4411308.0,4411308.0,4496421.0,395613830000.0,-3117768.2,-3117768.2,-3191411.0,86668360000.0
2019-01-12,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,1.4731777,1.4731777,1.4306335,0.07009744,-1.5120156,-1.5120156,-1.4795132,0.1630333,274.83597,274.83597,274.85327,0.57259893,3966220.2,3966220.2,3967284.2,295768060000.0,-2237416.2,-2237416.2,-2288655.5,39909050000.0
2019-01-13,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,0.8789021,0.8789021,0.87129116,0.014479916,-0.6156478,-0.6156478,-0.61682606,0.02197692,274.89606,274.89606,274.96265,0.732335,4616058.0,4616058.0,4471183.0,384212660000.0,-3026187.2,-3026187.2,-3028622.0,98381685000.0
