Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.858405,-0.858405,-0.890213,0.11627881,-0.6558097,-0.6558097,-0.71817017,0.5321116,279.83722,279.83722,279.87817,0.39941683,4189194.2,4189194.2,4156745.8,31735409000.0,-1814619.4,-1814619.4,-1775815.0,27878650000.0
2019-01-02,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.7449752,-0.7449752,-0.6333332,0.15070008,0.7690175,0.7690175,0.7642393,0.00085968385,279.402,279.402,279.50732,0.23403184,7925166.5,7925166.5,7946173.0,2602489000.0,-4416358.5,-4416358.5,-4406995.5,1531342600.0
2019-01-03,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,1.3252231,1.3252231,1.2816963,0.14317802,-0.73343116,-0.73343116,-0.6527252,0.15277576,274.0142,274.0142,273.92212,0.15327807,595704.7,595704.7,573175.3,3920163000.0,-546654.6,-546654.6,-511720.0,4782362600.0
2019-01-04,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.6755763,0.6755763,0.67355347,0.16553998,-1.0329654,-1.0329654,-0.8209467,0.19553915,272.8867,272.8867,272.8855,0.20367219,1245988.4,1245988.4,1117004.8,61501820000.0,-1113091.1,-1113091.1,-1058694.5,13270327000.0
2019-01-05,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.72030395,0.72030395,0.61413765,0.041385848,0.48921204,0.48921204,0.37153625,0.050954137,273.98584,273.98584,273.72803,0.2370837,1787067.8,1787067.8,1591845.1,160424670000.0,-1749888.6,-1749888.6,-1716560.0,23241017000.0
2019-01-06,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.57918876,-0.57918876,-0.5584717,0.030585552,1.2873684,1.2873684,1.321269,0.09143555,276.96475,276.96475,276.96606,1.8830516,3048732.2,3048732.2,2817370.0,294886080000.0,-2512205.5,-2512205.5,-2519613.0,29075556000.0
2019-01-07,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.57500786,-0.57500786,-0.62216187,0.11683778,-1.6367362,-1.6367362,-1.5264893,0.11951462,273.44733,273.44733,273.50635,0.04852311,2550084.8,2550084.8,2369473.5,201451550000.0,-1904427.4,-1904427.4,-1904649.0,55588280000.0
2019-01-08,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.3815046,-0.3815046,-0.32946777,0.3653173,1.4081355,1.4081355,1.4034271,0.010528305,272.72638,272.72638,273.00903,1.4954159,3394661.5,3394661.5,3117157.0,422698650000.0,-3175849.8,-3175849.8,-3070890.5,67476990000.0
2019-01-09,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.24712263,-0.24712263,-0.20275879,0.2701353,-0.3091,-0.3091,-0.4336815,0.106665574,273.48172,273.48172,273.4082,0.04318836,955823.1,955823.1,872487.8,28069466000.0,119600.21,119600.21,188617.5,14575240000.0
2019-01-10,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.44971356,0.44971356,0.63191223,0.3562662,2.3209205,2.3209205,2.2445393,0.05633149,279.01953,279.01953,279.25146,0.27919346,1846469.2,1846469.2,1725285.0,57844105000.0,-905644.1,-905644.1,-907328.0,3771117600.0
2019-01-11,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.1411915,-1.1411915,-1.161211,0.022280846,-0.8192422,-0.8192422,-0.7827606,0.030762449,279.37198,279.37198,279.656,0.9287028,3074722.0,3074722.0,2891222.5,159680940000.0,-1931106.8,-1931106.8,-1904168.5,26827854000.0
2019-01-12,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.15677752,0.15677752,0.1713562,0.07978843,0.5402971,0.5402971,0.75486183,0.19903637,276.41376,276.41376,276.47632,0.7763973,1330407.8,1330407.8,1282004.2,35665146000.0,-626765.94,-626765.94,-619832.0,8655452000.0
2019-01-13,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.28694683,-0.28694683,-0.22514439,0.029251838,0.89409053,0.89409053,0.8990431,0.004653909,277.7667,277.7667,277.8401,0.37917286,4294112.5,4294112.5,3985042.0,569811530000.0,-3237290.0,-3237290.0,-3239131.0,28490349000.0
2019-01-14,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.17420742,0.17420742,0.20877075,0.124353185,0.31950146,0.31950146,0.3280115,0.012013437,278.09967,278.09967,278.09766,0.069348566,2546058.5,2546058.5,2360612.0,131851035000.0,-1823665.8,-1823665.8,-1789709.0,31181520000.0
2019-01-15,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,2.5931888,2.5931888,2.4452744,0.26864466,-2.3666623,-2.3666623,-2.2957916,0.057260253,275.72833,275.72833,276.01147,0.24614589,4891088.5,4891088.5,4521565.5,732124300000.0,-3619941.5,-3619941.5,-3568516.0,43878056000.0
2019-01-16,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,1.3716562,1.3716562,1.3537292,0.010244316,0.66402763,0.66402763,0.63500977,0.1077344,280.2819,280.2819,280.21484,0.18087372,5059579.0,5059579.0,4706696.0,793121000000.0,-3212693.2,-3212693.2,-3044815.0,144476230000.0
2019-01-17,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.44924217,-0.44924217,-0.44408035,0.20679471,0.4899773,0.4899773,0.4973364,0.0045580086,281.84247,281.84247,281.8025,0.010673894,5360365.0,5360365.0,4931820.0,1012959900000.0,-3116384.5,-3116384.5,-2953714.0,127096504000.0
2019-01-18,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.26513454,0.26513454,0.35975647,0.27781972,0.5657343,0.5657343,0.50717545,0.014886625,283.47186,283.47186,283.43384,0.28430814,4866192.0,4866192.0,4305475.0,956076460000.0,-2273950.8,-2273950.8,-2111904.5,118491490000.0
2019-01-19,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.8401162,-0.8401162,-0.80851746,0.026123947,-0.31002712,-0.31002712,-0.32638454,0.048632436,284.43216,284.43216,284.57788,0.2896141,5464364.5,5464364.5,5093931.0,633083600000.0,-2425760.5,-2425760.5,-2291818.0,65172210000.0
2019-01-20,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.13293675,0.13293675,0.28282166,0.19226936,0.26979527,0.26979527,0.23641777,0.059154846,284.69467,284.69467,284.63867,0.26134586,5877531.5,5877531.5,5710281.0,329394620000.0,-2111485.5,-2111485.5,-2021171.0,57473696000.0
2019-01-21,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.9707707,-0.9707707,-0.96302795,0.011244053,-0.47992596,-0.47992596,-0.5327301,0.040069353,283.38034,283.38034,283.406,0.12495694,5828840.5,5828840.5,5667612.0,218267570000.0,-2371834.8,-2371834.8,-2336865.2,82372590000.0
2019-01-22,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.1891611,-1.1891611,-1.1758728,0.0042855716,-0.34313133,-0.34313133,-0.36252308,0.006661907,284.24344,284.24344,284.38574,0.27875906,4922883.5,4922883.5,4957195.0,39069610000.0,-1262871.0,-1262871.0,-1221437.0,11376493000.0
2019-01-23,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.3920496,-1.3920496,-1.3758316,0.014178358,0.14391653,0.14391653,0.18765259,0.016491335,283.83066,283.83066,283.96655,0.4223218,4363926.5,4363926.5,4335608.5,37258666000.0,-1838012.8,-1838012.8,-1831194.8,18233313000.0
2019-01-24,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.118000574,-0.118000574,0.0605011,0.29673544,-0.26969814,-0.26969814,-0.32096767,0.08145116,284.90933,284.90933,284.95996,0.17837195,8857703.0,8857703.0,8878996.0,26035810000.0,-4202427.0,-4202427.0,-4198356.5,25297220000.0
2019-01-25,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.8954893,0.8954893,0.87519073,0.032941602,0.68289214,0.68289214,0.6158581,0.015521711,282.11496,282.11496,282.02148,0.19537638,2144182.8,2144182.8,2138379.5,11544880000.0,-976487.0,-976487.0,-1006665.0,3804681000.0
2019-01-26,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.80937415,0.80937415,0.77944946,0.07062508,-0.67855155,-0.67855155,-0.6400471,0.025303122,281.35745,281.35745,281.4348,0.1240453,6263550.5,6263550.5,6334171.0,61918245000.0,-2346808.5,-2346808.5,-2292990.5,30190727000.0
2019-01-27,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.88048446,-0.88048446,-0.82147217,0.06320253,0.40777206,0.40777206,0.44244003,0.04473114,283.61642,283.61642,283.5337,0.09080651,9583073.0,9583073.0,9581286.0,3543988500.0,-4216674.5,-4216674.5,-4211322.0,1281262200.0
2019-01-28,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.88874406,-0.88874406,-0.893034,0.33033353,0.4450107,0.4450107,0.3757794,0.027205175,285.17874,285.17874,285.10767,0.15328081,6663827.0,6663827.0,6736840.0,168575160000.0,-2803162.5,-2803162.5,-2900576.0,74401760000.0
2019-01-29,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.75959545,-0.75959545,-0.72391605,0.0048350333,-1.2693285,-1.2693285,-1.2837677,0.009127267,283.54913,283.54913,283.69116,0.42265525,4309113.0,4309113.0,4257474.0,31225240000.0,-1724499.4,-1724499.4,-1791939.5,27357166000.0
2019-01-30,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,1.5477105,1.5477105,1.5810881,0.040831834,0.74839526,0.74839526,0.7355604,0.012891733,284.42972,284.42972,284.53198,0.20592551,6743498.5,6743498.5,6659838.0,82353090000.0,-2380748.0,-2380748.0,-2392603.0,22292918000.0
2019-01-31,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,3.7557945,3.7557945,3.755271,0.059886687,1.6953077,1.6953077,1.6572218,0.026537146,283.24808,283.24808,283.2981,0.23298542,6585205.0,6585205.0,6633924.0,20566788000.0,-2849212.2,-2849212.2,-2833952.8,3527405000.0
2019-02-01,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,0.8925454,0.8925454,0.97740173,0.14857607,0.67361885,0.67361885,0.6977539,0.025379902,286.52435,286.52435,286.50244,0.18101476,8735225.0,8735225.0,8726349.0,102427240000.0,-3820670.8,-3820670.8,-3877123.0,40199414000.0
2019-02-02,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.4132102,-1.4132102,-1.4030609,0.18021505,-0.12459265,-0.12459265,-0.18813896,0.074156344,287.98965,287.98965,288.114,0.22380267,9329469.0,9329469.0,9379303.0,33047167000.0,-3641758.0,-3641758.0,-3694658.0,15742637000.0
2019-02-03,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.5868099,-1.5868099,-1.6177111,0.050688233,-0.25953457,-0.25953457,-0.2965393,0.020538513,286.7942,286.7942,286.76782,0.039557576,7028551.5,7028551.5,6954715.0,200338050000.0,-2863651.2,-2863651.2,-2835841.5,31434375000.0
2019-02-04,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-2.3081295,-2.3081295,-2.3024445,0.01584795,-1.1864927,-1.1864927,-1.170763,0.075907946,286.50433,286.50433,286.48682,0.061171897,5489631.5,5489631.5,5494682.0,37967794000.0,-1837664.6,-1837664.6,-1830209.0,16515046000.0
2019-02-05,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-2.3903852,-2.3903852,-2.393036,0.03104502,-1.9619865,-1.9619865,-1.938549,0.16237715,286.23434,286.23434,286.22827,0.09802396,7125403.0,7125403.0,7260599.0,229758940000.0,-2766898.0,-2766898.0,-2775050.5,98988050000.0
2019-02-06,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.882568,-1.882568,-1.906703,0.10381812,-2.7358906,-2.7358906,-2.8041801,0.10777456,281.4768,281.4768,281.51147,0.107034616,2696721.5,2696721.5,2658541.5,77424090000.0,-893193.8,-893193.8,-929254.0,20760740000.0
2019-02-07,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.9692491,-1.9692491,-2.033493,0.073205225,-0.00941658,-0.00941658,0.0013256073,0.040672097,280.92514,280.92514,281.01025,0.17084582,5396553.0,5396553.0,5495714.0,108788930000.0,-1658908.0,-1658908.0,-1685207.0,26409224000.0
2019-02-08,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.0193803,-1.0193803,-0.99388504,0.021639975,0.63786316,0.63786316,0.6207733,0.02872433,282.25684,282.25684,282.1687,0.10371118,5716461.0,5716461.0,5721757.0,5075247000.0,-2091936.2,-2091936.2,-2063208.0,6914990000.0
2019-02-09,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.5438058,-0.5438058,-0.5280762,0.04470416,0.63384885,0.63384885,0.5993204,0.025896,283.43576,283.43576,283.44653,0.107046485,6968859.0,6968859.0,6956772.0,12859983000.0,-2331390.0,-2331390.0,-2286916.5,8445396000.0
2019-02-10,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.55527484,-0.55527484,-0.39933872,0.17969047,0.8776565,0.8776565,0.87810993,0.029910726,285.89142,285.89142,285.73022,0.08152602,10750624.0,10750624.0,10779196.0,38892450000.0,-4073427.8,-4073427.8,-4063755.8,5397209000.0
2019-02-11,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,1.3721323,1.3721323,1.5640268,0.46262386,2.7932332,2.7932332,2.7528105,0.037428226,287.57547,287.57547,287.5769,0.12838717,9705186.0,9705186.0,9673474.0,113312180000.0,-3718744.5,-3718744.5,-3698555.0,30348515000.0
2019-02-12,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-0.52267635,-0.52267635,-0.6965742,0.15836456,-0.0045076096,-0.0045076096,-0.031572342,0.2984055,283.56567,283.56567,283.60132,0.13689606,8192137.0,8192137.0,8184672.0,13212453000.0,-3516258.5,-3516258.5,-3500869.8,6273371600.0
2019-02-13,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-2.0791647,-2.0791647,-2.052414,0.007729205,-2.5761654,-2.5761654,-2.594162,0.27075368,280.16876,280.16876,280.19214,0.18755017,5765353.5,5765353.5,5817674.0,27445615000.0,-2459904.0,-2459904.0,-2437339.5,6235324400.0
2019-02-14,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-1.1971685,-1.1971685,-1.2554483,0.100782566,-0.46713474,-0.46713474,-0.33564758,0.10300185,283.4372,283.4372,283.37622,0.057355564,11648371.0,11648371.0,11636499.0,9571789000.0,-4647636.0,-4647636.0,-4621210.0,9036164000.0
2019-02-15,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,-2.6039484,-2.6039484,-2.5747213,0.055002443,-1.4171556,-1.4171556,-1.4105988,0.21141107,280.6898,280.6898,280.82666,0.12827666,10842666.0,10842666.0,10822747.0,6823537700.0,-4458200.5,-4458200.5,-4419938.0,4260593400.0
