Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,-0.19160461,-0.19160461,-0.16853333,0.10326283,-0.14663696,-0.14663696,-0.15615845,0.12904757,274.61792,274.61792,274.64404,2.579206,2275068.5,2275068.5,2285336.8,294954800000.0,-1286554.4,-1286554.4,-1293677.2,2376638500.0
2019-01-02,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.04617119,0.04617119,0.0632,0.037523873,0.66517925,0.66517925,0.6725645,0.0032005124,276.7339,276.7339,276.74097,1.2577475,4137789.8,4137789.8,4164110.5,835637540000.0,-3270836.0,-3270836.0,-3264393.8,40179474000.0
2019-01-03,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.709919,0.709919,0.7072334,0.10338104,-1.3112946,-1.3112946,-1.306778,0.0012212247,272.1046,272.1046,272.14917,0.8818614,772935.56,772935.56,772279.56,49997590000.0,-414788.0,-414788.0,-420906.0,756556740.0
2019-01-04,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.07589722,0.07589722,0.060028076,0.050595403,-0.7232294,-0.7232294,-0.7198725,0.0034773163,269.40796,269.40796,269.44556,0.8445705,1946354.8,1946354.8,1955050.2,334494630000.0,-1551287.4,-1551287.4,-1532400.5,20337910000.0
2019-01-05,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.34362984,0.34362984,0.34485054,0.041528583,-0.20976257,-0.20976257,-0.20707703,0.0025649667,271.23633,271.23633,271.2434,1.4753869,3497478.8,3497478.8,3525074.0,949830300000.0,-2558222.5,-2558222.5,-2584488.8,39208370000.0
2019-01-06,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.22540283,0.22540283,0.23242188,0.00022686645,0.81870556,0.81870556,0.8086958,0.01062955,275.4021,275.4021,275.48657,2.7998202,4037156.8,4037156.8,4075172.2,1177610000000.0,-3016356.2,-3016356.2,-3047027.5,178748130000.0
2019-01-07,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.16812134,0.16812134,0.17202759,0.05860558,-1.392334,-1.392334,-1.3934326,0.012618467,270.21045,270.21045,270.21484,3.4136095,3387889.8,3387889.8,3418023.0,904123250000.0,-2524591.5,-2524591.5,-2545638.8,135681280000.0
2019-01-08,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.40075684,0.40075684,0.4194336,0.036826044,1.0395355,1.0395355,1.0251312,0.0039208084,271.74646,271.74646,271.75537,1.2906911,4294052.5,4294052.5,4334566.0,1278439800000.0,-3625952.5,-3625952.5,-3667016.5,177617490000.0
2019-01-09,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,-0.14196777,-0.14196777,-0.12976074,0.029247344,0.47818375,0.47818375,0.48599625,0.039379418,273.37024,273.37024,273.40674,0.10257392,947193.8,947193.8,966331.25,64525947000.0,500886.88,500886.88,523526.5,19091407000.0
2019-01-10,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.93013,0.93013,0.93196106,0.07255356,1.4640217,1.4640217,1.4754963,0.019895256,277.1073,277.1073,276.9165,1.4858631,1875528.5,1875528.5,1900167.0,125995950000.0,-444508.12,-444508.12,-431822.5,1039761900.0
2019-01-11,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,-0.36531258,-0.36531258,-0.33577156,0.011128373,-0.045639038,-0.045639038,-0.049606323,0.007825058,277.72778,277.72778,277.81055,2.4104295,3645584.2,3645584.2,3676817.5,514723380000.0,-2401391.5,-2401391.5,-2440983.5,5897141000.0
2019-01-12,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,-0.039642334,-0.039642334,-0.02835083,0.08811916,-0.15199852,-0.15199852,-0.16383934,0.04052262,273.5338,273.5338,273.50122,1.0370259,1839838.8,1839838.8,1858713.2,145474420000.0,-1025912.25,-1025912.25,-1019535.25,2886701600.0
2019-01-13,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,-0.01768589,-0.01768589,-0.019089699,0.05484102,0.3374586,0.3374586,0.3565626,0.005755257,275.62976,275.62976,275.66333,0.62209064,4747045.0,4747045.0,4783529.0,935287600000.0,-4053069.8,-4053069.8,-4063335.5,42056794000.0
2019-01-14,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.5917053,0.5917053,0.5869446,0.002184227,0.13239384,0.13239384,0.1333704,0.0038469918,276.00415,276.00415,276.10205,1.64516,2730223.5,2730223.5,2763471.5,283138800000.0,-2050866.2,-2050866.2,-2034683.2,68934210000.0
2019-01-15,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,1.1811142,1.1811142,1.1744003,0.13761881,-2.4761505,-2.4761505,-2.4730377,0.0023844354,271.70642,271.70642,271.8037,0.8966963,5137712.5,5137712.5,5170882.5,911480460000.0,-4147672.0,-4147672.0,-4152942.2,8882145000.0
2019-01-16,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,1.5677185,1.5677185,1.5811462,0.0045868903,0.7188721,0.7188721,0.7133789,0.007986948,276.23962,276.23962,276.2036,2.7922645,5104288.5,5104288.5,5141109.0,779017700000.0,-3629154.0,-3629154.0,-3594645.8,56246104000.0
2019-01-17,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,1.2802238,1.2802238,1.3177605,0.008928429,0.78371334,0.78371334,0.7896948,0.0029594004,278.04285,278.04285,277.85913,2.494969,5175984.5,5175984.5,5210304.5,753325200000.0,-3394450.5,-3394450.5,-3392029.0,73498280000.0
2019-01-18,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,0.8525543,0.8525543,0.8933258,0.020874634,0.70840836,0.70840836,0.71811295,0.011581194,279.5423,279.5423,279.58325,4.205665,3865575.0,3865575.0,3905649.5,292747840000.0,-1804746.0,-1804746.0,-1754493.0,34440110000.0
2019-01-19,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,-0.11723328,-0.11723328,-0.081954956,0.041664675,0.4598093,0.4598093,0.48208714,0.0110244565,280.7976,280.7976,280.86743,2.3664255,3538338.0,3538338.0,3569184.2,204145130000.0,-1548701.8,-1548701.8,-1522633.5,20797661000.0
2019-01-20,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,-0.05305481,-0.05305481,-0.02796936,0.041196108,0.30587578,0.30587578,0.31429863,0.0046726614,281.36377,281.36377,281.43774,2.6571348,3888991.8,3888991.8,3917875.0,217932460000.0,-1359331.8,-1359331.8,-1345770.5,11160668000.0
