Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,-0.13215637,-0.13215637,0.020431519,0.45387858,0.06088257,0.06088257,0.17391968,0.45351702,275.2307,275.2307,275.9607,5.5739427,2325992.5,2325992.5,2433014.8,348959930000.0,-1327143.2,-1327143.2,-1292380.0,30401360000.0
2019-01-02,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,-0.14279366,-0.14279366,-0.11087227,0.18888614,0.7196226,0.7196226,0.7183409,0.00227518,277.2868,277.2868,277.64453,3.4711053,4307601.0,4307601.0,4321229.0,1152159600000.0,-3346261.2,-3346261.2,-3096137.8,168802520000.0
2019-01-03,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.89265823,0.89265823,0.94600296,0.49270865,-1.3302155,-1.3302155,-1.3267975,0.0026652813,272.57043,272.57043,272.83838,2.8246374,703808.9,703808.9,642131.06,58730574000.0,-440301.25,-440301.25,-424839.5,14954300000.0
2019-01-04,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.19113159,0.19113159,0.20895386,0.2893715,-0.79641056,-0.79641056,-0.7813959,0.007924587,269.89966,269.89966,270.11475,3.151321,1687341.0,1687341.0,1552589.5,268288180000.0,-1468470.5,-1468470.5,-1472943.0,18934270000.0
2019-01-05,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.48132515,0.48132515,0.5152607,0.16276842,-0.2407074,-0.2407074,-0.25297546,0.0096707605,271.8946,271.8946,272.229,4.340102,3132515.5,3132515.5,2974252.0,807510900000.0,-2525700.5,-2525700.5,-2566236.0,42293340000.0
2019-01-06,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.22177124,0.22177124,0.23242188,0.0017513996,0.8222761,0.8222761,0.803813,0.04597927,276.1801,276.1801,276.8169,6.91499,3647129.0,3647129.0,3585610.5,873648900000.0,-2864493.5,-2864493.5,-2776159.5,126154605000.0
2019-01-07,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.28320312,0.28320312,0.37649536,0.2251237,-1.5007324,-1.5007324,-1.5032959,0.015526801,270.48022,270.48022,271.15894,8.373312,3017577.5,3017577.5,2903042.8,674463900000.0,-2340120.5,-2340120.5,-2280148.8,71805256000.0
2019-01-08,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.24710083,0.24710083,0.29040527,0.23706067,1.0761871,1.0761871,1.0848236,0.020742668,272.08087,272.08087,272.62793,4.200772,3899223.5,3899223.5,3854337.5,945926440000.0,-3444485.5,-3444485.5,-3397383.8,100200870000.0
2019-01-09,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,-0.32330322,-0.32330322,-0.3026123,0.101144694,0.38443375,0.38443375,0.32730484,0.17234594,273.23047,273.23047,273.26782,0.15034091,837180.9,837180.9,809595.8,34577478000.0,528373.9,528373.9,575412.75,47681670000.0
2019-01-10,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.7173004,0.7173004,0.7080841,0.32623613,1.429903,1.429903,1.4078693,0.0367037,277.71045,277.71045,278.02197,4.9808745,1784219.5,1784219.5,1838700.0,106719870000.0,-479775.62,-479775.62,-431822.5,31572939000.0
2019-01-11,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,-0.5152607,-0.5152607,-0.4591236,0.05897753,-0.05897522,-0.05897522,-0.028366089,0.042509094,278.42212,278.42212,278.97876,5.9989343,3368320.0,3368320.0,3350293.2,376525720000.0,-2401560.5,-2401560.5,-2440983.5,24391141000.0
2019-01-12,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.090148926,0.090148926,0.17636108,0.39291728,-0.06807518,-0.06807518,-0.022237778,0.20569134,273.95544,273.95544,274.41187,2.2784274,1738884.6,1738884.6,1710553.2,155125630000.0,-1025180.6,-1025180.6,-1039259.0,12123914000.0
2019-01-13,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,-0.1295023,-0.1295023,-0.18339634,0.2522813,0.42498302,0.42498302,0.40783215,0.006788697,275.90204,275.90204,276.22534,2.1510615,4379819.5,4379819.5,4349531.5,703519800000.0,-3869203.5,-3869203.5,-3850786.5,26031686000.0
2019-01-14,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.46228027,0.46228027,0.49087524,0.0152513515,0.11324406,0.11324406,0.104439735,0.024493784,276.47192,276.47192,276.9812,4.473836,2498219.8,2498219.8,2502348.5,191034100000.0,-1910069.0,-1910069.0,-1824834.5,48728090000.0
2019-01-15,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,1.429924,1.429924,1.4449081,0.6900347,-2.46727,-2.46727,-2.4729156,0.005092769,272.38977,272.38977,272.3457,5.029762,4787151.5,4787151.5,4774415.0,624408400000.0,-4132913.5,-4132913.5,-4061128.0,26732250000.0
2019-01-16,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,1.5657043,1.5657043,1.6141052,0.015692022,0.59088135,0.59088135,0.6335449,0.015933748,276.75604,276.75604,277.56934,7.4276443,4766528.0,4766528.0,4742602.5,512676270000.0,-3502826.2,-3502826.2,-3398903.0,51869930000.0
2019-01-17,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,1.0745354,1.0745354,1.210949,0.106874146,0.70366573,0.70366573,0.7300024,0.010469308,278.84833,278.84833,279.17847,9.415066,4866412.0,4866412.0,4858007.5,488229140000.0,-3310526.0,-3310526.0,-3158490.2,66908578000.0
2019-01-18,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,0.6499176,0.6499176,0.728775,0.123300694,0.597599,0.597599,0.60214615,0.027704878,280.54263,280.54263,281.30005,10.498838,3682610.0,3682610.0,3539452.5,195257370000.0,-1745390.0,-1745390.0,-1708853.2,87530570000.0
