Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.27140808,0.27140808,0.2733612,0.038658038,-0.37067667,-0.37067667,-0.42617798,0.23048279,276.9792,276.9792,276.09106,13.222768,5462288.5,5462288.5,5546395.0,90150980000.0,-2724593.0,-2724593.0,-2616797.0,178003760000.0
2019-01-02,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.2560003,-0.2560003,-0.2763996,0.036875553,-0.14464198,-0.14464198,-0.27653217,0.25440967,276.60526,276.60526,275.89014,4.6575933,7419724.0,7419724.0,7493278.5,50361050000.0,-4678484.5,-4678484.5,-4639091.5,63921144000.0
2019-01-03,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.7616768,1.7616768,1.834919,0.1589312,-1.4360368,-1.4360368,-1.4061432,0.19615835,271.28064,271.28064,270.78394,6.1940913,988680.56,988680.56,968489.3,7445313500.0,-628343.3,-628343.3,-653214.5,75518610000.0
2019-01-04,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.5817566,0.5817566,0.64279175,0.10803334,-1.3051318,-1.3051318,-1.2855463,0.0019921036,268.79434,268.79434,268.29517,5.692641,1381851.5,1381851.5,1358643.8,93122070000.0,-851243.06,-851243.06,-811133.0,70450170000.0
2019-01-05,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.2166225,1.2166225,1.2508564,0.008521474,-0.23100281,-0.23100281,-0.20805359,0.03205432,269.3022,269.3022,268.80225,7.6186895,2505845.0,2505845.0,2615706.0,596832940000.0,-1997047.1,-1997047.1,-2024020.5,9784258000.0
2019-01-06,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.3667128,1.3667128,1.473999,0.04654663,-0.34873423,-0.34873423,-0.35573292,0.02805682,272.39108,272.39108,271.52173,12.800136,3083936.5,3083936.5,3218426.0,712180000000.0,-2365114.8,-2365114.8,-2322538.0,23151330000.0
2019-01-07,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.4948357,1.4948357,1.5516663,0.058462236,-1.5445014,-1.5445014,-1.5015869,0.048489925,266.16,266.16,265.6709,6.625765,2711977.5,2711977.5,2728273.5,482259400000.0,-2284187.5,-2284187.5,-2300546.5,45681440000.0
2019-01-08,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.2217475,0.2217475,0.29284668,0.2177476,0.002819485,0.002819485,-0.02796936,0.006514264,269.94052,269.94052,269.5935,4.2586794,3496187.0,3496187.0,3555171.0,722817900000.0,-3125923.5,-3125923.5,-3179961.5,21765011000.0
2019-01-09,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.54314506,-0.54314506,-0.58361816,0.18792826,-0.32566282,-0.32566282,-0.27303696,0.131419,269.09396,269.09396,269.03564,0.7304544,1037543.25,1037543.25,1041445.8,90774010000.0,140675.17,140675.17,160814.0,9476462000.0
2019-01-10,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.22848341,0.22848341,0.2212677,0.028953701,0.6865966,0.6865966,0.7821369,0.24559349,275.13873,275.13873,274.74414,4.062196,1577768.9,1577768.9,1618964.0,175582430000.0,-667400.4,-667400.4,-681142.0,6720878000.0
2019-01-11,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.5566845,0.5566845,0.5693798,0.018617127,-1.089998,-1.089998,-1.0891571,0.007078318,273.98526,273.98526,273.61157,8.414801,2969479.0,2969479.0,2962967.0,441951350000.0,-1870184.2,-1870184.2,-1884569.0,28058167000.0
2019-01-12,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.4785665,1.4785665,1.5624695,0.028384222,-0.8193569,-0.8193569,-0.8335171,0.018962119,270.82727,270.82727,270.73608,3.3715296,3041247.0,3041247.0,2907714.2,456087340000.0,-2303861.2,-2303861.2,-2329685.0,20145875000.0
2019-01-13,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.5264561,0.5264561,0.6125021,0.06623548,-0.20439117,-0.20439117,-0.24744129,0.03212104,273.77026,273.77026,273.52026,3.9146054,3851409.0,3851409.0,3886882.0,556635200000.0,-2975657.0,-2975657.0,-2908726.5,51274883000.0
2019-01-14,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.56326294,0.56326294,0.59988403,0.054632306,0.07136546,0.07136546,0.11927128,0.01322687,274.27316,274.27316,273.7168,6.1385584,2386450.0,2386450.0,2383046.0,196866110000.0,-1288719.6,-1288719.6,-1342521.0,27155814000.0
2019-01-15,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,2.167171,2.167171,2.2296982,0.11588703,-1.6127404,-1.6127404,-1.6153717,0.01566162,269.64227,269.64227,269.15698,8.997015,4265425.5,4265425.5,4319430.5,472858950000.0,-3744026.2,-3744026.2,-3794644.5,40259520000.0
2019-01-16,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,2.0435622,2.0435622,2.0195007,0.007225833,-0.011094835,-0.011094835,0.0056152344,0.01952716,273.9037,273.9037,273.80615,4.5949802,4247913.0,4247913.0,4364709.0,412604000000.0,-2754606.8,-2754606.8,-2765333.5,43981554000.0
2019-01-17,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.4317877,0.4317877,0.42603683,0.054643206,0.107633695,0.107633695,0.06984615,0.0059990454,278.53113,278.53113,278.23413,2.6638007,4422856.0,4422856.0,4610092.0,397637680000.0,-2968481.8,-2968481.8,-2934461.0,47281476000.0
2019-01-18,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.5392812,0.5392812,0.5755768,0.053007416,0.43333647,0.43333647,0.48495865,0.086249076,277.42703,277.42703,276.84766,5.225855,3400016.5,3400016.5,3622480.0,246624260000.0,-1828302.2,-1828302.2,-1820972.5,20983814000.0
2019-01-19,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.89651656,-0.89651656,-0.89933777,0.010903612,-0.08441406,-0.08441406,-0.07394314,0.0036490816,278.2865,278.2865,277.5901,7.5445657,3532285.0,3532285.0,3599721.0,189002740000.0,-1649760.6,-1649760.6,-1612952.5,23004318000.0
2019-01-20,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.16151428,-0.16151428,-0.19288635,0.103612,0.0023411645,0.0023411645,-0.018953323,0.01583107,279.8897,279.8897,279.29297,7.581626,3239749.2,3239749.2,3266742.0,136854315000.0,-778134.7,-778134.7,-765931.0,23477529000.0
2019-01-21,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.89474994,-0.89474994,-0.8751373,0.005182293,-0.18935987,-0.18935987,-0.17970276,0.03539491,278.60556,278.60556,277.74048,9.823447,4781701.0,4781701.0,4614761.0,338364960000.0,-2011170.5,-2011170.5,-1882804.8,105345850000.0
2019-01-22,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.6753574,-0.6753574,-0.7395935,0.17789173,-0.5703681,-0.5703681,-0.4557848,0.25059447,276.29947,276.29947,275.79004,5.9295382,1040655.25,1040655.25,1057391.0,8843092000.0,330087.0,330087.0,369493.5,31669922000.0
2019-01-23,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.9398778,-0.9398778,-1.0530777,0.115515195,-0.64193726,-0.64193726,-0.528656,0.24038161,276.96677,276.96677,276.44702,6.5045524,1738640.6,1738640.6,1619888.5,73498920000.0,-368882.97,-368882.97,-256373.0,130383760000.0
2019-01-24,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.690367,-0.690367,-0.6660614,0.10170851,0.23645963,0.23645963,0.25740147,0.0067220232,281.1095,281.1095,280.25098,8.700194,6674645.5,6674645.5,6327525.0,1017223300000.0,-2629561.5,-2629561.5,-2525029.0,305676420000.0
2019-01-25,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.7428123,1.7428123,1.7833939,0.10923955,-0.7516007,-0.7516007,-0.7859974,0.0096909795,275.97684,275.97684,275.43457,8.005085,820007.9,820007.9,776610.56,9691238000.0,62490.723,62490.723,182990.0,113208950000.0
2019-01-26,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.9731886,1.9731886,1.983551,0.016019227,-1.256692,-1.256692,-1.2582111,0.03059379,273.34406,273.34406,273.11255,2.7880113,2617906.8,2617906.8,2642840.0,187278310000.0,-1175659.6,-1175659.6,-1148021.5,10807082000.0
2019-01-27,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.7838203,-0.7838203,-0.7770386,0.0748797,0.09944958,0.09944958,0.11797714,0.0055939415,279.27103,279.27103,278.80908,2.6071193,5824350.0,5824350.0,5648375.0,1763751200000.0,-3308307.2,-3308307.2,-3152109.5,303083950000.0
2019-01-28,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.3008573,-1.3008573,-1.3588543,0.023621824,0.46535185,0.46535185,0.40385556,0.2467821,279.16006,279.16006,278.80444,7.5932007,4040629.8,4040629.8,3749009.0,883132100000.0,-1524830.6,-1524830.6,-1332903.0,297614700000.0
2019-01-29,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.361747,-0.361747,-0.3684473,0.056514118,-0.30601162,-0.30601162,-0.24763489,0.11093606,277.8984,277.8984,277.30835,6.774252,1475735.5,1475735.5,1369898.0,58563998000.0,-106585.61,-106585.61,33447.5,125441510000.0
2019-01-30,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.9651755,0.9651755,0.929965,0.011601763,-0.30328506,-0.30328506,-0.3515978,0.070991375,279.16898,279.16898,278.8755,8.819143,2282918.0,2282918.0,2169146.0,51642827000.0,-251947.28,-251947.28,-185510.5,146250000000.0
2019-01-31,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.3137833,1.3137833,1.3766088,0.8434875,0.11281533,0.11281533,0.09203625,0.013576316,278.79816,278.79816,278.24146,11.12165,3423967.5,3423967.5,3404046.0,163161650000.0,-1425712.5,-1425712.5,-1315739.0,208725880000.0
2019-02-01,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.71861607,-0.71861607,-0.7852936,0.123324975,0.78965926,0.78965926,0.78759766,0.097549886,280.94336,280.94336,279.92285,10.286891,6005058.5,6005058.5,6337074.0,1582386000000.0,-2640853.2,-2640853.2,-2749055.5,628665800000.0
2019-02-02,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.5023719,-1.5023719,-1.5502777,0.012788664,0.32423082,0.32423082,0.2791462,0.062198624,282.90732,282.90732,282.9729,8.65244,6167733.0,6167733.0,6571473.0,1148596400000.0,-1932188.0,-1932188.0,-1919806.5,470569320000.0
2019-02-03,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.5446045,-1.5446045,-1.6084337,0.16538301,-0.012495253,-0.012495253,-0.014312744,0.04738246,282.05286,282.05286,282.2395,4.5779257,5070306.5,5070306.5,5062609.0,78431216000.0,-829452.75,-829452.75,-834496.0,36778370000.0
2019-02-04,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.380488,-1.380488,-1.3886261,0.0041917693,-0.59844315,-0.59844315,-0.6502552,0.024041517,282.58978,282.58978,281.85156,7.6512933,3849129.8,3849129.8,3924924.0,65820344000.0,-447191.34,-447191.34,-403858.5,221289970000.0
2019-02-05,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.2054274,-1.2054274,-1.2572937,0.09624437,-0.3680738,-0.3680738,-0.29572678,0.01831015,283.90845,283.90845,283.01978,10.234211,7131793.0,7131793.0,7261882.0,394105100000.0,-1886689.1,-1886689.1,-1826291.0,439244300000.0
2019-02-06,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.34880373,0.34880373,0.4407091,0.05673692,-1.4729627,-1.4729627,-1.4521294,0.0033694375,277.5238,277.5238,276.87183,8.080883,1975148.5,1975148.5,1980472.5,3463885000.0,-707472.25,-707472.25,-665901.5,171235670000.0
2019-02-07,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.9979842,-0.9979842,-1.0325165,0.012829252,-0.2919144,-0.2919144,-0.28431892,0.20355389,278.9375,278.9375,278.21484,10.151081,5184913.5,5184913.5,5317079.0,163902420000.0,-1727690.2,-1727690.2,-1598435.0,330363370000.0
2019-02-08,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.3848084,-1.3848084,-1.3759651,0.006180363,0.06074185,0.06074185,0.06413269,0.07928412,278.6087,278.6087,277.9336,6.7014794,6376506.0,6376506.0,6553415.0,130538130000.0,-1913245.4,-1913245.4,-1893355.0,258420310000.0
2019-02-09,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.1593153,-1.1593153,-1.1635742,0.040085487,0.25142002,0.25142002,0.1869669,0.07980994,280.15128,280.15128,279.6089,6.2413106,7527461.5,7527461.5,7541162.0,148018220000.0,-2464111.0,-2464111.0,-2631729.0,340000050000.0
2019-02-10,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.8553934,-0.8553934,-0.9850321,0.21676233,0.367639,0.367639,0.36785603,0.005878428,282.89465,282.89465,282.4546,2.5938654,10111583.0,10111583.0,10058218.0,41936208000.0,-4124113.2,-4124113.2,-4201029.0,77241650000.0
2019-02-11,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.46966457,-0.46966457,-0.47112942,0.5473778,1.8973961,1.8973961,1.8949003,0.16000646,283.86224,283.86224,283.30566,6.806736,7982440.0,7982440.0,8187744.0,201570580000.0,-2617485.0,-2617485.0,-2644409.5,235368680000.0
2019-02-12,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.86307746,0.86307746,0.8612871,0.025941173,-2.4890375,-2.4890375,-2.4690723,0.018351419,278.5398,278.5398,277.70435,12.363447,9840234.0,9840234.0,9933998.0,69654670000.0,-3940490.8,-3940490.8,-3845422.2,264451460000.0
2019-02-13,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.95782304,-0.95782304,-0.92619324,0.13601415,-2.1931746,-2.1931746,-2.177658,0.100416645,276.89758,276.89758,276.08032,10.668823,8866929.0,8866929.0,8908133.0,40438540000.0,-3833580.0,-3833580.0,-3838506.5,80183845000.0
2019-02-14,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,1.6248413,1.6248413,1.719161,0.040878918,-2.2010448,-2.2010448,-2.1725616,0.08062691,278.2656,278.2656,278.05884,4.798859,11045265.0,11045265.0,10976569.0,31542420000.0,-4727800.0,-4727800.0,-4691351.5,22721830000.0
2019-02-15,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.5485169,-1.5485169,-1.5473776,0.02015861,-0.96333313,-0.96333313,-0.8939972,0.018385569,277.3978,277.3978,276.51807,13.695766,10178118.0,10178118.0,10190635.0,48742260000.0,-4015794.8,-4015794.8,-3932678.5,87815030000.0
2019-02-16,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.10039096,-0.10039096,-0.08576965,0.029379347,-0.66797215,-0.66797215,-0.68289185,0.2828825,280.47205,280.47205,279.6631,9.094334,11845506.0,11845506.0,11920032.0,27560663000.0,-4821910.0,-4821910.0,-4730749.5,100182170000.0
2019-02-17,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.3412002,-0.3412002,-0.2449274,0.09105469,-0.20483398,-0.20483398,-0.21850586,0.1607773,282.7626,282.7626,282.3899,3.6150033,12005415.0,12005415.0,12051473.0,20690960000.0,-4793401.0,-4793401.0,-4743050.0,38464040000.0
2019-02-18,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.0150115,-1.0150115,-1.039073,0.009539023,0.20296901,0.20296901,0.18536377,0.017035425,284.25214,284.25214,283.66626,4.758285,12296835.0,12296835.0,12317654.0,23435817000.0,-4777550.5,-4777550.5,-4749123.5,57941670000.0
2019-02-19,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-1.147934,-1.147934,-1.1962738,0.020360589,0.21024068,0.21024068,0.21943665,0.007584492,283.83508,283.83508,283.2578,4.846023,12338737.0,12338737.0,12336169.0,30285700000.0,-4589171.0,-4589171.0,-4565739.5,71482020000.0
2019-02-20,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.29953256,-0.29953256,-0.19853973,0.05544509,-0.67034405,-0.67034405,-0.6577301,0.28741,285.76566,285.76566,284.9585,10.801243,12533182.0,12533182.0,12521065.0,37830970000.0,-4613042.5,-4613042.5,-4588777.0,106393920000.0
2019-02-21,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,-0.17273289,-0.17273289,-0.057281494,0.054172352,-1.0971748,-1.0971748,-1.0776978,0.022804178,283.5902,283.5902,282.66187,12.136782,12962521.0,12962521.0,12978608.0,28085733000.0,-4980826.0,-4980826.0,-4861952.0,171848430000.0
2019-02-22,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.83326554,0.83326554,0.89489746,0.025365273,-0.7335953,-0.7335953,-0.71721077,0.010821865,280.35254,280.35254,279.59424,12.938661,9175913.0,9175913.0,9204681.0,55424827000.0,-3681467.0,-3681467.0,-3581338.5,133247980000.0
2019-02-23,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,0.38387892,0.38387892,0.4626007,0.1611738,-1.6514515,-1.6514515,-1.6706572,0.13371366,271.06442,271.06442,270.30298,7.969269,2747532.0,2747532.0,2778585.0,43714110000.0,-1050406.0,-1050406.0,-965666.5,108960270000.0
