Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,0.5936737,0.5936737,0.5936737,0.03038621,-1.4293518,-1.4293518,-1.4293518,0.055505335,280.26147,280.26147,280.26147,0.10385513,6140688.0,6140688.0,6140688.0,8144882000.0,-3361421.0,-3361421.0,-3361421.0,3076516.0
2019-01-02,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,-0.32144356,-0.32144356,-0.32144356,0.005310908,-0.11869526,-0.11869526,-0.11869526,0.075907245,277.85498,277.85498,277.85498,0.107666016,7562716.0,7562716.0,7562716.0,605541400.0,-4467219.0,-4467219.0,-4467219.0,3925993500.0
2019-01-03,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,1.4433174,1.4433174,1.4433174,0.023507118,-2.77919,-2.77919,-2.77919,0.060802698,275.3379,275.3379,275.3379,0.04838711,1512707.0,1512707.0,1512707.0,26391338.0,-1095462.0,-1095462.0,-1095462.0,15701406.0
2019-01-04,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,-0.03543091,-0.03543091,-0.03543091,0.060082436,-2.205102,-2.205102,-2.205102,0.039736763,272.88477,272.88477,272.88477,0.007012427,1427917.2,1427917.2,1427917.2,3611949800.0,-1260031.0,-1260031.0,-1260031.0,1126542100.0
2019-01-05,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,1.382204,1.382204,1.382204,0.00064468384,-1.8914032,-1.8914032,-1.8914032,0.13752943,272.71484,272.71484,272.71484,0.0046064854,1922668.6,1922668.6,1922668.6,4704519700.0,-1223735.0,-1223735.0,-1223735.0,10599321000.0
2019-01-06,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,2.7503662,2.7503662,2.7503662,0.053453982,-2.7784624,-2.7784624,-2.7784624,0.105513945,275.49194,275.49194,275.49194,0.011330605,4714774.0,4714774.0,4714774.0,140437390000.0,-3238834.5,-3238834.5,-3238834.5,4441689000.0
2019-01-07,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,2.1404114,2.1404114,2.1404114,0.0003580004,-3.2705078,-3.2705078,-3.2705078,0.07793857,272.71753,272.71753,272.71753,0.021529257,4205071.0,4205071.0,4205071.0,87142740000.0,-3702622.5,-3702622.5,-3702622.5,253542960000.0
2019-01-08,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,0.4716797,0.4716797,0.4716797,0.04121019,-0.57850647,-0.57850647,-0.57850647,0.043368876,271.9336,271.9336,271.9336,0.3025537,5236440.5,5236440.5,5236440.5,134031040000.0,-4757121.0,-4757121.0,-4757121.0,43180320000.0
2019-01-09,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,-1.2850342,-1.2850342,-1.2850342,0.08798987,-1.2806053,-1.2806053,-1.2806053,0.0029111505,272.20654,272.20654,272.20654,0.060082436,1295925.8,1295925.8,1295925.8,6670642000.0,-406206.25,-406206.25,-406206.25,116656200.0
2019-01-10,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,-0.50187683,-0.50187683,-0.50187683,0.036263466,-0.68221855,-0.68221855,-0.68221855,0.0061035156,277.21387,277.21387,277.21387,0.66572213,2760163.5,2760163.5,2760163.5,36287394000.0,-1379194.0,-1379194.0,-1379194.0,8963072000.0
2019-01-11,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,0.6171093,0.6171093,0.6171093,2.1457672e-06,-2.208908,-2.208908,-2.208908,0.014165416,276.13623,276.13623,276.13623,0.0028067231,4997277.0,4997277.0,4997277.0,79500030000.0,-3218831.8,-3218831.8,-3218831.8,3225473300.0
2019-01-12,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,1.0238953,1.0238953,1.0238953,0.0018045902,-2.4763393,-2.4763393,-2.4763393,0.042963088,275.31274,275.31274,275.31274,0.00077462196,4182817.5,4182817.5,4182817.5,41348120000.0,-2398664.0,-2398664.0,-2398664.0,745180800.0
2019-01-13,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,0.8402853,0.8402853,0.8402853,0.009112418,-0.9021044,-0.9021044,-0.9021044,0.018128887,275.30298,275.30298,275.30298,0.14691949,5667027.0,5667027.0,5667027.0,104442080000.0,-3700013.0,-3700013.0,-3700013.0,38404047000.0
