Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.042312622,-0.042312622,-0.008132935,0.04166144,-0.2583313,-0.2583313,-0.26504517,0.020924255,280.74744,280.74744,280.7307,0.8553545,6435790.0,6435790.0,6435501.5,5517029400.0,-3646117.5,-3646117.5,-3679852.2,14461263000.0
2019-01-02,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.33169365,0.33169365,0.33736992,0.0025558881,0.34028912,0.34028912,0.34871197,0.003745243,277.7445,277.7445,277.854,0.55978686,7364983.0,7364983.0,7374962.0,16449714000.0,-4664973.5,-4664973.5,-4657110.0,4494773000.0
2019-01-03,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.8147774,0.8147774,0.7907295,0.13858482,-0.79133606,-0.79133606,-0.8045807,0.06233456,276.7907,276.7907,277.0581,0.5275661,3049209.0,3049209.0,3042029.0,10835209000.0,-1639625.8,-1639625.8,-1644423.5,7270444000.0
2019-01-04,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.4232483,-0.4232483,-0.38235474,0.077687785,-0.35579777,-0.35579777,-0.3608637,0.05888442,274.53845,274.53845,274.64136,0.4968714,1981823.8,1981823.8,1974193.0,15780116000.0,-1585841.0,-1585841.0,-1600456.5,5934249000.0
2019-01-05,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.8034687,0.8034687,0.8194599,0.018880889,-0.57969666,-0.57969666,-0.5703583,0.03901615,272.72278,272.72278,272.77686,0.25115952,1327937.2,1327937.2,1368389.1,35126096000.0,-1168521.5,-1168521.5,-1179679.0,1656508300.0
2019-01-06,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,1.0145569,1.0145569,1.0368652,0.15198165,-0.1659441,-0.1659441,-0.10390186,0.13859057,275.2249,275.2249,275.35718,1.5589633,4185197.0,4185197.0,4330682.0,273177900000.0,-3060291.2,-3060291.2,-3070999.8,16955869000.0
2019-01-07,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.33770752,0.33770752,0.29177856,0.10401124,-0.3742981,-0.3742981,-0.35461426,0.0017179092,275.1856,275.1856,275.48193,0.85129756,3821899.0,3821899.0,3981363.8,188818390000.0,-2794208.5,-2794208.5,-2748636.2,10527258000.0
2019-01-08,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,1.0808716,1.0808716,1.0975342,0.02312119,0.17475891,0.17475891,0.21897888,0.04598692,271.40692,271.40692,271.23438,0.6846062,5242047.0,5242047.0,5429353.0,286093800000.0,-4040627.5,-4040627.5,-4013785.2,14749805000.0
2019-01-09,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-1.385498,-1.385498,-1.4437256,0.07977824,-0.6771507,-0.6771507,-0.6604881,0.010933097,272.22333,272.22333,272.32178,0.24658477,1883029.9,1883029.9,1952145.8,52499603000.0,-1282416.8,-1282416.8,-1268045.0,13034736000.0
2019-01-10,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-1.3309784,-1.3309784,-1.3273163,0.035865247,0.30331612,0.30331612,0.2633381,0.020571705,278.11755,278.11755,278.34033,0.97555673,2323352.5,2323352.5,2387138.0,69368414000.0,-726295.56,-726295.56,-746649.75,11575622000.0
2019-01-11,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,1.0643597,1.0643597,1.0463085,0.005962414,-0.48173523,-0.48173523,-0.48612976,0.043637335,277.6267,277.6267,277.65503,1.2731164,4686085.5,4686085.5,4794750.0,187447970000.0,-2971780.2,-2971780.2,-2968942.0,14151010000.0
2019-01-12,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.9071045,0.9071045,0.85543823,0.08544053,0.20493507,0.20493507,0.26877785,0.117955126,277.98688,277.98688,278.10693,1.7321091,5130896.0,5130896.0,5239278.5,152530880000.0,-2833022.5,-2833022.5,-2907172.8,26024600000.0
2019-01-13,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.42735195,0.42735195,0.4073019,0.0034851125,0.47298717,0.47298717,0.4914503,0.005019269,276.41876,276.41876,276.63818,0.8970971,3746411.0,3746411.0,3679967.0,89700750000.0,-2312427.2,-2312427.2,-2275976.5,24990900000.0
2019-01-14,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.7567749,0.7567749,0.73428345,0.010030864,-0.33144283,-0.33144283,-0.30748653,0.02894322,276.33014,276.33014,276.54614,0.61414254,4786907.0,4786907.0,4734196.5,65750530000.0,-3017788.8,-3017788.8,-3075414.8,30981380000.0
2019-01-15,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,1.5133286,1.5133286,1.4718857,0.085239746,-1.8302155,-1.8302155,-1.8458405,0.05321169,275.22522,275.22522,276.10815,2.2503924,6843726.0,6843726.0,6903057.5,97242490000.0,-3954360.0,-3954360.0,-3956009.2,8032818700.0
2019-01-16,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,1.6024475,1.6024475,1.5960388,0.028454807,-0.4454956,-0.4454956,-0.49389648,0.13126776,277.263,277.263,277.38843,0.9386475,6943639.0,6943639.0,7108411.0,109445780000.0,-4069208.0,-4069208.0,-4173500.0,30895657000.0
2019-01-17,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.050403595,-0.050403595,-0.034656525,0.014148191,0.3996191,0.3996191,0.40004635,0.0040229075,281.15155,281.15155,281.20996,0.24879983,7489779.5,7489779.5,7619020.5,50849464000.0,-4041380.5,-4041380.5,-4015008.0,6485958700.0
2019-01-18,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.40608215,0.40608215,0.39942932,0.00416347,-0.032283783,-0.032283783,0.0032691956,0.014438836,280.2939,280.2939,280.3838,0.37921095,6325460.5,6325460.5,6342449.0,16782432000.0,-3580197.0,-3580197.0,-3599824.8,3805169000.0
2019-01-19,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.81581116,-0.81581116,-0.82133484,0.024789086,0.6677866,0.6677866,0.6631174,0.0033753878,282.30603,282.30603,282.38696,0.34188887,6774598.5,6774598.5,6803728.5,44428950000.0,-3124415.5,-3124415.5,-3138178.2,3287059700.0
2019-01-20,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.7231903,-0.7231903,-0.7233429,0.017820334,0.032743454,0.032743454,0.026212692,0.008268844,282.04773,282.04773,282.16577,0.6090039,3896401.2,3896401.2,3906787.5,49044550000.0,-833925.5,-833925.5,-844375.5,15137046000.0
2019-01-21,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.4186859,-0.4186859,-0.43141174,0.033649176,0.9353485,0.9353485,0.9474945,0.0030716322,282.91296,282.91296,283.0254,0.37248552,5738164.0,5738164.0,5723166.0,25404342000.0,-2117081.5,-2117081.5,-2131042.0,29305692000.0
2019-01-22,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-1.9181519,-1.9181519,-1.9441833,0.11230671,-0.122654915,-0.122654915,-0.14291859,0.02493444,279.2403,279.2403,279.24878,0.480179,2235561.0,2235561.0,2195866.5,30826052000.0,-548402.3,-548402.3,-538139.0,4929963000.0
2019-01-23,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-1.7410355,-1.7410355,-1.6969986,0.048737906,-0.20907593,-0.20907593,-0.24081421,0.014485598,282.01227,282.01227,282.13818,0.6709285,2941655.5,2941655.5,2925833.0,11722134000.0,-1529071.6,-1529071.6,-1559189.2,11768123000.0
2019-01-24,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.8020477,-0.8020477,-0.8020477,0.013058424,0.49626255,0.49626255,0.5006876,0.0043203076,284.0219,284.0219,284.09497,0.65939415,5853909.5,5853909.5,5776986.0,53318263000.0,-2425969.0,-2425969.0,-2393966.0,52763546000.0
2019-01-25,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-2.5781784,-2.5781784,-2.6638718,0.2341451,0.47254753,0.47254753,0.5389538,0.3425374,282.09027,282.09027,282.1853,1.0771997,683942.3,683942.3,677053.06,918929340.0,-584199.44,-584199.44,-587842.5,19607446000.0
2019-01-26,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,0.8197937,0.8197937,0.7923889,0.24788916,-0.9571247,-0.9571247,-0.9569416,0.019399162,281.12354,281.12354,281.22266,0.26613313,2231396.0,2231396.0,2245542.5,8042255400.0,-1220994.0,-1220994.0,-1170014.0,12933198000.0
2019-01-27,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.00982666,-0.00982666,-0.0020141602,0.016275272,0.88985825,0.88985825,0.9010582,0.0040898016,281.90347,281.90347,282.01062,0.37167165,7550078.5,7550078.5,7548359.5,25783648000.0,-3170726.5,-3170726.5,-3208477.5,20371431000.0
2019-01-28,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-1.0772076,-1.0772076,-1.042448,0.033562124,0.79091,0.79091,0.78263974,0.0066994717,282.80597,282.80597,282.80835,0.6395254,3928300.5,3928300.5,3905967.5,90417530000.0,-1817716.2,-1817716.2,-1821356.2,18762269000.0
2019-01-29,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-1.0257654,-1.0257654,-1.0061426,0.025135545,0.62583923,0.62583923,0.61979675,0.010332789,283.45898,283.45898,283.63696,0.694314,2930950.5,2930950.5,2988004.0,62333817000.0,-1477907.4,-1477907.4,-1536011.8,25629352000.0
2019-01-30,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.954648,-0.954648,-0.9486971,0.0021180501,-0.46561146,-0.46561146,-0.4634142,0.0013412386,282.53082,282.53082,282.64746,0.65183187,3318602.2,3318602.2,3231358.0,70471380000.0,-1186045.0,-1186045.0,-1121038.0,43611230000.0
2019-01-31,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,1.5447912,1.5447912,1.5581274,0.040856086,-0.5345812,-0.5345812,-0.4755907,0.046536624,279.8504,279.8504,280.09204,0.57493585,4089286.2,4089286.2,4052198.0,74881606000.0,-1843757.9,-1843757.9,-1841085.5,18358604000.0
2019-02-01,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.07106018,-0.07106018,-0.0894928,0.049131975,0.6312561,0.6312561,0.6242676,0.0036943546,284.40228,284.40228,284.49414,0.5776228,8475002.0,8475002.0,8456652.0,18627785000.0,-4214367.0,-4214367.0,-4236319.0,10279825000.0
2019-02-02,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.86854553,-0.86854553,-0.84739685,0.09233649,0.7466755,0.7466755,0.72592354,0.008310288,285.61145,285.61145,285.57593,0.33501276,7596142.0,7596142.0,7595194.5,35061510000.0,-3272747.5,-3272747.5,-3296742.0,9373352000.0
2019-02-03,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-1.8928881,-1.8928881,-1.8743029,0.051082216,0.59988403,0.59988403,0.59957886,0.002689939,285.52213,285.52213,285.45898,0.1455076,4800400.5,4800400.5,4709537.5,31385221000.0,-1501300.0,-1501300.0,-1487034.8,1987697400.0
2019-02-04,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-1.2746124,-1.2746124,-1.2689972,0.027722687,0.63783073,0.63783073,0.6638317,0.0059830397,286.36694,286.36694,286.29468,0.14847004,3775089.2,3775089.2,3765369.5,2081817600.0,-1008482.56,-1008482.56,-982630.5,4436166700.0
2019-02-05,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,-0.43496704,-0.43496704,-0.4447937,0.024963882,0.65050125,0.65050125,0.6360359,0.0057137273,288.43103,288.43103,288.27832,0.32645902,9512487.0,9512487.0,9486533.0,33523663000.0,-3564665.2,-3564665.2,-3560026.5,18328960000.0
