Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-5.634964,-5.634964,-5.7210236,0.7188324,-9.35733,-9.35733,-9.36026,1.1075163,280.43335,280.43335,280.54663,0.85917664,1607539.8,1607539.8,1615742.2,32458615000.0,-914916.1,-914916.1,-933824.25,36447793000.0
2019-01-02,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,1.0421429,1.0421429,0.95199394,0.051492967,0.3850279,0.3850279,0.33723736,0.020109545,281.1654,281.1654,281.21704,1.3064251,7723173.0,7723173.0,7655466.0,71180075000.0,-3788140.5,-3788140.5,-3737098.0,27403366000.0
2019-01-03,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-0.8304863,-0.8304863,-0.65800095,0.64859223,-8.782608,-8.782608,-9.255753,1.8482975,276.98718,276.98718,277.01758,0.83964777,727822.44,727822.44,718890.06,1938703700.0,-560602.25,-560602.25,-521160.0,11785326000.0
2019-01-04,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,1.990448,1.990448,1.8786316,0.97942376,-3.1646357,-3.1646357,-3.1556635,0.35433096,276.14368,276.14368,276.15918,1.0614679,2917439.0,2917439.0,2870839.0,77506500000.0,-1397411.2,-1397411.2,-1406788.0,48241406000.0
2019-01-05,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,3.6787128,3.6787128,3.651003,0.022013351,-6.1177216,-6.1177216,-6.39653,1.0412049,275.61084,275.61084,275.50928,0.40477467,1828004.8,1828004.8,1915947.6,92186526000.0,-735464.6,-735464.6,-741455.0,15090744000.0
2019-01-06,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,3.7469482,3.7469482,3.9071045,0.3180275,-3.6617632,-3.6617632,-3.9919634,0.8605819,278.32422,278.32422,278.04175,0.43431014,6131569.5,6131569.5,6277347.5,771896100000.0,-4498222.0,-4498222.0,-4468758.0,47978422000.0
2019-01-07,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-2.0263977,-2.0263977,-1.7489929,0.34651846,-6.6643066,-6.6643066,-6.875122,0.6285397,275.08948,275.08948,275.1316,0.6615226,5441786.5,5441786.5,5371205.5,194381230000.0,-3676404.5,-3676404.5,-3617487.5,16776790000.0
2019-01-08,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,2.317505,2.317505,2.2625732,0.06255311,-0.13441467,-0.13441467,-0.08119202,0.013262272,275.19128,275.19128,274.88843,1.2811487,6573408.5,6573408.5,6578059.0,154710440000.0,-3811412.0,-3811412.0,-3789673.5,7379896000.0
2019-01-09,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,0.9100342,0.9100342,0.8338623,0.031149149,6.412754,6.412754,6.584385,1.0368282,280.62866,280.62866,280.53418,0.6256281,2204769.0,2204769.0,2165433.8,23290327000.0,-2018453.9,-2018453.9,-1916396.8,137185880000.0
2019-01-10,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,1.0346222,1.0346222,1.05159,0.03302805,5.66556,5.66556,5.6202717,0.68825746,285.62952,285.62952,285.73315,1.0676475,6315389.0,6315389.0,6423771.5,261744720000.0,-2983102.2,-2983102.2,-2942518.5,189547800000.0
2019-01-11,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-0.4549122,-0.4549122,-0.38875008,0.06070012,-3.7811127,-3.7811127,-4.0102997,0.38888758,281.86633,281.86633,281.92822,1.0907099,5549252.0,5549252.0,5544235.0,18809598000.0,-2947197.2,-2947197.2,-2964037.8,59048500000.0
2019-01-12,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,0.30288696,0.30288696,0.41879272,0.42272246,-7.51882,-7.51882,-7.750021,1.1077744,279.75354,279.75354,279.67578,0.914005,1525938.2,1525938.2,1527064.2,17435300000.0,-316193.75,-316193.75,-322366.5,14921432000.0
2019-01-13,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,0.3911276,0.3911276,0.3382101,0.025024336,0.17852306,0.17852306,0.11999035,0.038401913,279.37305,279.37305,279.46558,0.61002225,7396190.0,7396190.0,7444631.5,62184407000.0,-3212447.2,-3212447.2,-3248093.5,14433652000.0
2019-01-14,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,2.327057,2.327057,2.3935852,0.07052474,0.29267216,0.29267216,0.2116785,0.04785172,280.71228,280.71228,280.86792,1.0640072,6290113.0,6290113.0,6315046.5,35704037000.0,-2928298.8,-2928298.8,-2929051.2,4139506200.0
2019-01-15,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,5.144554,5.144554,5.275963,0.28400218,-10.430557,-10.430557,-10.930801,2.1153164,278.40808,278.40808,278.45947,1.6456499,7463417.5,7463417.5,7529321.5,118275510000.0,-3083391.2,-3083391.2,-3040453.5,24053414000.0
2019-01-16,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,4.6039124,4.6039124,4.608246,0.44876325,0.7145996,0.7145996,0.69506836,0.014444828,282.83252,282.83252,282.93896,0.8543577,9720818.0,9720818.0,9607134.0,116910540000.0,-5129623.0,-5129623.0,-5139740.5,32312164000.0
2019-01-17,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,0.38288498,0.38288498,0.4389763,0.016619157,1.0092993,1.0092993,0.93581295,0.032863796,283.72522,283.72522,283.729,0.5710156,9792317.0,9792317.0,9675398.0,102786376000.0,-4873312.0,-4873312.0,-4839304.0,31964244000.0
2019-01-18,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,0.9381256,0.9381256,1.0218658,0.03728789,1.7666359,1.7666359,1.8366432,0.09461842,284.7824,284.7824,284.765,0.879355,8405302.0,8405302.0,8223044.0,149278280000.0,-3958487.0,-3958487.0,-3949011.5,36107063000.0
2019-01-19,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-2.40654,-2.40654,-2.444992,0.035108253,0.07717991,0.07717991,0.055695534,0.0045723915,284.885,284.885,284.85913,0.9972236,9273848.0,9273848.0,9167972.0,61959463000.0,-4342246.0,-4342246.0,-4310577.0,49362130000.0
2019-01-20,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-1.1708832,-1.1708832,-1.159195,0.009720268,0.7771282,0.7771282,0.731657,0.0069568567,285.6316,285.6316,285.6206,1.1534158,9542682.0,9542682.0,9455660.0,71455970000.0,-3597797.2,-3597797.2,-3536952.0,117084290000.0
2019-01-21,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-0.9323883,-0.9323883,-0.90101624,0.015852258,-3.1797028,-3.1797028,-3.2619781,0.22322768,283.5503,283.5503,283.55835,0.99153244,7869581.5,7869581.5,7880268.5,13056234000.0,-3073639.2,-3073639.2,-3098322.0,19282506000.0
2019-01-22,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-2.0490417,-2.0490417,-2.1492615,0.045521423,3.2439833,3.2439833,3.3835707,0.18676347,285.65466,285.65466,285.71948,0.9316684,7754833.5,7754833.5,7689459.0,43574830000.0,-2437000.5,-2437000.5,-2401877.8,83677410000.0
2019-01-23,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-1.6623917,-1.6623917,-1.7491226,0.10459734,7.1495667,7.1495667,7.144684,0.5817797,286.2179,286.2179,286.3501,1.2044699,5270589.5,5270589.5,5109672.0,83612960000.0,-2670355.2,-2670355.2,-2697685.5,61381947000.0
2019-01-24,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-0.29875183,-0.29875183,-0.23149109,0.015816256,1.8495646,1.8495646,1.7437296,0.07198672,286.06238,286.06238,286.0227,1.0230048,10221538.0,10221538.0,10119863.0,95478840000.0,-4747220.0,-4747220.0,-4702255.0,78214020000.0
2019-01-25,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,1.3295364,1.3295364,1.3705521,0.024248183,4.173109,4.173109,4.277235,0.68324673,284.16736,284.16736,284.31128,0.9653146,2956738.0,2956738.0,2936026.0,22209260000.0,-1664717.5,-1664717.5,-1731354.0,110189990000.0
2019-01-26,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,4.077179,4.077179,4.342682,0.59010434,-6.084261,-6.084261,-6.4476643,0.9940622,281.97205,281.97205,281.9458,0.98319465,6117281.5,6117281.5,5924256.0,200567230000.0,-1722011.5,-1722011.5,-1669092.0,114076570000.0
2019-01-27,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-1.22052,-1.22052,-1.2536011,0.021217152,0.18792343,0.18792343,0.17510605,0.0040783137,283.07928,283.07928,282.9972,0.60300004,10047123.0,10047123.0,9946018.0,128383060000.0,-3454154.5,-3454154.5,-3297223.5,106002590000.0
2019-01-28,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,-1.523222,-1.523222,-1.5524578,0.017405938,4.008958,4.008958,4.15532,0.25037128,285.8783,285.8783,285.96045,1.0567286,9254506.0,9254506.0,9169117.0,79273394000.0,-4089821.5,-4089821.5,-4072228.5,48526750000.0
