Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,0.8247005,0.8247005,0.79460144,0.018755192,-1.1654707,-1.1654707,-1.193512,0.10477531,279.03976,279.03976,279.22656,2.5769653,6391401.5,6391401.5,6386010.5,36185924000.0,-3473579.8,-3473579.8,-3515292.8,65079538000.0
2019-01-02,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,0.47047886,0.47047886,0.45236015,0.367986,-0.42261547,-0.42261547,-0.43095112,0.2074773,277.20758,277.20758,277.25928,1.5440791,7388525.0,7388525.0,7389300.0,8603003000.0,-4712882.5,-4712882.5,-4740389.5,3401568800.0
2019-01-03,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,1.9892508,1.9892508,1.9645576,0.034948602,-2.4629931,-2.4629931,-2.5399323,0.29830438,274.1601,274.1601,274.4663,2.5057034,1441667.0,1441667.0,1404729.0,19057508000.0,-1051755.9,-1051755.9,-1068683.8,27845280000.0
2019-01-04,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,0.77494156,0.77494156,0.79000854,0.0064215185,-1.5927798,-1.5927798,-1.6260004,0.056727927,271.20514,271.20514,271.53687,1.9222702,1307138.8,1307138.8,1328720.2,24242520000.0,-1174397.4,-1174397.4,-1227951.0,41825170000.0
2019-01-05,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,1.4278933,1.4278933,1.3968525,0.033819698,-0.92760575,-0.92760575,-0.88993835,0.023959352,270.33798,270.33798,270.70288,1.9512404,2398158.8,2398158.8,2163595.5,310539420000.0,-2005619.4,-2005619.4,-2010715.8,4816630000.0
2019-01-06,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,1.761928,1.761928,1.739502,0.024110759,-1.7282388,-1.7282388,-1.7790728,0.13418111,273.2944,273.2944,273.25293,2.1374085,3469799.2,3469799.2,3275544.5,317200860000.0,-2850917.8,-2850917.8,-2875263.5,37297520000.0
2019-01-07,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,1.9762442,1.9762442,1.9936829,0.060608964,-2.2596262,-2.2596262,-2.309204,0.19883396,269.98972,269.98972,270.31616,3.622748,3367526.5,3367526.5,3145879.2,276341300000.0,-2812124.5,-2812124.5,-2778284.8,32868125000.0
2019-01-08,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,0.2886091,0.2886091,0.30969238,0.13772444,0.1346283,0.1346283,0.09300232,0.039363068,271.29495,271.29495,271.5891,1.7504786,4102853.8,4102853.8,3880086.5,414947930000.0,-3640490.5,-3640490.5,-3557549.8,98608730000.0
2019-01-09,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,-0.41313824,-0.41313824,-0.3416748,0.14059804,-0.58020073,-0.58020073,-0.54647446,0.49058148,270.6137,270.6137,270.8152,0.56292087,1062405.6,1062405.6,987571.3,29865312000.0,-292910.25,-292910.25,-266523.25,25728954000.0
2019-01-10,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,-0.22652109,-0.22652109,-0.22843933,0.15139417,-0.4304398,-0.4304398,-0.50668144,0.25834745,276.08612,276.08612,276.13696,0.637621,1937034.0,1937034.0,1849473.0,97192630000.0,-964854.9,-964854.9,-958734.25,13971915000.0
2019-01-11,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,0.9862412,0.9862412,0.9437084,0.094657615,-1.7929622,-1.7929622,-1.8162079,0.054992232,273.98633,273.98633,274.24023,1.755522,3865497.5,3865497.5,3691639.5,303716700000.0,-3283758.8,-3283758.8,-3227116.0,77995926000.0
2019-01-12,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,1.421984,1.421984,1.4477234,0.053222384,-1.8877512,-1.8877512,-1.8999233,0.044935755,272.2666,272.2666,272.16187,1.6828142,3936690.8,3936690.8,3668988.8,279586800000.0,-3035134.8,-3035134.8,-3051900.2,31110599000.0
2019-01-13,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,0.6279527,0.6279527,0.6564474,0.032450866,-0.35931,-0.35931,-0.3103075,0.08841865,275.34702,275.34702,275.50977,2.9314797,4470005.5,4470005.5,4272833.0,393779500000.0,-3395746.5,-3395746.5,-3358838.0,35874533000.0
2019-01-14,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,0.42157418,0.42157418,0.4963684,0.10478719,-0.6748833,-0.6748833,-0.65355587,0.039433308,275.1306,275.1306,275.0708,1.8328679,2755901.2,2755901.2,2650468.5,133651186000.0,-1841418.6,-1841418.6,-1775745.0,41373295000.0
2019-01-15,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,2.5720007,2.5720007,2.5618515,0.08775671,-3.4450662,-3.4450662,-3.5738678,0.30608788,272.5729,272.5729,272.82715,2.7641203,4959396.5,4959396.5,4746593.5,442468300000.0,-4459339.0,-4459339.0,-4474345.0,51821710000.0
