Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΠΑΛΑΜΑ,-0.062033758,-0.062033758,-0.1431427,0.1264592,0.13458592,0.13458592,0.05380249,0.1736394,278.9097,278.9097,279.23804,0.39783916,3398714.2,3398714.2,3539363.8,299909680000.0,-1462024.6,-1462024.6,-1525818.0,19433918000.0
2019-01-02,ΔΗΜΟΣ ΠΑΛΑΜΑ,-1.1636881,-1.1636881,-1.1687336,0.03555233,0.69213647,0.69213647,0.72542095,0.00514902,279.22244,279.22244,279.27832,0.08136353,6991698.0,6991698.0,7399778.0,1205006200000.0,-4162028.5,-4162028.5,-4218417.0,74398880000.0
2019-01-03,ΔΗΜΟΣ ΠΑΛΑΜΑ,1.909843,1.909843,1.9369698,0.008165259,-0.8927968,-0.8927968,-0.9344635,0.09790294,273.9498,273.9498,273.89087,0.049446426,557593.75,557593.75,608547.8,15968014000.0,-495659.88,-495659.88,-486812.0,1850417900.0
2019-01-04,ΔΗΜΟΣ ΠΑΛΑΜΑ,1.1800638,1.1800638,1.2301941,0.019640762,-0.78123313,-0.78123313,-0.8348627,0.015610271,272.38544,272.38544,272.40942,0.073806785,1426506.2,1426506.2,1512098.2,73995380000.0,-1411118.4,-1411118.4,-1397097.5,6849973000.0
2019-01-05,ΔΗΜΟΣ ΠΑΛΑΜΑ,1.0371519,1.0371519,1.073122,0.005652534,0.19939,0.19939,0.11909485,0.07889033,273.80008,273.80008,274.0293,0.35832533,2212504.0,2212504.0,2287283.0,221146710000.0,-2124917.0,-2124917.0,-2057982.0,58971337000.0
2019-01-06,ΔΗΜΟΣ ΠΑΛΑΜΑ,-0.24727376,-0.24727376,-0.19885254,0.07495855,1.5166358,1.5166358,1.5553999,0.055140853,276.01913,276.01913,276.02808,3.6952748,3326864.0,3326864.0,3706552.0,445727900000.0,-2637378.5,-2637378.5,-2681354.0,78141170000.0
2019-01-07,ΔΗΜΟΣ ΠΑΛΑΜΑ,0.04776001,0.04776001,0.061676025,0.1888861,-1.4892172,-1.4892172,-1.460083,0.008324225,273.66248,273.66248,273.50732,0.46458805,2800441.2,2800441.2,3018205.5,295237680000.0,-2262096.5,-2262096.5,-2320600.5,42532390000.0
2019-01-08,ΔΗΜΟΣ ΠΑΛΑΜΑ,-1.0612386,-1.0612386,-1.164917,0.07474702,1.3620859,1.3620859,1.2994232,0.019036492,271.6878,271.6878,271.17505,1.7172637,3742505.0,3742505.0,4116457.0,558112640000.0,-3480989.0,-3480989.0,-3587002.0,71118080000.0
2019-01-09,ΔΗΜΟΣ ΠΑΛΑΜΑ,-0.8766954,-0.8766954,-0.8922119,0.008384535,0.06436539,0.06436539,0.07999039,0.015517499,273.4253,273.4253,273.38965,0.014760282,1057779.0,1057779.0,1054346.8,55394517000.0,63678.777,63678.777,32129.5,31037063000.0
2019-01-10,ΔΗΜΟΣ ΠΑΛΑΜΑ,-0.16615635,-0.16615635,-0.2577362,0.025687806,2.4301946,2.4301946,2.646883,0.1967066,278.87924,278.87924,278.86084,0.08327088,1908684.0,1908684.0,2086742.0,147482660000.0,-796553.44,-796553.44,-813527.5,32490142000.0
2019-01-11,ΔΗΜΟΣ ΠΑΛΑΜΑ,-1.2072722,-1.2072722,-1.2614307,0.033651613,-0.8376109,-0.8376109,-0.9546356,0.05419971,279.30032,279.30032,279.55103,1.6811447,3196737.0,3196737.0,3452439.5,254092800000.0,-2151572.0,-2151572.0,-2061517.0,53294543000.0
2019-01-12,ΔΗΜΟΣ ΠΑΛΑΜΑ,0.71391803,0.71391803,0.7326355,0.009993685,0.75958186,0.75958186,0.706522,0.03894933,275.20517,275.20517,275.04028,0.12152179,1385746.6,1385746.6,1475326.2,73102210000.0,-698396.3,-698396.3,-698840.0,15868894000.0
2019-01-13,ΔΗΜΟΣ ΠΑΛΑΜΑ,-0.7298644,-0.7298644,-0.74907017,0.0085116895,0.5892829,0.5892829,0.5596876,0.02880647,277.40564,277.40564,277.39136,0.22741675,4419685.5,4419685.5,4536068.0,723324200000.0,-3464841.2,-3464841.2,-3426947.0,24602110000.0
