Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.7679901,0.7679901,0.7679901,0.0,-1.1937561,-1.1937561,-1.1937561,0.0,280.58374,280.58374,280.58374,0.0,6230937.0,6230937.0,6230937.0,0.0,-3363175.0,-3363175.0,-3363175.0,0.0
2019-01-02,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.39431953,-0.39431953,-0.39431953,0.0,0.15681744,0.15681744,0.15681744,0.0,278.1831,278.1831,278.1831,0.0,7538108.0,7538108.0,7538108.0,0.0,-4529876.5,-4529876.5,-4529876.5,0.0
2019-01-03,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,1.5966377,1.5966377,1.5966377,0.0,-2.532608,-2.532608,-2.532608,0.0,275.55786,275.55786,275.55786,0.0,1517844.2,1517844.2,1517844.2,0.0,-1099424.5,-1099424.5,-1099424.5,0.0
2019-01-04,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.20968628,0.20968628,0.20968628,0.0,-2.0057611,-2.0057611,-2.0057611,0.0,272.9685,272.9685,272.9685,0.0,1367817.8,1367817.8,1367817.8,0.0,-1293595.0,-1293595.0,-1293595.0,0.0
2019-01-05,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,1.3568134,1.3568134,1.3568134,0.0,-1.5205536,-1.5205536,-1.5205536,0.0,272.7827,272.7827,272.7827,0.0,1854079.1,1854079.1,1854079.1,0.0,-1326688.0,-1326688.0,-1326688.0,0.0
2019-01-06,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,2.519165,2.519165,2.519165,0.0,-2.4536333,-2.4536333,-2.4536333,0.0,275.5984,275.5984,275.5984,0.0,4340024.0,4340024.0,4340024.0,0.0,-3172188.5,-3172188.5,-3172188.5,0.0
2019-01-07,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,2.1593323,2.1593323,2.1593323,0.0,-2.991333,-2.991333,-2.991333,0.0,272.86426,272.86426,272.86426,0.0,3909871.5,3909871.5,3909871.5,0.0,-3199092.0,-3199092.0,-3199092.0,0.0
2019-01-08,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.26867676,0.26867676,0.26867676,0.0,-0.37025452,-0.37025452,-0.37025452,0.0,272.48364,272.48364,272.48364,0.0,4870338.0,4870338.0,4870338.0,0.0,-4549322.5,-4549322.5,-4549322.5,0.0
2019-01-09,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.9884033,-0.9884033,-0.9884033,0.0,-1.3345604,-1.3345604,-1.3345604,0.0,271.96143,271.96143,271.96143,0.0,1214251.8,1214251.8,1214251.8,0.0,-417007.0,-417007.0,-417007.0,0.0
2019-01-10,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.6923065,-0.6923065,-0.6923065,0.0,-0.76034355,-0.76034355,-0.76034355,0.0,276.39795,276.39795,276.39795,0.0,2569671.0,2569671.0,2569671.0,0.0,-1284520.5,-1284520.5,-1284520.5,0.0
2019-01-11,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.61564445,0.61564445,0.61564445,0.0,-2.0898895,-2.0898895,-2.0898895,0.0,276.08325,276.08325,276.08325,0.0,4715319.5,4715319.5,4715319.5,0.0,-3275625.0,-3275625.0,-3275625.0,0.0
2019-01-12,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,1.0663757,1.0663757,1.0663757,0.0,-2.269064,-2.269064,-2.269064,0.0,275.2849,275.2849,275.2849,0.0,3979475.2,3979475.2,3979475.2,0.0,-2371366.0,-2371366.0,-2371366.0,0.0
2019-01-13,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.7448263,0.7448263,0.7448263,0.0,-0.7674608,-0.7674608,-0.7674608,0.0,275.68628,275.68628,275.68628,0.0,5343852.0,5343852.0,5343852.0,0.0,-3504043.5,-3504043.5,-3504043.5,0.0
2019-01-14,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.117889404,-0.117889404,-0.117889404,0.0,-0.95824337,-0.95824337,-0.95824337,0.0,275.06104,275.06104,275.06104,0.0,3376445.0,3376445.0,3376445.0,0.0,-2173386.0,-2173386.0,-2173386.0,0.0
2019-01-15,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,3.3590927,3.3590927,3.3590927,0.0,-4.537491,-4.537491,-4.537491,0.0,274.72485,274.72485,274.72485,0.0,5865227.5,5865227.5,5865227.5,0.0,-4195928.0,-4195928.0,-4195928.0,0.0
2019-01-16,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,1.7516785,1.7516785,1.7516785,0.0,-1.5754395,-1.5754395,-1.5754395,0.0,277.56836,277.56836,277.56836,0.0,6094354.0,6094354.0,6094354.0,0.0,-4316178.5,-4316178.5,-4316178.5,0.0
2019-01-17,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.018299103,-0.018299103,-0.018299103,0.0,0.07350826,0.07350826,0.07350826,0.0,280.89185,280.89185,280.89185,0.0,6689463.0,6689463.0,6689463.0,0.0,-3646842.0,-3646842.0,-3646842.0,0.0
2019-01-18,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.30674744,-0.30674744,-0.30674744,0.0,-0.5533714,-0.5533714,-0.5533714,0.0,279.30542,279.30542,279.30542,0.0,5164949.0,5164949.0,5164949.0,0.0,-2837297.0,-2837297.0,-2837297.0,0.0
2019-01-19,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.17658997,0.17658997,0.17658997,0.0,-0.15719509,-0.15719509,-0.15719509,0.0,283.34546,283.34546,283.34546,0.0,6072705.0,6072705.0,6072705.0,0.0,-2826532.2,-2826532.2,-2826532.2,0.0
2019-01-20,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.30177307,-0.30177307,-0.30177307,0.0,-0.61709785,-0.61709785,-0.61709785,0.0,282.83887,282.83887,282.83887,0.0,4661217.0,4661217.0,4661217.0,0.0,-1271368.2,-1271368.2,-1271368.2,0.0
2019-01-21,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.0071868896,0.0071868896,0.0071868896,0.0,0.27708435,0.27708435,0.27708435,0.0,283.323,283.323,283.323,0.0,5553128.0,5553128.0,5553128.0,0.0,-1728413.0,-1728413.0,-1728413.0,0.0
2019-01-22,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-2.8409119,-2.8409119,-2.8409119,0.0,-0.4220934,-0.4220934,-0.4220934,0.0,281.53223,281.53223,281.53223,0.0,2744040.0,2744040.0,2744040.0,0.0,-529429.5,-529429.5,-529429.5,0.0
2019-01-23,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-2.4253922,-2.4253922,-2.4253922,0.0,0.11343384,0.11343384,0.11343384,0.0,282.56665,282.56665,282.56665,0.0,2515462.5,2515462.5,2515462.5,0.0,-1372072.0,-1372072.0,-1372072.0,0.0
2019-01-24,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.28901672,0.28901672,0.28901672,0.0,-0.28044033,-0.28044033,-0.28044033,0.0,284.8286,284.8286,284.8286,0.0,7842594.0,7842594.0,7842594.0,0.0,-3806453.5,-3806453.5,-3806453.5,0.0
2019-01-25,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-2.593071,-2.593071,-2.593071,0.0,1.3189831,1.3189831,1.3189831,0.0,283.22363,283.22363,283.22363,0.0,843828.56,843828.56,843828.56,0.0,-635572.0,-635572.0,-635572.0,0.0
2019-01-26,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,2.2384338,2.2384338,2.2384338,0.0,-3.7391682,-3.7391682,-3.7391682,0.0,275.66528,275.66528,275.66528,0.0,2680642.0,2680642.0,2680642.0,0.0,-497666.0,-497666.0,-497666.0,0.0
2019-01-27,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.16827393,0.16827393,0.16827393,0.0,-0.15375137,-0.15375137,-0.15375137,0.0,281.719,281.719,281.719,0.0,9308736.0,9308736.0,9308736.0,0.0,-4197558.5,-4197558.5,-4197558.5,0.0
2019-01-28,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-1.1029949,-1.1029949,-1.1029949,0.0,1.8181622,1.8181622,1.8181622,0.0,283.63403,283.63403,283.63403,0.0,6077942.0,6077942.0,6077942.0,0.0,-2417970.5,-2417970.5,-2417970.5,0.0
2019-01-29,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.22928715,-0.22928715,-0.22928715,0.0,-0.3955841,-0.3955841,-0.3955841,0.0,282.62964,282.62964,282.62964,0.0,2197107.0,2197107.0,2197107.0,0.0,-1200169.0,-1200169.0,-1200169.0,0.0
2019-01-30,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.21145916,0.21145916,0.21145916,0.0,-0.2002306,-0.2002306,-0.2002306,0.0,282.9209,282.9209,282.9209,0.0,4113998.0,4113998.0,4113998.0,0.0,-1686366.5,-1686366.5,-1686366.5,0.0
2019-01-31,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.38881588,0.38881588,0.38881588,0.0,-1.0688524,-1.0688524,-1.0688524,0.0,280.15356,280.15356,280.15356,0.0,2917210.0,2917210.0,2917210.0,0.0,-1292743.2,-1292743.2,-1292743.2,0.0
2019-02-01,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.6663971,-0.6663971,-0.6663971,0.0,0.34301758,0.34301758,0.34301758,0.0,284.69482,284.69482,284.69482,0.0,8679452.0,8679452.0,8679452.0,0.0,-3664838.0,-3664838.0,-3664838.0,0.0
2019-02-02,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.37620544,-0.37620544,-0.37620544,0.0,1.0254841,1.0254841,1.0254841,0.0,286.78833,286.78833,286.78833,0.0,7927533.0,7927533.0,7927533.0,0.0,-2942317.0,-2942317.0,-2942317.0,0.0
2019-02-03,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-1.068883,-1.068883,-1.068883,0.0,1.1199646,1.1199646,1.1199646,0.0,286.6101,286.6101,286.6101,0.0,5809344.0,5809344.0,5809344.0,0.0,-1446947.0,-1446947.0,-1446947.0,0.0
2019-02-04,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-1.6359406,-1.6359406,-1.6359406,0.0,0.49744987,0.49744987,0.49744987,0.0,286.90527,286.90527,286.90527,0.0,4152869.0,4152869.0,4152869.0,0.0,-761001.5,-761001.5,-761001.5,0.0
2019-02-05,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.0473938,0.0473938,0.0473938,0.0,-0.42414474,-0.42414474,-0.42414474,0.0,288.51685,288.51685,288.51685,0.0,8492425.0,8492425.0,8492425.0,0.0,-2484155.5,-2484155.5,-2484155.5,0.0
2019-02-06,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.10494518,-0.10494518,-0.10494518,0.0,-1.8408012,-1.8408012,-1.8408012,0.0,282.47876,282.47876,282.47876,0.0,3290083.5,3290083.5,3290083.5,0.0,-1256399.0,-1256399.0,-1256399.0,0.0
2019-02-07,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.5473175,0.5473175,0.5473175,0.0,0.9188061,0.9188061,0.9188061,0.0,282.09863,282.09863,282.09863,0.0,6704947.0,6704947.0,6704947.0,0.0,-2581956.0,-2581956.0,-2581956.0,0.0
2019-02-08,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.18260574,-0.18260574,-0.18260574,0.0,1.5306854,1.5306854,1.5306854,0.0,281.12256,281.12256,281.12256,0.0,4466657.0,4466657.0,4466657.0,0.0,-1346336.0,-1346336.0,-1346336.0,0.0
2019-02-09,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,0.37280273,0.37280273,0.37280273,0.0,1.1532755,1.1532755,1.1532755,0.0,282.2893,282.2893,282.2893,0.0,6847633.0,6847633.0,6847633.0,0.0,-2398904.5,-2398904.5,-2398904.5,0.0
2019-02-10,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-0.08220005,-0.08220005,-0.08220005,0.0,1.2440767,1.2440767,1.2440767,0.0,283.4685,283.4685,283.4685,0.0,9537197.0,9537197.0,9537197.0,0.0,-3467441.5,-3467441.5,-3467441.5,0.0
2019-02-11,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,-2.1830435,-2.1830435,-2.1830435,0.0,1.3551054,1.3551054,1.3551054,0.0,285.51294,285.51294,285.51294,0.0,8514406.0,8514406.0,8514406.0,0.0,-3004149.5,-3004149.5,-3004149.5,0.0
2019-02-12,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,3.0461016,3.0461016,3.0461016,0.0,-3.8406544,-3.8406544,-3.8406544,0.0,282.53003,282.53003,282.53003,0.0,10616061.0,10616061.0,10616061.0,0.0,-4204112.5,-4204112.5,-4204112.5,0.0
