Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΠΕΛΛΑΣ,0.62684196,0.62684196,0.6193085,0.020702546,-0.36737496,-0.36737496,-0.46817017,0.16251317,280.42514,280.42514,280.92334,2.326094,6088329.0,6088329.0,6107688.5,30058842000.0,-3308559.5,-3308559.5,-3334002.0,18636001000.0
2019-01-02,ΔΗΜΟΣ ΠΕΛΛΑΣ,-0.4198671,-0.4198671,-0.4248371,0.21429065,0.37024865,0.37024865,0.4781065,0.20016234,278.3545,278.3545,278.63013,1.1446197,7540264.0,7540264.0,7545794.0,12351733000.0,-4806120.0,-4806120.0,-4785977.5,10553117000.0
2019-01-03,ΔΗΜΟΣ ΠΕΛΛΑΣ,2.0870116,2.0870116,2.0678291,0.051076595,-1.6472147,-1.6472147,-1.5748444,0.3072366,274.46408,274.46408,274.7378,1.1857483,1153893.8,1153893.8,1173004.5,14896290000.0,-942637.9,-942637.9,-933911.0,3940108800.0
2019-01-04,ΔΗΜΟΣ ΠΕΛΛΑΣ,0.9504438,0.9504438,0.91378784,0.022357648,-1.6490018,-1.6490018,-1.5641108,0.09827214,271.64127,271.64127,271.80762,1.1095991,1351324.1,1351324.1,1394009.2,27994020000.0,-1197843.4,-1197843.4,-1218140.0,16495621000.0
2019-01-05,ΔΗΜΟΣ ΠΕΛΛΑΣ,1.2910349,1.2910349,1.2769794,0.002161347,-0.6099439,-0.6099439,-0.677536,0.07195287,271.57877,271.57877,272.10205,2.3597925,2028370.9,2028370.9,1868067.1,412952500000.0,-1938845.4,-1938845.4,-1956995.5,28999660000.0
2019-01-06,ΔΗΜΟΣ ΠΕΛΛΑΣ,1.6831229,1.6831229,1.6364746,0.013829808,-1.0038913,-1.0038913,-1.0196733,0.23790717,274.14038,274.14038,274.2168,3.279965,2916035.5,2916035.5,2812848.0,495240500000.0,-2727521.5,-2727521.5,-2714810.0,37051986000.0
2019-01-07,ΔΗΜΟΣ ΠΕΛΛΑΣ,1.8589172,1.8589172,1.7995911,0.06349722,-1.8438721,-1.8438721,-1.6416016,0.23827633,270.28952,270.28952,270.41992,2.4585211,2734346.2,2734346.2,2669696.8,460109280000.0,-2695068.2,-2695068.2,-2686262.2,14529092000.0
2019-01-08,ΔΗΜΟΣ ΠΕΛΛΑΣ,-0.45188686,-0.45188686,-0.5180664,0.22768979,0.03174046,0.03174046,-0.032852173,0.020821452,272.18936,272.18936,272.4165,1.2897571,3510099.5,3510099.5,3372327.5,593043300000.0,-3462706.0,-3462706.0,-3432914.8,72975890000.0
2019-01-09,ΔΗΜΟΣ ΠΕΛΛΑΣ,0.141619,0.141619,0.13879395,0.03707189,-1.3201212,-1.3201212,-1.3802147,0.2374773,270.8902,270.8902,270.93115,0.57237005,889422.94,889422.94,849322.3,43797275000.0,-198059.61,-198059.61,-186554.75,19986846000.0
2019-01-10,ΔΗΜΟΣ ΠΕΛΛΑΣ,0.0016108921,0.0016108921,0.24909973,0.16342115,-0.7919423,-0.7919423,-0.88363457,0.15056519,276.53476,276.53476,276.58032,0.9664078,1623655.9,1623655.9,1577378.5,154428050000.0,-933459.6,-933459.6,-927123.25,14496067000.0
