Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,-0.8868866,-0.8868866,-0.73908997,0.9137623,-1.6869202,-1.6869202,-1.7755432,0.4511699,279.59503,279.59503,279.3767,1.0880307,5346944.0,5346944.0,5325387.5,99796664000.0,-2771328.5,-2771328.5,-2797854.2,42014786000.0
2019-01-02,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,0.5802288,0.5802288,0.5715008,0.028664628,-0.7547884,-0.7547884,-0.7361269,0.0122257285,278.25897,278.25897,277.91846,1.0797527,7740229.5,7740229.5,7759538.5,13602818000.0,-4263333.0,-4263333.0,-4193600.2,23623740000.0
2019-01-03,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,0.95048904,0.95048904,1.1691475,0.7525625,-2.9976044,-2.9976044,-2.9447174,0.8041373,275.75888,275.75888,275.42847,1.3969519,2044513.0,2044513.0,2082890.0,53582954000.0,-1190835.2,-1190835.2,-1130563.8,46469300000.0
2019-01-04,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,-2.369873,-2.369873,-2.2224426,1.8042285,-2.9285364,-2.9285364,-2.9427729,0.57720697,273.42526,273.42526,273.25024,0.82037425,1850391.2,1850391.2,1865945.8,18292118000.0,-1276667.8,-1276667.8,-1204523.2,49305907000.0
2019-01-05,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,1.1845722,1.1845722,1.1536884,0.057207838,-2.3385773,-2.3385773,-2.3254852,0.63955337,272.55524,272.55524,272.22852,0.9342854,1573672.1,1573672.1,1644972.6,95715360000.0,-933666.5,-933666.5,-882295.25,46061060000.0
2019-01-06,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,2.8505707,2.8505707,2.656128,0.4553002,-3.213704,-3.213704,-3.2353716,0.88228273,275.39337,275.39337,275.07642,1.0552117,4688780.0,4688780.0,4767473.5,745063200000.0,-3676875.5,-3676875.5,-3486650.0,478963830000.0
2019-01-07,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,0.90367126,0.90367126,0.9890442,0.75935584,-2.711029,-2.711029,-2.3896484,1.1321468,273.1495,273.1495,272.84106,1.1813102,3941122.5,3941122.5,4070760.8,458453980000.0,-3166940.5,-3166940.5,-3029455.5,559511500000.0
2019-01-08,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,1.5329895,1.5329895,1.5258789,0.074659094,-0.6976166,-0.6976166,-0.70765686,0.0891087,270.71732,270.71732,270.50342,1.1556556,5075477.5,5075477.5,5190681.5,714987500000.0,-4141274.8,-4141274.8,-4085220.8,437241940000.0
2019-01-09,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,-1.7722168,-1.7722168,-1.6905518,0.6775837,-0.82787704,-0.82787704,-0.98153305,0.16582905,274.35052,274.35052,274.1836,1.1572379,1390771.8,1390771.8,1429039.8,56199330000.0,-453436.5,-453436.5,-408110.5,62618018000.0
2019-01-10,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,0.95277405,0.95277405,0.9329376,0.3062466,2.5411701,2.5411701,2.4447346,1.7624352,280.62238,280.62238,280.06494,2.7000291,3083533.0,3083533.0,3135228.5,282786040000.0,-1450328.0,-1450328.0,-1425704.5,90047520000.0
