Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,0.90890807,0.90890807,0.8675995,0.17562395,-1.232721,-1.232721,-1.2933655,0.2670362,279.90445,279.90445,279.9065,0.4972485,5734169.0,5734169.0,5724907.0,40079663000.0,-3027085.8,-3027085.8,-3060973.5,13989268000.0
2019-01-02,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,-1.1242024,-1.1242024,-1.1487141,0.026293626,0.387628,0.387628,0.28254986,0.05904042,278.4213,278.4213,278.54248,0.3613177,7714421.5,7714421.5,7731997.5,23577740000.0,-4601982.5,-4601982.5,-4630394.5,3271235000.0
2019-01-03,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,3.0561104,3.0561104,3.0443916,0.33120793,-2.8585846,-2.8585846,-3.0233307,0.7386974,274.70767,274.70767,274.70142,0.5623024,753798.4,753798.4,764590.3,9925394000.0,-717566.5,-717566.5,-696021.0,10648393000.0
2019-01-04,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,1.5902526,1.5902526,1.5729675,0.15395342,-3.2164543,-3.2164543,-3.3607416,0.50315726,271.80933,271.80933,271.78345,0.46882305,1251646.2,1251646.2,1233176.2,41253093000.0,-1044717.4,-1044717.4,-1016850.5,19106590000.0
2019-01-05,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,1.6281025,1.6281025,1.6312275,0.048346575,-1.9708465,-1.9708465,-2.1621552,0.46918875,272.2543,272.2543,272.13477,0.7699334,1388277.1,1388277.1,1298798.1,57896985000.0,-1378436.8,-1378436.8,-1376878.5,4033524500.0
2019-01-06,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,2.4329834,2.4329834,2.4598389,0.22850406,-2.5959673,-2.5959673,-2.8274126,0.69243085,274.36127,274.36127,273.87622,1.3251903,2582346.8,2582346.8,2641157.5,227382840000.0,-2637577.5,-2637577.5,-2445471.0,82494865000.0
2019-01-07,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,2.2031798,2.2031798,2.184967,0.22697178,-3.6644287,-3.6644287,-3.8570557,0.763852,271.37988,271.37988,271.40576,1.1066325,2191872.5,2191872.5,2182984.5,152937710000.0,-2776429.5,-2776429.5,-2583379.0,273903340000.0
2019-01-08,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,-1.0046142,-1.0046142,-1.02771,0.07336308,-0.18182679,-0.18182679,-0.18470764,0.0326465,272.878,272.878,272.9568,0.40040046,2983721.2,2983721.2,2928881.0,251706430000.0,-3652258.8,-3652258.8,-3428337.5,352863320000.0
2019-01-09,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,-0.7168213,-0.7168213,-0.7081299,0.12479166,-2.2212791,-2.2212791,-2.2339745,0.18618384,273.01953,273.01953,273.21045,0.34827098,767695.0,767695.0,814352.8,12931619000.0,-54603.7,-54603.7,43445.0,44143403000.0
2019-01-10,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,-0.5934784,-0.5934784,-0.57121277,0.169735,-0.88719904,-0.88719904,-0.80233574,0.18613943,277.76904,277.76904,277.792,0.08046446,1522784.8,1522784.8,1542162.0,44839070000.0,-997618.4,-997618.4,-945005.0,8250338300.0
2019-01-11,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,-0.23506355,-0.23506355,-0.24006844,0.001264131,-2.8234344,-2.8234344,-2.8992157,0.41666842,276.40884,276.40884,276.40552,0.47045112,2938321.5,2938321.5,2844852.0,157569270000.0,-2140373.2,-2140373.2,-2017254.5,31245101000.0
2019-01-12,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,1.323993,1.323993,1.3266296,0.03148335,-2.5910366,-2.5910366,-2.7138882,0.4877665,275.23444,275.23444,275.2771,0.46410185,2280217.5,2280217.5,2255414.2,76928795000.0,-1875471.8,-1875471.8,-1854086.5,14184743000.0
2019-01-13,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,-0.3915018,-0.3915018,-0.3550272,0.002682748,-0.7553026,-0.7553026,-0.83191395,0.079451784,276.6439,276.6439,276.52466,0.19063133,4078594.8,4078594.8,3975947.0,229692440000.0,-3458970.5,-3458970.5,-3365278.5,51286400000.0
