Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,0.4620819,0.4620819,0.39640808,0.033432662,-1.4006653,-1.4006653,-1.3719788,0.040404126,280.05505,280.05505,279.90845,0.09495917,6133591.5,6133591.5,6126495.0,4401304600.0,-3286806.5,-3286806.5,-3320149.0,7910810600.0
2019-01-02,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,-0.19015694,-0.19015694,-0.20022774,0.024217766,-0.2840395,-0.2840395,-0.41032124,0.06555567,277.70874,277.70874,277.5625,0.07572287,7649957.5,7649957.5,7633737.5,9541044000.0,-4428576.5,-4428576.5,-4399122.0,3463245000.0
2019-01-03,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,1.3797188,1.3797188,1.3161201,0.015965983,-2.7035065,-2.7035065,-2.6829987,0.05725813,275.2163,275.2163,275.11572,0.039152443,1585049.0,1585049.0,1549619.5,8134276000.0,-1081050.6,-1081050.6,-1080925.0,222425120.0
2019-01-04,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,-0.18313599,-0.18313599,-0.29592896,0.052048743,-2.1750727,-2.1750727,-2.1450434,0.029508844,272.83252,272.83252,272.80005,0.0064125657,1445482.0,1445482.0,1463046.8,2132036500.0,-1227967.6,-1227967.6,-1213663.8,1603613200.0
2019-01-05,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,1.290163,1.290163,1.3309345,0.014511287,-1.941452,-1.941452,-1.9915009,0.08139908,272.52832,272.52832,272.55737,0.045029283,1681432.6,1681432.6,1766024.1,88814944000.0,-1119379.2,-1119379.2,-1087580.2,16964190000.0
2019-01-06,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,2.7662354,2.7662354,2.7821045,0.03248927,-2.769246,-2.769246,-2.7600298,0.06902961,275.26343,275.26343,275.28564,0.069266915,4261432.0,4261432.0,4349330.5,427288040000.0,-3106085.2,-3106085.2,-3143029.5,29718250000.0
2019-01-07,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,2.0245056,2.0245056,2.0688782,0.019409131,-3.1843262,-3.1843262,-3.161377,0.07360549,272.63794,272.63794,272.57812,0.017466366,3818554.5,3818554.5,3900998.5,298807070000.0,-3484591.5,-3484591.5,-3440639.8,260681900000.0
2019-01-08,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,0.6469116,0.6469116,0.7147217,0.053581543,-0.61457825,-0.61457825,-0.65065,0.025676768,271.85754,271.85754,271.7815,0.17839041,4783668.0,4783668.0,4874662.0,422220070000.0,-4414423.0,-4414423.0,-4504355.0,214173290000.0
2019-01-09,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,-1.4066162,-1.4066162,-1.5281982,0.059369624,-1.2271385,-1.2271385,-1.2115135,0.004572034,272.30786,272.30786,272.40918,0.040400088,1191456.2,1191456.2,1212342.2,21868648000.0,-323945.25,-323945.25,-350825.25,8909245000.0
2019-01-10,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,-0.3420868,-0.3420868,-0.27824402,0.045633003,-0.44796562,-0.44796562,-0.50741386,0.077334926,277.9015,277.9015,278.17065,0.8442128,2561394.8,2561394.8,2592071.0,89365660000.0,-1298488.0,-1298488.0,-1308988.5,17685289000.0
2019-01-11,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,0.6882763,0.6882763,0.6544628,0.007452652,-2.12529,-2.12529,-2.1384735,0.024643213,275.95007,275.95007,276.01172,0.05159335,4646202.0,4646202.0,4717835.5,253412180000.0,-3055689.0,-3055689.0,-3088055.0,35612488000.0
2019-01-12,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,1.0434875,1.0434875,1.0437927,0.002162706,-2.383932,-2.383932,-2.3813686,0.050452635,275.30457,275.30457,275.2976,0.00055103004,3931748.8,3931748.8,3980463.2,128941140000.0,-2273463.2,-2273463.2,-2320192.0,23338764000.0
