Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΣΕΡΡΩΝ,0.1668752,0.1668752,0.1981659,0.06333031,-0.22907512,-0.22907512,-0.21792603,0.017527116,279.47852,279.47852,280.1228,11.930972,6772301.5,6772301.5,6757273.5,26448372000.0,-3911627.8,-3911627.8,-3908284.0,25485810000.0
2019-01-02,ΔΗΜΟΣ ΣΕΡΡΩΝ,0.32784843,0.32784843,0.28390312,0.014985005,0.5060199,0.5060199,0.50960064,0.0097581865,276.58975,276.58975,276.96436,4.5876827,7279629.5,7279629.5,7285015.0,11224411000.0,-4626154.0,-4626154.0,-4640762.5,6627538400.0
2019-01-03,ΔΗΜΟΣ ΣΕΡΡΩΝ,1.0316557,1.0316557,1.060749,0.19019137,-0.9513092,-0.9513092,-0.93592834,0.05202462,275.15417,275.15417,275.66895,5.4118614,2679659.8,2679659.8,2676707.8,44099215000.0,-1348531.0,-1348531.0,-1368957.8,25506562000.0
2019-01-04,ΔΗΜΟΣ ΣΕΡΡΩΝ,0.13591512,0.13591512,0.14425659,0.020846583,-0.5650873,-0.5650873,-0.50942326,0.13270815,272.3428,272.3428,273.167,5.7714443,1606444.4,1606444.4,1604067.8,44768520000.0,-1329476.6,-1329476.6,-1381629.8,56244760000.0
2019-01-05,ΔΗΜΟΣ ΣΕΡΡΩΝ,0.9449075,0.9449075,0.9256611,0.041600842,-0.19291687,-0.19291687,-0.20585632,0.07545558,271.54422,271.54422,271.90576,2.7560358,1457949.4,1457949.4,1518605.6,84931850000.0,-1140371.1,-1140371.1,-1199432.2,22293316000.0
2019-01-06,ΔΗΜΟΣ ΣΕΡΡΩΝ,1.8671875,1.8671875,1.8438721,0.16800962,-0.77056855,-0.77056855,-0.6383257,0.18332385,272.26883,272.26883,272.4851,6.6352487,3994819.0,3994819.0,4196210.0,420434020000.0,-2822085.8,-2822085.8,-2843955.2,45283275000.0
2019-01-07,ΔΗΜΟΣ ΣΕΡΡΩΝ,1.1183167,1.1183167,1.1853333,0.19838148,-0.8946533,-0.8946533,-0.78723145,0.090513945,270.869,270.869,271.99097,7.2835546,3665897.8,3665897.8,3842699.5,304128260000.0,-2685455.2,-2685455.2,-2719597.5,44631294000.0
2019-01-08,ΔΗΜΟΣ ΣΕΡΡΩΝ,1.026062,1.026062,1.0111084,0.03241231,0.42419943,0.42419943,0.43614197,0.08284079,269.40256,269.40256,270.03052,6.139502,4961491.5,4961491.5,5188649.5,591720740000.0,-3905860.2,-3905860.2,-3965411.0,29914171000.0
2019-01-09,ΔΗΜΟΣ ΣΕΡΡΩΝ,-1.4829102,-1.4829102,-1.536499,0.01970371,-0.5319888,-0.5319888,-0.53744125,0.02017404,271.49686,271.49686,271.69995,0.83551866,1592015.6,1592015.6,1635365.2,114965730000.0,-907799.2,-907799.2,-954924.0,28243171000.0
2019-01-10,ΔΗΜΟΣ ΣΕΡΡΩΝ,-1.1130015,-1.1130015,-1.102951,0.02035409,0.69225246,0.69225246,0.66397285,0.034168184,276.77005,276.77005,276.84106,3.1519156,2209565.0,2209565.0,2278144.0,89796714000.0,-798632.94,-798632.94,-808200.0,10688287000.0
