Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,0.42531434,0.42531434,0.3148651,0.39319414,-0.0597229,-0.0597229,0.012786865,0.101133585,278.14618,278.14618,278.18408,3.9412384,7180942.5,7180942.5,7171132.5,31191060000.0,-4266447.5,-4266447.5,-4204142.0,95322415000.0
2019-01-02,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,0.5465496,0.5465496,0.37862968,0.15395595,0.33704203,0.33704203,0.4604063,0.14086752,276.34152,276.34152,276.54858,1.6535314,7343814.5,7343814.5,7348175.0,16390793000.0,-4750390.5,-4750390.5,-4750471.5,22589346000.0
2019-01-03,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,1.2283272,1.2283272,1.228962,0.34644926,-1.0659088,-1.0659088,-0.9325104,0.16859454,274.29633,274.29633,274.53564,1.4731479,2530172.2,2530172.2,2563930.2,102726650000.0,-1313674.5,-1313674.5,-1337438.2,24829118000.0
2019-01-04,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,0.53688353,0.53688353,0.58029175,0.10400431,-0.5797113,-0.5797113,-0.57485294,0.11377267,271.47964,271.47964,271.6692,1.6585114,1546890.9,1546890.9,1537651.5,72536780000.0,-1306586.8,-1306586.8,-1284461.8,23734153000.0
2019-01-05,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,1.0037861,1.0037861,0.97839546,0.07008748,-0.054293822,-0.054293822,0.058792114,0.11458181,271.36505,271.36505,271.5327,1.4648538,1907934.6,1907934.6,1863489.1,139381280000.0,-1472772.1,-1472772.1,-1488893.0,43530605000.0
2019-01-06,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,1.6570313,1.6570313,1.666626,0.046041436,-1.0548782,-1.0548782,-1.0335894,0.11193576,271.48004,271.48004,271.91943,1.6637709,4083160.0,4083160.0,4108297.0,434734140000.0,-2954335.8,-2954335.8,-2996895.0,34010870000.0
2019-01-07,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,1.3203675,1.3203675,1.3981018,0.26594314,-1.0666993,-1.0666993,-0.8930664,0.16914007,269.75348,269.75348,269.8567,2.257679,3721086.0,3721086.0,3778210.2,319080920000.0,-2802838.5,-2802838.5,-2820384.2,27137954000.0
2019-01-08,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,0.79219973,0.79219973,0.79138184,0.006237968,0.5871307,0.5871307,0.6600189,0.0451303,269.6184,269.6184,270.0166,2.7400615,4909691.0,4909691.0,5022989.5,680111000000.0,-4022554.5,-4022554.5,-4073540.8,53950018000.0
2019-01-09,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,-1.2672119,-1.2672119,-1.2647705,0.023133302,-0.49972153,-0.49972153,-0.56576157,0.11259855,271.34293,271.34293,271.44214,0.28899068,1479335.2,1479335.2,1516841.8,118376960000.0,-863123.8,-863123.8,-920699.75,54901200000.0
2019-01-10,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,-0.8554169,-0.8554169,-0.8412323,0.022260986,0.42259103,0.42259103,0.40835762,0.022571545,276.67133,276.67133,276.84937,2.0837767,2169888.0,2169888.0,2205526.0,130199800000.0,-935577.4,-935577.4,-965016.5,9364261000.0
2019-01-11,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,1.3329967,1.3329967,1.4061718,0.06510382,-0.34119567,-0.34119567,-0.19987488,0.22947557,273.8929,273.8929,273.54443,2.1656759,4411093.0,4411093.0,4528449.5,428740180000.0,-3425816.0,-3425816.0,-3438245.2,42898874000.0
2019-01-12,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,1.5740051,1.5740051,1.6180115,0.07726232,-0.3457241,-0.3457241,-0.1924038,0.33253375,273.50766,273.50766,273.17163,1.5828732,4377080.5,4377080.5,4386683.0,408944440000.0,-3072594.5,-3072594.5,-3119730.5,21056094000.0
2019-01-13,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,0.8260641,0.8260641,0.90791225,0.03406918,0.381172,0.381172,0.39782238,0.14666131,273.44254,273.44254,273.5393,1.8938503,4285713.0,4285713.0,4225363.0,347119880000.0,-2994426.5,-2994426.5,-3036827.2,94452480000.0
