Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-02,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-03,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-04,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-05,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-06,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-07,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-08,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-09,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-10,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-11,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-12,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-13,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-14,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-15,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-16,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-17,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-18,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-19,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-20,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-21,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-22,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-23,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-24,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-25,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
2019-01-26,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,,,,,,,,,,,,,,,,,,,,
