Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-9.320877,-9.320877,-9.320877,0.0,-11.79776,-11.79776,-11.79776,0.0,281.11304,281.11304,281.11304,0.0,1289674.2,1289674.2,1289674.2,0.0,-1025294.0,-1025294.0,-1025294.0,0.0
2019-01-02,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,2.36862,2.36862,2.36862,0.0,-1.4586611,-1.4586611,-1.4586611,0.0,281.8452,281.8452,281.8452,0.0,6596730.0,6596730.0,6596730.0,0.0,-2878394.0,-2878394.0,-2878394.0,0.0
2019-01-03,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-6.819866,-6.819866,-6.819866,0.0,-11.003311,-11.003311,-11.003311,0.0,278.59058,278.59058,278.59058,0.0,932781.8,932781.8,932781.8,0.0,-1030487.0,-1030487.0,-1030487.0,0.0
2019-01-04,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,3.103241,3.103241,3.103241,0.0,1.6885748,1.6885748,1.6885748,0.0,278.82837,278.82837,278.82837,0.0,4988278.0,4988278.0,4988278.0,0.0,-2146897.0,-2146897.0,-2146897.0,0.0
2019-01-05,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,3.6273212,3.6273212,3.6273212,0.0,-9.978073,-9.978073,-9.978073,0.0,277.604,277.604,277.604,0.0,1893212.1,1893212.1,1893212.1,0.0,-931338.0,-931338.0,-931338.0,0.0
2019-01-06,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,6.6483154,6.6483154,6.6483154,0.0,-6.86794,-6.86794,-6.86794,0.0,280.2776,280.2776,280.2776,0.0,7731786.0,7731786.0,7731786.0,0.0,-4671033.0,-4671033.0,-4671033.0,0.0
2019-01-07,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-5.453705,-5.453705,-5.453705,0.0,-4.890259,-4.890259,-4.890259,0.0,274.8911,274.8911,274.8911,0.0,5812004.0,5812004.0,5812004.0,0.0,-3390999.0,-3390999.0,-3390999.0,0.0
2019-01-08,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,3.4344482,3.4344482,3.4344482,0.0,-1.9244537,-1.9244537,-1.9244537,0.0,276.52026,276.52026,276.52026,0.0,6278172.0,6278172.0,6278172.0,0.0,-3374919.0,-3374919.0,-3374919.0,0.0
2019-01-09,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,0.3206787,0.3206787,0.3206787,0.0,9.714756,9.714756,9.714756,0.0,283.7837,283.7837,283.7837,0.0,2803453.8,2803453.8,2803453.8,0.0,-2907409.0,-2907409.0,-2907409.0,0.0
2019-01-10,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,2.4483185,2.4483185,2.4483185,0.0,8.925203,8.925203,8.925203,0.0,287.11963,287.11963,287.11963,0.0,7490538.0,7490538.0,7490538.0,0.0,-3397576.0,-3397576.0,-3397576.0,0.0
2019-01-11,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,0.26505852,0.26505852,0.26505852,0.0,-4.637253,-4.637253,-4.637253,0.0,283.04663,283.04663,283.04663,0.0,5267510.0,5267510.0,5267510.0,0.0,-2908936.0,-2908936.0,-2908936.0,0.0
2019-01-12,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-5.9219055,-5.9219055,-5.9219055,0.0,-10.150412,-10.150412,-10.150412,0.0,281.52954,281.52954,281.52954,0.0,1834356.2,1834356.2,1834356.2,0.0,-498454.0,-498454.0,-498454.0,0.0
2019-01-13,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,2.5851583,2.5851583,2.5851583,0.0,-1.3726854,-1.3726854,-1.3726854,0.0,280.4602,280.4602,280.4602,0.0,6010214.0,6010214.0,6010214.0,0.0,-2362322.0,-2362322.0,-2362322.0,0.0
2019-01-14,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,2.7693176,2.7693176,2.7693176,0.0,0.6561365,0.6561365,0.6561365,0.0,282.12598,282.12598,282.12598,0.0,7309942.0,7309942.0,7309942.0,0.0,-3252780.0,-3252780.0,-3252780.0,0.0
2019-01-15,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,7.168907,7.168907,7.168907,0.0,-13.762833,-13.762833,-13.762833,0.0,279.04712,279.04712,279.04712,0.0,5025690.5,5025690.5,5025690.5,0.0,-2220569.0,-2220569.0,-2220569.0,0.0
2019-01-16,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,7.2065125,7.2065125,7.2065125,0.0,0.79663086,0.79663086,0.79663086,0.0,283.35107,283.35107,283.35107,0.0,9748118.0,9748118.0,9748118.0,0.0,-5083584.0,-5083584.0,-5083584.0,0.0
2019-01-17,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,0.8081169,0.8081169,0.8081169,0.0,0.96462154,0.96462154,0.96462154,0.0,284.49,284.49,284.49,0.0,10026000.0,10026000.0,10026000.0,0.0,-4925256.0,-4925256.0,-4925256.0,0.0
2019-01-18,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,1.4940338,1.4940338,1.4940338,0.0,1.7991676,1.7991676,1.7991676,0.0,285.01074,285.01074,285.01074,0.0,8281854.0,8281854.0,8281854.0,0.0,-3936729.0,-3936729.0,-3936729.0,0.0
2019-01-19,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-1.5045624,-1.5045624,-1.5045624,0.0,0.048859596,0.048859596,0.048859596,0.0,285.406,285.406,285.406,0.0,9174698.0,9174698.0,9174698.0,0.0,-4211062.0,-4211062.0,-4211062.0,0.0
2019-01-20,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,0.16893005,0.16893005,0.16893005,0.0,1.7701092,1.7701092,1.7701092,0.0,286.17285,286.17285,286.17285,0.0,9875794.0,9875794.0,9875794.0,0.0,-3746991.0,-3746991.0,-3746991.0,0.0
2019-01-21,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-0.0035552979,-0.0035552979,-0.0035552979,0.0,-3.4411774,-3.4411774,-3.4411774,0.0,284.2981,284.2981,284.2981,0.0,8135758.0,8135758.0,8135758.0,0.0,-2556755.0,-2556755.0,-2556755.0,0.0
2019-01-22,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-2.3143005,-2.3143005,-2.3143005,0.0,4.464137,4.464137,4.464137,0.0,286.83105,286.83105,286.83105,0.0,8468036.0,8468036.0,8468036.0,0.0,-2632091.0,-2632091.0,-2632091.0,0.0
2019-01-23,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-3.5262222,-3.5262222,-3.5262222,0.0,8.277008,8.277008,8.277008,0.0,287.55835,287.55835,287.55835,0.0,4389121.5,4389121.5,4389121.5,0.0,-2531937.0,-2531937.0,-2531937.0,0.0
2019-01-24,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-0.3144989,-0.3144989,-0.3144989,0.0,2.2605753,2.2605753,2.2605753,0.0,286.3462,286.3462,286.3462,0.0,9228514.0,9228514.0,9228514.0,0.0,-4071664.0,-4071664.0,-4071664.0,0.0
2019-01-25,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-0.6843796,-0.6843796,-0.6843796,0.0,9.011366,9.011366,9.011366,0.0,285.04492,285.04492,285.04492,0.0,3387833.5,3387833.5,3387833.5,0.0,-1670176.0,-1670176.0,-1670176.0,0.0
2019-01-26,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,7.8419495,7.8419495,7.8419495,0.0,-7.0336018,-7.0336018,-7.0336018,0.0,282.4397,282.4397,282.4397,0.0,6755942.0,6755942.0,6755942.0,0.0,-2099232.0,-2099232.0,-2099232.0,0.0
2019-01-27,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,1.0869751,1.0869751,1.0869751,0.0,-1.0929604,-1.0929604,-1.0929604,0.0,283.34985,283.34985,283.34985,0.0,8671572.0,8671572.0,8671572.0,0.0,-2454593.0,-2454593.0,-2454593.0,0.0
2019-01-28,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-0.59786797,-0.59786797,-0.59786797,0.0,4.0515604,4.0515604,4.0515604,0.0,286.6858,286.6858,286.6858,0.0,9909028.0,9909028.0,9909028.0,0.0,-4327731.0,-4327731.0,-4327731.0,0.0
2019-01-29,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,-5.0769434,-5.0769434,-5.0769434,0.0,5.743088,5.743088,5.743088,0.0,287.48267,287.48267,287.48267,0.0,5753838.0,5753838.0,5753838.0,0.0,-2873779.0,-2873779.0,-2873779.0,0.0
2019-01-30,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,3.5586271,3.5586271,3.5586271,0.0,2.5778456,2.5778456,2.5778456,0.0,286.5371,286.5371,286.5371,0.0,9778480.0,9778480.0,9778480.0,0.0,-3646519.0,-3646519.0,-3646519.0,0.0
2019-01-31,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,10.023337,10.023337,10.023337,0.0,2.3027296,2.3027296,2.3027296,0.0,285.4319,285.4319,285.4319,0.0,8702324.0,8702324.0,8702324.0,0.0,-3723756.0,-3723756.0,-3723756.0,0.0
