Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.5745494,0.5745494,0.57292175,0.00944427,-0.5062561,-0.5062561,-0.5626526,0.117422186,280.24893,280.24893,280.26245,0.75940496,5687789.5,5687789.5,5685882.0,14029137000.0,-3128984.2,-3128984.2,-3150938.5,6583294500.0
2019-01-02,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.09579277,0.09579277,0.12850761,0.06329276,-0.32430235,-0.32430235,-0.38590717,0.17120165,278.55966,278.55966,278.5359,0.3317354,7437657.5,7437657.5,7429329.5,970808640.0,-4911728.5,-4911728.5,-4906030.5,1058573250.0
2019-01-03,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,1.7637113,1.7637113,1.7345772,0.048448354,-1.3618723,-1.3618723,-1.3853912,0.03435601,273.92197,273.92197,274.01245,0.15640344,1070342.1,1070342.1,1083882.2,3648596700.0,-971643.44,-971643.44,-965534.25,1031300800.0
2019-01-04,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.7640483,0.7640483,0.7619324,0.012563918,-1.33824,-1.33824,-1.3316889,0.0011675043,271.00748,271.00748,271.05444,0.25336346,1100789.0,1100789.0,1072891.0,19357950000.0,-1116168.9,-1116168.9,-1107777.8,1407293700.0
2019-01-05,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,1.2580992,1.2580992,1.2684345,0.00053544174,-0.5802867,-0.5802867,-0.5850067,0.04798155,270.5131,270.5131,270.3684,1.3945279,2008716.1,2008716.1,1999411.6,113535690000.0,-2157184.8,-2157184.8,-2161149.8,5417362400.0
2019-01-06,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,1.4779867,1.4779867,1.4854736,0.0068297707,-0.6567583,-0.6567583,-0.6292925,0.041227084,274.60385,274.60385,274.1079,1.1332942,2458374.2,2458374.2,2388363.0,141454310000.0,-2404466.2,-2404466.2,-2398559.8,16633460000.0
2019-01-07,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,1.4584045,1.4584045,1.4464417,0.025556644,-1.4707438,-1.4707438,-1.4715576,0.005514059,268.4562,268.4562,268.4038,0.47058746,2324007.8,2324007.8,2292721.0,128871470000.0,-2554333.2,-2554333.2,-2548337.0,9154625000.0
2019-01-08,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.16426595,0.16426595,0.2175293,0.068276554,-0.096857704,-0.096857704,-0.104263306,0.0004737659,271.08926,271.08926,271.0464,0.7493475,2921390.8,2921390.8,2855150.5,183514230000.0,-3109919.8,-3109919.8,-3082067.0,23472964000.0
2019-01-09,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,-0.37137857,-0.37137857,-0.32873535,0.09366256,-0.52140933,-0.52140933,-0.5799217,0.10096539,269.64487,269.64487,269.70044,0.20764016,832616.5,832616.5,832722.8,18760286000.0,5361.3335,5361.3335,15879.75,4107950300.0
2019-01-10,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.008295695,0.008295695,0.034744263,0.065991916,-0.16504733,-0.16504733,-0.14120293,0.07595971,276.97964,276.97964,276.89746,0.12409971,1294051.5,1294051.5,1248493.0,45610060000.0,-791898.56,-791898.56,-797342.25,5286712000.0
2019-01-11,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.71529454,0.71529454,0.7478466,0.008545794,-1.341273,-1.341273,-1.3606415,0.007897509,275.2543,275.2543,275.00195,0.998852,2537273.0,2537273.0,2454631.5,130919870000.0,-2200846.8,-2200846.8,-2204790.8,20363633000.0
2019-01-12,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,1.4511414,1.4511414,1.4721375,0.0069061317,-1.2135626,-1.2135626,-1.2099819,0.03743829,271.5082,271.5082,271.26123,0.67820483,2739583.8,2739583.8,2709720.2,141688770000.0,-2594397.8,-2594397.8,-2630124.0,15557510000.0
2019-01-13,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.556187,0.556187,0.5869894,0.030825747,-0.15247059,-0.15247059,-0.1351366,0.018546501,274.88696,274.88696,274.98755,0.9704984,3242827.0,3242827.0,3121383.5,178876060000.0,-2845281.0,-2845281.0,-2847423.5,32804053000.0
2019-01-14,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.5280253,0.5280253,0.5604553,0.015748754,-0.2665116,-0.2665116,-0.24797726,0.015044458,276.59976,276.59976,276.55176,0.19884694,2003528.5,2003528.5,1923708.1,66592043000.0,-1388222.8,-1388222.8,-1368366.0,19577537000.0
2019-01-15,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,2.133873,2.133873,2.118248,0.039986208,-1.8800608,-1.8800608,-1.8795319,0.022465594,272.3085,272.3085,272.44458,0.5707398,3725515.2,3725515.2,3590278.0,205385370000.0,-3906247.2,-3906247.2,-3908519.2,13782181000.0
2019-01-16,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,1.8113302,1.8113302,1.8298035,0.012924287,-0.46940103,-0.46940103,-0.50683594,0.026812986,275.95108,275.95108,276.0808,0.12585881,3772676.0,3772676.0,3644629.5,196571430000.0,-2916926.8,-2916926.8,-2928580.0,22483446000.0
2019-01-17,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.3455925,0.3455925,0.37244797,0.010287121,0.07830969,0.07830969,0.07887936,0.0037274098,279.83218,279.83218,279.83496,0.20601206,3966012.0,3966012.0,3828865.5,205686440000.0,-2914030.8,-2914030.8,-2949609.5,16802140000.0
2019-01-18,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,0.32053122,0.32053122,0.32826233,0.0024799837,-0.07872137,-0.07872137,-0.0580101,0.026932105,279.79,279.79,279.79016,0.057985257,2948584.0,2948584.0,2847373.0,108239890000.0,-1779494.0,-1779494.0,-1763309.8,10585144000.0
2019-01-19,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,-0.6680145,-0.6680145,-0.6797333,0.01148732,0.094717346,0.094717346,0.07852268,0.009495406,281.08878,281.08878,281.09863,0.1594443,3086885.2,3086885.2,2996460.8,128951190000.0,-1634422.9,-1634422.9,-1622735.0,10035836000.0
2019-01-20,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,-0.328303,-0.328303,-0.32624817,0.019091405,-0.015006383,-0.015006383,-0.0057697296,0.0060045402,282.43652,282.43652,282.28735,0.21956436,2991682.0,2991682.0,2906909.5,160889650000.0,-751253.5,-751253.5,-716626.9,19025330000.0
2019-01-21,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,-0.67148334,-0.67148334,-0.6806793,0.017114708,0.2703298,0.2703298,0.29734802,0.019213095,281.7046,281.7046,281.72266,0.2145527,4818615.5,4818615.5,4696778.0,474367660000.0,-2269967.8,-2269967.8,-2188993.8,41078645000.0
2019-01-22,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,-0.586436,-0.586436,-0.5784607,0.0752093,-0.5087226,-0.5087226,-0.46701527,0.1565631,278.70068,278.70068,278.6919,0.11854688,962932.0,962932.0,982676.94,11526947000.0,189619.33,189619.33,222248.75,14012350000.0
2019-01-23,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,-0.87314606,-0.87314606,-0.82444,0.08666223,-0.6401469,-0.6401469,-0.624115,0.14596461,279.5646,279.5646,279.61328,0.115429826,1865112.0,1865112.0,1885240.5,42233190000.0,-615349.7,-615349.7,-614152.4,31378549000.0
2019-01-24,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,-0.68852234,-0.68852234,-0.67948914,0.05048434,0.36514887,0.36514887,0.37910557,0.004667474,284.03793,284.03793,284.04492,0.13081025,7295046.5,7295046.5,7436810.5,297538780000.0,-2907120.8,-2907120.8,-2977914.0,66897986000.0
