Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,0.12251986,0.12251986,0.23771667,0.12927458,-0.669943,-0.669943,-0.7333069,0.14803346,276.2926,276.2926,276.19946,6.658142,2196741.2,2196741.2,2047384.2,443097120000.0,-971578.44,-971578.44,-934043.5,53066465000.0
2019-01-02,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.8205515,-0.8205515,-0.92508125,0.2376851,0.44747624,0.44747624,0.42683697,0.012332748,278.07117,278.07117,277.80078,2.0690649,4853316.0,4853316.0,4348886.5,2026458400000.0,-3412606.2,-3412606.2,-3222209.5,187368110000.0
2019-01-03,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,1.4173259,1.4173259,1.5092354,0.30777156,-1.2045581,-1.2045581,-1.1878815,0.023335854,272.99045,272.99045,273.05835,1.222408,498175.47,498175.47,454289.3,32418613000.0,-327380.03,-327380.03,-304057.0,15870983000.0
2019-01-04,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,0.66168445,0.66168445,0.6823425,0.15737517,-0.9959392,-0.9959392,-1.0008783,0.011295981,271.1643,271.1643,271.35815,1.4700452,1659402.5,1659402.5,1404177.2,436849300000.0,-1521648.9,-1521648.9,-1541810.0,6458761000.0
2019-01-05,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,0.81237984,0.81237984,0.87927437,0.112500556,-0.15227684,-0.15227684,-0.21342468,0.026979158,272.22076,272.22076,271.97754,2.84012,2330396.0,2330396.0,1916180.1,772505400000.0,-1998470.8,-1998470.8,-2001382.0,9276428000.0
2019-01-06,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.21049617,-0.21049617,-0.22033691,0.032133162,1.0486579,1.0486579,0.9802046,0.0854287,275.71774,275.71774,275.52612,2.0846977,3201541.5,3201541.5,2945113.5,995150700000.0,-2432362.2,-2432362.2,-2383623.0,59006520000.0
2019-01-07,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.20789279,-0.20789279,-0.20272827,0.03276153,-1.1538556,-1.1538556,-1.1055908,0.023766156,272.8078,272.8078,273.53076,5.7011333,2894861.8,2894861.8,2572680.0,931480100000.0,-2237283.0,-2237283.0,-2177946.0,72287650000.0
2019-01-08,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.74640363,-0.74640363,-0.9256592,0.31440207,0.7485293,0.7485293,0.71250916,0.07058813,272.18185,272.18185,272.2566,1.3651597,3490117.0,3490117.0,3315133.0,1124469000000.0,-3319237.8,-3319237.8,-3348187.0,80276270000.0
2019-01-09,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.7325064,-0.7325064,-0.88879395,0.13088726,0.22527283,0.22527283,0.14053726,0.19949196,273.68655,273.68655,273.65283,0.039322797,1164908.2,1164908.2,1090947.8,149383180000.0,263811.56,263811.56,280786.5,22305552000.0
2019-01-10,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,0.16853333,0.16853333,-0.070236206,0.32421124,2.495065,2.495065,2.5350666,0.030087523,278.0151,278.0151,277.8296,0.5131391,1646080.0,1646080.0,1544003.0,138623610000.0,-560188.75,-560188.75,-545407.5,13697878000.0
2019-01-11,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.66610324,-0.66610324,-0.60103035,0.13202517,-0.65073687,-0.65073687,-0.7864227,0.15090172,279.7725,279.7725,280.24048,2.3391414,2851110.2,2851110.2,2749733.5,316095630000.0,-1824162.8,-1824162.8,-1795517.5,9095793000.0
2019-01-12,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,0.6086684,0.6086684,0.76852417,0.17506798,-0.057262566,-0.057262566,-0.079610825,0.25271887,273.90488,273.90488,273.77515,1.7137055,1188614.2,1188614.2,1086689.2,89618160000.0,-587917.1,-587917.1,-603254.0,3127901700.0
2019-01-13,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.6386247,-0.6386247,-0.832078,0.1573507,0.14218837,0.14218837,0.09679699,0.049186118,276.75183,276.75183,276.72388,1.2533971,3853168.0,3853168.0,3617417.0,776503800000.0,-3601121.8,-3601121.8,-3556001.0,67924140000.0
2019-01-14,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.13281955,-0.13281955,-0.18405151,0.078804135,-0.08182548,-0.08182548,-0.14281368,0.060730953,277.9435,277.9435,278.29688,1.552383,2380844.2,2380844.2,2253836.0,349036050000.0,-1779310.6,-1779310.6,-1719624.0,48519578000.0
2019-01-15,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,2.6939974,2.6939974,2.8922958,0.73299134,-2.7158825,-2.7158825,-2.7818756,0.028236669,273.92126,273.92126,273.92065,3.1965196,4417313.5,4417313.5,4251883.5,721138800000.0,-3798884.5,-3798884.5,-3764709.5,14616739000.0
2019-01-16,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,1.4452069,1.4452069,1.4716492,0.016496398,0.75674206,0.75674206,0.76049805,0.019284006,278.83823,278.83823,280.0244,6.4587064,4520963.0,4520963.0,4406267.0,644820700000.0,-3460885.8,-3460885.8,-3394282.0,61396083000.0
2019-01-17,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.20239991,-0.20239991,-0.19530106,0.43301046,0.542108,0.542108,0.49831295,0.03576311,281.15536,281.15536,281.8684,3.6763153,4670422.0,4670422.0,4586592.0,578136600000.0,-3184852.0,-3184852.0,-3078963.0,59823780000.0
2019-01-18,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,0.41632196,0.41632196,0.48451233,0.15919441,0.8685599,0.8685599,0.9048805,0.043284293,282.6648,282.6648,283.73633,6.928248,3958026.5,3958026.5,3930280.0,334541620000.0,-2024994.0,-2024994.0,-1951190.5,49463190000.0
2019-01-19,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.56279933,-0.56279933,-0.52482605,0.19437705,0.3971168,0.3971168,0.50051975,0.07693395,283.26965,283.26965,283.90503,4.170593,4049419.5,4049419.5,4176817.5,462717000000.0,-2003190.8,-2003190.8,-2013146.8,57342140000.0
2019-01-20,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.4305103,-0.4305103,-0.47328186,0.11291489,0.020672578,0.020672578,-0.058259964,0.06531425,283.62415,283.62415,284.20312,4.163638,4369658.0,4369658.0,4539300.0,570877940000.0,-1764656.5,-1764656.5,-1848251.0,72520850000.0
2019-01-21,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.94706494,-0.94706494,-1.0018463,0.01589297,-0.34915513,-0.34915513,-0.28053284,0.029813368,282.29498,282.29498,282.46118,2.7198207,4445826.0,4445826.0,4376432.0,560194400000.0,-1988653.4,-1988653.4,-1953185.8,75033264000.0
2019-01-22,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-1.0649015,-1.0649015,-1.1426697,0.051975086,0.30045018,0.30045018,0.21145153,0.073101506,282.88464,282.88464,283.42627,4.3022656,3771334.8,3771334.8,3867276.0,527842700000.0,-1004286.06,-1004286.06,-1000099.0,107855380000.0
2019-01-23,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-1.1916932,-1.1916932,-1.2525406,0.07902716,0.08049364,0.08049364,0.104156494,0.053568386,282.1834,282.1834,281.97388,2.6193466,2915187.0,2915187.0,2811646.5,418173100000.0,-853095.25,-853095.25,-691890.5,170314350000.0
2019-01-24,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,-0.8728673,-0.8728673,-0.95610046,0.1358613,-0.015604093,-0.015604093,-0.05045986,0.16574478,284.3852,284.3852,284.93164,3.0852332,6027909.0,6027909.0,5430520.0,1864982900000.0,-2678376.0,-2678376.0,-2350337.5,438333300000.0
