Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΤΕΜΠΩΝ,-1.3389435,-1.3389435,-1.3841095,0.20922795,-3.2411194,-3.2411194,-3.0897522,1.6064215,278.60272,278.60272,279.02466,2.516615,4620328.5,4620328.5,4650479.5,31814130000.0,-1765890.2,-1765890.2,-1787062.2,81702310000.0
2019-01-02,ΔΗΜΟΣ ΤΕΜΠΩΝ,-0.42942697,-0.42942697,-0.37259102,0.0368881,0.40584087,0.40584087,0.41121197,0.07627492,278.19376,278.19376,278.58423,1.6165272,7822885.5,7822885.5,7836812.0,45684236000.0,-4246557.0,-4246557.0,-4275072.0,39427432000.0
2019-01-03,ΔΗΜΟΣ ΤΕΜΠΩΝ,1.415046,1.415046,1.2626534,0.33897692,-4.3498445,-4.3498445,-4.237198,4.3901296,274.09805,274.09805,274.4734,1.0097483,651281.1,651281.1,669188.06,2763204400.0,-484418.44,-484418.44,-519443.75,46164025000.0
2019-01-04,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.41657105,0.41657105,0.19259644,0.18640593,-3.9447258,-3.9447258,-3.8749018,2.3996863,272.1735,272.1735,272.55957,1.4256388,1780765.0,1780765.0,1888499.0,79368750000.0,-1059174.8,-1059174.8,-1093675.0,41833480000.0
2019-01-05,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.8530537,0.8530537,0.8153095,0.059407614,-1.9112275,-1.9112275,-1.828659,2.2160566,273.17035,273.17035,273.25635,1.547354,2616862.0,2616862.0,2693547.5,204194660000.0,-1428429.9,-1428429.9,-1419697.2,102171660000.0
2019-01-06,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.556543,0.556543,0.48986816,0.69899106,-1.7480423,-1.7480423,-1.6471148,3.0950828,276.34848,276.34848,276.6853,3.9463916,4860351.0,4860351.0,5077550.0,636886000000.0,-3380942.8,-3380942.8,-3407631.5,156135160000.0
2019-01-07,ΔΗΜΟΣ ΤΕΜΠΩΝ,-0.18112183,-0.18112183,-0.22103882,0.2547194,-4.386377,-4.386377,-4.1359863,3.061689,272.4433,272.4433,272.86426,2.2646754,4009294.0,4009294.0,4219913.0,419644930000.0,-3028036.5,-3028036.5,-3093076.5,341099740000.0
2019-01-08,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.64733887,0.64733887,0.63842773,0.04959823,0.9926361,0.9926361,1.0770111,0.09109907,271.58945,271.58945,271.4475,1.5727895,5251694.0,5251694.0,5502784.0,721240500000.0,-4146307.5,-4146307.5,-4167118.0,283991150000.0
2019-01-09,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.8908936,0.8908936,0.8450928,0.14115557,-0.3700096,-0.3700096,-0.51327133,0.110469066,274.41226,274.41226,274.12842,0.7698512,1393589.2,1393589.2,1465813.8,41340740000.0,-158028.75,-158028.75,-148341.5,42297962000.0
2019-01-10,ΔΗΜΟΣ ΤΕΜΠΩΝ,1.3297638,1.3297638,1.3291779,0.0628538,2.52076,2.52076,2.4086018,0.27039737,279.39243,279.39243,279.66138,1.4088362,2794079.2,2794079.2,2938443.0,164049900000.0,-1274308.2,-1274308.2,-1315293.0,18875230000.0
2019-01-11,ΔΗΜΟΣ ΤΕΜΠΩΝ,-0.65856206,-0.65856206,-0.6346607,0.022415627,-2.1893036,-2.1893036,-2.0743866,1.034447,277.59967,277.59967,277.4934,1.713093,4432319.0,4432319.0,4653290.0,347772500000.0,-2479029.8,-2479029.8,-2534236.8,61993770000.0
2019-01-12,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.05018921,0.05018921,-0.045928955,0.108290195,-2.5746303,-2.5746303,-2.5129604,2.651837,276.28638,276.28638,276.3745,0.891517,2136695.8,2136695.8,2197764.2,142610960000.0,-866527.4,-866527.4,-908438.75,25175462000.0
2019-01-13,ΔΗΜΟΣ ΤΕΜΠΩΝ,-0.35549107,-0.35549107,-0.34770298,0.03214629,0.25121593,0.25121593,0.25805187,0.18309528,277.046,277.046,277.41284,1.4111259,5928749.0,5928749.0,6167638.0,753741900000.0,-3953337.5,-3953337.5,-3986947.0,161047120000.0
2019-01-14,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.61438596,0.61438596,0.6378479,0.043128174,-0.32362422,-0.32362422,-0.28270626,0.23635015,276.60834,276.60834,276.6704,1.558431,3696776.8,3696776.8,3780067.0,333306230000.0,-2202068.8,-2202068.8,-2190137.8,54595970000.0
2019-01-15,ΔΗΜΟΣ ΤΕΜΠΩΝ,2.7691512,2.7691512,2.585411,0.55815387,-5.7657137,-5.7657137,-5.5487213,5.3089285,274.53668,274.53668,274.96094,2.5997095,6388508.0,6388508.0,6528277.0,851066750000.0,-3736669.2,-3736669.2,-3809651.8,52045316000.0
2019-01-16,ΔΗΜΟΣ ΤΕΜΠΩΝ,1.573114,1.573114,1.5192566,0.044775333,0.54521483,0.54521483,0.5969238,0.23022112,278.44904,278.44904,278.11353,2.4415267,6608121.0,6608121.0,6699724.5,979019760000.0,-4132463.5,-4132463.5,-4156438.5,339837320000.0
2019-01-17,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.16058274,0.16058274,0.23023605,0.042954117,0.49711666,0.49711666,0.49709225,0.008350545,280.9516,280.9516,281.2107,0.7491513,6973901.5,6973901.5,7024759.0,1047379800000.0,-3604168.8,-3604168.8,-3653771.8,100616135000.0
2019-01-18,ΔΗΜΟΣ ΤΕΜΠΩΝ,0.82782286,0.82782286,0.88575745,0.11479442,0.8595192,0.8595192,0.8454323,0.048574243,280.98825,280.98825,280.93396,1.359691,5811445.5,5811445.5,5945320.5,613553600000.0,-2707617.5,-2707617.5,-2794370.8,82811810000.0
2019-01-19,ΔΗΜΟΣ ΤΕΜΠΩΝ,-1.2800019,-1.2800019,-1.2041473,0.12987076,-0.37589628,-0.37589628,-0.4757986,0.049380336,281.89648,281.89648,282.42163,5.238169,7001296.0,7001296.0,7051819.0,1003387100000.0,-3019220.0,-3019220.0,-3114429.0,93973260000.0
2019-01-20,ΔΗΜΟΣ ΤΕΜΠΩΝ,-0.04577942,-0.04577942,0.092453,0.30737713,0.29347342,0.29347342,0.39852715,0.10009612,282.59067,282.59067,282.81787,3.762256,6709881.5,6709881.5,6828455.0,540645060000.0,-2194123.5,-2194123.5,-2281338.0,83723520000.0
2019-01-21,ΔΗΜΟΣ ΤΕΜΠΩΝ,-0.95213926,-0.95213926,-0.9434967,0.007999625,-0.6730865,-0.6730865,-0.6773834,0.13099012,280.98822,280.98822,281.0835,3.6369023,6220009.5,6220009.5,6262868.0,201800970000.0,-2475960.8,-2475960.8,-2535940.5,59343057000.0
2019-01-22,ΔΗΜΟΣ ΤΕΜΠΩΝ,-1.4847107,-1.4847107,-1.3882751,0.15057482,0.9581068,0.9581068,0.8966322,0.8571471,282.5901,282.5901,282.95288,2.6936092,4610989.5,4610989.5,4791838.0,429711750000.0,-884487.6,-884487.6,-986800.5,157464610000.0
2019-01-23,ΔΗΜΟΣ ΤΕΜΠΩΝ,-1.8453872,-1.8453872,-1.7231216,0.30404356,2.21026,2.21026,2.1214905,1.7640607,282.56293,282.56293,282.9746,2.473706,4299903.0,4299903.0,4405735.5,137608890000.0,-1862747.4,-1862747.4,-1961106.4,64985260000.0
2019-01-24,ΔΗΜΟΣ ΤΕΜΠΩΝ,-0.16850281,-0.16850281,0.0839386,0.37119865,0.3321329,0.3321329,0.3913126,0.016650407,283.1162,283.1162,283.3435,2.4815395,9292298.0,9292298.0,9248128.0,175465020000.0,-4514439.5,-4514439.5,-4533409.0,46151790000.0
