Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.37130228,0.37130228,0.49894714,0.10597131,0.504364,0.504364,0.605072,0.14926033,277.01102,277.01102,277.27734,1.3854231,3119498.2,3119498.2,3150909.8,503256400000.0,-1619844.1,-1619844.1,-1624880.8,14404300000.0
2019-01-02,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.6322956,-0.6322956,-0.72122383,0.11214643,0.70110863,0.70110863,0.71223736,0.0047597825,277.91653,277.91653,278.08862,0.977876,5805677.5,5805677.5,5981609.0,1514016500000.0,-3947459.8,-3947459.8,-4068433.8,145999920000.0
2019-01-03,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,1.4851875,1.4851875,1.6371651,0.15409325,-1.4060211,-1.4060211,-1.4574127,0.04084599,273.13333,273.13333,273.20972,1.0163492,695480.2,695480.2,674089.3,11876323000.0,-521444.22,-521444.22,-541609.75,5902196700.0
2019-01-04,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.46436563,0.46436563,0.6303406,0.14016211,-0.9898717,-0.9898717,-0.9704828,0.015384886,270.6959,270.6959,270.6084,1.0092028,1550356.1,1550356.1,1555630.0,50442160000.0,-1333902.1,-1333902.1,-1293920.0,29374659000.0
2019-01-05,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.8396829,0.8396829,0.9273701,0.03364696,-0.570399,-0.570399,-0.53349304,0.06867713,271.64505,271.64505,271.42578,2.759145,3388131.2,3388131.2,3351922.0,334170400000.0,-2614282.0,-2614282.0,-2611707.5,17929562000.0
2019-01-06,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.18766277,0.18766277,0.20593262,0.0058702715,-0.033284187,-0.033284187,-0.12233448,0.4566642,277.4082,277.4082,277.6233,1.7358398,4040056.0,4040056.0,3834981.2,612974900000.0,-2975695.8,-2975695.8,-2978960.2,31945058000.0
2019-01-07,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.7970276,0.7970276,0.8791809,0.060175937,-1.731547,-1.731547,-1.7296143,0.027197922,271.13278,271.13278,271.08105,1.4646487,3165396.8,3165396.8,3072703.0,331999580000.0,-2355246.2,-2355246.2,-2366897.2,13309154000.0
2019-01-08,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.19213867,-0.19213867,-0.25842285,0.19845487,0.8908742,0.8908742,0.8549652,0.040970925,272.3662,272.3662,272.73486,2.2088354,4350476.0,4350476.0,4150569.5,723747340000.0,-3550153.0,-3550153.0,-3542808.0,38234840000.0
2019-01-09,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.8546956,-0.8546956,-0.8631592,0.063514695,0.15164566,0.15164566,0.032627106,0.07774711,272.946,272.946,272.8562,0.060784314,970469.25,970469.25,896822.8,55724050000.0,305326.6,305326.6,282158.0,30802717000.0
2019-01-10,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.10018412,-0.10018412,-0.16911316,0.22069061,1.2572346,1.2572346,1.2101154,0.021449884,277.88474,277.88474,277.6599,2.636245,2269014.2,2269014.2,2159244.5,263281120000.0,-825193.7,-825193.7,-809489.0,47956380000.0
2019-01-11,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.8293934,-0.8293934,-0.92604256,0.06419601,0.15331523,0.15331523,0.19380188,0.04688552,278.55643,278.55643,278.94092,3.4720688,3773271.2,3773271.2,3651013.2,385568100000.0,-2608214.8,-2608214.8,-2573775.2,6602981000.0
2019-01-12,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.66989136,0.66989136,0.7886658,0.1054163,-0.06846174,-0.06846174,-0.035909653,0.14437345,274.58847,274.58847,274.61377,0.580573,2068449.0,2068449.0,2061161.8,108608590000.0,-1249388.4,-1249388.4,-1220709.0,28938054000.0
2019-01-13,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.47408643,-0.47408643,-0.5607157,0.062086403,0.44754568,0.44754568,0.43871593,0.0036064219,276.13647,276.13647,276.27954,0.7550917,4841448.5,4841448.5,4670968.5,577680100000.0,-3807730.8,-3807730.8,-3781705.2,5071949300.0
2019-01-14,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.3339335,0.3339335,0.2998352,0.03175721,-0.21812089,-0.21812089,-0.23888302,0.07227865,276.85425,276.85425,276.99536,1.6364836,2653507.8,2653507.8,2596067.0,115990960000.0,-1925855.4,-1925855.4,-1913483.2,13575033000.0
2019-01-15,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,2.0453517,2.0453517,2.1975937,0.27228495,-2.6410878,-2.6410878,-2.6136627,0.041644827,273.32315,273.32315,273.1648,1.8509618,5267581.5,5267581.5,5129709.0,552348350000.0,-4293291.5,-4293291.5,-4317472.5,8346568000.0
2019-01-16,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,1.5307516,1.5307516,1.5498962,0.012968823,-0.10583496,-0.10583496,-0.09472656,0.18209378,277.43445,277.43445,277.50977,1.7442406,5214460.5,5214460.5,5089669.0,483842980000.0,-3584597.2,-3584597.2,-3547453.8,23695820000.0
2019-01-17,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.6261508,0.6261508,0.56983566,0.23376696,0.3388281,0.3388281,0.34340572,0.055989753,280.85608,280.85608,281.01367,1.9707123,5343843.5,5343843.5,5231773.0,474021200000.0,-3399386.8,-3399386.8,-3382251.0,20548585000.0
2019-01-18,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,0.21654765,0.21654765,0.14710999,0.17946874,0.36565527,0.36565527,0.35165787,0.010289752,281.9446,281.9446,281.85925,2.5652897,4276422.5,4276422.5,4084411.0,454198330000.0,-2031387.0,-2031387.0,-2042474.0,45314216000.0
2019-01-19,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.78363544,-0.78363544,-0.86686707,0.064876325,0.5131133,0.5131133,0.59463596,0.052439954,281.66794,281.66794,281.75415,3.503524,3841247.2,3841247.2,3595173.8,419641950000.0,-1613775.0,-1613775.0,-1565483.4,43109765000.0
2019-01-20,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.5377248,-0.5377248,-0.61647034,0.06530566,0.42375502,0.42375502,0.47897148,0.026944652,282.78104,282.78104,283.05273,2.5569744,4081870.8,4081870.8,3808179.5,404763080000.0,-1401680.5,-1401680.5,-1340797.4,37428840000.0
2019-01-21,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.83507794,-0.83507794,-0.8570709,0.010911916,0.23155212,0.23155212,0.2238617,0.13169926,281.15836,281.15836,281.5039,2.0986001,4990576.5,4990576.5,4822203.0,426954160000.0,-2388716.2,-2388716.2,-2347137.5,10185282000.0
2019-01-22,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.99138385,-0.99138385,-0.99594116,0.02400502,0.3184258,0.3184258,0.3122816,0.073422976,281.21774,281.21774,281.21802,1.8381273,2718271.2,2718271.2,2554711.5,270598460000.0,-459316.47,-459316.47,-403854.0,33133265000.0
2019-01-23,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.6784439,-0.6784439,-0.6572037,0.04984215,0.019480387,0.019480387,0.021392822,0.16774333,280.26892,280.26892,280.2871,1.717092,2155508.2,2155508.2,2031084.0,336243160000.0,-671811.8,-671811.8,-655310.0,94931150000.0
2019-01-24,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,-0.88456726,-0.88456726,-0.9453583,0.04837082,0.21748447,0.21748447,0.33320713,0.08451852,282.97134,282.97134,283.08813,2.1771483,6140883.5,6140883.5,5930004.0,1829975200000.0,-2876939.2,-2876939.2,-2855975.5,212964470000.0
