Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.6707084,-0.6707084,-0.687088,0.13380148,-0.37646207,-0.37646207,-0.12539673,0.9748921,279.08453,279.08453,279.47192,0.7713314,4529047.0,4529047.0,4605890.0,35733670000.0,-2004161.2,-2004161.2,-2043736.0,37075325000.0
2019-01-02,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.67050916,-0.67050916,-0.57596016,0.06357349,0.6726422,0.6726422,0.704669,0.020521857,278.41037,278.41037,278.53613,0.5693341,7765310.5,7765310.5,7813143.5,9109811000.0,-4455416.0,-4455416.0,-4479978.5,10064597000.0
2019-01-03,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,1.0045745,1.0045745,0.91060257,0.09282756,-1.0457473,-1.0457473,-0.75868225,0.63694024,273.786,273.786,273.8557,0.3931956,686379.56,686379.56,693478.8,2978424600.0,-558557.06,-558557.06,-558133.0,8866611000.0
2019-01-04,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,0.30925128,0.30925128,0.21408081,0.09415121,-1.2914057,-1.2914057,-1.1117182,0.52390057,272.23376,272.23376,272.2932,0.5678686,1718242.5,1718242.5,1887629.2,89944010000.0,-1122046.8,-1122046.8,-1144123.5,6252879400.0
2019-01-05,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,0.7156114,0.7156114,0.682497,0.011798504,-0.08842468,-0.08842468,0.020462036,0.15003859,273.45343,273.45343,273.6084,1.114304,2994292.2,2994292.2,3120186.0,490892950000.0,-1934450.8,-1934450.8,-1942815.0,27220675000.0
2019-01-06,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.18817693,-0.18817693,-0.22399902,0.038475875,0.32157975,0.32157975,0.33152294,0.353428,277.93433,277.93433,278.0979,1.2553033,4776729.5,4776729.5,5369668.5,1017199200000.0,-3156327.0,-3156327.0,-3317250.5,144545760000.0
2019-01-07,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.15110363,-0.15110363,-0.14633179,0.085677296,-1.5030518,-1.5030518,-1.1951904,0.44558132,273.09094,273.09094,273.53076,0.74771786,3848682.2,3848682.2,4322133.0,619546150000.0,-2508525.5,-2508525.5,-2666499.0,133626720000.0
2019-01-08,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.08723588,-0.08723588,0.056030273,0.2454122,0.97112066,0.97112066,0.9586029,0.03926827,272.16467,272.16467,272.0515,1.3722568,5177461.0,5177461.0,5757629.0,1082167900000.0,-3692544.8,-3692544.8,-3812116.0,96739260000.0
2019-01-09,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.29326838,-0.29326838,-0.3043213,0.29570827,-0.34539136,-0.34539136,-0.35946274,0.04638745,273.33896,273.33896,273.21045,0.1292607,1365554.6,1365554.6,1511894.8,73565440000.0,-4441.0,-4441.0,-28584.5,15479135000.0
2019-01-10,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,0.21749462,0.21749462,0.1719513,0.36764905,1.8663876,1.8663876,1.8485432,0.06453126,278.14694,278.14694,278.03662,0.55890363,2701308.2,2701308.2,2977398.0,262841930000.0,-1269025.9,-1269025.9,-1355940.5,44918923000.0
2019-01-11,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.78443545,-0.78443545,-0.72883797,0.033202186,-0.44302785,-0.44302785,-0.34892273,0.19913812,278.76813,278.76813,278.8269,1.6744683,4328586.0,4328586.0,4728663.0,552042950000.0,-2354534.5,-2354534.5,-2449842.0,57349652000.0
2019-01-12,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,0.018413197,0.018413197,-0.0395813,0.05554914,0.062745355,0.062745355,0.19626808,0.5417842,276.28592,276.28592,276.0598,0.7482443,2050556.5,2050556.5,2187602.2,180598330000.0,-991440.94,-991440.94,-1037939.0,34465160000.0
2019-01-13,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.06756271,-0.06756271,-0.06572056,0.021247499,0.6949415,0.6949415,0.7266798,0.026477845,276.9906,276.9906,277.09106,0.6818638,5650754.0,5650754.0,6107714.0,682814870000.0,-3625407.8,-3625407.8,-3686850.5,53064045000.0
2019-01-14,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,0.42763174,0.42763174,0.4992981,0.05300266,-0.04661118,-0.04661118,-0.07665157,0.023308516,277.30508,277.30508,277.50195,0.5189566,3239757.8,3239757.8,3376150.0,228399300000.0,-2015805.1,-2015805.1,-2109230.0,31149660000.0
2019-01-15,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,2.186663,2.186663,2.1293564,0.14791164,-2.435662,-2.435662,-2.2472076,0.42809197,274.887,274.887,275.21265,0.7968721,6045323.0,6045323.0,6459997.5,552766870000.0,-3960105.0,-3960105.0,-4009199.5,34915217000.0
2019-01-16,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,1.3155323,1.3155323,1.3105164,0.006004771,0.06052468,0.06052468,0.0949707,0.16658278,278.3844,278.3844,278.5205,1.758057,6119912.5,6119912.5,6481084.0,508920560000.0,-3486294.5,-3486294.5,-3526617.0,58064830000.0
2019-01-17,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.03965031,-0.03965031,-0.001209259,0.11290967,0.3402874,0.3402874,0.34743404,0.015258357,281.2406,281.2406,281.34546,0.27327463,6454098.0,6454098.0,6629287.0,566867850000.0,-3482960.8,-3482960.8,-3502482.5,66811412000.0
2019-01-18,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,0.34288856,0.34288856,0.45057678,0.17461687,0.66065115,0.66065115,0.63583755,0.012773734,282.00626,282.00626,282.08398,1.1081568,5636855.5,5636855.5,5702813.0,437746370000.0,-2620746.2,-2620746.2,-2620263.5,80274020000.0
2019-01-19,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,-0.67586035,-0.67586035,-0.6442108,0.034139656,0.27313605,0.27313605,0.21121311,0.10292078,283.00412,283.00412,283.30884,1.0824132,6234918.0,6234918.0,6182244.5,432640160000.0,-2723688.5,-2723688.5,-2703958.8,98857220000.0
